"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","other_long_term_liabilities","deferred_revenue_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",296.176984126984,"Down",7.3e+07,-50417000,22583000,-15858000,-10885000,-4528000,6725000,-1733000,243000,-1976000,4992000,-334000,4658000,-2866000,1792000,1792000,1792000,1792000,-252282673.768257,-1155395632.72606,-780492501.777928,-780492501.777928,88747094.152931,97201140.3624461,62548390.184732,16053970.0208256,-846826941.030807,47248378.4146564,514850632.37682,6083838.07156602,957437.974826203,255530570.960317,438365114.660847,-408461826.36996,575759992.777703,575759992.709783,-146750968.46625,-58387159.8482005,429006874.474631,17506674.5431008,-24149780.0176978,-584960.952259341,17486629.8033646,446493504.277996,-1008916712.61373,-647259757.79424,801170814.624706,-854955330.647956,-854955330.647956,-408461826.36996,1792000,2301000,1939000,-20168000,-14136000,-2029000,-826000,7712000,1494000,-4930000,-4930000,1039000,-3891000,9026000,0,-10305000,0.30936,0.09212,0.02455,-0.305925843702823,-0.154366670393625,-5.75056,-13.1423843961679,1.93929200361486,-8.23340757442826e-05,0.39609,0.38971,16.13545,-156.463749617939,-2.27775,-0.304562615665682,8.69169393974671,-370.616530103151,-419.2492237679
"2","2010_Q3",290.8359375,"Down",74672000,-45637000,29035000,-18588000,-12712000,-5416000,10447000,-681000,190000,-871000,9766000,-117000,9649000,-5309000,4340000,4340000,4340000,4340000,24980663.1158715,-404411816.363028,-331466250.888964,-331466250.888964,52046547.0764655,63034570.181223,44220695.092366,10170485.0104128,-191404470.515404,53752689.2073282,249742816.18841,6729919.03578301,1716718.9874131,116409785.480159,256992057.330424,65587586.8150198,298916496.388851,298916496.354892,-57384484.2331248,-19515579.9241002,241530937.237316,13394837.2715504,-4972390.00884889,-62480.4761296704,13384814.9016823,254915752.138998,-9465356.30686295,-528459378.89712,348571407.312353,-189328165.323978,-189328165.323978,65587586.8150198,4340000,2403000,4332000,24748000,35823000,-1555000,-336999.999999999,-19618000,2574000,18779000,18779000,1190000,19969000,12850000,0,41352000,0.38883,0.13991,0.05812,-0.181317921851411,-0.100183335196812,9.52811,-3.96752719808393,1.04840600180743,-4.11670378721413e-05,0.95418,0.93909,16.4172,-31.6522448089695,9.09155,-0.179621307832841,3.95519196987335,-164.952850051575,-188.11890688395
"3","2010_Q4",333.94921875,"Up",80659000,-50444000,30215000,-19775000,-12881000,-6421000,10440000,388000,195000,193000,10828000,0,10828000,-5649000,5179000,5179000,5179000,5179000,135163554.371957,-29453272.1210094,-67737416.9629879,-67737416.9629879,36974849.0254885,40411190.0604077,29865898.364122,7035828.33680426,144812176.494865,59138563.0691094,112780605.396137,7316639.67859434,2404906.3291377,43706261.8267196,165440352.443475,310252528.93834,146344832.129617,146344832.118297,-4942494.74437492,5822140.02529992,141401979.079105,12930945.7571835,7037869.99705037,238839.84129011,12927604.9672274,154329584.046333,509886547.897712,-451402459.632373,97430469.1041177,155922944.892007,155922944.892007,310252528.93834,5179000,2454000,3657000,-34114000,-22824000,-6008000,2777000,-24378000,1980000,-45222000,-45222000,-1147000,-46369000,12894000,0,-21579000,0.3746,0.12943,0.06421,-0.0635226406171372,-0.0365611117322708,-4.16663,0.810150933972022,0.586292000602477,-1.37223459573804e-05,1.09435,1.12948,17.04363,32.7703650636768,-4.55975,-0.0629037692776136,1.30104732329112,-53.9274400171918,-62.6386356279832
"4","2011_Q1",267.732258064516,"Down",87624000,-54479000,33145000,-21645000,-13968000,-7228000,11500000,121000,160000,-39000,11621000,0,11621000,-6684000,4937000,4937000,4937000,4937000,142063000,87594000,57290000,57290000,35858000,27783000,20294000,5713000,262994000,64315000,65533000,7770000,3043000,18024000,137190000,400184000,84319000,84319000,20441000,19970000,104760000,14459000,13302000,380000,14459000,119219000,698865000,-410889000,-7011000,280965000,280965000,400184000,4937000,2631000,1619000,32630000,41817000,-8465000,-112000,-3712000,12955000,51060000,51060000,-3849000,47211000,14131000,0,44980000,0.37826,0.13124,0.05634,0.01757,0.01234,9.1108,2.51044,0.42432,0,0.98032,0.98032,17.39918,55.79019,8.93151,0.01671,0.15226,-10.05329,-12.3533
"5","2011_Q2",110.619682539683,"Down",97209000,-58224000,38985000,-22904000,-15183000,-7335000,16081000,346000,175000,171000,16427000,-10034583.5781465,16427000,-7257000,9170000,9170000,9170000,9170000,109476000,64844000,90212000,90212000,41022000,23602000,16315000,5265000,264312000,70191000,69569000,8016000,3652000,19967000,145721000,410033000,79113000,79113000,28632000,25272000,107745000,16323000,15241000,422000,16323000,124068000,707196000,-401719000,-19512000,285965000,285965000,410033000,9170000,2654000,6882000,-37185000,-18479000,-9415000,246000,-41000,561000,-17959000,-17959000,-4791000,-22750000,18735000,0,-20608000,0.40104,0.16543,0.09433,0.03207,0.02236,-2.24733,2.45313,0.43386,0,1.80836,1.80836,19.16997,56.39334,-4.06397,0.03034,-0.0681700000000001,-5.84339,-6.80779
"6","2011_Q3",65.85,"Down",98074000,-59416000,38658000,-25579000,-17346000,-7857000,13079000,2639000,192000,2447000,15718000,-26762782.1377703,15718000,-7880000,7838000,7838000,7838000,7838000,121833000,52615000,96042000,96042000,45241000,29958000,21357000,5484000,293074000,78160000,90101000,7966000,4121000,30506000,172161000,465235000,94184000,94184000,26693000,25113000,120877000,18780000,16433000,418000,18780000,139657000,718867000,-391732000,-1557000,325578000,325578000,465235000,7838000,2774000,2445000,3544000,16601000,-10150000,-175000,-37254000,1012999.99999999,-19640000,-19640000,7411000,-12229000,15853000,2.27373675443232e-13,17127000,0.39417,0.13336,0.07992,0.02407,0.01685,2.18512,2.42456,0.42895,0,1.54526,1.54526,19.33521,64.18745,3.37657,0.02276,0.04974,-7.68517,-9.31516
"7","2011_Q4",40.2507936507937,"Down",31570000,-31527000,43000,-23005000,-14195000,-8418000,-22962000,2309000,182000,2127000,-20653000,-42598339.628509,-20653000,2495000,-18158000,-18158000,-18158000,-18158000,242931000,169021000,121376000,121376000,40841000,45303000,36230000,5433000,450451000,89131000,88698000,7546000,4471000,30245000,189990000,640441000,95806000,95806000,24490000,21837000,120296000,20174000,18299000,429000,20174000,140470000,883604000,-375728000,-7905000,499971000,499971000,640441000,-18158000,2562000,2349000,-917000,-14164000,-13126000,149000,-27477000,161016000,119375000,119375000,-2971000,116404000,-20400000,0,-36938000,0.00136,-0.72734,-0.57517,-0.03632,-0.02835,2.03425,3.74452,0.28096,0,-3.56494,-3.56494,6.1981,98.15863,-7.25199,-0.03491,-0.07101,11.90838,10.5797
"8","2012_Q1",45.2846774193548,"Up",59750000,-159016000,-99266000,-34960000,-25658000,-8907000,-134226000,2358000,281000,2077000,-131868000,-49955000,-181823000,-3311000,-185134000,-185134000,-185134000,-185134000,239909000,123783000,15259000,15259000,25828000,38809000,32759000,5566000,319805000,96494000,24910000,7054000,5840000,12016000,121404000,441209000,90273000,90273000,54907000,10304000,145180000,3174000,2181000,509000,3174000,148354000,886211000,-597173000,3817000,292855000,292855000,441209000,-185134000,3310000,166302000,8743000,-6779000.00000001,-10685000,1163000,-40061000,468000,-46372000,-46372000,1136000,-45236000,-130916000,-3.63797880709171e-12,-129547000,-1.66136,-2.24646,-3.09848,-0.63217,-0.41961,0.69975,2.20282,0.50658,0,-36.30007,-36.30007,11.71546,57.42142,-25.40087,-0.62539,-0.43762,1.83254,1.78735
"9","2012_Q2",40.2460317460317,"Down",9058000,-16955000,-7897000,-30430000,-21990000,-8136000,-38327000,807000,241000,566000,-37520000,-43242181.5539072,-37520000,-159000,-37679000,-37679000,-37679000,-37679000,156779000,130885000,11652000,11652000,31068000,66624000,39073000,27067000,266123000,98615000,28924000,6650000,5840000,16434000,127539000,393662000,66395000,66395000,64449000,13676000,130844000,3077000,2063000,530000,3077000,133921000,889903000,-634852000,4961000,259741000,259741000,393662000,-37679000,3242000,5777000,-29114000,-57774000,-4738000,-24509000,59753000,4376000,6355000,6355000,747000,7102000,-35085000,0,-68778000,-0.87183,-4.23129,-4.15975,-0.14506,-0.0957100000000001,1.82537,2.0339,0.51559,-5.42101086242752e-20,-7.36047,-7.36047,1.76945,50.73958,-13.43556,-0.14337,-0.26169,4.46855,4.09056
"10","2012_Q3",40.915873015873,"Up",20800000,-21937000,-1136999.99999999,-25135000,-17560000,-7275000,-26272000,356000,2000,354000,-25916000,-24852000,-50768000,-941000,-51709000,-51709000,-51709000,-51709000,98889000,93511000,18150000,18150000,31284000,53727000,44982000,8261000,202050000,97509000,26169000,6391000,5840000,13938000,123678000,325728000,59609000,59609000,54492000,14196000,114101000,3400000,1904000,1012000,3400000,117501000,892360000,-686561000,2699000,208227000,208227000,325728000,-51709000,3428000,26907000,-27748000,-49122000,-3333000,-462000,16475000,-4496999.99999999,-37144000,-37144000,-230000,-37374000,-22844000,0,-52984000,-0.0546599999999999,-1.26308,-2.48601,-0.24833,-0.15875,1.02466,1.7708,0.56429,0,-9.96185,-9.96185,4.00717,40.1154,-10.20749,-0.24434,-0.25037,4.32888,3.76405
