"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_affiliates_net_of_taxes","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","pension_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","net_income_2","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","decrease_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",17.3388888888889,"Down",192800000,-139300000,53500000,-18900000,-16900000,-2e+06,34600000,-1500000,-4e+05,-1100000,33100000,-3600000,29500000,-10300000,6e+05,19800000,18600000,18600000,18600000,-108918650.838605,-108918650.838605,315722258.134346,315722258.134346,114240821.628312,-62658856.1608476,-86378964.1841897,258385572.763206,636124364.145941,629303972.082943,11104845.7084713,558789548.348812,1331039056.9105,1589424629.6737,521416852.224891,141264665.840769,381378330.193431,27589185.9740874,424055679.347989,384766498.399704,309006490.262682,119830152.461406,192004442.481597,-2828104.68032032,693772988.662387,1117828668.01038,289218182.77425,494949417.340432,477179728.392496,471595961.663326,471595961.663326,1589424629.6737,19800000,18600000,1e+07,3800000,5200000,31400000,-9900000,-9900000,4e+05,-9500000,-2700000,-8300000,5e+05,-6e+05,-9500000,12400000,12400000,6e+05,1.3e+07,44600000,0,50200000,0.27749,0.17946,0.09647,0.468664056045016,0.23298193981896,2.69892,-0.644323880881442,2.19966014719905,0.218275229706024,0.52224,0.51199,5.41336,-20.5074128764846,1.40949,0.07581,0.284723773402827,1.27563023924442,0.14516,6.19204660063745,5.33037610791132
"2","2010_Q3",17.0759375,"Down",182600000,-137300000,45300000,-17400000,-15300000,-2100000,27900000,-8e+05,-6e+05,-2e+05,27100000,-2900000,24200000,-9100000,7e+05,15800000,14800000,14800000,14800000,13540674.5806977,13540674.5806977,189261129.067173,189261129.067173,102020410.814156,-28329428.0804238,-41039482.0920949,276492786.381603,495612182.07297,311501986.041471,9502422.85423567,264494774.174406,847069528.455248,1123562314.83685,346458426.112446,105032332.920384,242039165.096716,15694592.9870437,305377839.673994,134133249.199852,182653245.131341,75215076.2307028,95452221.2407985,11985947.6598398,316786494.331193,622164334.005188,247659091.387125,394624708.670216,181939864.196248,501397980.831663,501397980.831663,1123562314.83685,15800000,14800000,9900000,6700000,1.5e+07,43300000,-15900000,-15900000,-4500000,-20400000,-2700000,2400000,-2e+05,-2e+05,-4e+05,22500000,22500000,-5e+05,2.2e+07,37800000,0,4.6e+07,0.24808,0.15279,0.08105,0.211732028022508,0.10753096990948,3.10811,0.437468059559279,1.21839007359953,0.0694776148530122,0.41526,0.40799,5.1234,-0.451966438242293,1.29067,0.07576,0.135111886701414,0.605100119622212,0.18243,0.354228300318723,-0.854216946044337
"3","2010_Q4",20.35453125,"Up",1.82e+08,-132500000,49500000,-18100000,-1.6e+07,-2100000,31400000,4e+05,-4e+05,8e+05,31800000,-7e+05,31100000,-10700000,8e+05,21200000,18200000,18200000,18200000,72513558.1935659,72513558.1935659,122553709.689058,122553709.689058,104140136.938052,-3609809.36014127,-11313160.697365,295597595.460534,440804060.69099,141633995.347157,8867474.28474522,110931591.391469,608223176.151749,903820771.612284,237219475.370815,80910777.6401281,156513055.032239,10131530.9956812,229725946.557998,37111083.0666174,118117748.377114,53105025.4102343,45884073.7469328,19128649.2199466,155228831.443731,384954778.001729,222753030.462375,346541569.556739,39879954.7320827,518865993.610554,518865993.610554,903820771.612284,21200000,18200000,9700000,5600000,1900000,30500000,-19900000,-19900000,-3800000,-23700000,-2700000,1e+06,-17700000,-18200000,-19200000,-12400000,-12400000,1200000,-11200000,41100000,0,33800000,0.27198,0.17253,0.1,0.075254009340836,0.04054032330316,1.85714,1.18927601985309,0.742683357866509,0.0296625382843374,0.51584,0.50545,5.15844,10.5598645205859,0.958,0.07653,0.0545472955671379,0.216496706540737,0.14835,-1.55712056656043,-2.49205231534811
"4","2011_Q1",18.5345161290323,"Down",169900000,-1.23e+08,46900000,-18400000,-16100000,-2300000,28500000,5e+05,-3e+05,8e+05,2.9e+07,-4400000,24600000,-9600000,1100000,16100000,13700000,13700000,13700000,87300000,87300000,98900000,98900000,113800000,12800000,5700000,312800000,440800000,76300000,8800000,55700000,537600000,850400000,1.78e+08,66400000,111600000,8700000,186700000,43100000,96400000,46300000,28900000,21200000,139500000,326200000,210700000,336400000,1500000,524200000,524200000,850400000,16100000,13700000,1e+07,6400000,6700000,35900000,-2.8e+07,-2.8e+07,4e+05,-27600000,-2700000,99999.9999999981,6e+05,7.45058059692383e-09,-1700000,6600000,6600000,0,6600000,38500000,51800000,26800000,0.27604,0.16775,0.08064,0.02614,0.01611,1.9562,1.67542,0.62228,0.06091,0.39193,0.38285,4.86045,14.99617,0.76669,0.07724,0.02439,0.03986,0.19708,-0.92208,-1.24561
"5","2011_Q2",16.6296825396825,"Down",180700000,-133500000,47200000,-19800000,-17800000,-2e+06,27400000,2e+05,0,2e+05,27600000,-1e+06,26600000,-10900000,9e+05,16600000,16200000,16200000,16200000,77200000,77200000,101600000,101600000,124200000,22200000,12900000,325200000,464700000,72100000,8900000,56400000,558300000,883500000,153100000,5.9e+07,94100000,9200000,165900000,101500000,98500000,47600000,30100000,20800000,2e+08,365900000,207700000,349900000,17300000,517600000,517600000,883500000,16600000,16200000,10700000,-7700000,-17500000,-2e+05,-27700000,-27700000,1200000,-26500000,-2700000,56100000,-45800000,-45800000,16600000,-10100000,-10100000,0,-10100000,38100000,110700000,3800000,0.26121,0.15163,0.08965,0.0313,0.01834,0.23457,1.96022,0.70692,0.1253,0.47965,0.47638,5.35014,15.32504,0.11251,0.07994,0.026,0.00522999999999999,0.16667,0.87927,1.22263
"6","2011_Q3",18.7421875,"Up",206200000,-151100000,55100000,-22800000,-20400000,-2400000,32300000,-8e+05,-7e+05,-1e+05,31500000,-7e+05,30800000,-11600000,1100000,20300000,19800000,19800000,19800000,62100000,62100000,113500000,113500000,125800000,25200000,13900000,326600000,474700000,79200000,8700000,63300000,579400000,9.06e+08,147100000,56800000,90300000,8700000,156900000,157300000,1.02e+08,47900000,32900000,21200000,259300000,416200000,208700000,367100000,29800000,489800000,489800000,9.06e+08,20300000,19800000,10800000,-3900000,-14500000,12400000,-14400000,-14400000,-3600000,-20500000,-2600000,54100000,-58600000,-58700000,-7100000,-15200000,-15200000,99999.9999999999,-15100000,43100000,1.66e+08,25800000,0.26722,0.15664,0.09602,0.04042,0.02185,1.30303,2.08158,0.84973,0.18322,0.56799,0.56461,5.91516,14.05065,0.74011,0.07458,0.02956,0.03405,0.13131,2.41067,3.21672
"7","2011_Q4",21.7669841269841,"Up",211200000,-154900000,56300000,-22600000,-20300000,-2300000,33700000,-2200000,-1100000,-1100000,31500000,-22500000,9e+06,-9e+05,1400000,9500000,9e+06,9e+06,9e+06,61300000,61300000,117900000,117900000,111800000,23100000,11600000,314100000,439900000,54200000,7800000,3.4e+07,5.24e+08,838100000,144300000,57300000,8.7e+07,5e+06,149300000,159900000,87900000,4e+07,22900000,2.5e+07,247800000,397100000,209900000,373700000,-10500000,4.41e+08,4.41e+08,838100000,9500000,9e+06,11500000,3600000,2800000,25700000,-9800000,-9800000,3900000,-8700000,-2400000,2300000,-16200000,-16400000,-16200000,8e+05,8e+05,-1600000,-8e+05,45200000,164900000,39100000,0.26657,0.15956,0.04261,0.02041,0.01074,4.34444,2.10382,0.90045,0.19675,0.27839,0.27578,6.53287,13.64109,1.20945,0.07424,0.01643,0.05636,0.26667,2.29204,3.07418
"8","2012_Q1",22.8453225806452,"Up",190200000,-105800000,84400000,-22800000,-20300000,-2500000,61600000,-2100000,-5e+05,-1600000,59500000,-5700000,53800000,-9400000,1300000,45700000,47600000,47600000,47600000,76500000,76500000,112300000,112300000,113800000,24400000,3300000,3.27e+08,428800000,50700000,7100000,31800000,518200000,845200000,135800000,53700000,82100000,5e+06,140800000,1.41e+08,87500000,42300000,19800000,25400000,228500000,369300000,215500000,4.17e+08,-24500000,475900000,475900000,845200000,45700000,47600000,9100000,-9700000,4100000,43600000,-9e+06,-9e+06,-500000.000000001,-16400000,-2400000,-1.2e+07,1900000,0,-11600000,15600000,15600000,-4e+05,15200000,70700000,1.46e+08,75200000,0.44374,0.32387,0.25026,0.10002,0.05632,1.57983,2.32244,0.776,0.17274,1.48947,1.47654,5.95164,14.89161,2.35312,0.0751,0.07048,0.10601,0.0504199999999999,0.98303,1.12825
"9","2012_Q2",22.1804761904762,"Down",1.95e+08,-130700000,64300000,-20400000,-18200000,-2200000,43900000,-6e+05,-9e+05,3e+05,43300000,-18700000,24600000,-8e+06,5e+05,17100000,14600000,14600000,14600000,85300000,85300000,110500000,110500000,122100000,22400000,4500000,340300000,420400000,56200000,7e+06,33500000,520300000,860600000,138400000,54800000,78400000,3300000,141700000,144200000,92600000,44500000,23100000,2.5e+07,236800000,378500000,2.12e+08,431100000,-10700000,482100000,482100000,860600000,17100000,14600000,9800000,17100000,5300000,48400000,-7800000,-7800000,-4200000,-16500000,-2400000,5e+05,-21500000,-21600000,-23300000,8600000,8600000,2e+05,8800000,53700000,147500000,59200000,0.32974,0.22513,0.07487,0.03028,0.01696,4.05479,2.40155,0.78511,0.17139,0.45989,0.45543,6.14231,15.18569,1.86474,0.0756,0.02354,0.08197,0.16438,1.15829,1.41686
"10","2012_Q3",22.0198412698413,"Down",192900000,-129300000,63600000,-20700000,-18100000,-2600000,42900000,-1600000,-9e+05,-7e+05,41300000,-5300000,3.6e+07,-12900000,4e+05,23500000,2.1e+07,2.1e+07,2.1e+07,88500000,88500000,106600000,106600000,120600000,21100000,4100000,336800000,396600000,51900000,6300000,29800000,505400000,842200000,122700000,49500000,73200000,3200000,125900000,170900000,93300000,4.3e+07,24300000,2.6e+07,264200000,390100000,213500000,449700000,-36700000,452100000,452100000,842200000,23500000,2.1e+07,9500000,11800000,-16800000,26600000,-6200000,-6200000,-3200000,-25800000,-2400000,2.9e+07,-24100000,-24100000,2500000.00000001,3300000,3300000,-4e+05,2900000,52400000,174100000,42300000,0.3297,0.2224,0.10886,0.04645,0.02493,2.01429,2.67514,0.86286,0.20672,0.67983,0.67209,6.2447,14.63571,1.36937,0.07769,0.03252,0.05879,0.11429,1.63359,1.99534
