"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","depreciation_amortization","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q4",9.79984375,"Up",28221000,-7595000,20626000,-16490000,-12467000,-3940000,-83000,4136000,73000,73000,4209000,4209000,-1444000,2765000,2765000,2765000,2765000,45956718.6670406,45956718.6670406,19092297.1654172,19092297.1654172,5333544.46633809,3257860.21769802,70382560.2987959,10884954.8393574,32469792.3825436,1639868.14523633,23866343.2881115,5088319.02061986,1875261.92857583,43354747.2219009,113737307.520697,13505953.6122931,429066.411480198,13076887.2008129,7661911.42626182,7661911.42626182,21167865.0385549,2039449.37273,1289410.53702193,2039449.37273,23207314.4112849,195313554.138005,-104666993.341732,-116567.686658913,90529993.1094119,90529993.1094119,113737307.520697,2765000,1553000,2049000,-2261000,4106000,-3638000,-3733000,-2867000,783000,-2788000,-2415000,-2415000,-67000,-2482000,5689000,0,1234000,0.73087,0.14656,0.09798,0.0384741577720425,0.0307322084201871,0.44629,3.62435399856195,0.260789496607903,3.56869930308796e-18,0.05425,0.05197,0.55368,1.84823983344494,0.02421,0.0376006976978257,0.033102718568711,10.4299058837896,24.4527257993401
"2","2011_Q1",11.0961290322581,"Up",29935000,-8235000,21700000,-17603000,-13336000,-4257000,-10000,4097000,-43000,-43000,4054000,4054000,-1312000,2742000,2742000,2742000,2742000,61336000,61336000,16491000,16491000,7870000,6341000,85697000,12762000,32684000,2124000,24015000,3876000,2669000,45446000,131143000,18527000,6416000,12111000,5570000,5570000,24097000,2403000,1890000,2403000,26500000,205115000,-100173000,-299000,104643000,104643000,131143000,2742000,1903000,2653000,583999.999999999,7882000,-2025000,-2025000,3856000,3855000,5140000,10997000,10997000,-18000,10979000,6e+06,0,5871000,0.7249,0.13686,0.0916,0.0262,0.02091,2.14114,3.55633,0.25324,0,0.05361,0.05191,0.58523,2.04576,0.11478,0.02562,0.05485,-10.22267,-14.97095
"3","2011_Q2",12.0638095238095,"Up",30382000,-8095000,22287000,-17208000,-12820000,-4377000,-11000,5079000,170000,170000,5249000,5249000,-2018000,3231000,3231000,3231000,3231000,69320593.7776531,69320593.7776531,16423567.6115276,16423567.6115276,7661485.1778873,6434796.59410066,93405646.567068,13444765.0535475,32584485.8724855,2013127.28492122,24083302.2372962,3719976.99312671,2768079.35714139,46029250.926033,139434897.493101,18724682.1292356,7808144.5295066,10916537.599729,5110529.52457939,5110529.52457939,23835211.653815,2594433.54242333,1994029.82099269,2594433.54242333,26429645.1962384,210501481.953998,-97147835.552756,-348394.104447029,113005252.296863,113005252.296863,139434897.493101,3231000,1634000,2133000,-2479000,4519000,-2293000,-2368000,3416000,3416000,3636000,5787000,5787000,-4000,5783000,6713000,0,3959000,0.73356,0.16717,0.10635,0.0198944474093192,0.0160834305266043,1.22532,3.88986783381268,0.233424334464032,-1.18956643436265e-18,0.06204,0.05895,0.58337,2.16471505551835,0.07602,0.0194589341007248,0.055357427143763,-16.9459894612632,-27.4156227664467
"4","2011_Q3",11.8071875,"Down",31852000,-8685000,23167000,-19792000,-14765000,-5016000,-11000,3375000,223000,223000,3598000,3598000,-1401000,2197000,2197000,2197000,2197000,74378000,74378000,17747000,17747000,6325000,5123000,98450000,13456000,32091000,1489000,24090000,4018000,2494000,45547000,143997000,16914000,6914000,1e+07,5555000,5555000,22469000,2647000,1819000,2647000,25116000,213953000,-94745000,-327000,118881000,118881000,143997000,2197000,1591000,2021000,1482000,7291000,-2004000,-2004000,1662000,1662000,1987000,7274000,7274000,-15000,7259000,4966000,5.16987882845642e-26,5845000,0.72733,0.10596,0.06898,0.01848,0.01526,2.66045,4.38159,0.21127,0,0.04166,0.03962,0.60395,2.25413,0.11083,0.01808,0.0481,-14.97745,-22.03793
"5","2011_Q4",12.1561904761905,"Up",34347000,-8368000,25979000,-20873000,-15598000,-5265000,-10000,5106000,-763000,-763000,4343000,4343000,-1609000,2734000,2734000,2734000,2734000,80862000,80862000,19695000,19695000,5851000,4279000,106408000,13440000,31334000,1171000,24090000,3891000,2182000,44774000,151182000,16566000,6326000,10240000,5851000,5851000,22417000,2680000,1599000,2680000,25097000,218398000,-92011000,-302000,126085000,126085000,151182000,2734000,1704000,1922000,-723000,5637000,-1859000,-1859000,1808000,1808000,2710000,6488000,6488000,-4000,6484000,6810000,0,5837000,0.75637,0.14866,0.0796,0.02168,0.01808,2.13497,4.74675,0.19905,0,0.05148,0.04929,0.64673,2.3741,0.10991,0.02123,0.04533,-11.87401,-15.83666
"6","2012_Q1",14.3453225806452,"Up",36508000,-8047000,28461000,-22386000,-16745000,-5564000,-77000,6075000,-115000,-115000,5960000,5960000,-2084000,3876000,3876000,3876000,3876000,93278000,93278000,20999000,20999000,7732000,5390000,122009000,13879000,30163000,1095000,24090000,2829000,2149000,44042000,166051000,20277000,8258000,12019000,5378000,5378000,25655000,2698000,1546000,2698000,28353000,226167000,-88135000,-334000,137698000,137698000,166051000,3876000,1634000,2243000,-126000,7627000,-1112000,-1112000,3394000,3394000,5948000,12463000,12463000,-47000,12416000,7709000,4.13590306276514e-25,8555000,0.77958,0.1664,0.10617,0.02815,0.02334,2.20717,4.75576,0.20591,-7.70371977754894e-34,0.07234,0.07136,0.68137,2.56996,0.15967,0.02761,0.06093,-12.09988,-15.3544
"7","2012_Q2",16.7820634920635,"Up",36759000,-7923000,28836000,-23948000,-17214000,-6657000,-77000,4888000,347000,347000,5235000,5235000,-2112000,3123000,3123000,3123000,3123000,107889000,107889000,17780000,17780000,8294000,5869000,133963000,13415000,30820000,1018000,24090000,3380000,2332000,44235000,178198000,21501000,9694000,11807000,6475000,6475000,27976000,2542000,1563000,2542000,30518000,233039000,-85012000,-347000,147680000,147680000,178198000,3123000,1628000,1620000,5258000,11629000,-1730000,-1730000,4109000,4109000,4717000,14616000,14616000,-5000,14611000,6516000,0,12156000,0.78446,0.13297,0.08496,0.02115,0.01753,3.89241,4.7885,0.20665,0,0.05739,0.05538,0.67547,2.71373,0.22338,0.02079,0.08092,-16.55755,-22.07222
"8","2012_Q3",17.5374603174603,"Up",38505000,-8491000,30014000,-29590000,-22360000,-7220000,-10000,424000,-234000,-234000,190000,190000,-49999.9999999998,140000,140000,140000,140000,100576000,100576000,19591000,19591000,9634000,7178000,129801000,13327000,44570000,14625000,25249000,2374000,2322000,57897000,187698000,23424000,9364000,14060000,4342000,4342000,27766000,4417000,1554000,4417000,32183000,240676000,-84872000,-289000,155515000,155515000,187698000,140000,1701000,2607000,-1810000,2638000,-1240000,-13015000,2464000,2464000,3012000,-7365000,-7365000,52000,-7313000,2125000,0,-875000.000000002,0.77948,0.01101,0.00363999999999999,0.000900000000000001,0.000749999999999997,-6.25,4.67482,0.20694,1.23259516440783e-32,0.00254000000000001,0.00246,0.69814,2.81968,-0.01586,0.000879999999999999,-0.00547,-47.32988,-237.20755
"9","2012_Q4",14.3454838709677,"Down",39670000,-9036000,30634000,-28045000,-20030000,-8004000,-11000,2589000,42000,42000,2631000,2631000,-1031000,1600000,1600000,1600000,1600000,103284000,103284000,22825000,22825000,9509000,6921000,135618000,16124000,44791000,12367000,26572000,3621000,2231000,60915000,196533000,23964000,9908000,14056000,6752000,6752000,30716000,2617000,1465000,2617000,33333000,246962000,-83272000,-490000,163200000,163200000,196533000,1600000,1841000,2408000,-2450000,3399000,-3949000,-3949000,1984000,1984000,3435000,2885000,2885000,-177000,2708000,4430000,0,-938000,0.77222,0.06526,0.04033,0.0098,0.00814,-0.58625,4.41522,0.20425,0,0.02873,0.02775,0.71236,2.9306,-0.01684,0.00965,-0.00566,-23.31467,-39.8934
"10","2013_Q1",13.8868333333333,"Down",42475000,-10129000,32346000,-29906000,-21616000,-8170000,-120000,2440000,221000,221000,2661000,2661000,-1169000,1492000,1492000,1492000,1492000,103339000,103339000,23830000,23830000,8985000,6369000,136154000,17495000,54927000,15681000,32645000,4183000,2418000,72422000,208576000,29036000,11125000,17911000,6525000,6525000,35561000,2772000,1509000,2772000,38333000,252376000,-81780000,-353000,170243000,170243000,208576000,1492000,2159000,1809000,4883000,10343000,-4302000,-12767000,849000,849000,2346000,-77999.9999999981,-77999.9999999981,133000,55000,4599000,-1.05879118406788e-22,6349000,0.76153,0.05745,0.03513,0.00876,0.00715,4.25536,3.82874,0.22517,-1.97215226305253e-31,0.02669,0.02592,0.75972,3.045,0.11356,0.00862,0.0367,-22.46988,-42.35205
"11","2013_Q2",10.7725,"Down",42496000,-10134000,32362000,-32961000,-24716000,-8021000,-224000,-599000,34000,34000,-565000,-565000,333000,-232000,-232000,-232000,-232000,94833000,94833000,24601000,24601000,11445000,8918000,130879000,18159000,54433000,15313000,32724000,4005000,2391000,72592000,203471000,26951000,10737000,16214000,6746000,6746000,33697000,2760000,1498000,2760000,36457000,249339000,-82012000,-313000,167014000,167014000,203471000,-232000,2050000,3821000,-6295000,-656000,-1664000,-1714000,-6081000,1347000,-6081000,-8451000,-8451000,-55000,-8506000,1451000,0,-6841000,0.76153,-0.0141,-0.00546,-0.00139,-0.00114,29.48707,3.884,0.21829,0,-0.00415,-0.00415,0.7607,2.98965,-0.12246,-0.00137,-0.04029,-65.357,158.31886
"12","2013_Q3",9.7303125,"Down",43229000,-10612000,32617000,-34604000,-25333000,-9047000,-224000,-1987000,21000,21000,-1966000,-1966000,137000,-1829000,-1829000,-1829000,-1829000,74952000,74952000,26739000,26739000,11102000,7343000,112793000,17517000,54291000,14847000,32724000,4397000,2323000,71808000,184601000,25970000,6960000,19010000,6052000,6052000,32022000,2906000,1423000,2906000,34928000,234254000,-83841000,-740000,149673000,149673000,184601000,-1829000,1998000,1841000,-675000,1335000,-2997000,-3076000,-18127000,971000,-17992000,-19733000,-19733000,-148000,-19881000,11000,-1.6940658945086e-21,-3798000,0.75452,-0.04596,-0.04231,-0.01222,-0.00991,2.07654,3.52236,0.23336,-3.15544362088405e-30,-0.03338,-0.03338,0.78884,2.73122,-0.06931,-0.01199,-0.02489,-6813.81818,37.72119
"13","2013_Q4",11.0684375,"Up",45192000,-10596000,34596000,-35897000,-25650000,-10023000,-224000,-1301000,209000,209000,-1092000,-1092000,362000,-730000,-730000,-730000,-730000,77379000,77379000,32726000,32726000,11080000,7049000,121185000,18183000,53962000,14156000,32724000,4755000,2327000,72145000,193330000,29556000,9209000,20347000,6779000,6779000,36335000,2667000,1397000,2667000,39002000,239281000,-84571000,-382000,154328000,154328000,193330000,-730000,2002000,3962000,-2265000,2969000,-1977000,-1977000,1229000,1419000,1229000,2221000,2221000,206000,2427000,701000,0,-3903000,0.76553,-0.02879,-0.01615,-0.00473,-0.00378,5.34658,3.33521,0.25272,0,-0.01351,-0.01351,0.83639,2.85623,-0.07223,-0.00465,-0.02486,-110.38374,59.47656
"14","2014_Q1",13.3422950819672,"Up",46888000,-11213000,35675000,-36262000,-26757000,-9306000,-199000,-587000,73000,73000,-514000,-514000,-194000,-708000,-708000,-708000,-708000,91906000,91906000,29489000,29489000,11787000,6361000,133182000,17618000,54290000,13088000,32724000,6243000,2235000,71908000,205090000,35558000,10139000,25419000,8747000,8747000,44305000,1732000,1264000,1732000,46037000,244675000,-85279000,-343000,159053000,159053000,205090000,-708000,2040000,1107000,10871000,13310000,-1406000,-1407000,2577000,2576000,2635000,14538000,14538000,-11000,14527000,1453000,2.71050543121376e-20,11112000,0.76086,-0.01252,-0.0151,-0.00445,-0.00345,-15.69492,3.00603,0.28944,-5.04870979341448e-29,-0.01306,-0.01306,0.86503,2.93434,0.205,-0.0044,0.06911,-63.252580000001,156.56899
"15","2014_Q2",9.95412698412698,"Down",47828000,-11735000,36093000,-37035000,-27894000,-8951000,-190000,-942000,-83000,-83000,-1025000,-1025000,231000,-794000,-794000,-794000,-794000,79373000,79373000,28936000,28936000,13723000,9363000,122032000,17481000,57103000,12130000,33124000,6897000,4952000,74584000,196616000,32161000,11686000,20475000,7620000,7620000,39781000,850000,850000,850000,40631000,242261000,-86073000,-203000,155985000,155985000,196616000,-794000,1981000,3950000,-8136000,-2999000,-1456000,-4755000,-4863000,2978000,-4863000,-12617000,-12617000,84000,-12533000,1039000,0,-8784000,0.75464,-0.0197,-0.0166,-0.00509,-0.00404,11.06297,3.0676,0.26048,0,-0.01452,-0.01452,0.8749,2.85339,-0.16068,-0.00506,-0.05601,-76.39365,84.26008
