"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","total_current_liabilities","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","decrease_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2011_Q1",12.2867741935484,"Up",12298310,-6619812,-1241037,-3223625,-1986402,5273691,5273691,4680446,-1644000,3036446,3036446,3036446,3036446,5597258,5597258,9063002,9063002,2698425,1216898,17358685,86218548,218201797,-131983249,87766154,105124839,6905724,5062806,7259824,26505146,22552650,3952496,26505146,33764970,1956889,-4196753,73599733,71359869,71359869,105124839,3036446,3223625,1253219,58045,7571335,-3119401,-3270268,-582060,0,-291383,-291383,-873443,3427624,3427624,3427624,8497316,0,7079960,0.42881,0.2469,0.04255,0.02888,2.33166,2.39106,0.47316,0,0.18026,0.18026,0.7301,4.23632,0.42031,0.03455,0.03697,0.07234,0.19169,-0.65871,-1.06135
"2","2011_Q2",12.6584126984127,"Up",9901548,-7554055,-1639997,-3434811,-2192143,2002849,2002849,2002849,-576000,1426849,1426849,1426849,1426849,7636836.74350863,7636836.74350863,7911314.31207657,7911314.31207657,2864705.42772821,1168272.22854721,18412856.4833134,95247474.0654431,231192644.672259,-135945170.606816,96582516.2398885,114995372.723202,4906418.49333483,5190993.90723104,7285811.98821126,26916959.0455169,22996762.3435198,3990670.76972767,36822486.3972975,44108298.3855087,2064849.12865641,-5796597.17099413,74618822.3800309,70887074.3376932,70887074.3376932,114995372.723202,1426849,3434811,700662,3017342,8579664,-6569870,-6396256,-581675,37541475.7392995,-576813,-576813,-1158488,1024920,1024920,1024920,5437660,0,2461132,0.20228,0.1441,0.0487111606873554,0.0305268546102508,1.72487,2.54866989258162,0.60883539393096,0.0773434071527331,0.08471,0.08471,0.58781,4.21706383340791,0.14611,0.03453,0.0380776503911829,0.0076463059931,0.40766,-0.00815211346983702,-0.553565922274555
"3","2011_Q3",13.2690625,"Up",10977459,-7455759,-1465941,-3631385,-2068080,3099272,3099272,2271253,-499000,1772253,1772253,1772253,1772253,7323981.64350863,7323981.64350863,7903459.71207657,7903459.71207657,2334383.62772821,784801.028547215,17561824.9833134,94493145.5654431,233829996.472259,-139336850.906816,96005894.7398885,113567719.723202,4811829.09333483,5472060.40723104,7024527.78821126,27683757.7455169,23602462.3435198,4125074.96972767,34684810.8972975,41709338.6855088,2085745.92865641,-6247529.27099413,76020164.3800309,71858381.0376932,71858381.0376932,113567719.723202,1772253,3631385,1392152,-1794119,5001671,-4495117,-4466014,-581654,50827944.2518063,-688152,-688152,-1269806,-734149,-734149,-734149,6730657,0,940421,0.28233,0.16144,0.0446111606873554,0.0283978546102508,0.53064,2.51595689258162,0.57225239393096,0.0546534071527331,0.10521,0.10521,0.65168,4.27923883340791,0.05583,0.03453,0.0357606503911829,-0.0015636940069,0.3282,-0.302824113469837,-1.15922592227456
"4","2011_Q4",14.09,"Up",11688417,-7725636,-1423219,-3716460,-2167902,3694356,3694356,3691429,-1041000,2650429,2650429,2650429,2650429,5623125,5623125,8409724,8409724,1534194,362575,15567043,91414203,234005117,-142590914,93254339,108821382,5558643,5558643,6540326,28560357,24235650,4303397,28560357,35100683,2062553,-6048043,77706189,73720699,73720699,108821382,2650429,3716460,1393008,-649543,7110354,-5993210,-6209187,-579746,46795911.9946635,-586325,-586325,-1166071,-264904,-264904,-264904,7410816,-1.16415321826935e-10,1809063,0.31607,0.22676,0.03595,0.02436,0.68255,2.38016,0.47613,-8.32667268468867e-17,0.15788,0.15788,0.69625,4.39133,0.10776,0.03453,0.03158,0.01769,0.21874,-0.75877,-1.52209
"5","2012_Q1",13.1051612903226,"Down",12409227,-7370372,-1465506,-3929532,-1945304,4617597,4617597,3720381,-1076000,2644381,2644381,2644381,2644381,3506999,3506999,8811404,8811404,942655,319080,13261058,96135963,242283477,-146147514,98163135,111424193,5939862,4899593,5946962,29340497,24777650,4509458,29340497,35287459,2065031,-5699860,79771563,76136734,76136734,111424193,2644381,3929532,1828050,190277,8592240,-5680773,-10129359,-579007,32381885.4250138,0,0,-579007,-2116126,-2116126,-2116126,8547129,0,4132633,0.37211,0.2131,0.03473,0.02373,1.5628,2.22989,0.46347,0,0.15752,0.15752,0.73918,4.53525,0.24617,0.03449,0.03056,0.03918,0.21896,-0.41031,-0.75949
"6","2012_Q2",11.8846031746032,"Down",13404333,-8341177,-1697523,-4142413,-2187871,4624657,4624657,4261110,-849000,3412110,3412110,3412110,3412110,1935886,1935886,8473280,8473280,960609,889709,11369775,114783728,265219238,-150435510,116641714,128011489,4964016,3249441,5284090,29759530,25086650,4672880,44281901,49565991,2122760,-5699860,82022598,78445498,78445498,128011489,3412110,4142413,-762879,954008,7745652,-6215081,-23259380,-579756,14522371,-726685.98045828,-726685.98045828,13942615,-1571113,-1571113,-1571113,8767070,14522371,4354997,0.34501,0.25455,0.0435,0.02665,1.27634,2.1517,0.63185,0.11345,0.20325,0.20325,0.79846,4.67277,0.25941,0.03453,0.03253,0.03549,0.16991,1.43565,2.7216
"7","2012_Q3",13.5009523809524,"Up",10436910,-8669830,-1606157,-4940961,-2081024,1423228,1423228,1205966,-530000,675966,675966,675966,675966,1119676,1119676,6950126,6950126,1011971,675413,9081773,115698427,271005540,-155307113,117552601,126634374,4708654,3399998,4708654,29580222,25170393,4409829,43389723,48098377,1984528,-6147495,82698964,78535997,78535997,126634374,675966,4940961,431213,1267968,7316108,-5728217,-5754829,-580919,-712870,-1158957,-1158957,-2377489,-816210,-816210,-816210,6364189,13809501,2433940,0.13636,0.06477,0.00861,0.00534,3.60068,1.92874,0.61244,0.10905,0.04027,0.04027,0.6217,4.67816,0.14498,0.0346,0.01031,0.01996,0.85939,1.99394,8.91623
"8","2012_Q4",12.311935483871,"Down",13649692,-8472836,-1498439,-4597363,-2347893,4887214,4887214,4681299,-1581000,3100299,3100299,3100299,3100299,479674,479674,6165551,6165551,923127,721755,7568352,117232430,277028368,-159795938,119057269,126625621,6847166,4926378,6847166,30622853,26077907,4544946,38622853,45470019,2084079,-6147495,85219018,81155602,81155602,126625621,3100299,4597363,-3650495,1878352,5925519,-3951275,-184261,-580245,-5809501,0,0,-6381260,-640002,-640002,-640002,9484577,8e+06,8992654,0.35805,0.22713,0.0382,0.02448,2.90058,1.10533,0.56028,0.06318,0.1854,0.1854,0.81628,4.85326,0.53778,0.0347,0.03073,0.07508,0.18716,0.7929,1.53878
"9","2013_Q1",12.4691666666667,"Up",11041382,-9999463,-1586737,-5380502,-2436705,664375,536405,496621,-314000,182621,182621,182621,182621,1984099,1984099,8349865,8349865,1288881,841266,11622845,121617055,286816134,-165199079,123563885,135186730,7455471,6447692,7627742,31508017,26708907,4799110,46383002,54010744,2160753,-5806162,84821395,81175986,81175986,135186730,182621,5380502,1511026,-2690232,4383917,-9117912,-9174232,-580244,6874985,1.16415321826935e-10,1.16415321826935e-10,6294740,1504425,1504425,1504425,6044877,14874985,-5449267,0.06017,0.01654,0.00225,0.00135,-29.83921,1.52376,0.66535,0.11003,0.01092,0.01092,0.6603,4.85448,-0.32588,0.0347,0.00598,-0.04272,3.17731,2.13253,19.40303
"10","2013_Q2",12.70640625,"Up",14180435,-10896619,-1898084,-5639020,-3339748,2980263,2980263,2825298,-677000,2148298,2148298,2148298,2148298,986363,986363,8234220,8234220,1571077,704554,10791660,121082580,291866411,-170783831,123057222,133848882,5071411,4057404,5071411,31709474,27020907,4688567,46164231,51235642,2336083,-5528107,85805264,82613240,82613240,133848882,2148298,5639020,551083.999999999,-1180159,7158243,-6864399,-7053128,-580991,-420228,-116632,-116632,-1102851,-997736,-997736,-997736,8619283,14454757,1251725,0.21017,0.1515,0.026,0.01605,0.582660000000001,2.12794,0.62019,0.10799,0.1283,0.1283,0.84686,4.93367,0.0747500000000001,0.0347,0.02119,0.00972,0.270440000000001,1.56259,4.5192
