"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","total_current_assets","property_plant_equipment_net","other_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","change_in_other","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"25","2017_Q3",23.5098412698413,"Down",97896000,-79906000,17990000,-5754000,-5754000,12236000,-15667000,-15684000,17000,-3431000,-3469000,24000,-3445000,-3445000,-3445000,-3445000,51650000,51650000,14440000,14440000,62169000,133556000,1099817000,47216000,1147033000,1280589000,35809000,25388000,9806000,2861000,45615000,624470000,1645000,1645000,626115000,671730000,608859000,1280589000,-3445000,19982000,1217000,-40872000,-45172000,-23118000,-4504000,-4504000,-2266000.00000001,-29888000,-29888000,-29888000,32218000,624470000,-13182000,0.18377,0.12499,-0.03519,-0.00566,-0.00269,3.82642,2.9279,1.10326,0.48764,-0.30411,-0.30411,8.64172,-1.16363,-0.00279,-0.01067,17.7795,46.81432
"26","2017_Q4",23.7373015873016,"Up",69393000,-79226000,-9833000,-6082000,-6082000,-15915000,-15702000,-15724000,22000,-31617000,-31637000,35000,-31602000,-31602000,-31602000,-31602000,69977000,69977000,12345000,12345000,57556000,139878000,1089127000,46754000,1135881000,1275759000,44909000,20994000,26815000,19361000,71724000,625178000,1600000,1600000,626778000,698502000,577257000,1275759000,-31602000,19483000,1411000,31875000,31875000,21167000,-2840000,-2840000,0,18327000,18327000,18327000,3568000,625178000,32568000,-0.1417,-0.22935,-0.45541,-0.05475,-0.02477,-1.03057,1.95023,1.21004,0.49004,-2.78965,-2.78965,6.12563,2.87492,-0.02625,0.02705,155.60566,-34.88539
"27","2018_Q1",25.1119672131148,"Up",78192000,-83026000,-4834000,-6880000,-6880000,-11714000,-15260000,-15734000,474000,-26974000,-27149000,-256000,-27405000,-27405000,-27405000,-27405000,49173000,49173000,9855000,9855000,53169000,117990000,1070454000,45832000,1116286000,1234276000,43200000,21905000,12895000,12895000,56095000,625904000,2424000,2424000,628328000,684423000,549853000,1234276000,-27405000,19109000,4500000,-13908000,-18054000,-17704000,-3100000,-3100000,0,-20804000,-20804000,-20804000,7395000,625904000,-9357000,-0.06182,-0.14981,-0.35048,-0.04984,-0.0222,0.34143,2.1034,1.24474,0.5071,-2.41916,-2.41916,6.90236,-0.82598,-0.02326,-0.00794,77.98932,-49.23433
"28","2018_Q2",21.4228125,"Down",79859000,-77564000,2295000,-5662000,-5662000,-3367000,-15667000,-15711000,43999.9999999998,-19034000,-19088000,36999.9999999999,-19051000,-19051000,-19051000,-19051000,61111000,61111000,14948000,14948000,57793000,133852000,1060190000,45453000,1105643000,1239495000,50048000,50048000,29496000,24229000,79544000,626648000,2502000,2502000,629150000,708694000,530801000,1239495000,-19051000,16426000,1165000,15946000,15946000,14486000,-2548000,-2548000,-4714595.78397071,11938000,11938000,11938000,13059000,626648000,26420000,0.02874,-0.04216,-0.23856,-0.03589,-0.01537,-1.3868,1.68274,1.33514,0.50557,-1.68172,-1.68172,7.04951,2.33221,-0.01642,0.02278,43.3063,-167.96466
"29","2018_Q3",26.1260317460317,"Up",93197000,-87009000,6188000,-6900000,-6900000,-712000,-15650000,-15677000,27000,-16362000,-16440000,-19000,-16459000,-16459000,-16459000,-16459000,28252000,28252000,27574000,27574000,49502000,110313000,1043837000,45426000,1089263000,1199576000,55424000,55424000,61982916.1916476,40446821.5743726,55424000,1141753000,2399000,2399000,1144152000,1199576000,522329720.474205,1199576000,-16459000,20405000,2086000,-32988000,-32988000,-26956000,-5903000,-5903000,-10889800.9428573,-32859000,-32859000,-32859000,19693000,1141753000,-19179000,0.0664,-0.00764,-0.1766,-0.0139871845793419,-0.01372,1.16526,1.99035,1.39166762111339,0.9518,-1.45291,-1.45291,8.22692,-1.69302,-0.01439,-0.01676,56.54298,-1563.9059
"30","2018_Q4",27.0939682539683,"Up",79909000,-70959000,8950000,-6393000,-6393000,2557000,-15663000,-15692000,28999.9999999995,-13106000,-13134000,-12000,-13146000,-13146000,-13146000,-13146000,61441000,61441000,20564000,20564000,56905000,143727000,1029402000,45383000,1074785000,1218512000,86204000,66185000,88142168.3210436,54701318.8590211,86204000,1129389000,2919000,2919000,1132308000,1218512000,516023329.440313,1218512000,-13146000,16035000,2084000,34615000,34615000,39588000,-6399000,-6399000,-16067108.2097586,33189000,33189000,33189000,18592000,1129389000,46820000,0.112,0.032,-0.16451,0.0042679085072243,-0.01079,-3.56154,1.66729,1.42759282300686,0.92686,-1.16046,-1.16046,7.05393,4.13301,-0.01161,0.04135,57.44127,417.65663
"31","2019_Q1",27.5701639344262,"Up",98117000,-83823000,14294000,-6068000,-6068000,8226000,-9407000,-15508000,6101000,-1181000,-1411000,40000,-1371000,-1371000,-1371000,-1371000,61776000,61776000,61662000,61662000,63554000,193981000,1015240000,45167000,1060407000,1254388000,29765000,2976000,92870000,68804000,122635000,628989000,2939000,2939000,631928000,754563000,499825000,1254388000,-1371000,18709000,3095000,-15317000,51000,5116000,-4781000,-4781000,-17788010.3177733,335000,335000,335000,26935000,628989000,6797000,0.14568,0.08384,-0.01397,-0.00274,-0.00109,-4.9577,1.58178,1.50965,0.50143,-0.12102,-0.12102,8.66123,0.6,-0.00121,0.00601,21.05859,68.95368
"32","2019_Q2",27.5731746031746,"Up",91873000,-75134000,16739000,-6846000,-6846000,9893000,-15630000,-15650000,20000,-5737000,-6191000,112000,-6079000,-6079000,-6079000,-6079000,96606000,96606000,16922000,16922000,72479000,191680000,997103000,58207000,1055310000,1246990000,58972000,40120000,65366000,65366000,124338000,629812000,12688000,12688000,642500000,766838000,480152000,1246990000,-6079000,16584000,2320000,39099000,39099000,51924000,-3500000,-3500000,-13594000,34830000,34830000,34830000,26477000,629812000,61964000,0.1822,0.10768,-0.06617,-0.01266,-0.00487,-10.19312,1.5416,1.59707,0.50507,-0.53662,-0.53662,8.11004,5.46984,-0.00541,0.05519,20.13846,53.8973000000001
"33","2019_Q3",28.4971875,"Up",137660000,-96660000,4.1e+07,-6465000,-6465000,34535000,-15564000,-15599000,35000,18971000,18980000,-12000,18968000,18968000,18968000,18968000,69266000,69266000,22980000,22980000,55810000,153966000,979443000,56996000,1036439000,1190405000,23774000,2434000,32437000,9484999.99999999,56211000,630655000,12348000,12348000,643003000,699214000,491191000,1190405000,18968000,25030000,2006000,-63247000,-63247000,-17243000,-2168000,-2168000,-7929000,-27340000,-27340000,-27340000,59565000,630655000,-5838000,0.29784,0.25087,0.13779,0.03862,0.01593,-0.30778,2.73907,1.42351,0.52978,1.67439,1.67439,12.15187,-0.51535,0.01672,-0.00515,9.42481,16.25565
"34","2019_Q4",25.03875,"Down",88582000,-87589000,993000.000000015,-6326000,-6326000,-5333000,-15447000,-15621000,174000,-20780000,-22964000,-12000,-22976000,-22976000,-22976000,-22976000,83667000,83667000,14909000,14909000,56864000,160048000,964502000,55772000,1020274000,1180322000,31520000,2131000,53135000,16448000,84655000,631520000,11792000,11792000,643312000,727967000,452355000,1180322000,-22976000,18418000,3900000,34649000,34649000,33991000,-3730000,-3730000,-15860000,14401000,14401000,14401000,13085000,631520000,44016000,0.01121,-0.0602,-0.25938,-0.05079,-0.01947,-1.91574,1.89059,1.60928,0.53504,-2.02819,-2.02819,7.81953,3.88549,-0.02097,0.04017,41.86878,-102.72886
"35","2020_Q1",17.2991935483871,"Down",86062000,-88188000,-2126000,-6192000,-6192000,-8318000,-15726000,-15766000,40000,-24044000,-24812000,-70000,-24882000,-24882000,-24882000,-24882000,36994000,36994000,34264000,34264000,48296000,124960000,951959000,61036000,1012995000,1137955000,23647000,2578000,51884000,27841000,75531000,632406000,10475000,10475000,642881000,718412000,419543000,1137955000,-24882000,19807000,2277000,-26717000,-37567000,-29515000,-9131000,-9131000,-8027000,-46673000,-46673000,-46673000,11489000,632406000,-24289000,-0.0247,-0.09665,-0.28912,-0.05931,-0.02187,0.97617,1.65442,1.71237,0.55574,-2.19645,-2.19645,7.59708,-2.1441,-0.02342,-0.02286,51.82453,-71.58115
"36","2020_Q2",7.62333333333333,"Down",75080000,-74711000,369000,-5354000,-5354000,-4985000,-15756000,-15783000,27000,-20741000,-20728000,-7000,-20735000,-20735000,-20735000,-20735000,58014000,58014000,14868000,14868000,55092000,133240000,940328000,60406000,1000734000,1133974000,24085000,1585000,68497000,37634000,92582000,633315000,9385000,9385000,642700000,735282000,398692000,1133974000,-20735000,15597000,784999.999999998,32060000,32060000,27707000,-6662000,-6662000,-25000,21020000,21020000,21020000,10612000,633315000,36017000,0.00491,-0.0664,-0.27617,-0.05201,-0.01829,-1.73701,1.43916,1.84424,0.55849,-1.83129,-1.83129,6.63099,3.18098,-0.01991,0.03459,54.21231,-115.40642
"37","2020_Q3",7.15921875,"Down",105092000,-85327000,19765000,-4452000,-4452000,15313000,-15852000,-15890000,38000,-539000,-41602000,-10000,-41612000,-41612000,-41612000,-41612000,32557000,32557000,15062000,15062000,46668000,99594000,924586000,18896000,943482000,1043076000,24012000,3044000,21499000,2666000,45511000,632007000,9433000,9433000,641440000,686951000,356125000,1043076000,-41612000,23371000,42395000,-45083000,-45083000,-20929000,-3495000,-3495000,-1033000,-25457000,-25457000,-25457000,38684000,632007000,-9884000,0.18807,0.14571,-0.39596,-0.11685,-0.03989,0.23753,2.18835,1.92896,0.60591,-3.67513,-3.67513,9.28161,-0.87294,-0.04171,-0.00991,15.49607,39.14648
"38","2020_Q4",7.724375,"Up",79482000,-78320000,1162000,-4232000,-4232000,-3069999.99999999,-15820000,-15877000,56999.9999999999,-18890000,-18929000,-23000,-18952000,-18952000,-18952000,-18952000,48285000,48285000,18592000,18592000,45913000,116114000,912690000,18137000,930827000,1046941000,24577000,2288000,44035000,11606000,68612000,632962000,9516000,9516000,642478000,711090000,335851000,1046941000,-18952000,18029000,1757000.00000001,21605000,21605000,22439000,-4969000,-4969000,-1742000,15728000,15728000,15728000,14959000,632962000,31618000,0.01462,-0.0386300000000001,-0.23844,-0.05643,-0.0181,-1.66832,1.69233,2.11728,0.60458,-1.67382,-1.67382,7.01977,2.79247,-0.01937,0.03232,39.0853,-190.44853
"39","2021_Q1",19.2070491803279,"Up",90299000,-86752000,3547000,-4136000,-4136000,-589000,-15841000,-15878000,37000,-16430000,-16892000,10000,-16882000,-16882000,-16882000,-16882000,30559000,30559000,36896000,36896000,42349000,118214000,897847000,16819000,914666000,1032880000,24761000,5217000,49340000,30631000,76341000,633942000,8357000,8357000,642299000,718640000,314240000,1032880000,-16882000,19080000,2662000,-14337000,-17767000,-9477000,-3424000,-3424000,-4825000,-17726000,-17726000,-17726000,18491000,636182000,720000,0.03928,-0.00652,-0.18696,-0.0537200000000031,-0.01634,-0.04265,1.5485,2.28690999999997,0.61593,-1.491,-1.491,7.97511,0.06359,-0.01761,0.00075,32.75231,-1028.22241
"40","2021_Q2",44.5898412698413,"Up",60921000,-68964000,-8043000.00000001,-5891000,-5891000,-13934000,-11359000,-15916000,4557000,-25293000,-25365000,-19000,-25384000,-25384000,-25384000,-25384000,52561000,52561000,15491000,15491000,57184000,132730000,883336000,15816000,899152000,1031882000,21664000,1061000,78164000,40383000,99828000,634946000,8781000,8781000,643727000,743555000,288327000,1031882000,-25384000,14123000,4851000,31961000,31961000,25551000,-2994000,-2994000,-555000,22002000,22002000,22002000,189000,634946000,29175000,-0.13202,-0.22872,-0.41667,-0.08804,-0.0246,-1.14935,1.32959,2.57886,0.61533,-2.24189,-2.24189,5.38048,2.5767,-0.02723,0.0313,3081.40212,-41.79597
"41","2021_Q3",48.745,"Up",138024000,-10138000,127886000,-97167000,-6801000,30719000,-23294000,-23335000,41000,7425000,7020000,0,7020000,7020000,7020000,7020000,42819000,42819000,34862000,34862000,50129000,134484000,868410000,16266000,884676000,1019160000,30131000,2935000,39586000,15196000,69717000,640421000,13675000,13675000,654096000,723813000,295347000,1019160000,7020000,21119000,15691000,-46402000,-46402000,-2572000,-2350000,-2350000,-4820000,-9742000,-9742000,-9742000,51838000,640421000,3086000,0.92655,0.22256,0.05086,0.0237699999999913,0.00689,0.4396,1.929,2.45071999999997,0.62838,0.62,0.62,12.19013,0.27255,0.00739,0.00325,11.52826,19.45382
"42","2021_Q4",66.44609375,"Up",144715000,-74374000,70341000,-24025000,-6619000,46316000,-11287000,-11313000,26000,35029000,35029000,41793.015869112,35029000,35029000,35029000,35029000,100669000,100669000,32928000,32928000,59026000,195750000,856686000,15868000,872554000,1068304000,45216000,6409000,69973000,33754000,115189000,625234000,15877000,15877000,641111000,756300000,312004000,1068304000,35029000,17406000,6358000,38496000,-46741797.2962506,97289000,-4862000,-4862000,-34577000,57850000,57850000,57850000,63722000,625234000,-2206738.63731913,0.48607,0.32005,0.24206,0.11227,0.03279,1.02635073789586,1.69938,2.42401,0.58526,3.314,3.314,13.69111,-0.160915721177777,0.03675,-0.00425584026712987,8.23208999999992,11.32578
"43","2022_Q1",92.1635483870968,"Up",188921000,-217063000,-28142000,100468000,-7304000,72326000,-10327000,-10414000,87000,61999000,61528000,-38000,61490000,61490000,61490000,61490000,112516000,112516000,88351000,88351000,52270000,262245000,850462000,14351000,864813000,1127058000,50399000,8895000,111461000,87060000,161860000,610642000,12358000,12358000,6.23e+08,784860000,342198000,1127058000,61490000,20832000,8520000,-22385000,19397365.3569314,68457000,-10136000,-10136000,-46474000,11847000,11847000,11847000,93158000,610642000,60675000,-0.14896,0.38284,0.32548,0.179689999999402,0.05456,0.98675,1.6202,2.29357999999529,0.5418,5.81741,5.81741,17.87332,5.7403,0.06371,0.06286,5.34711,6.88723
"44","2022_Q2",120.832419354839,"Up",222873000,-110029000,112844000,-8744000.00000001,-8744000,104100000,-10008000,-10036000,28000,94092000,93919000,-258000,93661000,93661000,93661000,93661000,137347000,137347000,43577000,43577000,65192000,253739000,835713000,13249000,848962000,1102701000,55322000,6081000,117884000,80877000,173206000,546439000,15566000,15566000,562005000,735211000,367491000,1102702000,93661000,19465000,13315000,40486000,40486000,166927000,-7899000,-7899000,-134197000,24831000,24831000,24831000,123565000,546439000,156410000,0.50632,0.46708,0.42024,0.25487,0.08494,1.66996,1.46496,2.00062,0.49555,8.86102,8.86102,21.08543,14.79754,0.10077,0.16827,3.31073999999997,3.9298
"45","2022_Q3",108.88625,"Down",244001000,-1887000,242114000,-116092000,-7008000,126022000,-8227000,-8307000,80000,117795000,117701000,-119000,117582000,117582000,117582000,117582000,156312000,156312000,35998000,35998000,85402000,283371000,820940000,14489000,835429000,1118800000,61641000,11713000,34156000,4196000,95797000,546558000,476444000,476444000,1023002000,1118799000,1000.0000000596,1118800000,117582000,21221000,-376000,-89743000,-89743000,48684000,-5831000,-5831000,-23888000,18965000,18965000,18965000,147243000,546558000,51788000,0.99227,0.51648,0.48189,117582,0.1051,0.44044,2.95804,1118799,0.48852,11.12412,11.12412,23.0843,4.89953,0.11494,0.05062,2.65035,3.09665
