"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","other_intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2015_Q1",46.3240983606557,"Up",439400000,-282900000,156500000,-132500000,-126400000,-7500000,2.4e+07,-5900000,-5900000,18100000,18100000,-20500000,-2400000,-2400000,-2400000,-2400000,1.49e+08,1.49e+08,233900000,233900000,283100000,17600000,683600000,277800000,1556500000,1426100000,108300000,4800000,1834300000,2517900000,352100000,168700000,183400000,3.56e+08,622600000,48100000,20200000,670700000,1026700000,1.503e+09,7300000,-19100000,1491200000,1491200000,2517900000,-2400000,23800000,22100000,-2900000,40600000,-10300000,-10300000,0,0,61600000,91900000,91900000,-1300000,90600000,47800000,626500000,55100000,0.35617,0.05462,-0.00546,-0.00161,-0.00095,-22.95833,1.92022,0.68851,0.24882,-0.05161,-0.05161,9.44946,32.06882,1.18495,-0.00111,0.02544,9.98954,19.89583
"2","2015_Q2",44.8838095238095,"Down",394200000,-262100000,132100000,-91200000,-97200000,-6e+06,40900000,-8200000,-8200000,32700000,32700000,-1.1e+07,21700000,21700000,21700000,21700000,166200000,166200000,226500000,226500000,2.93e+08,17400000,703100000,281800000,1551500000,1422100000,101800000,27600000,1833300000,2536400000,337100000,192100000,1.45e+08,3.41e+08,631400000,52200000,52200000,683600000,1024600000,1508400000,2.9e+07,-25600000,1511800000,1511800000,2536400000,21700000,16400000,-7300000,8900000.00000001,39700000,-2e+07,-2e+07,-428612.698910809,1130274.17406491,-1e+06,18700000,18700000,-1500000,17200000,57300000,635300000,57200000,0.33511,0.10375,0.05505,0.01435,0.00856000000000003,2.63594,2.06188,0.67774,0.25047,0.46667,0.46467,8.47742,32.51183,1.23011,0.00987,0.02601,8.18674,11.46944
"3","2015_Q3",34.8825,"Down",389300000,-254400000,134900000,-112800000,-105800000,-6300000,22100000,-8800000,-8800000,13300000,13300000,-5300000,8e+06,8e+06,8e+06,8e+06,114300000,114300000,200100000,200100000,323900000,14800000,653100000,2.86e+08,1546400000,1422800000,95400000,28200000,1832400000,2485500000,3.24e+08,200600000,123400000,3.24e+08,585800000,53900000,53900000,639700000,963700000,1514800000,36900000,-28900000,1521800000,1521800000,2485500000,8e+06,15900000,8400000,-16300000,1.6e+07,-17500000,-17500000,-1e+05,900000.000000001,-50100000,-51600000,-51600000,-3e+05,-51900000,3.8e+07,585800000,9500000,0.34652,0.05677,0.02055,0.00526,0.00322,1.1875,2.01574,0.63326,0.23569,0.17167,0.17094,8.35408,32.65665,0.20386,0.0037,0.0044,12.40789,21.33484
"4","2015_Q4",31.09296875,"Down",389500000,-258500000,1.31e+08,-116700000,-97200000,-10200000,14300000,-7800000,-7800000,6500000.00000001,-4.69e+08,-1500000,-470500000,-470500000,-470500000,-470500000,112500000,112500000,204400000,204400000,323600000,25500000,6.66e+08,282100000,1058200000,943400000,8.9e+07,25800000,1340300000,2006300000,326800000,179100000,147700000,326800000,585900000,52600000,52600000,638500000,965300000,1518400000,-433600000,-42800000,1.041e+09,1.041e+09,2006300000,-470500000,16300000,479100000,-6000000.00000001,18900000,-19100000,-19100000,3e+05,3e+05,3e+05,99999.9999999851,99999.9999999851,-1900000,-1800000,30600000,585900000,6999999.99999999,0.33633,0.03671,-1.20796,-0.45197,-0.23451,-0.01488,2.03794,0.92728,0.29203,-10.09657,-10.09657,8.35837,22.33906,0.15021,-0.28014,0.00417000000000001,15.47059,33.1049
"5","2016_Q1",26.6426229508197,"Down",-6.64e+08,523800000,-140200000,-72800000,-49500000,-5100000,-2.13e+08,-8e+06,-8e+06,-2.21e+08,254500000,85100000,339600000,14500000,14500000,14500000,129500000,129500000,224700000,224700000,303200000,18600000,6.76e+08,279500000,1044700000,945200000,82600000,2e+06,1324200000,2000200000,315200000,163200000,1.52e+08,315200000,578100000,51600000,27800000,629700000,944900000,1518500000,-4.19e+08,-43200000,1055300000,1055300000,2000200000,14500000,16800000,1200000,-9500000,2.3e+07,-6e+06,-6e+06,2e+05,2e+05,2e+05,17200000,17200000,-2e+05,1.7e+07,-196200000,578100000,-296800000,0.21114,0.32078,-0.02184,0.01374,0.00725,-20.46897,2.14467,0.89539,0.28902,0.31049,0.31317,-14.21842,22.59743,-6.35546,0.00861,-0.17614,-2.28644,-2.1061
"6","2016_Q2",30.63140625,"Up",384800000,-248300000,136500000,-103400000,-92800000,-8700000,33100000.0000001,-7800000,-7800000,25300000,25300000,-11100000,14200000,14200000,14200000,14200000,165100000,165100000,206300000,206300000,308400000,26800000,706600000,275600000,1037500000,946800000,77400000,2e+06,1313100000,2019700000,309300000,181100000,128200000,309300000,578500000,52100000,28200000,630600000,939900000,1522200000,-404800000,-36600000,1079800000,1079800000,2019700000,14200000,15600000,9400000,3300000,42500000,-8e+06,-8000000.00000001,0,0,0,34500000,34500000,1100000,35600000,48700000,578500000,55100000.0000001,0.35473,0.0860199999999999,0.0369000000000001,0.0131500000000001,0.00703000000000003,3.88028,2.28451,0.87044,0.28643,0.304719999999998,0.30342,8.25751,23.17167,1.1824,0.00829999999999997,0.03221,8.48871,12.48943
"7","2016_Q3",35.02546875,"Up",4e+08,-259300000,140700000,-123100000,-107900000,-9500000,17600000,-8200000,-8200000,9400000,9400000,-2900000,6500000,6500000,6500000,6500000,79200000,79200000,195200000,195200000,310300000,2.5e+07,609700000,272600000,1229700000,1031600000,182400000,3700000,1502300000,2.112e+09,304900000,168600000,136300000,304900000,6.24e+08,93600000,30200000,717600000,1022500000,1527800000,-398300000,-38100000,1089500000,1089500000,2.112e+09,6500000,16200000,6700000,22100000,51500000,-6100000,-181200000,-9e+05,0,44100000,-85600000,-85600000,-3e+05,-85900000,33800000,6.24e+08,52700000,0.35175,0.044,0.01625,0.00597,0.00308,8.10769,1.99967,0.9385,0.29545,0.13919,0.13859,8.56531,23.32976,1.12848,0.0036,0.02916,16.11834,30.95455
"8","2016_Q4",35.7401587301587,"Up",397500000,-259500000,1.38e+08,-117100000,-100300000,-10900000,20900000,-8200000,-8200000,12700000,12700000,-3600000,9100000,9100000,9100000,9100000,86700000,86700000,189100000,189100000,298700000,31100000,605600000,2.65e+08,1224400000,1031900000,176700000,3600000,1489400000,2.095e+09,310700000,166500000,144200000,310700000,589400000,93400000,3e+07,682800000,993500000,1530900000,-389200000,-38300000,1101500000,1101500000,2.095e+09,9100000,16600000,5800000,18400000,49900000,-7600000,-7500000,2e+05,2e+05,-34800000,7600000.00000001,7600000.00000001,-1e+05,7500000,37500000,589400000,51900000,0.34717,0.05258,0.02289,0.00826,0.00434,5.7033,1.94915,0.90195,0.28134,0.19486,0.1928,8.51178,23.58672,1.11135,0.0051,0.02909,13.40533,24.05263
"9","2017_Q1",38.968064516129,"Up",-616100000,498100000,-1.18e+08,-60700000,-45200000,-9300000,-178700000,-7900000,-7900000,-186600000,-186600000,73500000,-113100000,1e+07,1e+07,1e+07,113700000,113700000,188500000,188500000,80700000,16600000,399500000,109300000,1.563e+09,762300000,168200000,623900000,1672300000,2071800000,2.99e+08,160600000,138400000,324400000,5.79e+08,65900000,30500000,644900000,969300000,1533700000,-379200000,-50100000,1102500000,1102500000,2071800000,1e+07,16800000,-3400000,21500000,44900000,-4200000,-4200000,2e+05,2e+05,-10700000,3e+07,3e+07,-3e+06,2.7e+07,-161900000,5.79e+08,-218100000,0.19153,0.29005,-0.01623,0.00907,0.00483,-21.81,1.2315,0.87918,0.27947,0.21552,0.21231,-13.27802,23.76078,-4.70043,0.00572,-0.12481,-2.874,-2.60381
"10","2017_Q2",37.7865079365079,"Down",145700000,-64200000,81500000,-99100000,-84800000,-7300000,-17600000,-7200000,-7200000,-24800000,-24800000,9900000,-14900000,12800000,12800000,12800000,143100000,143100000,181200000,181200000,273400000,16700000,614400000,258300000,1213700000,1029700000,164400000,3800000,1.472e+09,2086400000,3.1e+08,179700000,130300000,3.1e+08,579400000,66100000,29900000,645500000,955500000,1538600000,-366400000,-39400000,1130900000,1130900000,2086400000,12800000,16200000,7900000,1e+05,3.7e+07,-10200000,-10200000,5e+05,5e+05,499999.999999996,27300000,27300000,2100000,29400000,-1400000.00000003,579400000,-21399999.9999999,0.55937,-0.1208,0.08785,0.01132,0.00613,-1.67188,1.98194,0.8449,0.2777,0.27409,0.27004,3.11991,24.21627,-0.45824,0.00721,-0.01205,-311.64286,-24.78977
