"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_expense","interest_income","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","other_long_term_assets","goodwill","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","common_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","piotroski_f_score","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",11.3212698412698,"Up",381131000,-273137000,107994000,-50453000,-50453000,-50453000,57541000,-17979000,-24123000,-24153000,30000,39562000,39562000,-15043000,24519000,24519000,24519000,24519000,27990000,27990000,76075000,75046000,26575000,129464000,8222000,108313000,260104000,99921000,276167000,-176246000,67595000,17410000,18489000,31696000,167516000,427620000,132405000,55067000,67515000,512000,34404000,34404000,167321000,1515017000,35234000,35234000,1550251000,1717572000,30987000,589000,-1317442000,-3497000,-1289952000,-1289952000,427620000,24519000,5503000,2357000,32379000,-4069000,5529000,1460000,-49875000,1336000,-48208000,-14369000,-14369000,-33000,-14402000,63044000,1515529000,0.28335,0.15097,0.06433,-0.01901,0.05734,1.55452,-1.3315,3.5441,0.42709,0.424,6.63882,-22.46933,6,0.09401,23.59525,25.85181
"2","2010_Q3",10.82203125,"Down",362404000,-262070000,100334000,-45785000,-45785000,-45785000,54549000,-20230000,-21722000,-21771000,49000,34319000,34319000,-11694000,22625000,22625000,22625000,22625000,28980000,28980000,77900000,76565000,27675000,119896000,8361000,98667000,254451000,98439000,277533000,-179094000,65687000,17391000,14854000,33442000,164126000,418577000,122714000,56025000,66689000,10521000,33239000,33239000,166474000,1484574000,30615000,30615000,1515189000,1681663000,34967000,590000,-1294817000,-3236000,-1263086000,-1263086000,418577000,22625000,5491000,-10855000,17261000,-5210000,6330000,1120000,-18548000,958000,-17416000,965000,965000,25000,990000,60040000,1495095000,0.27686,0.15052,0.06243,-0.01791,0.05405,1.52847,-1.33139,3.57185,0.38943,0.37518,6.23778,-21.74052,5,0.08615,24.41897,26.87703
"3","2010_Q4",12.46359375,"Up",347388000,-253235000,94153000,-45929000,-45929000,-45929000,48224000,-21016000,-21954000,-22021000,67000,27208000,27208000,-10608000,16600000,16600000,16600000,16600000,39195000,39195000,77201000,75836000,25444000,121574000,5911000,102678000,263414000,97009000,280005000,-182996000,65257000,17391000,14519000,33347000,162266000,425680000,120897000,52701000,68196000,758000,37634000,37634000,159289000,1474936000,33322000,33322000,1508258000,1667547000,39427000,592000,-1278217000,-3077000,-1241867000,-1241867000,425680000,16600000,5431000,10595000,32626000,-4874000,342000,-4532000,-19147000,1104000,-17888000,10206000,10206000,9000,10215000,53655000,1475694000,0.27103,0.13882,0.04779,-0.01337,0.039,1.65369,-1.34277,3.46667,0.28392,0.27295,5.94153,-21.2402,5,0.06214,26.77288,29.78805
"4","2011_Q1",14.2029032258065,"Up",479971000,-343863000,136108000,-68720000,-68720000,-68720000,67388000,-29532000,-28767000,-28865000,98000,37856000,37856000,-13683000,24173000,24173000,24173000,24173000,47945000,47945000,81919000,80410000,26998000,148176000,9760000,121664000,305038000,97384000,285815000,-188431000,57222000,17356000,8646000,31220000,155799000,460837000,128742000,56602000,72140000,835000,56549000,56549000,186126000,1451321000,34041000,34041000,1485362000,1671488000,46133000,601000,-1254044000,-2740000,-1210651000,-1210651000,460837000,24173000,7627000,15695000,46059000,-8531000,-7897000,-16428000,-17961000,-4234000,-20755000,8876000,8876000,-126000,8750000,75015000,1452156000,0.28358,0.1404,0.05036,-0.01997,0.05245,1.63888,-1.38065,3.15113,0.41344,0.39748,8.20916,-20.7063,6.43103957139968,0.08773,18.71907,20.8377
"5","2011_Q2",18.2447619047619,"Up",389186000,-277580000,111606000,-46494000,-46494000,-46494000,65112000,-21377000,-21377000,-21457000,80000,43735000,43735000,-16624000,27111000,27111000,27111000,27111000,92584000,92584000,85191000,83848000,29643000,131621000,7718000,112030000,339039000,93965000,282015000,-188050000,54425000,16935000,5492000,31998000,148390000,487429000,128169000,63305000,64864000,829000,42151000,42151000,171149000,1451103000,32923000,32923000,1484026000,1655175000,61841000,617000,-1226933000,-2654000,-1167746000,-1167746000,487429000,27111000,5606000,-4908000,27809000,-621000,915000,294000,15430000,-5404000,16650000,44753000,44753000,-114000,44639000,70718000,1451932000,0.28677,0.1673,0.06966,-0.02322,0.05562,1.98096,-1.41741,2.97876,0.45633,0.43489,6.55079,-19.65554,7,0.08549,19.22209,20.87707
"6","2011_Q3",22.10234375,"Up",384933000,-274240000,110693000,-48647000,-48647000,-48647000,62046000,-20971000,-20971000,-21044000,73000,41075000,41075000,-15827000,25248000,25248000,25248000,25248000,78639000,78639000,85589000,84326000,28647000,147356000,21692000,111647000,340231000,92322000,282539000,-190217000,54436000,16935000,5493000,32008000,146758000,486989000,125130000,58688000,66442000,824000,46398000,46398000,172352000,1450919000,35083000,35083000,1486002000,1658354000,32943000,607000,-1201685000,-2623000,-1171365000,-1171365000,486989000,25248000,5462000,-14107000,16603000,-4113000,4599000,485999.999999998,5469000,-41335000,-31003000,-13914000,-13914000,-31000,-13945000,67508000,1451743000,0.28756,0.16119,0.06559,-0.02155,0.05185,1.97405,-1.41574,2.98106,0.41782,0.39901,6.37007,-19.38436,6,0.08004,20.33987,22.13042
"7","2011_Q4",26.3906349206349,"Up",376326000,-272967000,103359000,-47505000,-47505000,-47505000,55854000,-20924000,-20924000,-20984000,60000,34930000,34930000,-12839000,22091000,22091000,22091000,22091000,32080000,32080000,82095000,81146000,25734000,148847000,18813000,116680000,288756000,89587000,277234000,-187647000,59882000,16666000,5037000,38179000,149469000,438225000,121390000,54217000,67173000,894000,48292000,48292000,170576000,1450668000,37937000,37937000,1488605000,1659181000,582000,582000,-1219015000,-2523000,-1220956000,-1220956000,438225000,22091000,6010000,12593000,40694000,-3199000,-3199000,-6398000,2854000,-81887000,-80761000,-46465000,-46465000,-94000,-46559000,61864000,1451562000,0.27465,0.14842,0.0587,-0.01809,0.05041,1.69283,-1.35892,3.31237,0.37494,0.35831,6.38728,-20.72296,8,0.08226,22.9452,25.41415
"8","2012_Q1",29.5267741935484,"Up",501748000,-356890000,144858000,-68725000,-68725000,-68725000,76133000,-28067000,-28067000,-28150000,83000,48066000,48066000,-17155000,30911000,30911000,30911000,30911000,50292000,50292000,88145000,87200000,30702000,157704000,12232000,128893000,326843000,92400000,281010000,-188610000,59762000,16649000,4858000,38255000,153700000,480543000,136898000,69714000,67184000,904000.000000001,59373000,59373000,197175000,1450369000,42738000,37717000,1493107000,1690282000,577000,577000,-1207915000,-2401000,-1209739000,-1209739000,480543000,30911000,6964000,18138000,67967000,-10385000,-10938000,-21323000,5377000,-35818000,-28371000,18273000,18273000,-61000,18212000,83097000,1451273000,0.28871,0.15174,0.06161,-0.02555,0.06433,1.65763,-1.39723,3.02007,0.52464,0.50137,8.51603,-20.53257,6.80392579866073,0.10874,16.85959,18.40176
"9","2012_Q2",29.131746031746,"Down",384587000,-269938000,114649000,-47754000,-47754000,-47754000,66895000,-32096000,-32096000,-32250000,154000,34799000,34799000,-14057000,20742000,20742000,20742000,20742000,214730000,214730000,80067000,80067000,26769000,106322000,15066000,77922000,427888000,89657000,280874000,-191217000,83732000,16598000,4538000,62596000,173389000,601277000,300460000,62034000,51441000,24511000,44116000,44116000,369087000,1554651000,43266000,36935000,1597917000,1967004000,579000,579000,-1363993000,-2313000,-1365727000,-1365727000,601277000,20742000,5216000,-5741000,20217000,-3126000,45578000,42452000,127212000,-171573336.876641,102552000,165221000,165221000,-783000,164438000,72111000,1579162000,0.29811,0.17394,0.05393,-0.01519,0.0345,1.15931,-1.44026,2.62635,0.36416,0.34766,6.75213,-23.97784,5,0.0808,18.92127,20.39662
"10","2012_Q3",30.7584126984127,"Up",376125000,-261518000,114607000,-48829000,-48829000,-48829000,65778000,-20665000,-20665000,-20717000,52000,45113000,45113000,-17018000,28095000,28095000,28095000,28095000,10750000.0000001,10750000.0000001,85521000,85521000,26585000,131646000,21677000,95216000,254502000,87782000,282830000,-195048000,82335000,16598000,4318000,61419000,170117000,424619000,126838000,59223000,67615000,24538000,50220000,50220000,201596000,1548570000,43563000,36844000,1592133000,1793729000,568000,568000,-1367275000,-2403000,-1369110000,-1369110000,424619000,28095000,5225000,4573000,37893000,-3727000,-11440000,-15167000,-5302000,-221725000,-226715000,-203989000,-203989000,9000.00000000012,-203980000,71003000,1573108000,0.3047,0.17488,0.0747,-0.02052,0.06617,1.26244,-1.31014,3.70475,0.49529,0.47242,6.6307,-24.13602,6,0.11349,22.00411,23.75198
