"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","selling_marketing","general_administrative","research_development","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_expense","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","change_in_accounts_receivable","change_in_accounts_payable","change_in_other","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","net_change_in_long_term_investment","decrease_in_long_term_investment","increase_in_long_term_investment","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repayment_of_long_term_debt_net","cash_from_repurchase_of_equity","increase_in_capital_stock","decrease_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",20.3088888888889,"Down",5.054e+09,-1.008e+09,4.046e+09,-2.252e+09,-1.161e+09,-9.6e+08,-2.01e+08,-6.6e+08,-4.31e+08,1.794e+09,-1.78e+08,-1.79e+08,-1.79e+08,1e+06,1.616e+09,-5.4e+07,1.562e+09,-4.38e+08,1.124e+09,1.124e+09,1.124e+09,1.124e+09,2.0565e+10,1.6098e+10,4.467e+09,2.584e+09,2.584e+09,1.296e+09,5.86e+08,2.4445e+10,1.924e+09,2.6629e+10,6.886e+09,1.8867e+10,3162001020.44858,8.76e+08,2.8553e+10,5.2998e+10,1.293e+09,2.6e+08,1.033e+09,6.866e+09,5.283e+09,1.583e+09,9.16e+09,1.3723e+10,3.628e+09,3.163e+09,1.7351e+10,2.6511e+10,1.3319e+10,1.2563e+10,2.61e+08,2.6143e+10,3.44e+08,2.6487e+10,5.2998e+10,1.124e+09,4.92e+08,7e+07,2.052e+09,1.87e+09,-6.42e+08,8.24e+08,3.738e+09,-5.5e+07,-5.5e+07,-8.13e+08,1.947e+09,-2.76e+09,-9.47e+08,-2.51e+08,4.461e+09,4.461e+09,3e+06,2.47e+08,-2.44e+08,-4e+06,4.209e+09,7e+09,7e+09,1.03e+08,7.103e+09,2.286e+09,1.4724e+10,4.721e+09,0.80055,0.35497,0.2224,0.04244,0.02121,4.20018,2.66867,1.00091,0.27782,0.2244,0.222,1.00898,5.21921,0.9425,0.05011,6,0.03067,0.10529,0.22331,-2.55512,-3.25585
"2","2010_Q3",20.44578125,"Up",5.857e+09,-1.096e+09,4.761e+09,-2.459e+09,-1.315e+09,-1.133e+09,-1.82e+08,-7.08e+08,-4.36e+08,2.302e+09,-1.55e+08,-1.89e+08,-1.89e+08,3.4e+07,2.147e+09,-1.24e+08,2.023e+09,-5.65e+08,1.458e+09,1.458e+09,1.458e+09,1.458e+09,2.0784e+10,1.4919e+10,5.865e+09,3.086e+09,3.086e+09,1.365e+09,6.62e+08,2.5235e+10,1.956e+09,2.6642e+10,6.584e+09,1.9098e+10,2237500510.22429,9.6e+08,2.8598e+10,5.3833e+10,1.384e+09,2.55e+08,1.129e+09,6.149e+09,4.395e+09,1.754e+09,8.534e+09,1.3751e+10,3.633e+09,3.282e+09,1.7384e+10,2.5918e+10,1.3529e+10,1.3541e+10,4.61e+08,2.7531e+10,3.84e+08,2.7915e+10,5.3833e+10,1.458e+09,4.98e+08,-1.3e+07,-1.292e+09,-4.33e+08,1.19e+08,-977999999.999999,6.51e+08,-4.5e+07,-4.5e+07,-1.284e+09,2.141e+09,-3.425e+09,-1.642e+09,-2.5e+08,0,0,-1.28e+08,1.24e+08,-2.52e+08,1.2e+07,-366000000.000001,-1.357e+09,-1.357e+09,1.78e+08,-1.179e+09,2.8e+09,1.4752e+10,2.028e+09,0.81287,0.39303,0.24893,0.05223,0.02708,1.39095,2.957,0.92846,0.27403,0.29102,0.28791,1.16906,5.49521,0.40479,0.0499,5,0.03689,0.0438,0.17147,-2.15429,-2.62033
"3","2010_Q4",24.6753125,"Up",6.404e+09,-1.418e+09,4.986e+09,-2.803e+09,-1.478e+09,-1.242e+09,-2.36e+08,-8.23e+08,-5.02e+08,2.183e+09,-2.61e+08,-1.85e+08,-1.85e+08,-7.6e+07,1.922e+09,-3.39e+08,1.583e+09,-3.93e+08,1.19e+09,1.19e+09,1.19e+09,1.19e+09,1.7489e+10,9.331e+09,8.158e+09,3.898e+09,3.898e+09,2.277e+09,1.299e+09,2.3979e+10,2.869e+09,3.2538e+10,9.868e+09,2.0415e+10,1622833503.4081,2.255e+09,3.5407e+10,5.9386e+10,2.068e+09,6.16e+08,1.452e+09,7.963e+09,5.389e+09,2.574e+09,1.4251e+10,1.1498e+10,4.786e+09,4.447e+09,1.6284e+10,3.0535e+10,1.3973e+10,1.4257e+10,2.46e+08,2.8476e+10,3.75e+08,2.8851e+10,5.9386e+10,1.19e+09,5.75e+08,1.6e+07,0,1.77e+08,-3.19e+08,1.24e+08,1.781e+09,-6.1e+07,-6.1e+07,-1.944e+09,3.033e+09,-4.977e+09,-7.18e+09,-2.52e+08,2.51e+08,2.51e+08,-1.1e+07,2.31e+08,-2.42e+08,4e+06,-8e+06,-5.407e+09,-5.407e+09,-1.81e+08,-5.588e+09,2.758e+09,1.5718e+10,3.09e+09,0.77858,0.34088,0.18582,0.04125,0.02004,2.59664,1.68262,1.05837,0.26468,0.23729,0.23444,1.27697,5.67817,0.61615,0.05025,4,0.02922,0.06261,0.21176,-0.64213,-0.81127
"4","2011_Q1",27.3903225806452,"Up",9.505e+09,-2.242e+09,7.263e+09,-3.704e+09,-2.037e+09,-1.745e+09,-2.92e+08,-1.063e+09,-6.04e+08,3.559e+09,-2.25e+08,-2.01e+08,-2.01e+08,-2.4e+07,3.334e+09,-2.59e+08,3.075e+09,-7.12e+08,2.363e+09,2.363e+09,2.363e+09,2.363e+09,1.8469e+10,9.914e+09,8.555e+09,5.585e+09,5.585e+09,2.691e+09,1.532e+09,2.7004e+10,2.763e+09,3.1811e+10,9.321e+09,2.0425e+10,1.267e+09,7.98e+08,3.4574e+10,6.1578e+10,2.67e+09,7.75e+08,1.895e+09,8.876e+09,5.9e+09,2.976e+09,1.4691e+10,1.151e+10,4.178e+09,3.754e+09,1.5688e+10,3.0379e+10,1.4648e+10,1.6146e+10,4e+06,3.0798e+10,4.01e+08,3.1199e+10,6.1578e+10,2.363e+09,7.06e+08,1.01e+08,-6.59e+08,-1.976e+09,4.82e+08,7.8e+08,2.511e+09,-6.9e+07,-6.9e+07,-4.42e+08,4.099e+09,-4.541e+09,-5.5e+08,-2.51e+08,-1.074e+09,-1.074e+09,1.8e+07,2.72e+08,-2.54e+08,1.36e+08,-1.171e+09,790000000.000001,790000000.000001,-2.07e+08,5.83e+08,4.265e+09,1.4655e+10,4.249e+09,0.76412,0.37443,0.24861,0.07574,0.03837,1.79814,1.83813,0.97372,0.23799,0.47053,0.46433,1.89267,6.13262,0.84608,0.04998,5,0.05225,0.08493,0.10622,-0.89426,-1.07165
"5","2011_Q2",28.571746031746,"Up",7.502e+09,-2.062e+09,5.44e+09,-3.311e+09,-1.605e+09,-1.333e+09,-2.72e+08,-1.103e+09,-6.03e+08,2.129e+09,-1.22e+08,-1.96e+08,-1.96e+08,7.4e+07,2.007e+09,-2.12e+08,1.795e+09,-4.43e+08,1.352e+09,1.352e+09,1.352e+09,1.352e+09,2.3637e+10,1.2018e+10,1.1619e+10,3.721e+09,3.721e+09,2.671e+09,1.529e+09,3.0264e+10,2.835e+09,3.2156e+10,9.124e+09,2.0901e+10,1.119e+09,1.012e+09,3.4991e+10,6.5255e+10,2.144e+09,7.06e+08,1.438e+09,9.396e+09,6.903e+09,2.493e+09,1.38e+10,1.4778e+10,4.165e+09,3.816e+09,1.8943e+10,3.2743e+10,1.4923e+10,1.7027e+10,1.56e+08,3.2106e+10,4.06e+08,3.2512e+10,6.5255e+10,1.352e+09,7.02e+08,1.55e+08,1.608e+09,1.942e+09,-8.98e+08,5.53e+08,3.817e+09,-1.18e+08,-1.18e+08,-2.966e+09,4.684e+09,-7.65e+09,-3.916e+09,-2.51e+08,2.319e+09,2.319e+09,-8e+07,1.69e+08,-2.49e+08,-2.8e+07,1.96e+09,1.861e+09,1.861e+09,2.43e+08,2.104e+09,2.831e+09,1.7038e+10,4.764e+09,0.72514,0.28379,0.18022,0.04158,0.02072,3.52367,2.19304,1.00711,0.2611,0.269,0.26598,1.49264,6.38798,0.94787,0.04994,5,0.02984,0.08869,0.18565,-2.33098,-3.09958
"6","2011_Q3",24.96015625,"Down",8.582e+09,-2.156e+09,6.426e+09,-3.42e+09,-1.687e+09,-1.531e+09,-1.56e+08,-1.119e+09,-6.14e+08,3.006e+09,-1.23e+08,-2.14e+08,-2.14e+08,9.1e+07,2.883e+09,-2.36e+08,2.647e+09,-7.76e+08,1.871e+09,1.871e+09,1.871e+09,1.871e+09,2.4845e+10,1.042e+10,1.4425e+10,4.406e+09,4.406e+09,3.236e+09,2.017e+09,3.2723e+10,2.87e+09,3.165e+10,8.526e+09,2.0889e+10,1.22e+09,1.015e+09,3.452e+10,6.7243e+10,2.404e+09,7.62e+08,1.642e+09,8.677e+09,5.742e+09,2.935e+09,1.3336e+10,1.478e+10,4.277e+09,3.927e+09,1.9057e+10,3.2393e+10,1.5663e+10,1.8422e+10,3.27e+08,3.4412e+10,4.38e+08,3.485e+10,6.7243e+10,1.871e+09,7.09e+08,1.03e+08,-1.739e+09,-5.99e+08,2.78e+08,-1.432e+09,9.44e+08,-1.21e+08,-1.21e+08,-2.683e+09,6.469e+09,-9.152e+09,-2.778e+09,-2.53e+08,-5e+06,-5e+06,3.1e+08,5.65e+08,-2.55e+08,7.6e+07,1.28e+08,-1.706e+09,-1.706e+09,1.08e+08,-1.598e+09,3.715e+09,1.7035e+10,2.631e+09,0.74878,0.35027,0.21801,0.05369,0.02782,1.4062,2.45373,0.9295,0.25333,0.37094,0.36564,1.70143,6.82236,0.52161,0.05016,5,0.03782,0.04685,0.13522,-2.10229,-2.59814
"7","2011_Q4",26.1507936507937,"Up",8.763e+09,-2.011e+09,6.752e+09,-3.643e+09,-1.904e+09,-1.618e+09,-2.86e+08,-1.127e+09,-6.12e+08,3.109e+09,-1.88e+08,-2.03e+08,-2.03e+08,1.5e+07,2.921e+09,-1.22e+08,2.799e+09,-6.84e+08,2.115e+09,2.115e+09,2.115e+09,2.115e+09,2.4355e+10,1.1864e+10,1.2491e+10,4.495e+09,4.495e+09,3.333e+09,2.14e+09,3.2459e+10,2.894e+09,3.2313e+10,8.324e+09,2.1425e+10,1.519e+09,1.045e+09,3.5207e+10,6.7666e+10,2.545e+09,6.73e+08,1.872e+09,8.737e+09,5.849e+09,2.888e+09,1.1282e+10,1.4752e+10,4.573e+09,4.223e+09,1.9325e+10,3.0607e+10,1.6131e+10,2.0059e+10,4.27e+08,3.6617e+10,4.42e+08,3.7059e+10,6.7666e+10,2.115e+09,7.01e+08,7.6e+07,-2.16e+08,3.4e+07,-2.01e+08,-1.5e+07,2.676e+09,-4.8e+07,-1.33e+08,1.947e+09,8.006e+09,-6.059e+09,1.032e+09,-2.53e+08,-2.253e+09,-2.253e+09,4.9e+07,2.94e+08,-2.45e+08,2.6e+07,-2.431e+09,1.277e+09,1.277e+09,1.67e+08,1.444e+09,3.81e+09,1.4752e+10,4.23e+09,0.77051,0.35479,0.24136,0.05707,0.03126,2,2.87706,0.8259,0.21801,0.41831,0.4106,1.73319,7.24229,0.83663,0.05004,6,0.042,0.07502,0.11962,-2.52047,-3.08877
"8","2012_Q1",24.6472580645161,"Down",1.0775e+10,-2.169e+09,8.606e+09,-4.122e+09,-2.353e+09,-2.097e+09,-2.56e+08,-1.17e+09,-5.99e+08,4.484e+09,-1.89e+08,-1.95e+08,-1.95e+08,6e+06,4.295e+09,-1.25e+08,4.17e+09,-9.61e+08,3.209e+09,3.209e+09,3.209e+09,3.209e+09,2.8848e+10,1.6163e+10,1.2685e+10,6.628e+09,6.628e+09,3.395e+09,2.206e+09,3.9174e+10,2.857e+09,3.1504e+10,7.86e+09,2.1553e+10,1.076e+09,1.015e+09,3.4361e+10,7.3535e+10,2.814e+09,4.94e+08,2.32e+09,1.0228e+10,6.802e+09,3.426e+09,1.4192e+10,1.4772e+10,4.326e+09,4.326e+09,1.9098e+10,3.329e+10,1.6653e+10,2.2581e+10,5.42e+08,3.9776e+10,4.69e+08,4.0245e+10,7.3535e+10,3.209e+09,6.84e+08,2.65e+08,-3.81e+08,-2.106e+09,7.01e+08,1.043e+09,3.777e+09,-5.8e+07,-7.8e+07,-1.87e+08,7.961e+09,-8.148e+09,-4.19e+08,-3.04e+08,1.15e+09,1.15e+09,-6.3e+07,3.48e+08,-4.11e+08,7.6e+07,8.59e+08,4.217e+09,4.217e+09,8.2e+07,4.299e+09,5.168e+09,1.5922e+10,5.69e+09,0.7987,0.41615,0.29782,0.07974,0.04364,1.77314,2.76029,0.82718,0.21652,0.63344,0.62178,2.12692,7.85156,1.12317,0.06001,6,0.05807,0.09406,0.09473,-2.50116,-2.88269
"9","2012_Q2",23.9222222222222,"Down",8.374e+09,-1.988e+09,6.386e+09,-3.583e+09,-1.941e+09,-1.63e+09,-3.11e+08,-1.05e+09,-5.92e+08,2.803e+09,-2.12e+08,-1.92e+08,-1.92e+08,-2e+07,2.591e+09,-1.2e+08,2.471e+09,-6.31e+08,1.84e+09,1.84e+09,1.84e+09,1.84e+09,3.166e+10,1.3162e+10,1.8498e+10,4.194e+09,4.194e+09,3.093e+09,1.831e+09,3.9206e+10,2.93e+09,3.1723e+10,7.662e+09,2.1831e+10,1.152e+09,1.078e+09,3.4653e+10,7.3859e+10,2.167e+09,6.14e+08,1.553e+09,1.0889e+10,7.925e+09,2.964e+09,1.3056e+10,1.4789e+10,4.775e+09,4.775e+09,1.9564e+10,3.262e+10,1.6915e+10,2.3385e+10,5.92e+08,4.0892e+10,3.47e+08,4.1239e+10,7.3859e+10,1.84e+09,7.09e+08,7.4e+07,2.798e+09,2.483e+09,-1.374e+09,1.632e+09,5.421e+09,-1.6e+08,-1.6e+08,-5.82e+09,6.768e+09,-1.2588e+10,-6.323e+09,-3.04e+08,-1.15e+09,-1.15e+09,-6.18e+08,1.82e+08,-8e+08,-1.39e+08,-2.211e+09,-3.113e+09,-3.113e+09,1.12e+08,-3.001e+09,3.512e+09,1.4789e+10,6.781e+09,0.7626,0.33473,0.21973,0.04462,0.02491,3.68533,3.00291,0.791,0.20023,0.36349,0.35728,1.65429,8.07823,1.33959,0.06006,7,0.03526,0.11152,0.16522,-4.80382,-6.01891
"10","2012_Q3",26.782380952381,"Up",8.792e+09,-1.955e+09,6.837e+09,-3.667e+09,-1.973e+09,-1.697e+09,-2.76e+08,-1.102e+09,-5.92e+08,3.17e+09,-1.51e+08,-1.92e+08,-1.92e+08,4.1e+07,3.019e+09,-5.9e+07,2.96e+09,-7.68e+08,2.192e+09,2.192e+09,2.192e+09,2.192e+09,3.1012e+10,1.3286e+10,1.7726e+10,4.434e+09,4.434e+09,2.818e+09,1.579e+09,3.8482e+10,2.9e+09,3.1528e+10,7.152e+09,2.1994e+10,1.122e+09,1.26e+09,3.4428e+10,7.291e+10,2.027e+09,4.45e+08,1.582e+09,9.045e+09,6.091e+09,2.954e+09,1.1072e+10,1.4778e+10,4.793e+09,4.793e+09,1.9571e+10,3.0643e+10,1.7245e+10,2.4383e+10,2.92e+08,4.192e+10,3.47e+08,4.2267e+10,7.291e+10,2.192e+09,7.01e+08,1.81e+08,-1.819e+09,-3.55e+08,6.8e+07,-1.568e+09,1.255e+09,-1.29e+08,-1.29e+08,7.33e+08,9.567e+09,-8.834e+09,3.76e+08,-3.03e+08,-4.76837158203125e-07,-4.76837158203125e-07,-7.46e+08,2.52e+08,-9.98e+08,2.9e+07,-1.02e+09,610999999.999998,610999999.999998,-4.87e+08,124000000.000001,3.871e+09,1.4778e+10,2.691e+09,0.77764,0.36056,0.24932,0.05186,0.03006,1.22765,3.47561,0.72499,0.20269,0.43475,0.42779,1.74375,8.31416,0.53372,0.0601,6,0.04035,0.04352,0.13823,-4.19375,-5.12114
