"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","total_current_liabilities","long_term_debt","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2011_Q2",1.88698412698413,"Up",6153502,-3837711,2315791,-1017944,-1017944,1297847,-47423,-107423,60000,1250424,1250424,-431102,819322,819322,819322,819322,-22771564.7520928,-22771564.7520928,55575471.4966306,55575471.4966306,10553702.0186507,42230720.8368462,22973334.1938269,85588329.6000348,1271300.75985879,9627069.63733287,95215399.2373677,5935328.54191376,10791277.8594446,-3072372.99788065,1377003.37639779,33499164.0621672,40811495.9804788,39062591.4177771,37790280.1790845,78601776.1595632,2839840.9048923,10949956.5610219,16613623.0778044,16613623.0778044,95215399.2373677,819322,91347,97964,14101,1022734,52854,52854,-203256,-258629,816959,816959,816959,1389194,0,1887251,0.37634,0.21091,0.13315,-0.244327002960205,-0.161894895375412,2.30343,1.18777596032275,5.30863915567531,0.843310531145777,0.05757,0.03947,0.43241,-0.230055347685927,0.13262,-0.203273353483488,996.440048081086,-2234.11405158625
"2","2011_Q3",1.4565625,"Down",8381319,-5795971,2585348,-1121411,-1121411,1463937,-106295,-109170,2875,1357642,1357642,-502014,855628,855628,855628,855628,-5586051.3760464,-5586051.3760464,30190383.2483153,30190383.2483153,5241530.50932535,16289428.4184231,7576457.09691344,46135290.8000174,2322780.87992939,5986087.31866643,52121378.1186838,3286170.77095688,4991459.42972231,-971203.498940325,1377296.18819889,13840070.0310836,18503536.9902394,19677973.2088885,19147838.5895422,37651375.5797816,2976082.95244615,8926208.28051096,14470002.5389022,14470002.5389022,52121378.1186838,855628,95190,-74028,-843302,33487.9999999991,-17405,-17405,353679,-370380,-354297,-354297,-354297,1559127,0,1200434,0.30847,0.17467,0.10209,-0.123748501480103,-0.0795624476877059,1.40299,4.02264798016137,2.59242457783765,0.545160265572889,0.06012,0.0416,0.58893,0.315367326157037,0.08435,-0.0995866767417438,418.414954040543,-943.776015793127
"3","2011_Q4",1.03412698412698,"Down",9670418,-6814384,2856034,-1273747,-1273747,1582287,-213098,-213098,0,1369189,1369189,-540063,829126,829126,829126,829126,3875277.54131787,3875277.54131787,14179759.0827718,14179759.0827718,2158802.83644179,4994509.13947437,2093697.69897115,25208348.6000058,3767408.62664313,4908546.43955548,30116895.0395613,2141840.92365229,2044335.4765741,289632.833686559,1374831.06273296,3763838.0103612,7280509.99674646,9233559.73629618,9092188.52984741,16372698.5265939,3146682.31748205,8294877.42683699,13744196.5129674,13744196.5129674,30116895.0395613,829126,88469,224716,87825,1230136,-106003,-90502,-89405,-1448010,-308376,-308376,-308376,1670756,0,2192641,0.29534,0.16362,0.08574,-0.0374428338267008,-0.023370815895902,2.64452,4.92350932672046,1.16212819261255,0.369986755190963,0.05805,0.0383,0.67704,0.633949108719012,0.15351,-0.0296188922472479,111.774634680181,-258.210945264376
"4","2012_Q1",0.920967741935484,"Down",8078996,-5920254,2158742,-1758088,-1758088,400654,-102040,-101885,-155,298614,298614,-115711,182903,182903,182903,182903,7541000,7541000,5578072,5578072,723400,3546230,2961741,17388702,5312112,5493253,22881955,2051359,1093350,958009,1371767,382130,3805256,5217421,5217421,9022677,3348459,8465283,13859278,13859278,22881955,182903,97752,-101280,-1179461,-1000086,-1429716,-1396466,304859,1009043,-1387509,-1387509,-1387509,498406,6589188,-1995060,0.2672,0.04959,0.02264,0.0132,0.00799,-10.90775,4.56965,0.65102,0.28796,0.01202,0.00639,0.53102,0.77689,-0.13113,0.00894,-1.90971,-2.37565
"5","2012_Q2",0.645714285714286,"Down",9176440,-6749517,2426923,-1732672,-1732672,694251,-56744,-56744,7202.34388243412,637507,637507,-256046,381461,381461,381461,381461,7339694,7339694,2419795,2419795,353203,7144858,6617272,17257550,6663819,6839013,24096563,2563745,1281947,1281798,1370263,806608,4740616,5117627,5117627,9858243,3578233,8846744,14238320,14238320,24096563,381461,104158,63260,802400,1351279,-1455528,-1454578,-101298,-101298,-204597,-204597,-201306,798409,6487890,401327,0.26447,0.07566,0.04157,0.02679,0.01583,1.05208,3.64036,0.69237,0.26925,0.02465,0.01579,0.59305,0.79539,0.02594,0.0184,-1.06688,-1.22694000000002
"6","2012_Q3",0.742698412698413,"Up",7147167,-5231710,1915457,-1953977,-1953977,-38520.0000000001,-70071,-70071,16721.9021399145,-108591,-108591,20492.9999999999,-88098,-88098,-88098,-88098,5211858,5211858,3063428,3063428,403577,9974947,8685712,18653810,7425164,7871910,26525720,3109475,1643127,1466348,1366543,1693363,6169381,6153990,6153990,12323371,3827767,8758645,14202349,14202349,26525720,-88098,133079,227156,-2587687,-2315550,-882005,-847444,1032643,1031613,-2131381,-2131381,-2127836,94558.9999999999,7520533,-3395626,0.268,-0.00539000000000002,-0.01233,-0.0062,-0.00332,38.54374,3.02361,0.8677,0.28352,-0.0053,-0.00365,0.4299,0.74337,-0.20425,-0.00406,24.41518,-59.93445
"7","2012_Q4",0.931612903225806,"Up",10864011,-10124081,739930,-1924095,-1924095,-1184165,-56858,-73231,16373,-1241023,-1241023,92682,-1148341,-1148341,-1148341,-1148341,3086070,3086070,5543444,5543444,292403,7236764,5603746,16158681,7303075,7690750,23849431,3237569,1320334,1759532,1362766,154057,4754392,5814580,5920601,10674993,4093881,7610305,13174438,13174438,23849431,-1148341,133052,739554,-1506934,-1782669,-5009,-5009,-343187,-343187,-2130865,-2130865,-2125788,-1051113,7177346,-2655738,0.06811,-0.109,-0.1057,-0.08716,-0.04815,2.31267,3.39869,0.81028,0.30094,-0.06726,-0.06726,0.63634,0.67203,-0.15555,-0.05613,-3.89233,-3.45499
"8","2013_Q1",1.22733333333333,"Up",6079160,-6077276,1883.99999999988,-2837050,-2837050,-2835166,-45051,-47496,2445,-2880217,-2880217,1612089,-1268128,-1268128,-1268128,-1268128,2823485,2823485,4901791,4901791,373544,8168357,5396980,16267177,7395445,7784080,24051257,3946293,1361611,2424695,1358933,799413,6104639,5776294,5776294,11880933,4413874,6342177,12170324,12170324,24051257,-1268128,311145,-44440.0000000001,1101445,100022,-339799,-333914,-42119,-41089.0000000002,-274981,-274981,-262585,-2524021,7135227,-3374464,0.000310000000000005,-0.46637,-0.2086,-0.1042,-0.05273,2.66098,2.66472,0.97622,0.29667,-0.07132,-0.79645,0.34187,0.59232,-0.18977,-0.06569,-1.70828,-1.52081
"9","2013_Q2",0.8634375,"Down",7145739,-6040301,1105438,-2000412,-2000412,-894974,-78444,-78398,-46,-973418,-973418,267257,-706161,-706161,-706161,-706161,4380073,4380073,5029995,5029995,459807,8509617,5995011,18379492,7268924,7591304,25970796,4071744,2029941,1881816,1222534,3511979,8806257,5616476,5616476,14422733,4657913,5636016,11548063,11548063,25970796,-706161,206052,-37940,2474318,1936269,-20024,-20024,-342595,-342595,1573650,1573650,1556588,-688922,6839010,1498115,0.1547,-0.12525,-0.09882,-0.06115,-0.02719,-2.12149,2.08709,1.24893,0.26333,-0.03839,-0.03839,0.38847,0.54448,0.08144,-0.03841,-3.56925,-2.7475
"10","2013_Q3",0.54765625,"Down",8078552,-6140186,1938366,-1924187,-1924187,14179,-70649,-73206,2557,-56470,-56470,11342,-45128,-45128,-45128,-45128,2138756,2138756,4684370,4684370,578047,8536918,6283972,15938091,7125796,7680822,23618913,3725041,2026595,1538459,1079676,1730866,6535583,5418000,5418000,11953583,4846143,5590888,11665330,11665330,23618913,-45128,209377,121835,-2144076,-1857992,-55085,-55085,-341333,-341333,-2254410,-2254410,-2241317,223556,6497676,-1986947,0.23994,0.00176000000000001,-0.00559,-0.00387,-0.00191,44.02914,2.43866,1.02471,0.2751,-0.00241,-0.0024100000000001,0.43208,0.54446,-0.10627,-0.00248,19.49811,307.42083
"11","2013_Q4",0.67015625,"Up",7293877,-5409770,1884107,-2293810,-2293810,-409703,-92560,-63464,-29096,-502263,-502263,-43224,-545487,-545487,-545487,-545487,2013621,2013621,3491693,3491693,474254,9034762,6613698,15014330,7253692,7410468,22424798,4093730,2449458,1441062,937094,921992,5952816,5178951,5178951,11131767,5121033,5045402,11293031,11293031,22424798,-545487,209334,488473,419910,572230,-320258,-320258,-381630,-381630,-129658,-129658,-125135,-200369,6116045,-57493,0.25831,-0.05617,-0.07479,-0.0483,-0.02433,0.1054,2.52222,0.98572,0.27274,-0.02858,-0.02858,0.38209,0.51947,-0.00301,-0.03133,-20.47434,-10.01317
"12","2014_Q1",1.11606557377049,"Up",9954751,-8324088,1630663,-1942575,-1942575,-311912,-95543,-92542,-3001,-407455,-407455,-707706,-1115161,-1115161,-1115161,-1115161,3075376,3075376,4330637,4330637,354516,6506572,5876777,14267101,7300248,7300248,21567349,4644608,2537060,1874924,5784479,753813,11182900,31108,286873,11469773,5078548,3930240,10097576,10097576,21567349,-1115161,221249,730589,1291962,1128639,-267818,-267818,199541,199541,1060362,1060362,1061755,-90663,5815587,1641187,0.16381,-0.03133,-0.11202,-0.11044,-0.05171,-1.4717,1.2758,1.13589,0.26965,-0.05621,-0.05621,0.50178,0.44294,0.08273,-0.06897,-30.22414,-8.78521
"13","2014_Q2",0.673174603174603,"Down",7096692,-6676449,420243,-1770082,-1770082,-1349839,-74066,-66514,-7552,-1423905,-1423905,0,-1423905,-1423905,-1423905,-1423905,2444769,2444769,3813382,3813382,366866,5316893,4687098,11941910,7108458,7108458,19050368,3635801,966302,2436875,6112521,103521,9851843,30447.9999999995,286213,10138056,5204640,2506335,8912312,8912312,19050368,-1423905,253833,813180,-48169,-405061,-56424,-56424,-172618,-172618,-634103,-634103,-630607,-1096006,6142969,-1200599,0.05922,-0.19021,-0.20064,-0.15977,-0.07474,0.84317,1.21215,1.13753,0.32246,-0.07135,-0.07135,0.3556,0.38093,-0.06016,-0.093,-3.37425,-2.73972999999999
"14","2014_Q3",0.34765625,"Down",5195795,-4468523,727272,-1484487,-1484487,-757215,-61455,-68440,6985,-818670,-818670,0,-818670,-818670,-818670,-818670,1532026,1532026,2690517,2690517,355168,7082224,6452429,11659935,6907282,6907282,18567217,2284314,1247729,803961,5418227,2375882,10078423,43532,299297,10377720,5292836,1687665,8189497,8189497,18567217,-818670,225069,828910,-446329,-211020,2483,2483,-702660,-702660,-911197,-911197,-912743,-532146,5461759,-975992,0.13997,-0.14574,-0.15756,-0.09997,-0.04409,1.19217,1.15692,1.2672,0.29416,-0.04102,-0.04102,0.26035,0.34471,-0.04891,-0.05887,-7.38469,-5.18972
"15","2014_Q4",0.14609375,"Down",5167374,-4394703,772671,-1434151,-1434151,-661480,-96200,-80183,-16017,-757680,-757680,15843.1439325906,-757680,-757680,-757680,-757680,3746912,3746912,2404059,2404059,352377,5655373,5025578,12158721,6693420,6693420,18852141,1893252,1022622,638006,5197236,3917021,11007509,40822,296587,11304096,5647853,929985,7548045,7548045,18852141,-757680,203524,-1060633,4054358,2439569,-402,-402,-223701,-223701,2215466,2215466,2214886,-457956,5238058,-2378473.48202794,0.14953,-0.12801,-0.14663,-0.10038,-0.04019,1.59061395644131,1.10458,1.49762,0.27785,-0.03738,-0.03738,0.25492,0.32171,-0.105890144697157,-0.0581,-3.25609,-2.25426
