"","YQ","p","d","revenue","net_premiums_earned","investment_income_loss","other_operating_income","total_realized_investment_gains","total_claims_losses","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","total_investments","cash_cash_equivalents_short_term_investments","deferred_policy_acquisition_costs","other_assets","total_assets","insurance_reserves","other_short_term_liabilities","long_term_debt","other_long_term_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_cash_from_operating_activities","net_change_in_investments","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","total_debt","operating_margin","net_profit_margin","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","dividends_per_share","dividend_payout_ratio"
"1","2014_Q2",21.164126984127,"Up",4.3e+07,1.32e+08,1.03e+08,-1.92e+08,1.9e+07,-4.1e+07,-6e+07,-5.3e+07,-4.1e+07,-2e+07,-9.4e+07,6.5e+07,-2.7e+07,3.8e+07,3.8e+07,3.8e+07,3.8e+07,70895753700.7221,-37363215242.6225,121832187.09407,47227182428.7597,46027375152.4479,62336739771.9842,-78610821863.581,1172928213.62331,55356224207.5746,40255070329.6011,2810786955.3703,6560134412.18989,-3598616544.71819,5772304822.842,5772304822.84682,46027375152.4479,1.01e+08,1.48e+08,1.27e+08,2.75e+08,-2e+07,-6e+06,-3.5e+07,-2.81e+08,-3.42e+08,3.4e+07,6.9e+07,1e+06,7e+07,0,-1.23256,0.88372,6.95666939953449,-0.100263350987202,0.20868,0.20754,0.23613,32.9755244202169,0.10983,0.52632
"2","2014_Q3",19.94875,"Down",3.34e+08,1.36e+08,9.6e+07,1.02e+08,9.5e+07,-5.7e+07,-5.5e+07,2.19e+08,-2e+07,-2e+07,1.99e+08,2.18e+08,-5.9e+07,1.59e+08,1.59e+08,1.59e+08,1.59e+08,37682876850.361,-16628107621.3112,121916093.547035,21891091214.3799,28303187576.2239,29396369885.9921,-35402410931.7905,1237464106.81166,27319612103.7873,22551035164.8005,2396893477.68515,4671067206.09494,-1315808272.3591,5752152411.421,5752152411.42341,28303187576.2239,1.21e+08,-1.108e+09,6.04e+08,-5.04e+08,-2e+07,4.95e+08,-1.77e+08,-2.9e+07,2.69e+08,-1.14e+08,-1.49e+08,1e+06,-1.48e+08,0,0.65569,0.47605,3.90542469976725,0.00593332450639894,0.89076,0.88579,1.87115,33.6120122101084,0.11204,0.12579
"3","2014_Q4",20.75359375,"Up",4.5e+08,1.44e+08,1.02e+08,2.04e+08,2.04e+08,4.4e+07,-5.4e+07,4.4e+08,-3.8e+07,-2.7e+07,4.02e+08,9.3e+07,-1.33e+08,-4e+07,-4e+07,-4e+07,-4e+07,19176292283.4537,-4955702540.43708,121638697.849012,8080697071.45996,18697395858.7413,11762456628.664,-10817803643.9302,1276821368.93722,10728870701.2624,12950345054.9335,2099631159.22838,3737355735.36498,-89936090.7863651,5747050803.807,5747050803.8078,18697395858.7413,1.25e+08,-5.14e+08,6.64e+08,1.5e+08,-1.8e+07,-1.2e+07,-2.26e+08,-3.9e+07,-2.95e+08,-2e+07,-2e+07,-4e+06,-2.4e+07,0,1.295176400343,0.41577565185967,2.24873156658908,0.0638177748354663,1.25875516475568,1.25130263751738,2.40365822681104,34.5355940700361,0.10676,0.00126754043476116
"4","2015_Q1",22.3649180327869,"Up",7.72e+08,1.58e+08,1.02e+08,5.12e+08,3.08e+08,-7.2e+07,-7.6e+07,6.22e+08,2.1e+07,-2.5e+07,6.43e+08,-2.93e+08,-2.24e+08,-5.17e+08,-5.17e+08,-5.17e+08,-5.17e+08,1.1384e+10,7.5e+07,1.21e+08,2.61e+09,1.4919e+10,5.06e+09,1.12e+08,1.297e+09,2.692e+09,9.161e+09,1.889e+09,3.494e+09,3.75e+08,5.758e+09,5.758e+09,1.4919e+10,3.22e+08,-3.72e+08,2.63e+08,-1.09e+08,-1.8e+07,-1e+06,-1.52e+08,-4.6e+07,-2.17e+08,-4e+06,-4000000.00000012,-3e+06,-6999999.99999988,1.297e+09,1.17548727196757,0.503548667208053,1.591,0.08694,1.37693809223512,1.36834895419399,2.4038682135602,35.7196,0.11166,0.0324610873498627
"5","2015_Q2",24.1903174603175,"Up",3.88e+08,1.42e+08,1.01e+08,1.45e+08,2.1e+07,-1.8e+07,-5.6e+07,3.1e+08,-3.4e+07,-2.5e+07,2.76e+08,2.69e+08,-6.5e+07,2.04e+08,2.04e+08,2.04e+08,2.04e+08,1.0314e+10,8.85e+08,1.2e+08,2.293e+09,1.4677e+10,4.914e+09,2.356e+09,1.304e+09,3.17e+08,8.891e+09,1.735e+09,3.676e+09,3.75e+08,5.786e+09,5.786e+09,1.4677e+10,2.3e+07,1.55e+08,8.46e+08,1.001e+09,-1.9e+07,-1e+06,-1.52e+08,-4e+07,-2.12e+08,8.12e+08,1.622e+09,-2e+06,1.62e+09,1.304e+09,0.79897,0.52577,1.53664,0.08885,1.30937,1.30102,2.49037,37.13736,0.12195,0.09314
"6","2015_Q3",21.94828125,"Down",3.79e+08,2.19e+08,9.8e+07,62000000.0000001,61999999.9999999,-1.88e+08,-6.6e+07,1.19e+08,2.9e+07,-2.6e+07,1.48e+08,-1.84e+08,-1.12e+08,-2.96e+08,-2.96e+08,-2.96e+08,-2.96e+08,1.1631e+10,7.5e+07,1.19e+08,3.654e+09,1.5479e+10,6.392e+09,1.427e+09,1.305e+09,5.49e+08,9.673e+09,1.607e+09,3.955e+09,2.44e+08,5.806e+09,5.806e+09,1.5479e+10,8.2e+07,-9.16e+08,2.14e+08,-7.02e+08,-1.8e+07,-999999.999999996,-1.33e+08,-4e+07,-1.92e+08,-8.12e+08,-1.622e+09,2e+06,-1.62e+09,1.305e+09,0.576264398842379,0.371267924973613,1.66604,0.08431,1.1216314022829,1.11470051504549,2.93404748451275,38.55246,0.11952,0.0997609676993478
"7","2015_Q4",23.50671875,"Up",3.81e+08,2.13e+08,1.12e+08,5.6e+07,-2.7e+07,-1.12e+08,-5.9e+07,2.1e+08,-2.5e+07,-2.5e+07,1.85e+08,1.72e+08,-4.3e+07,1.29e+08,1.29e+08,1.29e+08,1.29e+08,1.1343e+10,65999999.9999999,1.18e+08,3.507e+09,1.5034e+10,5.119e+09,2.294e+09,1.306e+09,4.96e+08,9.215e+09,1.475e+09,4.066e+09,2.78e+08,5.819e+09,5.819e+09,1.5034e+10,-1.44e+08,-4.48e+08,7.83e+08,3.35e+08,-1.8e+07,-1e+06,-1.35e+08,-4.4e+07,-1.98e+08,-7e+06,-7e+06,-2e+06,-9e+06,1.306e+09,0.55118,0.33858,1.58361,0.08687,0.88538,0.87995,2.61496,39.93823,0.12354,0.13953
"8","2016_Q1",21.6406557377049,"Down",7.43e+08,1.92e+08,1.12e+08,4.39e+08,6.46e+08,-1.06e+08,-5e+07,5.77e+08,-7.1e+07,-2.5e+07,5.06e+08,1.174e+09,-1.55e+08,1.019e+09,1.019e+09,1.019e+09,1.019e+09,1.1192e+10,1.66e+08,1.14e+08,3.072e+09,1.4544e+10,5.063e+09,1.846e+09,1.3e+09,2.72e+08,8.481e+09,1.343e+09,4.478e+09,2.42e+08,6.063e+09,6.063e+09,1.4544e+10,-26000000.0000001,-4.7e+08,8.24e+08,3.54e+08,-1.7e+07,-1e+06,-1.37e+08,-9e+07,-2.45e+08,8.3e+07,83000000.0000002,-2e+06,8.1e+07,1.3e+09,0.64376218270579,0.623879089379952,1.39881,0.08938,0.657016944227746,0.652470565313714,0.926329126740193,43.21454,0.12117,0.276372234407091
"9","2016_Q2",22.79546875,"Up",9.6e+07,1.83e+08,9.9e+07,-1.86e+08,-9.2e+07,-9e+07,6e+07,6.2e+07,2.6e+07,2.6e+07,8.8e+07,8.8e+07,-3e+07,5.8e+07,5.8e+07,5.8e+07,5.8e+07,1.1214e+10,1.12e+08,1.13e+08,2.115e+09,1.4452e+10,4.922e+09,1.831e+09,1.302e+09,2.84e+08,8.339e+09,1.27e+09,4.519e+09,3.24e+08,6.113e+09,6.113e+09,1.4452e+10,-9e+07,3.01e+08,-1.29e+08,1.72e+08,-1.8e+07,0,-7.6e+07,-4.2e+07,-1.36e+08,-5.4e+07,-1.08e+08,0,-1.08e+08,1.302e+09,0.64583,0.60417,1.36414,0.09009,0.42584,0.42336,0.704849999999999,44.88253,0.13216,0.31034
"10","2016_Q3",23.9909375,"Up",4.03e+08,2.14e+08,9.8e+07,90999999.9999999,1e+07,-1.02e+08,-6.3e+07,2.33e+08,-2.5e+07,-2.5e+07,2.08e+08,2.01e+08,-5.5e+07,1.46e+08,1.46e+08,1.46e+08,1.46e+08,1.0715e+10,1.9e+08,1.1e+08,3.077e+09,1.4092e+10,4.885e+09,1.297e+09,1.303e+09,3.57e+08,7.842e+09,1.214e+09,4.648e+09,3.88e+08,6.25e+09,6.25e+09,1.4092e+10,4.3e+07,-1.66e+08,1.222e+09,1.056e+09,-1.7e+07,-1e+06,-6e+07,-4.89e+08,-5.67e+08,5.32e+08,5.86e+08,-3e+06,5.83e+08,1.303e+09,0.57816,0.36228,1.25472,0.09246,1.08955,1.08309,3.00746,46.64179,0.12687,0.11644
