"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","interest_dividends_payable","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","pension_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","dividends_paid","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",4.02206349206349,"Up",29222232,-25784294,3437938,-1274470,-1274470,2163468,14027,14027,2177495,2177495,-742358,1435137,1435137,1435137,1435137,-117304497.981801,-117304497.981801,64513287.1232717,64513287.1232717,18494105.7105692,902079.631266538,902079.631266538,-33395025.5166939,12430660.0448837,34617733.0946655,-22187073.0497818,844213.431208617,844213.41268268,13274873.4760923,-20120152.0406016,-83878348.8622738,-65293035.3486258,-1883192.95521361,-7254102.41321341,-238463.230843986,-91132451.2754872,1325701.02857905,719909.26695277,1325701.02857905,-89806750.2469082,36978834.0000001,-5475964,38183728.2063064,69686598.2063066,69686598.2063066,-20120152.0406016,1435137,466200,10128,-6944920,-5033455,-428844,-14000,-442844,-67994,-81501,-5557800,-5557800,-5557800,2629668,0,-4001738,0.11765,0.07404,0.04911,0.814321835587515,0.723133594951811,-2.7884,47.2683225061123,-1.53184273486378,-3.70212253537395e-21,0.21107,0.21107,4.29774,10.249098622639,-0.58854,0.01,0.865685993938416,-8.38721258108399,0.04738,98.8401452904951,124.225353405011
"2","2010_Q3",4.23609375,"Up",29353262,-25465549,3887713,-1264251,-1264251,2623462,14000,14000,2637462,2637462,-853031,1784431,1784431,1784431,1784431,-55336508.4909007,-55336508.4909007,36115236.5616359,36115236.5616359,33329539.3552846,334328.315633269,334328.315633269,14442595.7416531,13600705.5224418,36389237.5473328,-22788532.0248909,859481.715604309,859481.70634134,14460187.2380461,28902782.9796992,-32040875.4311369,-24959722.6743129,-499634.977606806,-3149788.7066067,-119281.615421993,-35190664.1377436,1321786.51428952,739201.633476385,1321786.51428952,-33868877.6234541,36978834.0000001,-5475964,31268790.6031532,62771660.6031533,62771660.6031533,28902782.9796992,1784431,466201,10128,3681874,5942634,-35559.9999999999,-14000,-49560,-271978,-271978,5621096,5621096,5621096,3089663,0,7589008,0.13245,0.08938,0.06079,0.399245917793758,0.352886797475905,4.2529,24.0937212530561,-0.575751367431891,-1.85106126768698e-21,0.26244,0.26244,4.31701,9.23198931131948,1.11612,0.04,0.427192996969208,-3.921781290542,0.15242,44.9047526452476,56.2913967025057
"3","2010_Q4",5.418125,"Up",31135887,-27365134,3770753,-1160888,-1160888,2609865,15034,15034,2624899,2624899,-891405,1733494,1733494,1733494,1733494,-15367472.8303002,-15367472.8303002,19826212.5205453,19826212.5205453,37320949.7850949,96789.7718777563,96789.7718777563,41876479.2472177,14110275.5074806,37449180.1824443,-23338904.6749636,874743.905201436,874743.90211378,14985019.412682,56861498.6598997,-3045183.81037897,-2406667.89143764,332080.340797731,-887967.568868901,-23127.2051406643,-3933151.37924787,1317966.17142984,758412.877825462,1317966.17142984,-2615185.20781803,36978834,-5475964,27973813.8677177,59476683.8677178,59476683.8677178,56861498.6598997,1733494,474299,10129,-1672617,545305,-16938,-14000,-30938,-3943678,-3943678,-3429311,-3429311,-3429311,3084164,0,2286014,0.12111,0.08382,0.05568,0.161641972597919,0.141228932491968,1.31873,11.2078004176854,-0.0429704558106304,-6.17020422562325e-22,0.25495,0.25495,4.57918,8.74732310377316,0.33621,0.58,0.177280998989736,-1.314043763514,2.27499,13.4133642150825,16.8272722341686
"4","2011_Q1",7.20225806451613,"Up",41998111,-35786330,6211781,-1552001,-1552001,4659780,14077,14077,4673857,4673857,-1471282,3202575,3202575,3202575,3202575,7210290,7210290,12594954,12594954,34679270,77830,77830,54562344,14131787,37973278,-23841491,890000,890000,15021787,69584131,9417375,7338762,747939,50000,50000,9467375,1314242,777543,1314242,10781617,36978834,-5475964,27299644,58802514,58802514,69584131,3202575,471458,186823,-12301494,-8440638,-34000,-14000,-48000,-747938,-747938,-9236576,-9236576,-9236576,5131238,0,-5732974,0.14791,0.11095,0.07626,0.05446,0.04602,-1.79011,5.7632,0.18335,0,0.47101,0.47101,6.1767,8.64814,-0.84315,0.11,0.06571,-0.09536,0.23354,-1.40518,-1.54735
"5","2011_Q2",7.67936507936508,"Up",38935456,-34778631,4156825,-1419819,-1419819,2737006,17872,17872,2754878,2754878,-923467,1831411,1831411,1831411,1831411,17004461,17004461,11370200,11370200,29615433,165815,165815,58155909,13837657,38137248,-24299591,905250,905250,14742907,72898816,11655450,9249200,883927,182753,100100,11838203,1310616,796592,1310616,13148819,36978834,-5475964,28247127,59749997,59749997,72898816,1831411,458099,-3626,8435446,10721330,-163970,-15250,-179220,-747939,-747939,9794171,9794171,9794171,3195105,0,12390048,0.10676,0.0703,0.04704,0.03065,0.02512,6.7653,4.91256,0.22006,0,0.26935,0.26935,5.72627,8.78748,1.82221,0.11,0.04224,0.20291,0.40839,-5.32204,-6.2128
"6","2011_Q3",7.7421875,"Up",42039282,-37152879,4886403,-1426427,-1426427,3459976,15250,15250,3475226,3475226,-1160318,2314908,2314908,2314908,2314908,19564487,19564487,12273432,12273432,26259453,233653,233653,58331025,13424075,38181766,-24757691,920500,920500,14344575,72675600,10006453,8238005,883928,181181,150200,10187634,1306989,815641,1306989,11494623,36978834,-5475964,29678107,61180977,61180977,72675600,2314908,458101,-3626,734339,3503722,-44518,-15250,-59768,-883928,-883928,2560026,2560026,2560026,3918077,3.15544362088405e-30,5768216,0.11623,0.0823,0.05507,0.03784,0.03185,2.49177,5.72567,0.18788,0,0.34046,0.34046,6.18275,8.99794,0.848339999999999,0.13,0.05119,0.09231,0.38184,-4.99339,-5.65452
"7","2011_Q4",8.07571428571429,"Up",36987260,-33054379,3932881,-1244548,-1244548,2688333,15250,15250,2703583,2703583,-904333,1799250,1799250,1799250,1799250,19498049,19498049,12253389,12253389,28822263,169710,169710,60743411,13063458,38282549,-25219091,935750,935750,13999208,74742619,10779033,9277810,883928,563923,200300,11342956,1303363,834690,1303363,12646319,36978834,-5475964,30593430,62096300,62096300,74742619,1799250,461398,-3626,-1323501,933521,-100782,-15250,-116032,-883927,-883927,-66438,-66438,-66438,3149731,0,2629781,0.10633,0.07268,0.04865,0.02898,0.02407,1.4616,5.35517,0.20366,-1.88079096131566e-37,0.26462,0.26462,5.43975,9.13256,0.38676,0.13,0.04232,0.04148,0.49128,-6.19039,-7.25284
"8","2012_Q1",8.63177419354839,"Up",43559995,-38929631,4630364,-1400943,-1400943,3229421,43452,43452,3272873,3272873,-1067978,2204895,2204895,2204895,2204895,11881548,11881548,16284377,16284377,36753680,88286,88286,65007891,12611502,37935615,-25324113,951000,951000,13562502,78570393,13800888,12091154,883928,52500,52500,13853388,1299737,853738,1299737,15153125,36978834,-5475964,31914398,63417268,63417268,78570393,2204895,462292,-3627,-9370549,-6706989,-12133,-13450,-25583,-883929,-883929,-7616501,-7616501,-7616501,3691713,-5.04870979341448e-29,-4622991,0.1063,0.07414,0.05062,0.03477,0.02806,-2.09669,4.69256,0.23894,0,0.32428,0.32428,6.40641,9.32683,-0.67991,0.13,0.04773,-0.07143,0.40089,-3.21844,-3.67916
"9","2012_Q2",8.59428571428571,"Down",39434770,-34787012,4647758,-1559836,-1559836,3087922,12208,12208,3100130,3100130,-1008276,2091854,2091854,2091854,2091854,13856998,13856998,11639338,11639338,34840175,8893,8893,60345404,12209402,37981190,-25771788,966500,966500,13175902,73521306,7496674,4933881,883928,105000,105000,7601674,1294438,876092,1294438,8896112,36978834,-5475964,33122324,64625194,64625194,73521306,2091854,450297,-5298,386223,2923076,-90573,26875,-63698,-883928,-883928,1975450,1975450,1975450,3538219,0,4842145,0.11786,0.0783,0.05305,0.03237,0.02845,2.31476,7.93844,0.13766,3.00926553810506e-36,0.30765,0.30765,5.79971,9.50448,0.71214,0.13,0.04514,0.07346,0.42256,-3.91638,-4.48748
"10","2012_Q3",7.99396825396825,"Down",33334070,-29557273,3776797,-1322548,-1322548,2454249,15526,15526,2469775,2469775,-825446,1644329,1644329,1644329,1644329,20683557,20683557,8301540,8301540,34212932,298178,298178,63496207,11803724,38025812,-26222088,982000,982000,12785724,76281931,9442976,7866559,883928,157500,157500,9600476,1295860,898444,1295860,10896336,36978834,-5475964,33882725,65385595,65385595,76281931,1644329,450301,1421,5674558,7770609,-44623,-15500,-60123,-883927,-883927,6826559,6826559,6826559,2904550,0,9359931,0.1133,0.07363,0.04933,0.02515,0.02156,5.69225,6.61386,0.16665,0,0.24183,0.24183,4.90247,9.61631,1.37657,0.13,0.03792,0.14037,0.53756,-7.12109,-8.42765
