"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","net_income_2","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",26.5931746031746,"Down",488423000,-437005000,51418000,-33731000,-33731000,17687000,-219000,-103000,-116000,17468000,17468000,-6533000,10935000,10935000,10935000,10935000,181322964.04185,181322964.04185,-243110674.322058,-243110674.322058,1481833744.85418,-76011375.5084356,-84088967.6534464,1344034659.06553,46012416.4284141,-28578603.6372344,31043083.6510161,-59621689.2573846,17433812.7911797,1361468471.85671,368294183.895394,569542851.436931,-201248667.541536,629581572.513848,512904855.186425,-63360728.6840539,-63357359.9216628,449544126.502371,1079125699.01622,120881952.234725,493033318.408345,-331572497.802577,282342772.840492,282342772.840492,1361468471.85671,10935000,10935000,1467000,4201000,-56704000,-40101000,-148000,-148000,723078702.238556,-2597743.23395841,-2597743.23398528,163000,163000,-40086000,-40086000,247000,-39839000,19154000,0,-31165000,0.10527,0.03621,0.02239,0.38802582962637,0.20243238404821,-2.85002,1.96318365300813,2.3438359983498,0.576587110808321,0.4116,0.4077,18.38457,10.9834782532837,-1.17307,0.325526460691094,0.690890236966282,2.25810409588395,1.73653367526531
"2","2010_Q3",26.7465625,"Up",548112000,-491816000,56296000,-38167000,-38167000,18129000,232000,58000,174000,18361000,18361000,-6546000,11815000,11815000,11815000,11815000,118668982.020925,118668982.020925,48524162.8389711,48524162.8389711,836995372.427088,-17410187.7542178,-27941483.8267232,986778329.532766,33047208.214207,25689198.1813828,33501541.8255081,-7812344.62869228,58736406.3955899,1045514735.92836,321623091.947697,404023425.718465,-82400333.7707682,452202286.256924,235438927.593212,-22537864.3420269,-22536179.9608314,212901063.251185,665103349.50811,115095976.117362,420979159.204172,-155663748.901289,380411386.420246,380411386.420246,1045514735.92836,11815000,11815000,1391000,7009000,-57784000,-37569000,-369000,-12016000,305247851.119278,111000,111000,-97000.0000000001,14000.0000000001,-49571000,-49571000,-254000,-49825000,19520000,1.86264514923096e-09,-32087000,0.10271,0.03308,0.02156,0.178802914813185,0.0937861920241052,-2.71579,2.13546682650406,1.4489179991749,0.266053555404161,0.44459,0.44084,20.6251,14.4359591266418,-1.20741,0.151233230345547,0.377025118483141,0.0202120479419726,-0.260028162367342
"3","2010_Q4",30.393125,"Up",496102000,-441711000,54391000,-35414000,-35414000,18977000,-60000,97000,-157000,18917000,18917000,-6903000,12014000,12014000,12014000,12014000,69566327.3403083,69566327.3403083,242446387.61299,242446387.61299,484553457.475696,14900937.4152607,3203505.39109226,811467109.844255,25954069.4047357,55193066.0604609,33966180.6085027,21226885.1237692,81147135.4651966,892614245.309452,299233030.649232,316911808.572822,-17678777.9235894,359930095.418975,86689642.5310708,484378.552657686,484940.013056202,87174021.0837285,447104116.502703,112306325.372454,389179719.734724,-55975916.3004296,445510128.806749,445510128.806749,892614245.309452,12014000,12014000,1679000,4041000,-24843000,-7109000,-3231000,-1814000,82988617.0397593,694000,694000,-1000,693000,-8230000,-8230000,-93000,-8323000,20656000,0,-515000,0.10964,0.03825,0.02422,0.0686676382710616,0.0367820640080351,-0.04287,2.25223894216802,0.959302666391634,0.0992545184680536,0.45154,0.44645,18.64554,16.7579730422139,-0.01936,0.0596077434485157,0.16563503949438,-0.588069317352676,-0.703136054122447
"4","2011_Q1",35.0785483870968,"Up",582342000,-525520000,56822000,-35839000,-35839000,20983000,12000.0000000001,-137000,149000,20995000,20995000,-6947000,14048000,14048000,14048000,14048000,34605000,34605000,357749000,357749000,346610000,28828000,16762000,767792000,23528000,68430000,33785000,34645000,91958000,859750000,295812000,287864000,7948000,330839000,30429000,11631000,11631000,42060000,372899000,111951000,386634000,-11734000,486851000,486851000,859750000,14048000,14048000,1527000,-3217000,-5743000,6615000,-1858000,-1622000,0,290000,290000,162000,452000,5445000,5445000,-517000,4928000,22510000,30429000,21856000,0.09757,0.03603,0.02412,0.02885,0.01634,1.55581,2.32074,0.76594,0.03539,0.52671,0.52138,21.83428,18.25395,0.81947,0.02656,0.04132,-0.18552,-0.19902
"5","2011_Q2",35.0830158730159,"Up",634530000,-571049000,63481000,-38633000,-38633000,24848000,-439000,-66000,-373000,24409000,24409000,-8701000,15708000,15708000,15708000,15708000,14375000,14375000,413525000,413525000,345267000,32277000,20150000,805444000,24564000,73897000,34306000,39591000,98461000,903905000,306048000,296536000,9512000,343003000,30429000,16827000,16827000,47256000,390259000,113468000,402341000,-2163000,513646000,513646000,903905000,15708000,15708000,1510000,3104000,-39558000,-19236000,-1851000,-1851000,-19000,172000,172000,119000,272000,-20815000,-20815000,585000,-20230000,26358000,30429000,-6350000,0.10004,0.03916,0.02476,0.03058,0.01738,-0.40425,2.34821,0.75978,0.03366,0.58803,0.58195,23.7536,19.22832,-0.23771,0.028,-0.01132,0.60908,0.64609
"6","2011_Q3",33.08984375,"Down",683645000,-613019000,70626000,-37088000,-37088000,33538000,99000.0000000001,-83000,182000,33637000,33637000,-12017000,21620000,21620000,21620000,21620000,13037000,13037000,415789000,415789000,389442000,33682000,21691000,851950000,27563000,73966000,34084000,39882000,101529000,953479000,308744000,304462000,4282000,356640000,43210000,17980000,17980000,61190000,417830000,116338000,423962000,-4651000,535649000,535649000,953479000,21620000,21620000,1446000,4407000,-41314000,-13841000,-3864000,-3864000,14837000,2187000,2187000,-557000,16467000,-1238000,-1238000,-1e+05,-1338000,34984000,45183000,1823000,0.10331,0.04906,0.03162,0.04036,0.02267,0.08432,2.38882,0.78004,0.04739,0.80717,0.79649,25.52343,19.9981,0.0680599999999998,0.0361,0.00304,0.91888,0.95849
"7","2011_Q4",34.1439682539683,"Up",613466000,-547636000,65830000,-40350000,-40350000,25480000,-416000,-115000,-301000,25064000,25064000,-8530000,16534000,16534000,16534000,16534000,31181000,31181000,383634000,383634000,401237000,40949000,28801000,857001000,31320000,77134000,34467000,42667000,108454000,965455000,298588000,291298000,7290000,349824000,32544000,21015000,21015000,53559000,403383000,119999000,440496000,1577000,562072000,562072000,965455000,16534000,16534000,1394000,1910000,11693000,31531000,-4483000,-4483000,-11733000,2519000,2519000,-6000,-9220000,17828000,17828000,316000,18144000,26874000,34543000,42614000,0.10731,0.04153,0.02695,0.02942,0.01713,2.57736,2.44981,0.71767,0.03578,0.61385,0.60321,22.77579,20.86772,1.58211,0.02677,0.069,0.1251,0.13195
"8","2012_Q1",37.1998387096774,"Up",734890000,-660520000,74370000,-45127000,-45127000,29243000,-467000,-247000,-220000,28776000,28776000,-9115000,19661000,19661000,19661000,19661000,28747000,28747000,462102000,462102000,467350000,51315000,35421000,1009514000,36819000,135855000,59090000,76765000,172674000,1182188000,411628000,406453000,5175000,477347000,56942000,60505000,60505000,117447000,594794000,123608000,460157000,3629000,587394000,587394000,1182188000,19661000,19661000,2114000,1380000,-10921000,12234000,-4671000,-40899000,23997000,1494000,1494000,647000,26138000,-2527000,-2527000,93000,-2434000,31357000,60106000,24880000,0.1012,0.03979,0.02675,0.03347,0.01663,1.26545,2.11484,1.0126,0.05084,0.7267,0.71656,27.16282,21.71111,0.91961,0.02777,0.03514,1.00006,1.07236
"9","2012_Q2",32.201746031746,"Down",770259000,-691169000,79090000,-47463000,-47463000,31627000,-3566000,-36000,-3530000,28061000,28061000,-9681000,18380000,18380000,18380000,18380000,37252000,37252000,478675000,478675000,481253000,57792000,42421000,1054972000,37984000,123681000,55310000,68371000,161665000,1216637000,401545000,390045000,11500000,491737000,75387000,51855000,51855000,127242000,618979000,127335000,478536000,-8213000,597658000,597658000,1216637000,18380000,18380000,2582000,1455000,-55981000,-33564000,-2339000,-2339000,44584000,719000,719000,1175000,46478000,10575000,10575000,-2070000,8505000,34209000,104039000,-14430000,0.10268,0.04106,0.02386,0.03075,0.01511,-0.78509,2.1454,1.03567,0.08551,0.67728,0.66713,28.38304,22.02292,-0.53173,0.02439,-0.01915,1.95232,2.11171
"10","2012_Q3",30.2763492063492,"Down",782684000,-702844000,79840000,-47752000,-47752000,32088000,625000,252000,373000,32713000,32713000,-11347000,21366000,21366000,21366000,21366000,42593000,42593000,491587000,491587000,516659000,56865000,41658000,1107704000,41853000,121397000,54612000,66785000,163250000,1270954000,435215000,433388000,1827000,507944000,100407000,46500000,46500000,146907000,654851000,130722000,499903000,-14522000,616103000,616103000,1270954000,21366000,21366000,2258000,4271000,-17043000,10852000,-3174000,-3174000,-2833000,2648000,2648000,-1019000,-1204000,6474000,6474000,-1133000,5341000,34346000,101077000,25476000,0.10201,0.041,0.0273,0.03468,0.01681,1.19236,2.18076,1.06289,0.07953,0.78425,0.77253,28.72867,22.61426,0.9351,0.02798,0.03336,1.70279,1.82261
