"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","depreciation_amortization","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_acquisitions_divestitures","other_investing_activities","net_cash_from_investing_activities","cash_from_repurchase_of_equity","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"17","2014_Q2",14.1395238095238,"Down",740247000,-209234000,531013000,-459301000,-393688000,-38816000,-26797000,71712000,-16022000,-1958000,55690000,55690000,-21385000,34305000,33491000,2394000,35885000,35885000,1042854000,1003311000,39543000,241017000,241017000,187205000,187205000,1471076000,291111000,184282000,2277587000,472237000,1715601000,89749000,2752980000,4224056000,424746000,67516000,357230000,175897000,175897000,600643000,1.08e+09,806304000,324342000,481962000,1886304000,2486947000,11375391000,3150000,-7697000,1709494000,27615000,1737109000,4224056000,34305000,26797000,-5933000,-12528000,42641000,-9721000,-32848000,-77981000,-8018000,-128568000,920000,6262000,-12822000,-98749000,-98749000,1616000,-97133000,98509000,1.08e+09,97645000,0.71735,0.09688,0.04848,0.02066,0.0085,2.72105,2.44917,1.43166,0.25568,0.09478,0.08965,1.95514,4.51513,0.2579,0.01542,0.02695,0.37708,0.51799
"18","2014_Q3",14.3371875,"Up",756315000,-210730000,545585000,-449895000,-382387000,-38845000,-28663000,95690000,-83796000,-69750000,11894000,11894000,-29889000,-17995000,-18863000,866999.999999999,-17996000,-17996000,1068937000,987326000,81611000,223436000,223436000,185059000,185059000,1477432000,291289000,119487000,2279270000,470361000,1720650000,88259000,2690046000,4167478000,403307000,58569000,344738000,184423000,184423000,587730000,1.08e+09,800784000,327957000,472827000,1880784000,2468514000,11359030000,-14846000,-9906000,1672928000,26036000,1698964000,4167478000,-17995000,28663000,83982000,11480000,106130000,-16836000,-44534000,-25399000,-4496000,-91265000,-14743000,1210000,-33615000,-18750000,-18907000.0000001,2922000,-15985000.0000001,124353000,1.08e+09,148886000,0.72137,0.12652,-0.02379,-0.01059,-0.00432,-8.27328,2.51379,1.45295,0.25915,-0.04713,-0.04713,1.98092,4.38168,0.38996,0.00058,0.04159,0.08896,0.11561
"19","2014_Q4",13.49453125,"Down",782231000,-224695000,557536000,-456583000,-385308000,-40691000,-30584000,100953000,-10508000,12898000,90445000,90445000,59816000,150261000,325991000,821000,326812000,326812000,1050761000,931712000,119049000,235035000,235035000,169483000,169483000,1455279000,300955000,117235000,2364941000,511255000,1799440000,54246000,2783131000,4238410000,444720000,74908000,369812000,208973000,208973000,653693000,1.08e+09,493982000,422630000,71352000,1573982000,2227675000,11399623000,283523000,-46768000,1975028000,35707000,2010735000,4238410000,150261000,30584000,82611000,-117566000,145890000,-12476000,-32506000,-140816000,6735000,-179063000,9e+06,6818000,-12601000,-45774000,-45788000,-9826000,-55614000,131537000,1.08e+09,-58321000,0.71275,0.12906,0.41779,0.16253,0.07711,-0.17845,2.22624,1.10789,0.25481,0.85175,0.80187,2.03867,5.14737,-0.152,0.0991,-0.01627,0.22229,0.28963
"20","2015_Q1",13.8668852459016,"Up",830754000,-215545000,615209000,-504837000,-429636000,-42163000,-33038000,110372000,1528000,6326000,111900000,111900000,-43914000,67986000,68611000,1561000,70172000.0000001,70172000.0000001,1151053000,990405000,160648000,236086000,236086000,148749000,148749000,1535888000,302459000,114983000,2303555000,491936000,1754926000,56693000,2720997000,4256885000,478712000,81163000,397549000,194988000,194988000,673700000,1.08e+09,469616000,391790000,77826000,1549616000,2223316000,11415885000,325118000,-87700000,1991953000,41616000,2033569000,4256885000,67986000,33038000,-7340000,35703000,129387000,-18200000,14094000,-15195000,-21597000,-40898000,6432000,459000,-21942000,66547000,66573000,-7880000,58693000,143410000,1.08e+09,204827000,0.74054,0.13286,0.08447,0.03451,0.01648,2.91893,2.27978,1.09331,0.25371,0.18218,0.16082,2.15677,5.17144,0.53176,0.02763,0.05716,-0.49545,-0.64376
"21","2015_Q2",15.9734920634921,"Up",772512000,-186737000,585775000,-550656000,-477276000,-45257000,-28123000,35119000,-7076000,6988000,28043000,28043000,-6180000,21863000,21988000,4417000,26405000,26405000,877218000,671597000,205621000,232464000,232464000,184261000,184261000,1293943000,297956000,123679000,2242527000,469552000,1720901000,52074000,2664162000,3958105000,411276000,83446000,327830000,214476000,214476000,625752000,1.08e+09,471344000,407784000,63560000,1551344000,2177096000,11434489000,322848000,-143273000,1752714000,28295000,1781009000,3958105000,21863000,28123000,-4561000,-49235000,-3810000,-12876000,-41765000,-5709000,-5617000,-65967000,-2e+08,-8901000,-237576000,-307353000,-307353000,-11455000,-318808000,63242000,1.08e+09,7311000,0.75827,0.04546,0.03418,0.01483,0.00667,0.27688,2.06782,1.22239,0.27286,0.06893,0.06481,2.01667,4.57553,0.01909,0.01653,0.00218999999999997,3.20645,5.77414
"22","2015_Q3",16.06875,"Up",771132000,-177963000,593169000,-530400000,-454059000,-46430000,-29911000,62769000,-16852000,-1638000,45917000,45917000,11968000,57885000,57732000,1573000,59305000,59305000,889932000,656409000,233523000,223106000,223106000,209724000,209724000,1322762000,297158000,131385000,2323753000,472082000,1778830000,72841000,2752296000,4075058000,402184000,79434000,322750000,232673000,232673000,714857000,1e+09,516638000,432688000,83950000,1516638000,2231495000,11452932000,354099000,-130295000,1815386000,28177000,1843563000,4075058000,57885000,29911000,12616000,-10823000,89589000,-13940000,-30553000,-37577000,-4827000,-86897000,0,4097000,-23956999.9999999,-21265000,-21508000.0000001,6320000,-15188000,92680000,1.08e+09,55949000,0.76922,0.0814,0.07691,0.03217,0.01455,0.94341,1.85039,1.21043,0.26503,0.15677,0.14835,2.0384,4.79876,0.14789,0.02539,0.01626,2.0508,3.02806
"23","2015_Q4",14.07875,"Down",838561000,-199377000,639184000,-552054000,-477232000,-46859000,-27963000,87130000,18406000,34398000,105536000,105536000,-40510000,65026000,65043000,568000,65611000,65611000,820385000,766448000,53937000,246978000,246978000,178883000,178883000,1246246000,299078000,138825000,2343169000,459921000,1769141000,114107000,2781072000,4027318000,415510000,68448000,347062000,237947000,237947000,653457000,1e+09,503443000,417326000,86117000,1503443000,2156900000,11459537000,391492000,-144488000,1845191000,25227000,1870418000,4027318000,65026000,27963000,-29442000,34781000,98328000,-17742000,180663000,0,-18724000,144197000,0,-21345000,-129563000,112962000,113015000,-2976000,110039000,115093000,1e+09,172642000,0.76224,0.1039,0.07824,0.03508,0.01629,2.6313,1.90716,1.15316,0.2483,0.1724,0.16079,2.20343,4.84849,0.45364,0.02781,0.05117,1.56061,2.06146
"24","2016_Q1",10.4914754098361,"Down",848728000,-214084000,634644000,-626018000,-451781000,-58077000,-116160000,8626000,-31176000,-2810000,-22550000,-36606000,5206000.00000001,-31400000,-31389000,-460000,-31849000,-31849000,1520647000,1481447000,39200000,250077000,250077000,174286000,174286000,1945010000,302817000,137386000,2803478000,440828000,2245364000,117286000,3243681000,5188691000,470134000,86883000,383251000,258412000,258412000,768546000,1726954000,446975000,348773000,98202000,2173929000,2942475000,11486585000,331394000,-152103000,1804526000,441690000,2246216000,5188691000,-31400000,116160000,62544000,74260000,221564000,-17491000,26396000,-574116000,-8843000.00000001,-574054000,3894000,-122948000,1069486000,716996000,717186000,-2187000,714999000,124786000,1766954000,176349000,0.74776,0.01016,-0.03753,-0.01418,-0.00614,-5.53703,2.53077,1.30997,0.34054,-0.0836,-0.07856,2.22781,4.73667,0.4629,-0.00081,0.03954,1.97384,28.55402
"25","2016_Q2",11.2903125,"Up",819179000,-193734000,625445000,-604028000,-515315000,-59098000,-29615000,21417000,-11963000,15897000,9454000,9454000,-1520000,7934000,7934000,348000,8282000,8282000,1344980000,1238664000,106316000,234546000,234546000,304803000,304803000,1884329000,304963000,129695000,2733356000,426824000,2198558000,107974000,3168014000,5052343000,438819000,96503000,342316000,273123000,273123000,776942000,1660872000,459886000,350526000,109360000,2120758000,2897700000,11841606000,339676000,-110964000,2065438000,89205000.0000001,2154643000,5052343000,7934000,29615000,29381000,-27569000,39361000,-16090000,26206000,-2252000,-83933000,-76069000,-135938000,-26940000,-205790000,-242498000,-242498000,-285000,-242783000,51032000,1725872000,8893000,0.7635,0.02614,0.01011,0.00383999999999999,0.00163999999999999,1.07377,2.42531,1.34486,0.3416,0.022,0.02127,2.17567,5.48564,0.02362,0.00191000000000001,0.00205,7.46379,17.78456
"26","2016_Q3",12.8665625,"Up",745439000,-170397000,575042000,-552121000,-444006000,-53565000,-54550000,22921000,-34836000,-7192000,-11915000,-287282000,96740000,-190542000,-190542000,-4233000,-194775000,-194775000,1325192000,1245984000,79208000,189491000,189491000,278185000,278185000,1792868000,306999000,127318000,2432837000,395262000,1937675000,99900000,2867154000,4660022000,356473000,61749000,294724000,285733000,285733000,692206000,1655259000,375203000,259738000,115465000,2030462000,2722668000,11862941000,144901000,-117407000,1814450000,122904000,1937354000,4660022000,-190542000,54550000,228043000,-48218000,43833000,-19043000,30663000,-271999.99999994,83692000,95039999.9999999,-67746000,-34604000,-130548000,8324999.99999976,8325000,-1005000,7320000,77471000,1705259000,-86530000,0.77141,0.03075,-0.26129,-0.10054,-0.0418,0.44426,2.59008,1.40535,0.36593,-0.5336,-0.5336,2.04217,4.97078,-0.23705,-0.04848,-0.02154,4.90593,16.58161
