"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_short_term_liabilities","deferred_revenue_short_term","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_change_in_long_term_investment","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2011_Q1",14.9956451612903,"Up",280000,51786118.621155,-12783777.0318539,-36869000,-10327000,-26542000,-36589000,170000,170000,-36419000,-36419000,-36419000,-36419000,-36419000,-36419000,283674000,147650000,136024000,341000,341000,6864000,2235000,2235000,293114000,12311000,322000,322000,12633000,305747000,9515000,9515000,11215000,3221000,7994000,20840000,5041000,5041000,5041000,25881000,612054000,-332167000,-21000,279866000,279866000,305747000,-36419000,1457000,3815000,-7900000,-39047000,-1229000,-1229000,-1229000,-86283000,-87512000,211221000,211221000,211492000,84933000,84933000,84933000,-35132000,110000,-0.293776284985025,-130.675,-130.06786,-0.13013,-0.11911,14.06497,0.09248,0.00036,-3.66462,-3.66462,0.02817,28.1612,-0.12778,8.07139,7.74998
"2","2011_Q2",11.824126984127,"Down",270000,22179559.3105775,-1818388.51592695,-35237000,-11119000,-24118000,-34967000,158000,158000,-34809000,-34809000,-34809000,-34809000,-34809000,-34809000,246517649.273746,75250991.3975683,171266657.876178,5154027.4432793,5154027.4432793,14502591.8131837,3984652.34483264,3984652.34483264,270158920.875042,14644154.420809,307512.074165231,307512.074165231,14951666.4949742,285110587.370016,8794287.03857635,8794249.51555134,12054322.3882958,1424467.62894892,10629854.7593468,20966645.0407147,6747449.59631243,6747637.77463769,6745115.70628766,27711760.7470024,615576992.577285,-358472122.620052,293956.665781535,257398826.623014,257398826.623014,285110587.370016,-34809000,1468000,3130000,-3247000,-33458000,-1496000,-1496000,-1496000,-28414000,-29910000,333000.00000003,333000.00000003,333000,-63035000.0000001,-63035000.0000001,-63035000.0000001,-33499000,-2.91038304567337e-11,0.245026857507487,-129.50741,-128.92222,-0.0628228814660563,-0.0575628457612231,12.854724322669,0.107562653706459,0.000403754987795532,-3.50262,-3.50262,0.02717,10.53084997775,-0.0612788260963396,12.7808260306145,11.9305502739011
"3","2011_Q3",7.77640625,"Down",10630000,3179186.43685918,2880870.49469102,-30562000,-11016000,-19546000,-22663000,188000,188000,-22475000,-22475000,-22475000,-22475000,-22475000,-22475000,216588000,54514000,162074000,5437000,5437000,19552000,3151000,3151000,244728000,16180000,312000,312000,16492000,261220000,9032000,9032000,12306000,2381000,9925000,21463000,6431000,6431000,6431000,27894000,622596000,-389451000,181000,233326000,233326000,261220000,-22475000,1387000,3182000,-12987000,-30893000,-4092000,-4092000,-4092000,1566000,-2526000,3318000,3318000,3318000,-30101000,-30101000,-30101000,-21276000,125000,0.402648952502496,-2.13198,-2.1143,-0.09632,-0.08604,11.40232,0.11955,0.00048,-0.4236,-0.4236,0.20035,4.39765,-0.09369,10.17405,9.55138
"4","2011_Q4",3.12968253968254,"Down",10519000,-7191000,3328000,-32765000,-12764000,-20001000,-29437000,156000,156000,-29281000,-29281000,-29281000,-29281000,-29281000,-29281000,193696000,57580000,136116000,4434000,4434000,20262000,1891000,1891000,220283000,17359000,319000,319000,17678000,237961000,8158000,8158000,12842000,3970000,8872000,21132000,6145000,6145000,6145000,27277000,629420000,-418732000,-4000,210684000,210684000,237961000,-29281000,1441000,2830000,1159000,-23851000,-2258000,-2258000,-2258000,25340000,23082000,3835000,3835000,3835000,3066000,3066000,3066000,-27996000,132000,0.31638,-2.79846000000001,-2.78363,-0.13898,-0.12305,10.42414,0.12947,0.00055,-0.5394,-0.5394,0.19378,3.88114,-0.13496,6.91399,6.57553
"5","2012_Q1",3.92225806451613,"Up",12444000,-10907000,1537000,-24226000,-11811000,-12415000,-22689000,-134000,153000,-22823000,-22823000,-22823000,-22823000,-22823000,-22823000,177434000,58865000,118569000,4557000,4557000,15517000,2093000,2093000,199601000,18398000,317000,317000,18715000,218316000,4742000,4742000,14494000,4236000,10258000,19376000,7477000,7477000,7477000,26853000,632961000,-441555000,57000,191463000,191463000,218316000,-22823000,1507000,3468000,3076000,-14772000,-1438000,-1438000,-1438000,17238000,15800000,257000,257000,257000,1285000,1285000,1285000,-21182000,140000,0.12351,-1.82329,-1.83406,-0.1192,-0.10454,10.30146,0.14025,0.00064,-0.41423,-0.41423,0.22585,3.47495,-0.11464,8.37003,7.81409
"6","2012_Q2",2.45666666666667,"Down",10038000,-10190000,-152000,-27358000,-15285000,-12073000,-27510000,-70000,-70000,-27580000,-27580000,-27580000,-27580000,-27580000,-27580000,161349000,56260000,105089000,1505000,1505000,11821000,2131000,2131000,176806000,17592000,340000,340000,17932000,194738000,4250000,4250000,15398000,3920000,11478000,19796000,7039000,7039000,7039000,26835000,636903000,-469135000,135000,167903000,167903000,194738000,-27580000,1629000,2240000,6373000,-17338000,-274000,-274000,-274000,13252000,12978000,1755000,1755000,1755000,-2605000,-2605000,-2605000,-25881000,148000,-0.01514,-2.74059,-2.74756,-0.16426,-0.14163,8.9314,0.15982,0.00076,-0.49963,-0.49963,0.18184,3.04167,-0.15752,6.22855,5.85972
"7","2012_Q3",1.95666666666667,"Down",7291000,-7016000,275000,-22830000,-11558000,-11272000,-22555000,68000,207000,-22487000,-22487000,-22487000,-22487000,-22487000,-22487000,137108000,33623000,103485000,3371000,3371000,10271000,1893000,1893000,152643000,16937000,350000,350000,17287000,169930000,4061000,4061000,10709000,4170000,6539000,14926000,6800000,6800000,6800000,21726000,639751000,-491622000,75000,148204000,148204000,169930000,-22487000,1724000,2583000,-5432000,-23612000,-507000,-507000,-507000,1217000,710000,265000,265000,265000,-22637000,-22637000,-22637000,-20831000,156000,0.03772,-3.09354,-3.08421,-0.15173,-0.13233,10.22665,0.1466,0.00092,-0.40397,-0.40397,0.13098,2.66243,-0.14493,6.57443,6.07191
"8","2012_Q4",1.48403225806452,"Down",2776000,-2586000,190000,-22769000,-10143000,-12626000,-22579000,-150000,-82000,-22729000,-22729000,-22729000,-22729000,-22729000,-22729000,119402000,32558000,86844000,532000,532000,10202000,2202000,2202000,132338000,15514000,356000,356000,15870000,148208000,2897000,2897000,10564000,3555000,7009000,13626000,6045000,6045000,6045000,19671000,642822000,-514351000,66000,128537000,128537000,148208000,-22729000,1688000,2605000,787000,-17649000,-482000,-482000,-482000,16383000,15901000,683000,683000,683000,-1065000,-1065000,-1065000,-20891000,165000,0.06844,-8.13365,-8.18768,-0.17683,-0.15336,9.71217,0.15304,0.00111,-0.40675,-0.40675,0.04968,2.30023,-0.16868,5.70758,5.28088
"9","2013_Q1",2.36516666666667,"Up",5878000,-5251000,627000,-22321000,-10669000,-11652000,-21694000,25000,92000,-21669000,-21669000,-21669000,-21669000,-21669000,-21669000,100580000,46540000,54040000,2822000,2822000,9592000,2006000,2006000,1.15e+08,14329000,354000,354000,14683000,129683000,2988000,2988000,11582000,3378000,8204000,14743000,5558000,5558000,5558000,20301000,645372000,-536020000,30000,109382000,109382000,129683000,-21669000,1608000,3572000,-1734000,-18223000,-440000,-440000,-440000,32643000,32203000,2000,2000,2000,13982000,13982000,13982000,-20086000,173000,0.10667,-3.69071,-3.68646,-0.1981,-0.16709,7.80031,0.1856,0.00133,-0.38567,-0.38567,0.10462,1.94678,-0.18824,4.99885,4.62833
"10","2013_Q2",2.49,"Up",5578000,-4648000,930000,-21537000,-9554000,-11983000,-20607000,-497000,-71000,-21104000,-21104000,-21104000,-21104000,-21104000,-21104000,112305000,53038000,59267000,2009000,2009000,10597000,1570000,1570000,126481000,12779000,514000,514000,13293000,139774000,3011000,3011000,10386000,2961000,7425000,13579000,6253000,5254000,19104000,32683000,664204000,-557124000,11000,107091000,107091000,139774000,-21104000,1493000,2867000,-831000.000000001,-17575000,-297000,-297000,-297000,-5286000,-5583000,9890000,9890000,29656000,6498000,6498000,6498000,-19114000,13033000,0.16673,-3.69433,-3.78343,-0.19707,-0.15099,9.31446,0.30519,0.09324,-0.36784,-0.36784,0.09723,1.86661,-0.16699,5.19368,4.81739
