"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_cash_from_acquisitions_divestitures","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2011_Q2",38.808253968254,"Up",128453000,-81555000,46898000,-41207000,-31976000,-9231000,5691000,-590000,-590000,5101000,-256000,4845000,-1453000,3392000,3392000,3392000,3392000,-573180464.74636,-573180464.74636,512536236.058784,512536236.058784,331935341.641562,-21119828.9899498,-229435.648705866,250171283.964036,-237224876.85302,-33623700.6631603,28108387.0658458,10466419.8299796,-72198507.5589857,-270848577.51618,-20677293.5521436,865890236.601027,688526956.583637,177273918.022728,-39904557.6398976,-164186324.823731,826074686.844157,443995.992136592,-1253524550.84142,-1253730788.28006,-1253080554.84928,-427005868.005127,230104244.861964,219522358.631777,-43298029.0407577,406328574.452983,406328574.452983,-20677293.5521436,3392000,4468000,1132000,604000,9596000,-2683000,-2683000,-2012000,-2048000,-4731000,-6783000,4801000,4801000,-1982000,2883000,2883000,697000,3580000,10159000,0,9533000,0.3651,0.0443,0.02641,0.918408637598344,0.613196890787789,2.81044,-8.93531335933147,-0.99558743125517,0.0049810911540836,0.18402,0.1778,6.96864,26.9727124100414,0.51717,0.883092152986905,-1.11940009645542,120.197540729404,229.742794404464
"2","2011_Q3",38.17359375,"Down",169287000,-109264000,60023000,-45800000,-33958000,-11842000,14223000,-506000,-506000,13717000,-903000,12814000,-3596000,9218000,9218000,9218000,9218000,-208499732.37318,-208499732.37318,304673618.029392,304673618.029392,220945170.820781,17922585.5050251,23174282.1756471,335041641.982018,-64345938.4265099,60675649.6684198,31867693.5329229,40169209.9149898,-11361253.7794929,-3670288.75809005,331371353.223928,427176618.300514,321725978.291818,105405959.011364,12481221.1800512,-52656662.4118657,439702343.422079,1741497.9960683,-503718275.42071,-503821394.140029,-501976777.424642,-62274434.0025633,252697122.430982,155166179.315889,-14217514.5203789,393645787.226492,393645787.226492,331371353.223928,9218000,4738000,1889000,-5967000,9878000,-3671000,-3671000,-2578000,-3200000,-6871000,-25876000,2731000,2731000,-23145000,-20138000,-20138000,-108000,-20246000,18961000,0,12919000,0.35456,0.08402,0.05445,0.427659318799172,0.284908445393894,1.4015,-2.31273667966574,-0.115573715627585,0.0048455455770418,0.49157,0.47332,9.02768,23.2954312050207,0.68894,0.408536076493453,-0.457955048227708,51.7754403647022,100.204992202232
"3","2011_Q4",44.2192063492064,"Up",174931000,-112678000,62253000,-49552000,-37116000,-12436000,12701000,612000,612000,13313000,-905000,12408000,-3642000,8766000,8766000,8766000,8766000,-16117577.4577266,-16117577.4577266,187069206.009797,187069206.009797,173737390.273594,37488195.1683417,29697427.3918824,382177213.994006,24048353.85783,108366883.222807,33462564.5109743,59298403.3049966,15605915.4068357,132415237.080637,514592451.074643,193432539.433505,132050659.430606,61366986.3371214,42314073.7266837,11125112.5293781,235761447.80736,2484165.99868943,-110030425.140237,-110064798.046676,-107546259.141547,128215188.665812,265953374.143661,121115059.771963,-691171.506792953,386377262.40883,386377262.40883,514592451.074643,8766000,4613000,2874000,-11081000,5172000,-4049000,-4049000,-2916000,-310000,-4359000,-597000,2380000,2380000,1783000,2596000,2596000,1711000,4307000,17314000,0,5826000,0.35587,0.07261,0.05011,0.150866439599724,0.100139481797965,0.66461,1.19591444011142,0.346045428124138,0.00480518185901393,0.4619,0.44455,9.21757,21.0761837350069,0.30699,0.142295358831151,-0.109231682742569,13.7166267882341,27.835437400744
"4","2012_Q1",56.1543548387097,"Up",183429000,-113337000,70092000,-51522000,-39583000,-11939000,18570000,-542000,-542000,18028000,-1360000,16668000,-4622000,12046000,12046000,12046000,12046000,55619000,55619000,136716000,136716000,169634000,43317000,26161000,405286000,55017000,124613000,33707000,70292000,20614000,179630000,584916000,105409000,66462000,38947000,55572000,39616000,160981000,2756000,36379000,36379000,39135000,200116000,272552000,110103000,2145000,384800000,384800000,584916000,12046000,4710000,11046000,-12309000,15493000,-7295000,-7295000,-5886000,-753000,-8048000,-56000,7510000,9728000,7454000,14899000,14899000,1090000,15989000,23280000,2756000,8298000,0.38212,0.10124,0.06567,0.0313,0.02059,0.68886,2.5176,0.52005,0.00471,0.6271,0.60472,9.54912,20.03228,0.43199,0.02841,0.01957,-2.27075,-2.84669
"5","2012_Q2",63.424126984127,"Up",161317000,-108460000,52857000,-45247000,-34367000,-10880000,7610000,-799000,-799000,6811000,-1631196.84459009,6811000,-2050000,4761000,4761000,4761000,4761000,58363000,58363000,130607000,130607000,187957000,41149000,19386000,418076000,55619000,124577000,33415000,75588000,15574000,180196000,598272000,103857000,71921000,31936000,58233000,45273000,162090000,2641000,44350000,44350000,46991000,209081000,275172000,114864000,-845000,389191000,389191000,598272000,4761000,4832000,1609000,-1208000,9994000,-4017000,-4017000,-3148000,-3189000,-7206000,-55000,1109000,1109000,1054000,3842000,3842000,-1098000,2744000,12442000,2641000,9267000,0.32766,0.04717,0.02951,0.01223,0.00796,1.94644,2.57928,0.53722,0.00441,0.24321,0.237,8.24055,19.88103,0.47339,0.01092,0.02125,-4.47854,-7.32221
"6","2012_Q3",69.8777777777778,"Up",187993000,-122169000,65824000,-47525000,-35979000,-11546000,18299000,-721000,-721000,17578000,-1488071.94787846,17578000,-5277000,12301000,12301000,12301000,12301000,52868000,52868000,145314000,145314000,205789000,36429000,14151000,440400000,58647000,126190000,33087000,77133000,15970000,184837000,625237000,122588000,88807000,33781000,55263000,41032000,177851000,2554000,44467000,44467000,47021000,224872000,276438000,127165000,-3238000,400365000,400365000,625237000,12301000,4909000,1821000,-16541000,2490000,-6860000,-6860000,-5935000,0,-6860000,-53000,-685000,1085000,-738000,-5108000,-5108000,-387000,-5495000,23208000,2554000,5084000,0.35014,0.09734,0.06543,0.03072,0.01967,0.4133,2.47623,0.56167,0.00408,0.62492,0.60797,9.55055,20.33962,0.25828,0.0275,0.01136,-2.16796,-2.74955
"7","2012_Q4",69.6053225806452,"Down",208439000,-139308000,69131000,-49995000,-37063000,-12932000,19136000,-792000,-792000,18344000,-931000,17413000,-4838000,12575000,12575000,12575000,12575000,90787000,90787000,157830000,157830000,202452000,34897000,17277000,485966000,91160000,144615000,33537000,77365000,33713000,235775000,721741000,102353000,64081000,38272000,52640000,39350000,154993000,2579000,145570000,145570000,148149000,303142000,279029000,139740000,-170000,418599000,418599000,721741000,12575000,5158000,1819000,54146000,73698000,-36407000,-36407000,-35116000,0,-36407000,-55000,3028000,2602000,653000,37944000,37944000,-25000,37919000,24294000,2579000,46871000,0.33166,0.09181,0.06033,0.03004,0.01742,3.72732,3.13541,0.72418,0.00357,0.63462,0.61543,10.51925,21.12536,2.36543,0.02219,0.0827,-3.63086,-4.60953
"8","2013_Q1",61.6648333333333,"Down",235241000,-154411000,80830000,-58544000,-44337000,-14207000,22286000,-1645000,-1645000,20641000,-460000,20181000,-4270000,15911000,15911000,15911000,15911000,91452000,91452000,156867000,156867000,195178000,39616000,39616000,483113000,111664000,155119000,37742000,82149000,35228000,266783000,749896000,98733000,56422000,42311000,61701000,41507000,160649000,2467000,152661000,152661000,155128000,315777000,282756000,155651000,-4288000,434119000,434119000,749896000,15911000,5300000,5204000,7966000.00000001,34381000,-25909000,-25909000,-24291000,-4800000,-30709000,-54000.0000000005,-2496000,87000.0000000005,-2699000,972999.999999993,972999.999999993,-308000,665000,27586000,2682000,13913000,0.34361,0.09474,0.06764,0.03665,0.02122,0.87443,3.00726,0.7274,0.00358,0.80144,0.77369,11.84914,21.86667,0.7008,0.02699,0.0236,-3.21794,-3.98322
"9","2013_Q2",58.305,"Down",181694000,-120339000,61355000,-51241000,-39925000,-11316000,10114000,-1097000,-1097000,9017000,-1630262.54615371,9017000,-2678000,6339000,6339000,6339000,6339000,73707000,73707000,146784000,146784000,195388000,39248000,20181000,455127000,172522000,159076000,38404000,82435000,38237000,331598000,786725000,122443000,85325000,37118000,57911000,40590000,182031000,12161000,150165000,150165000,162326000,344357000,279809000,161990000,569000,442368000,442368000,786725000,6339000,4907000,3955000,27176000,42377000,-64134000,-64134000,-62718000,-1897000,-66031000,11045000,2116000,2951000,4565000,-19089000,-19089000,1344000,-17745000,15021000,13838000,-19259000,0.33768,0.05567,0.03489,0.01433,0.00806,-3.03818,2.50027,0.77844,0.01759,0.31845,0.30815,9.1276,22.22285,-0.9675,0.01045,-0.03176,-3.98569,-5.91942
"10","2013_Q3",70.99609375,"Up",194049000,-123961000,70088000,-48687000,-36829000,-11858000,21401000,-1385000,-1385000,20016000,-2723000,17293000,-4872000,12421000,12421000,12421000,12421000,46850000,46850000,140023000,140023000,204599000,55088000,36086000,446560000,223057000,144068000,37460000,84024000,22584000,367125000,813685000,130051000,95065000,34986000,58476000,42087000,205335000,11700000,141574000,141574000,153274000,358609000,280553000,174411000,112000,455076000,455076000,813685000,12421000,5902000,4031000,-1915000.00000001,20439000,-55521000,-55521000,-54898000,-3890000,-59411000,14680000,-9070000,22999.9999999991,11809000,-27163000,-27163000,306000,-26857000,27303000,28508000,-25261000,0.36119,0.11029,0.06401,0.02729,0.01527,-2.03373,2.17479,0.78802,0.03504,0.62108,0.6027,9.70294,22.75494,-1.26311,0.01987,-0.04041,-0.67179,-0.85706
