"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","notes_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_acquisitions_divestitures","other_investing_activities","net_cash_from_investing_activities","dividends_paid","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","dividends_per_share","piotroski_f_score","return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",3.57396825396825,"Up",253041000,-130975000,122066000,-93915000,-84915000,-9e+06,28151000,-99000,-99000,28052000,28052000,-10469000,17583000,17583000,17583000,17583000,14149000,14149000,62937000,62937000,-6973033.77193038,10957000,37602000,11842000,125645000,72203000,367485000,141705000,189925000,18211000,439688000,565333000,85290000,20671000,64619000,124573000,89604000,34969000,224863000,68807000,54076000,68807000,293670000,121974000,181414000,-31725000,271663000,271663000,565333000,17583000,9e+06,1655000,28238000,-1540000,-624000,308000,-1856000,-8932000,-21881000,4501000,4501000,144000,4645000,37151000,1.5e+07,0.4824,0.11125,0.06949,0.06472,0.0311,0.55876,1.08101,0.02653,0.03501,0.03494,0.50383,0.54091,0.01778,21.0475543756872,0.07459,0.50799,0.02291,0.03023
"2","2010_Q3",3.5675,"Down",298803000,-148428000,150375000,-105930000,-96963000,-8967000,44445000,-66000,-66000,44379000,44379000,-16679000,27700000,27700000,27700000,27700000,19286000,19286000,75115000,75115000,2229115.32163713,11122000,40787000,14597000,146310000,71260000,364837000,138390000,189668000,19447000,436097000,582407000,89413000,17599000,71814000,123057000,93450000,29607000,237470000,69367000,55448000,69367000,306837000,122822000,184897000,-32149000,275570000,275570000,582407000,27700000,8967000,-5868000,30799000,-2982000,-1549000,-177000,-4708000,-8924000,-20756000,5335000,5335000,-198000,5137000,53412000,2.5e+07,0.50326,0.14874,0.0927,0.10052,0.04756,0.61612,1.11346,0.04293,0.05524,0.05516,0.59593,0.54959,0.0178,12.5237771878436,0.099,0.32217,0.10698,0.12856
"3","2010_Q4",4.4725,"Up",305118000,-156064000,149054000,-107985000,-98909000,-9076000,41069000,-1e+05,-1e+05,40969000,40969000,-15456000,25513000,25513000,25513000,25513000,20250000,20250000,79191000,79191000,7985043.24561392,11167000,40253000,13161000,150861000,70782000,385982000,145532000,200639000,19970000,456764000,607625000,104567000,25693000,78874000,127089000,95711000,31378000,255656000,65528000,54163000,65528000,321184000,124155000,194130000,-31844000,286441000,286441000,607625000,25513000,9076000,-1207000,33382000,-2268000,-18717000,12000,-20973000,-8856000,-11619000,790000,790000,174000,964000,50145000,2.4e+07,0.48851,0.1346,0.08362,0.08907,0.04199,0.59009,1.12129,0.0395,0.05122,0.05116,0.61258,0.57508,0.01778,7.84125906261454,0.09141,0.34712,0.07478,0.09131
"4","2011_Q1",4.86177419354839,"Up",279928000,-147622000,132306000,-101866000,-92501000,-9365000,30440000,-172000,-172000,30268000,30145000,-10939000,19206000,19206000,19206000,19206000,20913000,20913000,70433000,59389000,11044000,11899000,47776000,20380000,151021000,74013000,393980000,147556000,210779000,20539000,467993000,619014000,106409000,25940000,80469000,114032000,85489000,28543000,246441000,74603000,62088000,74603000,321044000,174997000,155463000,-32490000,297970000,297970000,619014000,19206000,9365000,6400000,31634000,-6091000,-13874000,-143000,-20108000,-8809000,-11241000,285000,285000,378000,663000,39805000,2.6e+07,0.47264,0.10874,0.06861,0.06446,0.03103,0.61281,1.07744,0.042,0.03867,0.03864,0.56361,0.59993,0.01774,6,0.07029,0.45866,0.1278,0.16712
"5","2011_Q2",5.01063492063492,"Up",271643000,-140898000,130745000,-100698000,-91498000,-9200000,30047000,-192000,-192000,29855000,29855000,-11215000,18640000,18640000,18640000,18640000,23340000,23340000,69524000,69524000,12155235.5847954,12680000,41700000,14522000,147244000,73444000,393517000,146742000,212130000,20309000,466961000,614205000,94696000,23081000,71615000,122220000,92193000,30027000,241916000,71069000,62679000,71069000,312985000,173826000,159197000,-31803000,301220000,301220000,614205000,18640000,9200000,5114000,32954000,-3345000,-4413000,160000,-7598000,-10318000,-23478000,1878000,1878000,549000,2427000,39247000,2.5e+07,0.48131,0.11061,0.06862,0.06188,0.03035,0.60866,1.03906,0.0407,0.03745,0.03743,0.54577,0.6052,0.02073,6,0.07289,0.55354,0.0423,0.05525
"6","2011_Q3",4.91390625,"Down",320436000,-159645000,160791000,-111045000,-101757000,-9288000,49746000,-178000,-178000,49568000,49568000,-18507000,31061000,31061000,31061000,31061000,25820000,25820000,83525000,71457000,12068000,12305000,47826000,20198000,169476000,74026000,393630000,144947000,213705000,21822000,467656000,637132000,113384000,31853000,81531000,125865000,93387000,32478000,249249000,74700000,66447000,74700000,323949000,175156000,170158000,-32131000,313183000,313183000,637132000,31061000,9288000,1037000,41386000,-4255000,-3573000,51999.9999999999,-7776000,-10308000,-30670000,2940000,2940000,-460000,2480000,59034000,1e+07,0.50179,0.15524,0.09693,0.09918,0.04875,0.67995,1.03438,0.0157,0.0625,0.06247,0.6448,0.63021,0.02074,7,0.10397,0.33186,-0.26798,-0.31802
"7","2011_Q4",5.35095238095238,"Up",323929000,-165097000,158832000,-111733000,-102396000,-9337000,47099000,-79000,-79000,47020000,47020000,-17605000,29415000,29415000,29415000,29415000,30219000,30219000,83383000,71715000,11668000,10607000,47671000,17096000,171880000,76046000,384497000,140598000,210898000,20778000,460543000,632423000,105117000,23951000,81166000,130796000,95022000,35774000,235913000,70012000,62439000,70012000,305925000,180829000,179217000,-33548000,326498000,326498000,632423000,29415000,9337000,2014000,40766000,-5781000,-1276000,7000,-7050000,-10264000,-28316000,5400000,5400000,-1001000,4399000,56436000,0,0.49033,0.1454,0.09081,0.09009,0.04651,0.72857,0.93699,0,0.05947,0.05945,0.65493,0.66012,0.02075,8,0.10007,0.34894,-0.53546,-0.64161
"8","2012_Q1",5.41258064516129,"Up",289056000,-151202000,137854000,-102737000,-93059000,-9678000,35117000,-59000,-59000,35058000,34653000,-13058000,21595000,21595000,21595000,21595000,46275000,46275000,73346000,61687000,11659000,11125000,45076000,13804000,175822000,76858000,392970000,137526000,211019000,21821000,469828000,645650000,105565000,22584000,82981000,120286000,85636000,34650000,225851000,95802000,63935000,95802000,321653000,182805000,189282000,-48090000,323997000,323997000,645650000,21595000,9678000,-3497000,39541000,-4363000,-2148000,-219000,-6730000,-10220000,-16963000,15848000,15848000,208000,16056000,44795000,0,0.47691,0.12149,0.07471,0.06665,0.03345,0.77849,0.99277,8.67361737988404e-19,0.04375,0.04381,0.58557,0.65635,0.0207,7,0.07579,0.47326,-1.03304,-1.31774
"9","2012_Q2",5.40142857142857,"Down",289465000,-148082000,141383000,-104591000,-94824000,-9767000,36792000,-51000,-51000,36741000,36741000,-13661000,23080000,23080000,23080000,23080000,59684000,59684000,75176000,63790000,11386000,10874000,44841000,15123000,190575000,77146000,395085000,139580000,211237000,22493000,472231000,662806000,92236000,19214000,73022000,136347000,92778000,43569000,228583000,97968000,68118000,97968000,326551000,184342000,199373000,-47460000,336255000,336255000,662806000,23080000,9767000,4242000,37089000,-3714000,-6826000,142000,-10398000,-16414000,-13824000,12867000,12867000,542000,13409000,46559000,0,0.48843,0.1271,0.07973,0.06864,0.03482,0.83372,0.97114,0,0.04662,0.04661,0.58466,0.67916,0.03315,7,0.09095,0.71118,-1.2819,-1.6222
"10","2012_Q3",6,"Up",334872000,-165993000,168879000,-115681000,-106068000,-9613000,53198000,-20000,-20000,53178000,53178000,-20051000,33127000,33127000,33127000,33127000,62060000,62060000,86606000,73784000,12822000,12162000,49481000,19004000,210309000,76963000,393502000,137865000,210971000,23578000,470465000,680774000,108154000,29676000,78478000,132586000,96127000,36459000,240740000,95727000,65934000,95727000,336467000,186126000,206474000,-48293000,344307000,344307000,680774000,33127000,9613000,-6224000,36516000,-3705000,-3273000,230000,-6748000,-26959000,-26617000,3151000,3151000,-775000,2376000,62811000,5.82076609134674e-11,0.50431,0.15886,0.09892,0.09621,0.04866,0.87359,0.97723,-5.42101086242752e-20,0.06704,0.06703,0.67766,0.69676,0.05456,6,0.13655,0.81381,-0.98804,-1.16659
