"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","deferred_revenue_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2016_Q3",19.35515625,"Down",4206000,-11152000,-3729000,-7423000,-6946000,46000,46000,-6900000,-6900000,-6900000,-6900000,-6900000,-6900000,300687000,300687000,1e+06,1e+06,1217000,1217000,302904000,4421000,3299000,3299000,7720000,310624000,5330000,1042000,4288000,16287000,21617000,65405000,65042000,363000,65405000,87022000,259127000,-35525000,223602000,223602000,310624000,-6900000,247000,1835000,72368000,67550000,-1147000,-1147000,170507000,170507000,170092000,236495000,236495000,236495000,-6699000,0,-1.65145,-1.64051,-0.03086,-0.02221,14.01231,0.38918,0,-0.36084,-0.36084,0.21996,11.69344,-0.02387,44.88536,43.28923
"2","2016_Q4",15.0238095238095,"Down",4869000,-12566000,-4705000,-7861000,-7697000,215000,215000,-7482000,-7482000,-7482000,-7482000,-7482000,-7482000,290618000,290618000,1112000,1112000,972000,972000,292702000,5492000,3275000,3275000,8767000,301469000,5467000,657000,4810000,17166000,22633000,60712000,60406000,306000,60712000,83345000,261131000,-43007000,218124000,218124000,301469000,-7482000,265000,2055000,-2448000,-7610000,-605000,-605000,0,0,-1854000.00000003,-10069000,-10069000,-10069000,-7432000,0,-1.58082,-1.53666,-0.0343,-0.02482,12.93253,0.3821,0,-0.21803,-0.21803,0.14189,6.35634,-0.02683,39.10361,37.75731
"3","2017_Q1",13.42,"Down",5627000,-16449000,-5118000,-11331000,-10822000,259000,259000,-10563000,-10563000,-10563000,-10563000,-10563000,-10563000,273064000,273064000,6454000,6454000,1788000,1788000,281306000,10628000,7035000,7035000,17663000,298969000,10552000,4652000,5900000,20178000,30730000,58402000,58109000,293000,58402000,89132000,263407000,-53570000,209837000,209837000,298969000,-10563000,405000,2026000,-6278000,-14410000,-3405000,-3405000,261000,261000,261000,-17554000,-17554000,-17554000,-10417000,0,-1.92323,-1.8772,-0.05034,-0.03533,9.15412,0.42477,0,-0.30376,-0.30376,0.16182,6.03431,-0.03938,26.21331,25.2323
"4","2017_Q2",13.9720634920635,"Up",6215000,-19163000,-5732000,-13431000,-12948000,317000,317000,-12631000,-12631000,-12631000,-12631000,-12631000,-12631000,257551000,257551000,2443000,2443000,1084000,1084000,261078000,11418000,6767000,6767000,18185000,279263000,4993000,1434000,3559000,19917000,24910000,54470000,54092000,378000,54470000,79380000,266084000,-66201000,199883000,199883000,279263000,-12631000,660000,2630000,-2057000,-11398000,-4162000,-4162000,47000,47000,47000,-15513000,-15513000,-15513000,-12288000,2.71050543121376e-20,-2.08335,-2.03234,-0.06319,-0.04523,10.48085,0.39713,-2.52435489670724e-29,-0.36376,-0.36376,0.17899,5.7565,-0.04966,20.95955,19.89118
"5","2017_Q3",18.8387301587302,"Up",5917000,-21934000,-6369000,-15565000,-16017000,424000,424000,-15593000,-15593000,-15593000,-15593000,-15593000,-15593000,241047000,241047000,2764000,2764000,2108000,2108000,245919000,12578000,6478000,6478000,19056000,264975000,7579000,2267000,5312000,18792000,26371000,51019000,50785000,234000,51019000,77390000,269379000,-81794000,187585000,187585000,264975000,-15593000,711000,2911000,-3707000,-15678000,-1272000,-1272000,446000,446000,446000,-16504000,-16504000,-16504000,-15306000,0,-2.70695,-2.63529,-0.08312,-0.05885,9.32536,0.41256,0,-0.44659,-0.44659,0.16946,5.37247,-0.06535,15.74853,15.04945
"6","2017_Q4",23.0860317460317,"Up",7317000,-23192000,-5711000,-17481000,-15875000,519000,519000,-15356000,-15356000,-15356000,-15356000,-15356000,-15356000,222264000,222264000,4493000,4493000,2296000,2296000,229053000,13560000,6557000,6557000,20117000,249170000,8133000,2194000,5939000,17653000,25786000,47537000,47336000,201000,47537000,73323000,272997000,-97150000,175847000,175847000,249170000,-15356000,790000,3297000,-5625000,-16894000,-2260000,-2260000,370999.999999993,370999.999999993,371000.000000007,-18783000,-18783000,-18783000,-15085000,0,-2.16961,-2.09867,-0.08733,-0.06163,8.88284,0.41697,-4.03896783473158e-28,-0.4363,-0.4363,0.20789,4.99622,-0.06874,14.73411,14.00088
"7","2018_Q1",24.5927868852459,"Up",6668000,-31383000,-10213000,-21170000,-24715000,752000,752000,-23963000,-23963000,-23963000,-23963000,-23963000,-23963000,340678000,340678000,10471000,10471000,3681000,3681000,354830000,15272000,6133000,6133000,21405000,376235000,10171000,2172000,7999000,21188000,31359000,44279000,44111000,168000,44279000,75638000,421710000,-121113000,300597000,300597000,376235000,-23963000,833000,6650000,-4826000,-21306000,-2397000,-2397000,142117000,142117000,142117000,118414000,118414000,118414000,-23882000,0,-3.70651,-3.59373,-0.07972,-0.06369,11.31509,0.25163,0,-0.61147,-0.61147,0.17015,7.67044,-0.06948,14.26505,13.78426
"8","2018_Q2",24.2259375,"Down",7469000,-29899000,-7406000,-22493000,-22430000,1074000,1074000,-21356000,-21356000,-21356000,-21356000,-21356000,-21356000,327778000,327778000,7466000,7466000,2476000,2476000,337720000,16010000,5815000,5815000,21825000,359545000,8521000,1916000,6605000,17062000,25583000,38463000,38332000,131000,38463000,64046000,432537000,-137038000,295499000,295499000,359545000,-21356000,1012000,4107000,-1533000,-17770000,-1850000,-1850000,6720000,6720000,6720000,-12900000,-12900000,-12900000,-21418000,0,-3.00308,-2.85929,-0.07227,-0.0594,13.20095,0.21674,-6.46234853557053e-27,-0.50796,-0.50796,0.17765,7.02849,-0.06395,15.30386,14.61337
"9","2018_Q3",29.0936507936508,"Up",7677000,-31272000,-7805000,-23467000,-23595000,1376000,1376000,-22219000,-22219000,-22219000,-22219000,-22219000,-22219000,305538000,305538000,8609000,8609000,3482000,3482000,317629000,16580000,5569000,5569000,22149000,339778000,9491000,335000,9156000,15678000,25169000,35273000,35181000,92000,35273000,60442000,438593000,-159257000,279336000,279336000,339778000,-22219000,1073000,4872000,-6221000,-22495000,-9e+05,-9e+05,1155000,1155000,1155000,-22240000,-22240000,-22240000,-22522000,0,-3.07347,-2.89423,-0.07954,-0.06539,12.61985,0.21638,0,-0.5187,-0.5187,0.17922,6.52106,-0.07062,13.5662,12.94927
"10","2018_Q4",18.5874603174603,"Down",7408000,-31507000,-8270000,-23237000,-24099000,1397000,1397000,-22702000,-22702000,-22702000,-22702000,-22702000,-22702000,293248000,293248000,2813000,2813000,2768000,2768000,298829000,16935000,5469000,5469000,22404000,321233000,11647000,1754000,9893000,14268000,25915000,32048000,31996000,52000,32048000,57963000,445229000,-181959000,263270000,263270000,321233000,-22702000,1152000,4469000,4627000,-12454000,-2016000,-2016000.00000001,2180000,2180000,2180000,-12290000,-12290000,-12290000,-22947000,5.55111512312578e-17,-3.2531,-3.06452,-0.08623,-0.07067,11.53112,0.22017,0,-0.52584,-0.52584,0.17159,6.09802,-0.07687,12.77936,12.16847
