"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebit"
"11","2013_Q2",27.95921875,"Up",28957000,-22088000,6869000,-1948000,-1948000,4921000,-383000,-358000,4538000,4538000,-1812000,2726000,2949000,2949000,2949000,25292000,25292000,16930000,16930000,4652000,2187000,1593000,46874000,57981000,95715000,95715000,153696000,200570000,5139000,1802000,3337000,7862000,1675000,13001000,21332000,18237000,3095000,80160000,93161000,51238000,-28520000,84691000,107409000,107409000,200570000,58828000,0.23721,0.16994,0.10184,0.02746,0.0147,3.60541,0.86735,0.2933,0.51983,0.51394,5.10435,18.93337,0.01572,6.81488
"12","2013_Q3",30.13234375,"Up",33832000,-23493000,10339000,-1982000,-1982000,8357000,-423000,-357000,7934000,7934000,-3130000,4804000,4804000,4804000,4804000,19303000,19303000,19772000,19772000,5320000,2777000,1682000,44395000,57656000,95932000,95932000,153588000,197983000,4682000,1793000,2889000,7650000,1801000,13410000,22301000,19209000,3092000,72301000,85711000,51294000,-28520000,89498000,112272000,112272000,197983000,51078000,0.3056,0.24701,0.142,0.04279,0.02426,3.31059,0.76342,0.25799,0.84533,0.83621,5.95319,19.75576,0.02588,3.8022
"13","2013_Q4",29.8471875,"Down",32929000,-23598000,9331000,-2051000,-2051000,7280000,-164000,-308000,7116000,7116000,-2820000,4296000,4296000,4296000,4296000,27454000,27454000,19413000,19413000,4730000,2279000,1621000,51597000,56406000,96767000,96767000,153173000,204770000,4076000,1577000,2499000,8772000,1735000,13926000,24193000,20240000,3953000,74193000,88119000,51377000,-28520000,93794000,116651000,116651000,204770000,51078000,0.28337,0.22108,0.13046,0.03683,0.02098,3.70508,0.75541,0.24944,0.75554,0.74661,5.79124,20.51548,0.02238,3.24505
"14","2014_Q1",31.2513114754098,"Up",33760000,-23798000,9962000,-2191000,-2191000,7771000,-229000,-282000,7542000,5454000,-2230000,3224000,3224000,3224000,3224000,17628000,17628000,19815000,19815000,4638000,2350000,1263000,42081000,56337000,94806000,94806000,151143000,193224000,4749000,1962000,2787000,8175000,1475000,14002000,23358000,20571000,2787000,69521000,83523000,51528000,-28520000,86693000,109701000,109701000,193224000,47241000,0.29508,0.23018,0.0955,0.02939,0.01669,3.00536,0.76137,0.24449,0.56741,0.56138,5.94157,19.30676,0.07515,3.81071
"15","2014_Q2",27.7614285714286,"Down",29423000,-22947000,6476000,-2153000,-2153000,4323000,-257000,-272000,4066000,4066000,-1627000,2439000,2439000,2439000,2439000,23327000,23327000,17813000,17813000,4462000,1974000,1500000,45602000,56594000,94960000,94960000,151554000,197156000,5089000,1971000,3118000,8115000,1705000,13204000,25059000,21211000,3848000,71137000,84341000,51930000,-28247000,89132000,112815000,112815000,197156000,46078000,0.2201,0.14693,0.08289,0.02162,0.01237,3.45365,0.7476,0.23371,0.42865,0.42366,5.171,19.82689,0.01326,5.26278
"16","2014_Q3",24.21703125,"Down",33831000,-23499000,10332000,-2120000,-2120000,8212000,-242000,-272000,7970000,7970000,-3193000,4777000,4777000,4777000,4777000,25916000,25916000,19638000,19638000,4916000,2243000,1660000,50470000,56304000,95214000,95214000,151518000,201988000,4520000,1573000,2947000,7768000,1747000,17288000,25839000,21991000,3848000,66917000,84205000,52121000,-28247000,93909000,117783000,117783000,201988000,46078000,0.3054,0.24274,0.1412,0.04056,0.02365,2.91937,0.71492,0.22812,0.83822,0.83021,5.9363,20.66731,0.02518,2.45519
"17","2014_Q4",25.69484375,"Up",34373000,-26366000,8007000,-2307000,-2307000,5700000,-275000,-268000,5425000,5425000,-2180000,3245000,3245000,3245000,3245000,28040000,28040000,19753000,19753000,5943000,3187000,1693000,53736000,55568000,95211000,95211000,150779000,204515000,8754000,2201000,5403000,9110000,1757000,17864000,26652000,22806000,3846000,67730000,85594000,52315000,-28247000,94853000,118921000,118921000,204515000,41078000,0.23294,0.16583,0.09441,0.02729,0.01587,3.00806,0.71976,0.20086,0.5694,0.56513,6.03141,20.86699,0.01739,2.28737
"18","2015_Q1",27.6619672131148,"Up",36371000,-25612000,10759000,-2321000,-2321000,8438000,-219000,-252000,8219000,7493000,-3050000,4443000,4443000,4443000,4443000,17907000,17907000,20661000,20661000,5019000,2957000,1217000,43587000,55187000,93270000,92944000,148457000,192044000,4889000,2133000,2756000,8144000,1356000,13033000,26883000,23786000,3097000,63766000,76799000,52568000,-28501000,91178000,115245000,115245000,192044000,36883000,0.29581,0.232,0.12216,0.03855,0.02314,3.34436,0.6664,0.19205,0.77784,0.77149,6.36747,20.17595,0.0766,2.24887
"19","2015_Q2",26.6122222222222,"Down",29061000,-22765000,6296000,-2482000,-2482000,3814000,-233000,-241000,3581000,3581000,-1450000,2131000,2131000,2131000,2131000,24521000,24521000,17912000,17912000,5081000,2570000,1658000,47514000,54557000,93477000,93151000,148034000,195548000,5944000,2262000,3682000,8308000,1791000,14252000,28321000,24156000,4165000,64399000,78651000,53006000,-28257000,92148000,116897000,116897000,195548000,36078000,0.21665,0.13124,0.07333,0.01823,0.0109,3.33385,0.67282,0.1845,0.3732,0.36984,5.08949,20.47233,0.01175,3.03015
"20","2015_Q3",24.704375,"Down",34358000,-24311000,10047000,-2583000,-2583000,7464000,165000,-244000,7629000,7615000,-3141000,4474000,4474000,4474000,4474000,27378000,27378000,20338000,20338000,5063000,2612000,1605000,52779000,53900000,93620000,93294000,147520000,200299000,6572000,2115000,4457000,8034000,1679000,14606000,29139000,25072000,4067000,65217000,79823000,54119000,-29102000,95459000,120476000,120476000,200299000,36078000,0.29242,0.21724,0.13022,0.03714,0.02234,3.61351,0.66256,0.18012,0.78326,0.77714,6.01506,21.09174,0.02409,1.16559
