"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","income_taxes_receivable","misc_short_term_assets","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","other_long_term_assets","intangible_assets","goodwill","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","deferred_revenue_short_term","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_revenue_long_term","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q4",5.51140625,"Up",111024000,-67300000,43724000,-37772000,-37772000,5952000,-633000,-1003000,5319000,5319000,0,5319000,5319000,-219000,5100000,5100000,1928557.24805726,1928557.24805726,224536507.986493,224536507.986493,-3192681.22934931,2009923.7700541,1922934.04852639,-5937122.91192908,223272384.005201,5345217.71943415,4943337.7816096,15944928.2907214,-14098366.1906752,-11992222.2291701,20220049.0077208,21815467.7028459,26233483.7917651,249505867.796966,47008385.0160915,47647213.6354328,-638828.619341247,42090541.025507,33572949.3837944,25921380.1365779,7651569.24721653,122671875.425393,3832752.44943145,-161033.418925755,-10449158.0724507,-5217747.06565581,15505871.7191808,3671719.03050569,126343594.455899,122953596.707618,-27766001.5132926,91689253.3022758,-38230903.0137287,148645945.482873,-25483672.1418057,123162273.341067,249505867.796966,5319000,2579000,2752000,-7191000,3459000,-293000,-4199000,7540000,-3048000,27000,4492000,3752000,3752000,-6210000,-2458000,8531000,0,1047000,0.39382,0.05361,0.04594,0.0926907280468535,0.0409563041863749,0.20529,2.10927668349226,1.09064309849108,0.18965892942634,0.13193,0.13032,2.87195,3.87021281530027,0.02708,0.0561070656712238,-0.203376586472246,-14.4728469173307,-132.121063788785
"2","2011_Q1",6.05322580645161,"Up",128070000,-80698000,47372000,-42097000,-42097000,5275000,-873000,-942000,4402000,4402000,-521000,3881000,3881000,-106000,3775000,3775000,39406000,39406000,180856000,180856000,17204000,8834000,1138000,5757000,237466000,11926000,10962000,110497000,26709000,57310000,8918000,17560000,133385000,370851000,80049000,72215000,7834000,2278000,21742000,15620000,6122000,104069000,67778000,30908000,1747000,11671000,17490000,98686000,202755000,123766000,-27766000,79643000,-14552000,161091000,7005000,168096000,370851000,3881000,2880000,-7659000,-3077000,-3975000,-1653000,-7283000,11741000,14999.9999999995,16000,14251000,2993000,2993000,2124000,5117000.00000001,8155000,70056000,3946000,0.36989,0.04119,0.02948,0.02246,0.01018,1.0453,2.28181,1.20619,0.18891,0.09875,0.09717,3.35034,4.21417,0.10323,0.01403,0.01467,3.75843,5.81043
"3","2011_Q2",5.02603174603175,"Down",123010000,-84081000,38929000,-44226000,-44226000,-5297000,-990000,-994000,-6287000,-6287000,909000,-5378000,-5378000,-218000,-5596000,-5596000,43567147.5839809,43567147.5839809,174550164.004502,174550164.004502,23071477.0764498,10975942.0766486,1214188.6504912,8750957.63730969,241188788.664933,14667094.093522,13345054.0727968,150602357.236426,44826122.0635584,83530824.07639,6393650.33075974,15851760.765718,178614505.402745,419803294.067678,91825871.6613028,83352595.4548557,8473276.20644708,30200069.6581643,18290266.8720685,12766623.2878074,5523643.58426116,140316208.191536,53940499.1835229,40245344.4729753,4979136.02415024,17558415.6885519,17707792.7602731,94185843.6564981,234502051.848034,124694467.764127,-27765999.4955691,74521332.2325747,-7737698.99542376,163712101.505709,21589140.7139352,185301242.219644,419803294.067678,-5378000,3102000,1699000,89000,-488000,-1805000,-17022000,7415000,26000,26000,7441000,-10069000,-10069000,-2642000,-12711000,-2195000,0,-4820000,0.31647,-0.04306,-0.04549,-0.00281940934895118,-0.00101376806212498,0.86133,1.84296360550258,1.26448646716964,0.199524523524553,-0.1462,-0.1462,3.21376,4.27957906156658,-0.12593,-0.00133235522374126,0.062028028824082,9.33764313911023,77.4291545962615
"4","2011_Q3",5.2525,"Up",126935000,-83428000,43507000,-42839000,-42839000,667999.999999999,-1308000,-1464000,-640000,-639999.999999999,445000,-194999.999999999,-195000,-302000,-497000.000000001,-497000.000000001,30293000,30293000,188027000,188027000,20526000,10300000,1710000,6760000,238846000,14881000,13374000,156419000,47151000,84143000,9326000,15799000,184674000,423520000,90347000,85135000,5212000,80388000,19734000,14293000,5441000,190469000,10636000,37542000,3589000,16961000,16992000,48178000,238647000,125643000,-27766000,73550000,-10872000,160555000,24318000,184873000,423520000,-194999.999999999,4033000,1049000,3568000,8455000,-2224000,-3769000,1348000,525000,525000,1873000,6559000,6559000,-2961000,3598000,4701000,91024000,5600000,0.34275,0.00526,-0.00392,-0.00269000000000002,-0.00117,-11.26761,1.25399,1.29087,0.21492,-0.01295,-0.01295,3.30732,4.1833,0.14591,-0.00159,0.01787,12.91874,90.91467
"5","2011_Q4",5.33619047619048,"Up",128878000,-85210000,43668000,-41810000,-41810000,1858000,-1895000,-1922000,-37000,-37000,422000,385000,385000,269000,654000,654000,16575000,16575000,201424000,201424000,16187000,8797000,1994000,3734000,234186000,13930000,12752000,149654000,40177000,78310000,14360000,16807000,176336000,410522000,84544000,81567000,2977000,8.5e+07,21445000,16115000,5330000,190989000,8135000,34155000,2779000,14839000,16537000,42290000,233279000,126499000,-27766000,74204000,-16879000,156058000,21185000,177243000,410522000,385000,4080000,-5492000,-14644000,-15671000,-908000,-1009000,-681000,21000,21000,-660000,-17340000,-17340000,3622000,-13718000,5938000,93135000,-10036000,0.33883,0.01442,0.00507,0.00369,0.00159,-15.34557,1.22618,1.31615,0.22687,0.01699,0.01699,3.34757,4.05356,-0.26068,0.00215,-0.03296,12.89323,41.2056
"6","2012_Q1",5.35870967741935,"Up",122633000,-77474000,45159000,-46437000,-46437000,-1278000,-2879000,-2882000,-4157000,-4157000,4410000,253000,253000,-831000,-578000,-578000,17924000,17924000,197906000,197906000,16003000,8289000,1688000,3310000,231833000,13110000,12620000,149949000,30937000,82941000,18186000,17885000,175679000,407512000,82117000,76747000,5370000,6025000,20321000,15503000,4818000,108463000,87435000,39220000,6604000,15561000,17055000,126655000,235118000,127172000,-27766000,73626000,-18896000,154136000,18258000,172394000,407512000,253000,4425000,-4631000,-2813000,-2766000,54000,1464000,583000,11999.9999999999,12000,595000,-707000,-707000,2056000,1349000,3147000,93460000,-4022000,0.36825,-0.01042,-0.00471,-0.00335,-0.00142,6.95848,2.13744,1.36384,0.22934,-0.01501,-0.01501,3.18519,4.00343,-0.10446,-0.00189,-0.01318,24.00254,-59.10485
"7","2012_Q2",3.24857142857143,"Down",115813000,-75078000,40735000,-43472000,-43472000,-2737000,-4841000,-4841000,-7578000,-7578000,1041000,-6537000,-6537000,-199000,-6736000,-6736000,24698000,24698000,196824000,196824000,17161000,8573000,2707000,4118000,238683000,12565000,9311000,148428000,29384000,84841000,18824000,15379000,170304000,408987000,77783000,75623000,2160000,86560000,27357000,21615000,5742000,191700000,11548000,36728000,5975000,15809000,14944000,48276000,239976000,127899000,-27766000,66890000,-16972000,150051000,18960000,169011000,408987000,-6537000,3305000,999000,5737000,3504000,-361000,2788000,2132000,26000,26000,2158000,8450000,8450000,-1676000,6774000,568000,98108000,4903000,0.35173,-0.02363,-0.05816,-0.03986,-0.01647,-0.72788,1.24509,1.41988,0.23988,-0.17484,-0.17484,3.0061,3.8948,0.12726,-0.02217,0.01614,129.24296,-26.82134
"8","2012_Q3",3.72888888888889,"Up",119428000,-75160000,44268000,-41071000,-41071000,3197000,-3150000,-3150000,47000,47000,471000,518000.000000002,518000,-842000,-324000,-324000,19592000,19592000,202081000,202081000,19693000,9800000,2987000,5139000,241366000,11913000,8773000,144625000,28565000,81531000,19424000,15105000,165311000,406677000,82625000,81904000,721000,90623000,27878000,20743000,7135000,201126000,7124000,33987000,5102000,14338000,14547000,41111000,242237000,128745000,-27766000,66566000,-20010000,147535000,16905000,164440000,406677000,518000.000000002,3017000,-1984000,-9442000,-7891000,-848000,-750000,1360000,28000,28000,10000,-8631000,-8631000,3525000,-5106000,6214000,97747000,-4547000,0.37067,0.02677,-0.00271,-0.00197,-0.000799999999999999,14.03395,1.20007,1.4731,0.24036,-0.00839999999999999,-0.00839999999999999,3.09479,3.82314,-0.11783,-0.00109,-0.01535,12.57724,24.44636
"9","2012_Q4",3.57403225806452,"Down",119887000,-74781000,45106000,-40016000,-40016000,5090000,-4757000,-4757000,333000,333000,1109000,1442000,1442000,-138000,1304000,1304000,14794000,14794000,208632000,208632000,25698000,9520000,3341000,11033000,249124000,11549000,8866000,148176000,26848000,82001000,22748000,16579000,168591000,417715000,93691000,90127000,3564000,22463000,23809000,16855000,6954000,139963000,74244000,36779000,9033000,12824000,14922000,111023000,250986000,129272000,-27766000,67869000,-19482000,149893000,16836000,166729000,417715000,1442000,2923000,-7940000,2442000,-1133000,-597000,-565000,-1001000,40000,40000,-961000,-2659000,-2659000,-2139000,-4798000,8013000,96707000,8749000,0.37624,0.04246,0.01088,0.00782,0.00312,6.70936,1.77993,1.50535,0.23151,0.03411,0.03381,3.13627,3.92123,0.22888,0.00434,0.02914,10.22251,16.09293
"10","2013_Q1",3.44116666666667,"Down",125653000,-77736000,47917000,-96769000,-96769000,-48852000,-5402000,-5402000,-54254000,-54254000,-16063000,-70317000,-70317000,-693000,-71010000,-71010000,16716000,16716000,151239000,151239000,34883000,9831000,3445000,13351000,202838000,11268000,8275000,141524000,28248000,84007000,11090000,18179000,161067000,363905000,85976000,7.9e+07,6976000,21769000,30337000,16510000,13827000,138082000,87666000,45603000,9652000,20509000,15442000,133269000,271351000,129918000,-27766000,-3140000,-20015000,78997000,13557000,92554000,363905000,-70317000,3185000,70804000,-4623000,-951000,-571000,-545000,11065000,35000,35000,7710000,6214000,6214000,-4292000,1922000,-45667000,109435000,-34798000,0.38134,-0.38878,-0.56513,-0.76723,-0.19513,0.49004,1.46897,2.93181,0.30072,-1.83688,-1.85318,3.25038,2.04348,-0.90015,-0.2868,-0.14055,-2.03033,-1.89796
