"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"21","2016_Q2",2.1859375,"Down",3104384,-1661892,1442492,-1624794,-1537882,-86912,-182302,-5920,-5920,-188222,-188222,-6840,-195062,-195062,-195062,-195062,1491823,1491823,2604980,2604980,4776612,148877,146638,9022292,1073513,796529,796529,1870042,10892334,1570234,724562,845672,1570234,1570234,10533523,-850837,9322100,9322100,10892334,-195062,65247,22199,-198854,-306470,0,0,-306470,-306470,-303831,-117055,0,-309069,0.46466,-0.05872,-0.06283,-0.02092,-0.01791,1.58447,5.74583,0.16844,3.23117426778526e-27,-0.06511,-0.06511,1.03621,3.11161,-0.10316,-0.02092,-0.03315,12.74463,8.18325
"22","2016_Q3",1.684375,"Down",3073769,-1797359,1276410,-1654135,-1581635,-72500,-377725,-19091,-19091,-396816,-396816,-6971,-403787,-403787,-403787,-403787,1263567,1263567,2541465,2541465,4640873,137953,136112,8583858,1026095,768646,768646,1794741,10378599,1460205,592441,867764,1460205,1460205,10549277,-1254624,8918394,8918394,10378599,-403787,61951,15455,87783.0000000001,-238598,14950,14950,-223648,-223648,-228256,-315774,-1.0842021724855e-19,-206070,0.41526,-0.12289,-0.13137,-0.04528,-0.03891,0.51034,5.87853,0.16373,0,-0.13478,-0.13478,1.02599,2.97686,-0.06878,-0.04528,-0.02311,4.00149,3.3452
"23","2016_Q4",1.66777777777778,"Down",2528465,-1465104,1063361,-1473655,-1405632,-68023,-410294,-34117,-34117,-444411,-444411,-6495,-450906,-450906,-450906,-450906,1135365,1135365,1984806,1984806,4774992,132718,131375,8027881,995780,740764,740764,1736544,9764425,1332036,642648,689388,1332036,1332036,10559644,-1705530,8432389,8432389,9764425,-450906,60416,10367,246446,-133677,-3520,-3520,-137197,-137197,-128202,-349878,0,-100457,0.42056,-0.16227,-0.17833,-0.05347,-0.04618,0.22279,6.02677,0.15797,2.58493941422821e-26,-0.15051,-0.15051,0.84397,2.81463,-0.03353,-0.05347,-0.01191,3.24503,2.7672
"24","2017_Q1",1.61096774193548,"Down",2978735,-1893703,1085032,-1551185,-1490948,-60237,-466153,414.999999999993,415,-465738,-465738,303.999999999999,-465434,-465434,-465434,-465434,988686,988686,2099082,2099082,4727977,140662,132230,7956407,965452,712881,712881,1678333,9634740,1630700,877167,753533,1630700,1630700,10569522,-2170964,8004040,8004040,9634740,-465434,58210,9878,256283,-141063,-1.81898940354586e-12,-3.63797880709171e-12,-141063,-141063,-146679,-407943,1.73472347597681e-18,-151964,0.36426,-0.15649,-0.15625,-0.05815,-0.04831,0.3265,4.87914,0.20373,0,-0.15536,-0.15536,0.99427,2.67166,-0.05072,-0.05815,-0.01899,2.42359,2.12095
"25","2017_Q2",1.71984126984127,"Up",2892532,-1516783,1375749,-1491516,-1412669,-78847,-115767,-1833,-1833,-117600,-117600,-8029,-125629,-125629,-125629,-125629,1002158,1002158,1916893,1916893,4625843,116832,110726,7661726,981199,684998,684998,1666197,9327923,1484591,710320,774271,1484591,1484591,10578960,-2296593,7843332,7843332,9327923,-125629,54147,-8071,110835,31282,-24502,-24502,6780,6780,13472,-61620,0,32742,0.47562,-0.04002,-0.04343,-0.01602,-0.01347,-0.26062,5.16083,0.18928,4.13590306276514e-25,-0.04193,-0.04193,0.96549,2.61801,0.01093,-0.01602,0.00417,16.26352,8.65668
"26","2017_Q3",1.76126984126984,"Up",2655561,-1623151,1032410,-1384952,-1324675,-60277,-352542,-23578,-23578,-376120,-376120,-6350,-382470,-382470,-382470,-382470,543207,543207,1825101,1825101,4465801,148229,146350,6982338,952182,657116,657116,1609298,8591636,1143929,486963,656966,1143929,1143929,10584990,-2679063,7447707,7447707,8591636,-382470,56290,6640,-145416,-464956,0,3.63797880709171e-12,-464956,-464956,-458951,-296252,1.38777878078145e-17,-435318,0.38877,-0.13276,-0.14403,-0.05135,-0.04452,1.13818,6.10382,0.15359,0,-0.12766,-0.12766,0.8864,2.48596,-0.1453,-0.05135,-0.05845,1.8336,1.54083
"27","2017_Q4",2.17936507936508,"Up",3199122,-1984580,1214542,-1313240,-1263529,-49711,-98698,-25642,-25642,-124340,-124340,-6993,-131333,-131333,-131333,-131333,481831,481831,2274729,2274729,4342217,180687,175746,7279464,887229,629233,629233,1516462,8795926,1496974,816532,680442,1496974,1496974,10588168,-2810396,7298952,7298952,8795926,-131333,54634,12854,-11510,-75355,28527,28527,-46828,-46828,-61376,-44064,0,-20054,0.37965,-0.03085,-0.04105,-0.01799,-0.01493,0.1527,4.86279,0.20509,0,-0.04384,-0.04384,1.06783,2.43631,-0.00669,-0.01799,-0.00275,10.9348,4.88187
"28","2018_Q1",2.72459016393443,"Up",3650428,-2387322,1263106,-1684783,-1617454,-67329,-421677,-5618,-5618,-427295,-427295,-6637,-433932,-433932,-433932,-433932,867607,867607,2344373,2344373,4204723,123066,115756,7539769,865224,601351,601351,1466575,9006344,2028957,1101066,927891,2028957,2028957,10649287,-3244328,6977387,6977387,9006344,-433932,54011,61119,679543,360741,-4123,-4123,356618,356618,385776,-367666,0,314391,0.34602,-0.11551,-0.11887,-0.06219,-0.04818,-0.72452,3.71608,0.29079,0,-0.14484,-0.14484,1.21847,2.32897,0.10494,-0.06219,0.04506,2.35977,2.05752
"29","2018_Q2",2.26359375,"Down",3083648,-1684129,1399519,-1544801,-1468344,-76457,-145282,17543,17543,-127739,-127739,-6359,-134098,-134098,-134098,-134098,529363,529363,2086015,2086015,4544943,133060,129978,7293381,846198,575205,575205,1421403,8714784,1864852,1055690,809162,1864852,1864852,10670654,-3378426,6849932,6849932,8714784,-134098,52750,21367,-255400,-315381,-7578,-7578,-322959,-322959,-338244,-92532,0,-349151,0.45385,-0.04711,-0.04349,-0.01958,-0.01539,2.6037,3.91097,0.27224,0,-0.04476,-0.04476,1.02929,2.28643,-0.11654,-0.01958,-0.05097,5.72086,3.64369
"30","2018_Q3",2.66111111111111,"Up",3770880,-2044898,1725982,-1625203,-1524443,-100760,100779,9078.00000000001,9078,109857,109857,-6609,103248,103248,103248,103248,586986,586986,2150655,2150655,4792085,106150,105436,7635876,819219,549059,549059,1368278,9004154,2016338,1201098,815240,2016338,2016338,10690126,-3275178,6987816,6987816,9004154,103248,51895,20091,-94890,80344,610.999999999999,611,80955.0000000001,80955.0000000001,57623,152674,-3.5527136788005e-15,65004.0000000001,0.45771,0.02673,0.02738,0.01478,0.01147,0.629590000000002,3.787,0.28855,0,0.03446,0.03446,1.25868,2.33245,0.0217,0.01478,0.0093,-3.8447,-5.82449
"31","2018_Q4",2.76888888888889,"Up",3238858,-1916345,1322513,-1362508,-1286718,-75790,-39995,61815,61815,21820,21820,-6267,15553,15553,15553,15553,1985928,1985928,2086706,2086706,5449808,210376,149334,9732818,793683,522913,522913,1316596,11049414,1710671,842976,867695,1710671,1710671,13077483,-3259625,9338743,9338743,11049414,15553,51681,1328,-929717,-861155,0,0,1524874,1524874,1459984,11686,0,-911764,0.40833,-0.01235,0.0048,0.00167000000000001,0.00141,-58.62303,5.68947,0.18318,0,0.00421,0.00421,0.87578,2.52518,-0.24654,0.00167,-0.09763,-169.94078,49.65441
"32","2019_Q1",2.68245901639344,"Down",3794677,-2177377,1617300,-1377430,-1303120,-74310,239870,-7254,-7253.99999999999,232616,232616,-6680,225936,225936,225936,225936,2053181,2053181,2047032,2047032,5710888,207276,148924,10018377,770915,496768,496768,1267683,11286060,1770404,1024256,746148,1770404,1770404,13085652,-3033689,9515656,9515656,11286060,225936,48913,8169,-189675,93343.0000000002,-4.54747350886464e-13,0,93343,93343,64563,288783,-5.6843418860808e-14,105788,0.4262,0.06321,0.05954,0.02374,0.02002,0.468220000000017,5.65881,0.18605,0,0.05647,0.05443,0.94847,2.37842,0.02644,0.02374,0.01112,-7.10977,-8.55956
"33","2019_Q2",2.26269841269841,"Down",3440453,-2100655,1339798,-1453600,-1405363,-48237,-113802,-91651,-91651,-205453,-205453,-6366,-211819,-211819,-211819,-211819,1742786,1742786,1871737,1871737,6134627,177923,119883,9927073,754989,470622,470622,1225611,11152684,1763606,1008211,755395,1763606,1763606,13091249,-3245508,9389078,9389078,11152684,-211819,47217,5597,-243461,-402466,-5250,-5250,-407716,-407716,-310707,-66585,0,-308930,0.38942,-0.03308,-0.06157,-0.02256,-0.01899,1.45846,5.62885,0.18784,1.35525271560688e-20,-0.05303,-0.05303,0.86129,2.35047,-0.07734,-0.02256,-0.0329,26.17385,15.31419
"34","2019_Q3",2.12578125,"Down",3503478,-2140371,1363107,-1587419,-1539495,-47924,-224312,-24596,-24596,-248908,-248908,-6362,-255270,-255270,-255270,-255270,1299886,1299886,2184906,2184906,6077054,197022,136004,9758868,734687,444476,444476,1179163,10938031,1806740,1159569,647171,1806740,1806740,13094639,-3500778,9131291,9131291,10938031,-255270,46716,3389.99999999999,-245596,-450760,-266.999999999998,-267.000000000007,-451027,-451027,-444357,-177596,0,-417097,0.38907,-0.06403,-0.07286,-0.02796,-0.02334,1.63394,5.40137,0.19786,0,-0.0639,-0.0639,0.87707,2.28594,-0.10442,-0.02796,-0.04568,7.31934,5.79499
"35","2019_Q4",3.32390625,"Up",3082181,-2069798,1012383,-1527765,-1507233,-20532,-515382,46779,46779,-468603,-468603,-6586,-475189,-475189,-475189,-475189,1168930,1168930,2078116,2078116,5751164,250367,193326,9248577,863361,418331,418331,1281692,10530269,1802541,977436,825105,1823965,1859566,13156496,-3975967,8670703,8670703,10530269,-475189,45491,404421,-83763,-109040,-7523,-7523,-51397,-51397,-130704,-469891,21424,-554591,0.32846,-0.16721,-0.15417,-0.0548,-0.04513,1.1671,5.07059,0.21447,0.00203,-0.11877,-0.11877,0.77037,2.16718,-0.13862,-0.05445,-0.06354,2.44207,2.22652
"36","2020_Q1",3.15322580645161,"Down",3784049,-2526032,1258017,-1512021,-1499674,-12347,-254004,-7583,-7582.99999999999,-261587,-261587,-7125,-268712,-268712,-268712,-268712,1411732,1411732,1996240,1996240,5019044,206678,150975,8633694,839374,392185,392185,1231559,9865253,1154713,496362,658351,1363777,1392320,13245439,-4244679,8472933,8472933,9865253,-268712,48924,278761,186680,245653,-6477.00000000001,-6477,239176,239176,241670,-205080,20828,-17752,0.33245,-0.06712,-0.07101,-0.03171,-0.02724,0.0660599999999998,6.33072,0.16433,0.00211,-0.06663,-0.06663,0.93823,2.10081,-0.00439999999999999,-0.03153,-0.00208,6.78225,5.47591
"37","2020_Q2",2.97111111111111,"Down",1094778,-617423,477355,-707238,-704152,-3086,-229883,4344,4344,-225539,-225539,19385,-206154,169808,169808,169808,1592847,1592847,2004159,2004159,5019109,210300,155405,8826415,817478,468806,366039,1286284,10112699,992524,505496,487028,1244485,1337596,13317453,-4074871,8775103,8775103,10112699,169808,42054,-342299,9481,91562,3000,12000,98514,98514,180308,-187829,21258,-194733,0.43603,-0.20998,0.15511,0.01935,0.01679,-1.14678,7.09242,0.15243,0.0021,0.04211,0.04183,0.27146,2.17589,-0.04829,0.0191,-0.02191,8.36713,6.83647
