"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","other_payables_accruals","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","disposition_of_fixed_assets_intangibles","disposition_of_fixed_assets","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",16.0320634920635,"Up",1334888000,-768592000,566296000,-423984000,-126259000,-157000,-153089000,-128037000,142312000,-82980000,-76532000,-6448000,59332000,1684000,61016000,-13202000,47814000,47814000,-30233000,17581000,-28905000,3925713000,3751845000,436074000,436074000,24922000,369849000,43744000,297329000,4756558000,13736138000,1600762000,88867401.5783279,22989000,1577773000,15336900000,20093458000,936105000,86829000,7033000,842243000,286819000,773252000,773252000,1996176000,10174574000,533388000,282378640.512632,533388000,10707962000,12704138000,5130417000,444928000,25871000,6269793000,1119527000,7389320000,20093458000,47814000,153089000,46893000,34998000,282794000,-535890000,2311000,2311000,-538201000,-538201000,-892443000,-575270000,73000,73000,-821000,-599368000,-1209017000,-1209017000,5446000,-1203571000,295401000,10461393000,-192289000,0.42423,0.10661,-0.02165,-0.00391,-0.00144,6.65245,2.38283,1.71926,0.52064,-0.04378,-0.04378,2.0217,8.48308,-0.29122,6,-3e-04,-0.01046,22.12477,45.92501
"2","2010_Q3",18.97578125,"Up",1594476000,-872818000,721658000,-517204000,-172919000,-676000,-170694000,-154204000,204454000,-81115000,-74914000,-6201000,123339000,-36718000,86621000,-8073000,78548000,78548000,-36741000,41807000,-4679000,3692296000,3518835000,530331000,530331000,26523000,207674000,39833000,91983000.0000001,4456824000,14122595000,1687735000,92010000,26046000,1569679000,15810330000,20267154000,1070782000,119156000,15011000,936615000,569196000,754667000,754667000,2394645000,9826661000,584860000,50229000,534631000,10411521000,12806166000,5150515000,440249000,26400000,6308877000,1152111000,7460988000,20267154000,78548000,170694000,73607000,32262000,355111000,-629036000,3335999.99999999,3335999.99999999,-632372000,-589067000,-423331000,-93388000,3849999.99999999,3850000,-53544000,-166432000,-234652000,-234652000,1642000,-233010000,375148000,10395857000,-213553000,0.4526,0.12823,-0.00293,-0.000630000000000002,-0.00023,45.64074,1.86116,1.71642,0.51294,-0.00708999999999994,-0.00709,2.41454,8.50616,-0.32339,6,0.00101,-0.01158,17.86911,32.78762
"3","2010_Q4",30.01984375,"Up",1908772000,-969950000,938822000,-537054000,-193476000,-425000,-186738000,-118582000,401768000,-67618000,-74062000,6444000,334150000,-40155000,293995000,-25161000,268834000,268834000,-54337000,214497000,168011000,2394712000,2394712000,618998000,618998000,27751000,272099000,41481000,203687000,3313560000,14471865000,2462572000,91735000,16855000,2353982000,16934437000,20247997000,1172306000,101163000,8051000,1063092000,572458000,571197000,571197000,2315961000,9567391000,562426000,44762000,517664000,10129817000,12445778000,5167057000,608260000,101619000,6591781000,1210438000,7802219000,20247997000,268834000,186738000,171675000,-57154000,570093000,-523986000,304000,304000,-524290000,-522996000,-1209943000,-456787000,2478000,2478000,-11458000,-489117000,-1128967000,-1128967000,4844000,-1124123000,588506000,10139849000,32527000,0.49185,0.21049,0.08802,0.02153,0.0083,0.1936,1.43075,1.59516,0.50078,0.25424,0.16378,2.88839,8.8931,0.04922,7,0.01034,0.00176,13.16068,19.27764
"4","2011_Q1",29.9425806451613,"Down",2015046000,-1032920000,982126000,-495462000,-190644000,-525000,-184450000,-95067000,486664000,-74413000,-72358000,-2055000,412251000,2022000,414273000,-27866000,386407000,386407000,-60898000,325509000,273036000,3037081000,3037081000,716919000,716919000,32260000,272647000,46726000,164315000,4058907000,14502197000,2483204000,89805000,10423000,2382976000,16985401000,21044308000,1316364000,113505000,1420559.43993954,1202859000,767068000,516981000,516981000,2600413000,9373755000,635573000,115219000,520354000,10009328000,12609741000,5445413000,880703000,129519000,7166370000,1268197000,8434567000,21044308000,386407000,184450000,106479000,-15183000,662153000,-330637000,43784000,43784000,-374421000,-373717000,-182098000,-78137000,235568000,235568000,-6721000,127360000,607415000,607415000,34954000,642369000,671114000,10140823000,353160000,0.4874,0.24152,0.1355,0.03237,0.01297,1.29346,1.56087,1.49501,0.48188,0.39664,0.33274,2.92729,9.37819,0.51304,7,0.01543,0.01838,10.585,14.59681
"5","2011_Q2",28.351746031746,"Down",2111919000,-1053796000,1058123000,-571697000,-210485000,-573000,-190237000,-135344000,486426000,-76213000,-71538000,-4675000,410213000,-499000,409714000,-45211000,364503000,364503000,-75180000,289323000,228156000,3133941000,3133941000,803100000,803100000,33633000,234611000,54219000,146532000,4205285000,14693989000,2337716000,87905000,8729000,2241082000,17031705000,21236990000,1191978000,87734000,8631000,1095613000,917007000,477989000,477989000,2586974000,9185752000,638482000,124038000,514444000,9824234000,12411208000,5544891000,1108859000,164012000,7484096000,1341686000,8825782000,21236990000,364503000,190237000,117367000,-253729000,418378000,-329740000,3097000,3097000,-332837000,-332508000,-179778000,-121721000,9727000,14271000,-16201000,-147793000,90807000,90807000,6053000,96860000,676663000,10102759000,138405000,0.50102,0.23032,0.10803,0.02585,0.01074,0.60662,1.62556,1.40624,0.47572,0.3154,0.28124,2.91948,9.42475,0.19133,7,0.01266,0.00707,10.2988,14.32657
"6","2011_Q3",29.92875,"Up",2345096000,-1114399000,1230697000,-615132000,-223561000,-2420000,-206161000,-159494000,615565000,-64656000,-66564000,1908000,550909000,-7443000,543466000,-54374000,489092000,489092000,-78455000,410637000,367607000,3479106000,3479106000,968988000,968988000,35634000,237577000,51636000,171228000,4721305000,14892790000,2123062000,85844000,9259000,2027959000,17015852000,21737157000,1282369000,92953000,39130000,1150286000,1073484000,383489000,383489000,2739342000,8985396000,645769000,133859000,511910000,9631165000,12370507000,5565019000,1476466000,218495000,7947649000,1419001000,9366650000,21737157000,489092000,206161000,90489000,-122597000,663145000,-387115000,1319000,1319000,-388434000,-388188000,-170397000,-137797000,6035000,6819000,-349000.000000002,-157193000,335555000,335555000,9610000,345165000,821726000,10058880000,366388000,0.5248,0.26249,0.15676,0.03925,0.01691,0.99668,1.72352,1.3207,0.46275,0.50445,0.45314,3.21808,9.96259,0.50278,7,0.01956,0.01825,8.00726,10.689
"7","2011_Q4",29.5125396825397,"Down",2409375000,-1134186000,1275189000,-641696000,-240672000,-3308000,-200071000,-163692000,633493000,-75009000,-68392000,-6617000,558484000,-937000,557547000,-52375000,505172000,505172000,-80293000,424879000,353631000,3951575000,3951575000,1112896000,1112896000,33462000,244723000,50693000,184366000,5342656000,14804973000,1817622000,82546000,14361000,1720715000,16622595000,21965251000,1519941000,103319000,78447000,1338175000,457344000,355686000,355686000,2332971000,9282084000,651958000,134928000,517030000,9934042000,12267013000,5588624000,1830097000,103067000,8201943000,1496295000,9698238000,21965251000,505172000,200071000,74968000,67439000,847650000,-365363000,1071000,1071000,-366434000,-366909000,-141947000,-139885000,-48637000,10984000,-6020000,-215625000,490078000,490078000,-17609000,472469000,833564000,9739428000,588015000,0.52926,0.26293,0.14677,0.03646,0.0161,1.66279,2.29007,1.26487,0.4434,0.48455,0.43542,3.30135,10.30644,0.80571,9,0.01865,0.02927,6.9435,9.13641
"8","2012_Q1",34.7159677419355,"Up",2544355000,-1282187000,1262168000,-597562000,-162206000,-5008000,-197935000,-174464000,664606000,-56632000,-62061000,5429000,607974000,-23878000,584096000,-59744000,524352000,524352000,-89068000,435284000,320114000,3902718000,3902718000,1336817000,1336817000,34990000,122627000,45607000,4828000,5397152000,15030979000,1815992000,80068000,152999.999999998,1735771000,16846971000,22244123000,1682951000,104113000,108060000,1470778000,455846000,359909000,359909000,2498706000,9577131000,729134000,205438000,523696000,10306265000,12804971000,5610893000,2145692000,94104000,7850689000,1588463000,9439152000,22244123000,524352000,197935000,134544000,-123508000,733323000,-420282000,606000,606000,-420888000,-420888000,-205984000,300628000,-774429000,5942999.99999997,-79127000,-572850000,-45511000,-45511000,-3346000,-48857000.0000001,862541000,10032977000,378495000,0.49607,0.26121,0.12581,0.03391,0.01439,1.18238,2.15998,1.35658,0.45104,0.43765,0.39393,3.47853,10.73311,0.51746,9,0.01683,0.01874,7.10721,9.2239
"9","2012_Q2",34.195873015873,"Down",2762742000,-1354939000,1407803000,-656763000,-218717000,-1198000,-194747000,-189883000,751040000,-62443000,-59024000,-3419000,688597000,-46317000,642280000,-63171000,579109000,579109000,-80167000,498942000,498942000,4056360000,4056360000,1530340000,1530340000,40014000,96025000,76085000,4874000,5722739000,15329602000,1818691000,78017000,18889000,1721785000,17148293000,22871032000,1711926000,105205000,176853000,1429868000,469324000,311568000,311568000,2492818000,9382649000,697717000,159427000,538290000,10080366000,12573184000,6175596000,2438945000,191935000,8806476000,1491372000,10297848000,22871032000,579109000,194747000,133059000,-239464000,667451000,-397499000,761000,761000,-398260000,-398260000,-397694000,-306231000,547427000,547427000,-114000,-144576000,125181000,125181000,28461000,153642000,945787000,9851973000,371995000,0.50957,0.27185,0.1806,0.04845,0.02182,0.74557,2.29569,1.22095,0.43076,0.65612,0.60936,3.6331,11.5808,0.48919,8,0.04243,0.01784,6.12782,7.71678
"10","2012_Q3",28.2052380952381,"Down",2581906000,-1347742000,1234164000,-735173000,-259038000,-6797000,-220440000,-190524000,498991000,-55859000,-57641000,1782000,443132000,-117666000,325466000,-39085000,286381000,286381000,-45794000,240587000,240587000,3.522e+09,3.522e+09,1561776000,1561776000,40537000,101284000,82058000,5151000,5225597000,15299920000,1891289000,75435000,28378000,1787476000,17191209000,22416806000,1855378000,134447000,162525000,1558406000,97737000,296355000,296355000,2249470000,9276476000,703830000,153918000,549912000,9980306000,12229776000,6192495000,2473724000,162529000,8828748000,1358282000,10187030000,22416806000,286381000,220440000,198402000,45645000,750868000,-336535000,717000,717000,-337252000,-337252000,-336794000,-451043000,4527000.00000024,4527000.00000024,-100028000,-933623000,-519549000,-519549000,-14811000,-534360000,719431000,9374213000,467626000,0.47801,0.19326,0.09318,0.02362,0.01073,1.94369,2.32303,1.20052,0.41818,0.293,0.29123,3.14441,10.7522,0.5695,5,0.03097,0.02308,8.1345,11.72809
