"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_expense","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2018_Q2",31.261875,"Up",173807000,-138227000,35580000,-29374000,-14365000,-15009000,6206000,-2930000,-2930000,-2930000,3276000,-1508000,1768000,-93000,1675000,1675000,1675000,1675000,72900000,72900000,116080000,116080000,21748000,17360000,6859000,228088000,253066000,156582000,61645000,1181000,409648000,637736000,59550000,36446000,22383000,2774000,62324000,110936000,5036000,66000,115972000,178296000,555924000,-92406000,-4078000,459440000,459440000,637736000,1675000,15009000,4284000,-3661000,17307000,-5372000,-5372000,-126883000,-1385000,43648000,55583000,55583000,-196000,55387000,21215000,113710000,12275000,0.20471,0.03571,0.00964,0.00365,0.00263,7.32836,3.65971,0.38807,0.1783,0.07648,0.0759,7.93548,20.97658,0.56044,0.0029,0.02123,1.92364,6.57589
"2","2018_Q3",30.3738095238095,"Down",205492000,-163591000,41901000,-30571000,-15463000,-15108000,11330000,-1815000,-1815000,-1815000,9515000,155999.999999993,9671000,-652000,9019000,9019000,9019000,9019000,70860000,70860000,140968000,140968000,23091000,18066000,7431000,252985000,248803000,154598000,59749000,1093000,403401000,656386000,64873000,39002000,25871000,5899000,70772000,107980000,5454000,62000,113434000,184206000,559895000,-83387000,-4328000,472180000,472180000,656386000,9019000,15108000,4604000.00000001,-20838000,7893000,-11399000,-9656000,0,-9.31322574615479e-10,-166000,-1929000,-1929000,-111000,-2040000.00000001,26438000,113879000,-5147000.00000001,0.20391,0.05514,0.04389,0.0191,0.01374,-0.570680000000001,3.57465,0.39012,0.17349,0.37725,0.37074,8.59549,19.75073,-0.21529,0.01525,-0.0087,1.62717,3.79691
"3","2018_Q4",30.4687301587302,"Up",218427000,-165882000,52545000,-37527000,-22009000,-15518000,15018000,-1568000,-1568000,-2018000,13450000,1338000,14788000,-1130000,13658000,13658000,13658000,13658000,86534000,86534000,162437000,162437000,29571000,17670000,7035000,296212000,257447000,152792000,57892000,1144000,410239000,706451000,94097000,49497000,44600000,372000,94469000,115314000,6038000,55000,121352000,215821000,564480000,-69729000,-4121000,490630000,490630000,706451000,13658000,15518000,3230000,-6850000,25556000,-10983000,-10983000,0,-790000,1077000,15650000,15650000,24000,15674000,30536000,115686000,13833000,0.24056,0.06876,0.06253,0.02784,0.01933,1.01281,3.13555,0.43989,0.16376,0.5695,0.5594,9.10774,20.45779,0.57679,0.0223,0.02259,0.95468,1.94114
"4","2019_Q1",24.1470491803279,"Down",229448000,-171598000,57850000,-39421000,-21241000,-18180000,18429000,-16002000,-16002000,-16176000,2427000,-79262000,-76835000,-5e+05,-77335000,-77335000,-77335000,-77335000,63615000,63615000,154783000,154783000,91435000,23343000,15717000,333176000,211644000,596352000,282162000,6386000,807996000,1141172000,107623000,46132000,61434000,665000,108288000,427308000,10753000,4838000,438061000,546349000,746730000,-147064000,-4843000,594823000,594823000,1141172000,-77335000,18180000,85166000,12810000,38821000,-16709000,-363754000,319598000,-18504000,302132000,-22801000,-22801000,-118000,-22919000,36609000,427973000,33210000,0.25213,0.08032,-0.33705,-0.13001,-0.06777,-0.42943,3.07676,0.91851,0.37503,-2.77656,-2.88208,8.23788,21.35594,1.19234,-0.07482,0.03213,9.95269,19.7709
"5","2019_Q2",19.89,"Down",229705000,-178590000,51115000,-38157000,-19939000,-18218000,12958000,-9166000,-9166000,-9326000,3792000,13978000,17770000,-460000,17310000,17310000,17310000,17310000,31157000,31157000,159245000,159245000,98053000,27702000,20608000,316157000,221134000,591330000,277474000,6052000,812464000,1128621000,92574000,47688000,44033000,992000,93566000,408599000,10989000,5552000,419588000,513154000,749816000,-129754000,-4595000,615467000,615467000,1128621000,17310000,18218000,-9172000,-20468000,5888000,-19909000,-18139000,-20212000,-82000,-20279000,-32530000,-32530000,72000,-32458000,31176000,409591000,-8741000,0.22252,0.05641,0.07536,0.02812,0.01534,-0.50497,3.37897,0.83376,0.36291,0.7091,0.7091,9.40982,25.21247,-0.35807,0.01671,-0.00844,12.13863,29.20466
"6","2019_Q3",9.7971875,"Down",237517000,-184555000,52962000,-40292000,-21818000,-18474000,12670000,-10603000,-10603000,-10771000,2067000,1285000,3352000,2735000,6087000,6087000,6087000,6087000,16886000,16886000,169450000,169450000,87935000,16482000,16482000,290753000,220575000,586373000,272846000,5723000,806948000,1097701000,69910000,38993000,30820000,1012000,70922000,393882000,8588000,5692000,402470000,473392000,752379000,-123667000,-4403000,624309000,624309000,1097701000,6087000,18474000,1777000,-14818000,11520000,-16267000,-8931000,-15217000.0000001,-1689000,-16906000,-14317000,-14317000,46000,-14271000,31144000,394894000,-2676000,0.22298,0.05334,0.02563,0.00975,0.00555,-0.43963,4.09962,0.75827,0.35975,0.2081,0.20688,8.12003,21.34335,-0.0914799999999999,0.00592,-0.00260000000000001,12.13743,29.83489
"7","2019_Q4",5.808125,"Down",202305000,-166849000,35456000,-36027000,-19222000,-16805000,-571000,-9732000,-9732000,-9843000,-10303000,-9597000,-19900000,-727000,-20627000,-20627000,-20627000,-20627000,93321000,93321000,118428000,118428000,66475000,14312000,14312000,292536000,198879000,590168000,268237000,5462000,789047000,1081583000,72808000,32027000,40473000,973000,73781000,393997000,7026000,3987000,401023000,474804000,755655000,-144294000,-4582000,606779000,606779000,1081583000,-20627000,16805000,16382000,56840000,69400000,6434000,7477000,-239000,-122000,-361000,76516000,76516000,-81000,76435000,16234000,394970000,80235000,0.17526,-0.00282,-0.10196,-0.03399,-0.01907,-3.8898,3.96492,0.7825,0.36518,-0.70249,-0.70288,6.88983,20.66485,2.73253,-0.02045,0.07954,18.58131,-528.28196
"8","2020_Q1",4.50806451612903,"Down",163410000,-139985000,23425000,-35762000,-20348000,-15414000,-12337000,-9409000,-9409000,-9830000,-21746000,-201114000,-222860000,2339000,-220521000,-220521000,-220521000,-220521000,92989000,92989000,96889000,96889000,60945000,18094000,17434000,268917000,128604000,453374000,148991000,8187000,581978000,850895000,60220000,35490000,24730000,995000,61215000,394260000,5543000,3955000,399803000,461018000,759159000,-364815000,-4467000,389877000,389877000,850895000,-220521000,15414000,205172000,14432000,14497000,-14601000,-14528000,-235000.000000002,-124000,-359000.000000001,-390000,-390000,58000.0000000001,-332000.000000015,3077000,395255000,569000.000000015,0.14335,-0.0755,-1.3495,-0.56562,-0.25916,-0.00257999999999958,4.39299,1.18247,0.46452,-7.50886,-7.59382,5.5642,13.27553,0.0193699999999994,-0.2789,0.000720000000000012,98.23399,-24.50077
"9","2020_Q2",1.68095238095238,"Down",146624000,-126008000,20616000,-29105000,-16395000,-12710000,-8489000,-9457000,-9457000,-9828000,-17946000,-285079000,-303025000,2125000,-300900000,-300900000,-300900000,-300900000,90116000,90116000,92645000,92645000,63113000,15787000,14977000,261661000,121148000,152199000,144822000,7377000,273347000,535008000,57389000,28291000,29098000,1019000,58408000,380944000,3805000,3805000,384749000,443157000,762636000,-665715000,-5070000,91851000,91851000,535008000,-300900000,12710000,287811000,1124000,745000,107000,535000,-3695000,-213000,-3908000,-2628000,-2628000,-245000,-2873000,4221000,381963000,3327000,0.1406,-0.0579,-2.05219,-3.27596,-0.56242,-0.01106,4.47988,4.82474,0.71394,-10.2241,-10.2241,4.98205,3.12095,0.11305,-0.63,0.00697,69.14167,-34.37943
"10","2020_Q3",1.5928125,"Down",52735000,-56703000,-3968000,-23849000,-11284000,-12565000,-27817000,-9007000,-9007000,-9186000,-36824000,12467000,-24357000,186000,-24171000,-24171000,-24171000,-24171000,88678000,88678000,39376000,39376000,59333000,19921000,19291000,207308000,115258000,146293000,140706000,5587000,261551000,468859000,27170000,11114000,16056000,1606000,28776000,367299000,2834000,2834000,370133000,398909000,764699000,-689886000,-4863000,69950000,69950000,468859000,-24171000,12565000,-7670000,20890000,1614000,1106000,1233000,-4205000,-150000,-4355000,-1508000,-1508000,70000,-1438000,-15252000,368905000,6558000,-0.07524,-0.52749,-0.45835,-0.34555,-0.05155,-0.27132,7.2042,5.70277,0.78681,-0.809900000000001,-0.809900000000003,1.76701,2.34384,0.21974,-0.05472,0.01485,-18.37313,-10.07395
"11","2020_Q4",1.83890625,"Up",49521000,-52483000,-2962000,-22555000,-10701000,-11854000,-25517000,-9058000,-9087000,-9130000,-34575000,16036000,-18539000,37000,-18502000,-18502000,-18502000,-18502000,80338000,80338000,34805000,34805000,52683000,20772000,19526000,188598000,108986000,140875000,136615000,4260000,249861000,438459000,33258000,10022000,23236000,1911000,35169000,344427000,5264000,5264000,349691000,384860000,766718000,-708388000,-4731000,53599000,53599000,438459000,-18502000,11854000,-11236000,20165000,2281000,-2318000,-2318000,-7248000,-1126000,-8374000,-8411000,-8411000,71000,-8340000,-13663000,346338000,4147000,-0.05981,-0.51528,-0.37362,-0.34519,-0.0422,-0.22414,5.36262,7.18036,0.7899,-0.61981,-0.61981,1.65892,1.79553,0.13892,-0.04566,0.01023,-19.46864,-10.42442
"12","2021_Q1",3.00508196721311,"Up",61971000,-66963000,-4992000,-22735000,-10966000,-11769000,-27727000,-8560000,-8593000,-8615000,-36287000,801999.999999993,-35485000,110000,-35375000,-35375000,-35375000,-35375000,68864000,68864000,41235000,41235000,38402000,17662000,16270000,166163000,102429000,174008000,132524000,41484000,276437000,442600000,35279000,18140000,17139000,8136000,43415000,376118000,2658000,2658000,378776000,422191000,768745000,-743835000,-4501000,20409000,20409000,442600000,-35375000,11769000,19001000,-4936000,-9541000,-1910000,-1228000,-688999.999999999,-59000,-748000.000000001,-11517000,-11517000,43000,-11474000,-15958000,384254000,-22914000,-0.08055,-0.44742,-0.57083,-1.7333,-0.07993,0.64775,3.82732,20.68651,0.86817,-1.18496,-1.18496,2.07585,0.68364,-0.76755,-0.08685,-0.05626,-19.76375,-11.37483
"13","2021_Q2",2.27,"Down",66626000,-62283000,4343000,-22105000,-10224000,-11881000,-17762000,-8538000,-8572000,-8585000,-26300000,18081000,-8219000,-27000,-8246000,-8246000,-8246000,-8246000,52982000,52982000,48139000,48139000,38759000,14257000,13115000,154137000,96530000,168382000,128432000,39950000,264912000,419049000,45932000,21385000,24547000,7859000,53791000,348677000,2498000,2498000,351175000,404966000,770624000,-752081000,-4460000,14083000,14083000,419049000,-8246000,11881000,-12414000,3536000,-5243000,-1585000,-1585000,-8900000,-161000,-9061000,-15889000,-15889000,7000,-15882000,-5881000,356536000,-3903000,0.06518,-0.26659,-0.12377,-0.58553,-0.01968,0.47332,2.86548,28.75566,0.85082,-0.27599,-0.27599,2.2299,0.47134,-0.13063,-0.0221,-0.01046,-51.61605,-17.09008
