"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","other_long_term_assets","intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","other_investing_activities","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2014_Q3",21.05515625,"Up",29506000,-11731000,17775000,-39153000,-28654000,-10499000,-21378000,-451000,-451000,-21829000,-21829000,85000,-21744000,-21744000,-21744000,-21750000,129484000,120054000,9430000,9655000,9655000,5806000,5806000,144945000,38160000,2764000,17443000,15961000,1482000,58367000,203312000,26493000,6758000,19735000,41211000,41211000,67899000,8655000,8655000,13670000,81569000,218530000,-96457000,322000,121743000,121743000,203312000,-21744000,2696000,11025000,4530000,-3493000,-9517000,-1614000,-2114000,-13357000,979000,979000,-969000,86059000,69209000,69209000,-10000,69199000,-18682000,5210000,-23754000,0.60242,-0.72453,-0.73714,-0.17866,-0.10698,1.09214,2.13471,0.67001,0.02563,-0.47531,-0.47531,0.6448,2.66047,-0.5191,-0.16039,-0.17517,6.65207,5.81317
"2","2014_Q4",23.54203125,"Up",33910000,-11684000,22226000,-40038000,-30488000,-9550000,-17812000,-343000,-343000,-18155000,-18155000,236000,-17919000,-17919000,-17919000,-17919000,110294000,80436000,29858000,12858000,12858000,5255000,5255000,128407000,40864000,18007000,16703000,15158000,1545000,75574000,203981000,25386000,5501000,19885000,48434000,48434000,73923000,10758000,10758000,15436000,89359000,229689000,-114376000,-39000,114622000,114622000,203981000,-17919000,3169000,10971000,8849000,5070000,-6024000,-35842000,-2353000,-44219000,1719000,1719000,-781000,-421000,-39570000,-39570000,-48000,-39618000,-14643000,4781000,-12054000,0.65544,-0.52527,-0.52843,-0.15633,-0.08785,0.67269,1.73704,0.7796,0.02344,-0.24981,-0.2498,0.47274,1.59794,-0.16804,-0.13767,-0.09261,7.2057,5.9237
"3","2015_Q1",23.9370491803279,"Up",38541000,-13637000,24904000,-42107000,-30931000,-11176000,-17203000,-281000,-281000,-17484000,-17484000,-9000,-17493000,-17493000,-17493000,-17493000,122469000,80265000,42204000,11523000,11523000,5013000,5013000,139005000,41895000,9205000,15683000,14152000,1531000,66783000,205788000,24190000,4763000,19427000,53949000,53949000,78149000,10022000,10022000,13933000,92082000,246755000,-131869000,-528000,113706000,113706000,205788000,-17493000,3783000,8186000,7632000,2108000,-2544000,-3820000,-1592000,-7956000,6542000,6542000,-33000,5648000,-2e+05,-2e+05,29000,-171000,-13420000,3921000,-8323000,0.64617,-0.44636,-0.45388,-0.15384,-0.085,0.47579,1.77872,0.80983,0.01905,-0.23629,-0.2363,0.52061,1.53592,-0.11243,-0.13704,-0.0652,8.83368,6.89112
"4","2015_Q2",22.9898412698413,"Down",42234000,-14290000,27944000,-46789000,-33530000,-13259000,-18845000,-230000,-230000,-19075000,-19075000,-93000,-19168000,-19168000,-19168000,-19168000,309077000,264222000,44855000,12001000,12001000,6047000,6047000,327125000,43351000,7501000,15166000,13255000,1911000,66018000,393143000,24041000,3778000,20263000,57951000,57951000,81992000,9743000,9743000,12882000,94874000,450886000,-151037000,-928000,298269000,298269000,393143000,-19168000,4223000,10401000,-651000,-5195000,-3356000,-1140000,-1317000,-6361000,5406000,5406000,-82000,195355000,183799000,183799000,158000,183957000,-14622000,3139000,-18536000,0.66165,-0.4462,-0.45385,-0.06426,-0.04876,0.96703,3.98972,0.31808,0.00798,-0.25109,-0.25109,0.55325,3.90722,-0.24281,-0.0616,-0.05957,20.92313,16.23444
"5","2015_Q3",21.0153125,"Down",48227000,-16162000,32065000,-53004000,-38778000,-14226000,-20939000,-344000,-344000,-21283000,-21283000,-199000,-21482000,-21482000,-21482000,-21482000,286341000,255669000,30672000,14600000,14600000,8731000,8731000,309672000,45621000,22820000,15310000,13028000,2282000,83751000,393423000,21722000,4079000,17643000,64168000,64168000,85890000,10703000,10703000,10703000,96593000,470735000,-172519000,-734000,296830000,296830000,393423000,-21482000,4581000,13436000,3887000,422000,-4050000,-1370000,-1066000,-6486000,4518000,4518000,-26000,-2391000,-8455000,-8455000,-98000,-8553000,-16358000,0,-16322000,0.66488,-0.43418,-0.44544,-0.07237,-0.0546,0.7598,3.60545,0.32542,0,-0.24866,-0.24866,0.55825,3.43593,-0.18893,-0.06985,-0.05307,17.50465,13.67501
"6","2015_Q4",23.43953125,"Up",55661000,-17039000,38622000,-57431000,-41399000,-16032000,-18809000,146000,146000,-18663000,-18663000,-262000,-18925000,-18925000,-18925000,-18925000,280633000,255386000,25247000,24121000,24121000,9904000,9904000,314658000,52747000,22513000,14338000,11888000,2450000,89598000,404256000,26707000,4390000,22317000,74295000,74295000,101002000,10623000,10623000,10623000,111625000,486304000,-191443000,-1578000,292631000,292631000,404256000,-18925000,4868000,13621000,257999.999999998,-178000,-6825000,5594000,-1165000,-2947000,3092000,3092000,-249000,2843000.00000003,-282000,-282000,-1000,-283000.00000003,-13941000,0,-20246000,0.69388,-0.33792,-0.34,-0.06467,-0.04681,1.0698,3.11536,0.38145,4.33680868994202e-19,-0.21535,-0.2156,0.63338,3.32989,-0.23038,-0.06241,-0.06676,20.13005,14.92014
"7","2016_Q1",20.3104918032787,"Down",62646000,-19693000,42953000,-67345000,-48247000,-19098000,-24392000,-301000,-301000,-24693000,-24693000,216000,-24477000,-24477000,-24477000,-24477000,245640000,216226000,29414000,26168000,26168000,11423000,11423000,283231000,56540000,22336000,60579000,57050000,3529000,139455000,422686000,33189000,9332000,23857000,84210000,84210000,117399000,11997000,11997000,11997000,129396000,512088000,-215921000,-2225000,293290000,293290000,422686000,-24477000,6072000,16106000,12583000,10284000,-8758000,-4253000,-1157000,-56927000,7119000,7119000,197000,7300000,-39343000,-39343000,183000,-39160000,-18320000,0,-14711000,0.68565,-0.38936,-0.39072,-0.08346,-0.05791,0.60101,2.41255,0.44119,0,-0.27473,-0.27441,0.70313,3.29184,-0.16511,-0.08018,-0.04819,13.4083,10.07051
"8","2016_Q2",24.145,"Up",68459000,-21516000,46943000,-73630000,-52033000,-21597000,-26687000,-70000.0000000001,-69999.9999999999,-26757000,-26757000,-414000,-27171000,-27171000,-27171000,-27171000,254322000,217791000,36531000,24094000,24094000,11984000,11984000,290400000,55543000,18387000,61352000,56746000,4606000,135282000,425682000,33316000,6497000,26819000,90551000,90551000,123867000,11964000,11964000,11964000,135831000,532348000,-243092000,1247000,289851000,289851000,425682000,-27171000,6526000,18098000,7136000,4589000,-3249000,-3140000,-1351000,-7739999.99999999,5059000,5059000,-189000,4870000,1719000.00000001,1719000.00000001,-154000,1565000.00000001,-20161000,0,-15860000,0.68571,-0.38982,-0.39689,-0.09374,-0.06383,0.58371,2.34445,0.46862,-2.71050543121376e-20,-0.30017,-0.30017,0.75629,3.2021,-0.17521,-0.09003,-0.05255,12.61455,9.52981
"9","2016_Q3",29.715625,"Up",74200000,-22936000,51264000,-77560000,-55426000,-22134000,-26296000,134000,134000,-26162000,-26162000,-92000,-26254000,-26254000,-26254000,-26254000,224166000,118036000,106130000,28666000,28666000,19645000,19645000,272477000,55734000,51625000,60105000,55948000,4157000,167464000,439941000,33626000,6481000,27145000,101042000,101042000,134668000,12556000,12556000,12556000,147224000,564537000,-269345000,-1823000,292717000,292717000,439941000,-26254000,6621000,18842000,762000,-29000,-5161000,-102924000,-1422000,-109507000,1e+07,1e+07,-156000,9521000,-100015000,-100015000,260000,-99755000,-19675000,0,-23982000,0.69089,-0.35439,-0.35383,-0.08969,-0.05968,0.91346,2.02332,0.50296,0,-0.28483,-0.28483,0.805,3.1757,-0.26018,-0.086,-0.07856,11.39344,8.52472
"10","2016_Q4",24.2130158730159,"Down",80717000,-23866000,56851000,-83063000,-60111000,-22952000,-26212000,681000,681000,-25531000,-25531000,-294000,-25825000,-25825000,-25825000,-25825000,211347000,77589000,133758000,37645000,37645000,19437000,19437000,268429000,57507000,71139000,59352000,54848000,4504000,187998000,456427000,36259000,5491000,30768000,110174000,110174000,146433000,11460000,11460000,11460000,157893000,596088000,-295172000,-1730000,298534000,298534000,456427000,-25825000,6853000,20483000,-2077000,-566000.000000001,-4084000,-47361000,-1540000,-52985000,13531000,13531000,-148000,13383000,-40168000,-40168000,-279000,-40447000,-19359000,-1.45519152283669e-11,-25226000,0.70432,-0.32474,-0.31994,-0.08651,-0.05658,0.97681,1.83312,0.52889,0,-0.27436,-0.27449,0.85751,3.17154,-0.26799,-0.08331,-0.08138,10.91725,8.06299
"11","2017_Q1",25.8882258064516,"Up",89468000,-25582000,63886000,-82838000,-58454000,-24384000,-18952000,775000,775000,-18177000,-18177000,-193000,-18370000,-18370000,-18370000,-18370000,224867000,93677000,131190000,37343000,37343000,17608000,17608000,279818000,62731000,75168000,57568000,53296000,4272000,195467000,475285000,43942000,4555000,39387000,123276000,123276000,167218000,8639000,8639000,8639000,175857000,624997000,-319720000,-5197000,299428000,299428000,475285000,-18370000,7506000,29068000,2362000,20566000,-8153000,-1982000,-1997000,-12132000,7826000,7826000,-296000,7853000,16287000,16287000,-161000,16126000,-11446000,0,-17044000,0.71407,-0.21183,-0.20532,-0.06135,-0.03865,0.92782,1.67337,0.58731,0,-0.19171,-0.19162,0.93369,3.12484,-0.17787,-0.05963,-0.05533,19.6459,11.86508
"12","2017_Q2",27.4319047619048,"Up",93888000,-28107000,65781000,-91042000,-64586000,-26456000,-25261000,218000,218000,-25043000,-25043000,-38000,-25081000,-25081000,-25081000,-25081000,247698000,109258000,138440000,39105000,39105000,17982000,17982000,304785000,60842000,68320000,57081000,52699000,4382000,186243000,491028000,46002000,5890000,40112000,130129000,130129000,176131000,9500000,9500000,9500000,185631000,656783000,-346942000,-3792000,305397000,305397000,491028000,-25081000,7923000,22980000,1460000,7282000,-4791000,-502000.000000002,-1852000,-7145000,15533000,15533000,-154000,15379000,15516000,15516000,198000,15714000,-17338000,-2.3283064365387e-10,-20631000,0.70063,-0.26905,-0.26714,-0.08213,-0.05108,0.82257,1.73044,0.60784,0,-0.25731,-0.25731,0.9632,3.13308,-0.21165,-0.07965,-0.06552,14.28642,9.80555
"13","2017_Q3",28.0688888888889,"Up",102096000,-30663000,71433000,-98898000,-70200000,-28698000,-27465000,508000,508000,-26957000,-26957000,690000,-26267000,-26267000,-26267000,-26267000,240264000,102775000,137489000,41311000,41311000,21141000,21141000,302716000,61753000,68502000,76671000,68762000,7909000,206926000,509642000,50078000,8161000,41917000,141345000,141345000,191423000,10250000,10250000,10250000,201673000,687343000,-376248000,-2474000,307969000,307969000,509642000,-26267000,8209000,24026000,4327000,10295000,-4485000,606000,-1463000,-21812000,6781000,6781000,-1609000,5172000,-6345000,-6345000,81000,-6264000,-19256000,0,-20104000,0.69967,-0.26901,-0.25728,-0.08529,-0.05154,0.76537,1.5814,0.65485,0,-0.26397,-0.26397,1.02603,3.09498,-0.20204,-0.08254,-0.06318,12.47736,8.74801
"14","2017_Q4",32.7296825396825,"Up",112265000,-33693000,78572000,-105139000,-75781000,-29358000,-26567000,619000,619000,-25948000,-25948000,133000,-25815000,-25815000,-25815000,-25815000,226562000,92603000,133959000,51465000,51465000,24318000,24318000,302345000,59600000,90263000,77129000,67779000,9350000,226992000,529337000,59125000,11212000,47913000,154163000,154163000,213288000,9879000,9879000,9878999.99999999,223167000,712311000,-403936000,-2205000,306170000,306170000,529337000,-25815000,8131000,26132000,-1103000,7345000,-4058000,-18279000,-1922000,-24259000,7216000,7216000,-652000,6564000,-10350000,-10350000,9000,-10341000,-18436000,3.72529029846191e-09,-23730000,0.69988,-0.23665,-0.22995,-0.08432,-0.04877,0.91923,1.41754,0.7289,0,-0.25654,-0.25646,1.11564,3.04259,-0.23582,-0.08168,-0.07508,12.28911,8.52795
"15","2018_Q1",41.4650819672131,"Up",121916000,-34959000,86957000,-113810000,-83031000,-30779000,-26853000,1142000,1142000,-25711000,-25711000,733000,-24978000,-24978000,-24978000,-24978000,246946000,109370000,137576000,57096000,57096000,39936000,24165000,343978000,59157000,97447000,90788000,67034000,23754000,247392000,591370000,56200000,5307000,50893000,173147000,173147000,229347000,7839000,7839000,7839000,237186000,754599000,-398043000,-2372000,354184000,354184000,591370000,-24978000,7668000,26452000,8164000,17306000,-3062000,-11309000,-2284000,-16655000,16600000,16600000,-574000,16026000,16677000,16677000,40000,16717000,-19185000,0,-14816000,0.71325,-0.22026,-0.20488,-0.07052,-0.04224,0.59316,1.49981,0.66967,0,-0.24473,-0.24481,1.19452,3.47025,-0.14517,-0.069,-0.04093,12.87183,9.19622
