"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","research_development","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","other_long_term_assets","goodwill","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",48.2725396825397,"Down",9.259e+09,-1.63e+09,-4.08e+08,-1.51e+08,-5.42e+08,-5.29e+08,1.089e+09,-3.8e+07,-8.4e+07,4.6e+07,1.051e+09,9.66e+08,-3.98e+08,5.68e+08,5.68e+08,-3e+07,5.38e+08,5.38e+08,1.37e+09,1.37e+09,1.405e+09,1.502e+09,1.502e+09,8.78e+09,1.6536e+10,2.9099e+10,-1.2563e+10,4.633e+09,1.218e+09,2.283e+09,2.85e+08,2.1169e+10,2.9949e+10,7.133e+09,4.501e+09,2.632e+09,3.2e+07,7.165e+09,4.303e+09,4.454e+09,2.171e+09,2.283e+09,8.757e+09,1.5922e+10,2.843e+09,1.2761e+10,-1.749e+09,1.3855e+10,1.72e+08,1.4027e+10,2.9949e+10,5.68e+08,5.42e+08,1.47e+08,-4.32e+08,8.25e+08,-6.05e+08,-1.7e+07,-6.22e+08,-6.6e+07,-1.42e+08,1.3e+07,-1.95e+08,8e+06,8e+06,8e+06,1.631e+09,4.335e+09,9.92e+08,0.11762,0.05811,0.03835,0.01796,1.84387,1.2254,1.1351,0.14475,1.65657,1.64548,28.50958,42.66122,3.05449,0.20322,0.02647,0.04348,0.12268,1.8179,2.72268
"2","2010_Q3",44.9903125,"Down",7.732e+09,-1.654e+09,-4.04e+08,-1.72e+08,-5.58e+08,-5.2e+08,7.62e+08,-5.9e+07,-8.3e+07,2.4e+07,7.03e+08,6.97e+08,-3.01e+08,3.96e+08,3.96e+08,-2.1e+07,3.75e+08,3.75e+08,1.363e+09,1.363e+09,1.628e+09,1.434e+09,1.434e+09,8.296e+09,1.6535e+10,2.9539e+10,-1.3004e+10,4.669e+09,1.218e+09,2.316e+09,2.71e+08,2.1204e+10,2.95e+10,6.297e+09,3.855e+09,2.442e+09,3.3e+07,6.33e+09,4.293e+09,4.347e+09,2.079e+09,2.268e+09,8.64e+09,1.497e+10,2.863e+09,1.3105e+10,-1.603e+09,1.4365e+10,1.65e+08,1.453e+10,2.95e+10,3.96e+08,5.58e+08,6.6e+07,-39000000.0000001,9.81e+08,-9.01e+08,-1.9e+07,-9.2e+08,-3.2e+07,-15000000.0000002,-2.1e+07,-6.8e+07,-6999999.99999976,-6999999.99999976,-6999999.99999976,1.32e+09,4.326e+09,6.81e+08,0.09855,0.0485,0.02581,0.01271,1.816,1.31058,1.03028,0.14664,1.15276,1.14528,23.76839,44.15842,2.09341,0.09837,0.01754,0.02935,0.08533,2.2447,3.88845
"3","2010_Q4",57.78546875,"Up",7.864e+09,-1.706e+09,-3.83e+08,-2.25e+08,-5.84e+08,-5.14e+08,8.28e+08,1.078e+09,-9.4e+07,1.172e+09,1.906e+09,1.291e+09,-2e+08,1.091e+09,1.091e+09,6.3e+07,1.154e+09,1.154e+09,2.353e+09,2.353e+09,1.682e+09,8.65e+08,8.65e+08,8.839e+09,1.9084e+10,3.3042e+10,-1.3958e+10,5.562e+09,2.045e+09,2.47e+09,2.72e+08,2.4646e+10,3.3485e+10,6.524e+09,4.071e+09,2.453e+09,4.3e+07,6.567e+09,5.541e+09,5.549e+09,3.059e+09,2.49e+09,1.109e+10,1.7657e+10,2.878e+09,1.4229e+10,-1.377e+09,1.573e+10,9.8e+07,1.5828e+10,3.3485e+10,1.091e+09,5.84e+08,-5.65e+08,1.36e+08,1.246e+09,-1.462e+09,1.1e+07,-1.451e+09,-3.3e+07,1.25e+09,-2.2e+07,1.195e+09,9.9e+08,9.9e+08,9.9e+08,1.412e+09,5.584e+09,2.86e+08,0.10529,0.14674,0.07291,0.03446,0.24783,1.34597,1.11555,0.16676,3.54614,3.52216,24.1654,48.33694,0.87885,0.10141,0.04403,0.01061,0.0286,2.28824,3.90217
"4","2011_Q1",68.5562903225807,"Up",9.007e+09,-2.012e+09,-4.88e+08,-3.17e+08,-6.33e+08,-5.74e+08,7.74e+08,-1.277e+09,-1e+08,-1.177e+09,-5.03e+08,3.57e+08,-2.74e+08,82999999.9999998,8.3e+07,-2.5e+07,5.8e+07,5.8e+07,1.608e+09,1.608e+09,1.452e+09,1.242e+09,1.242e+09,8.78e+09,2.1127e+10,3.5703e+10,-1.4576e+10,5.489e+09,2.408e+09,2.167e+09,4.71e+08,2.6616e+10,3.5396e+10,7.567e+09,4.274e+09,3.293e+09,4.6e+07,7.613e+09,5.537e+09,5.437e+09,2.995e+09,2.442e+09,1.0974e+10,1.8587e+10,3.594e+09,1.4254e+10,-1.159e+09,1.6689e+10,1.2e+08,1.6809e+10,3.5396e+10,82999999.9999998,6.33e+08,3.18e+08,4.44e+08,1.478e+09,-2.341e+09,7.5e+07,-2.266e+09,0,4999999.99999976,3.8e+07,4.3e+07,-7.45e+08,-7.45e+08,-7.45e+08,1.407e+09,5.583e+09,-2.16e+08,0.08593,0.00644000000000003,0.00345000000000001,0.00164,-3.72414,1.15329,1.10578,0.15773,0.17656,0.175129999999999,27.4184,50.80334,-0.65753,-1.38777878078145e-17,0.00208,-0.00776,0,2.82516,5.13566
"5","2011_Q2",64.9588888888889,"Down",1.0215e+10,-1.891e+09,-4.47e+08,-3.13e+08,-5.58e+08,-5.73e+08,1.284e+09,-9.4e+07,-9.9e+07,5e+06,1.19e+09,1.485e+09,-5.11e+08,9.74e+08,9.74e+08,-4.5e+07,9.29e+08,9.29e+08,1.968e+09,1.968e+09,1.552e+09,9.99e+08,9.99e+08,9.436e+09,2.1759e+10,3.7032e+10,-1.5273e+10,5.442e+09,2.394e+09,2.123e+09,4.79e+08,2.7201e+10,3.6637e+10,7.316e+09,4.304e+09,3.012e+09,3.5e+07,7.351e+09,5.517e+09,5.652e+09,3.21e+09,2.442e+09,1.1169e+10,1.852e+10,3.671e+09,1.5151e+10,-8.73e+08,1.7949e+10,1.68e+08,1.8117e+10,3.6637e+10,9.74e+08,5.58e+08,-7.2e+07,-3.25e+08,1.135e+09,-7.23e+08,-1.1e+07,-7.34e+08,-6.8e+07,-3.1e+07,5.8e+07,-4.1e+07,3.6e+08,3.6e+08,3.6e+08,1.842e+09,5.552e+09,1.305e+09,0.1257,0.09094,0.05128,0.02536,1.40474,1.28363,1.02224,0.15154,2.76638,2.73913,30.41826,53.44859,3.88603,0.20249,0.034,0.04451,0.0732,1.94571,2.79128
"6","2011_Q3",52.59359375,"Down",9.853e+09,-1.907e+09,-4.21e+08,-2.57e+08,-5.88e+08,-6.41e+08,1.105e+09,-9.5e+07,-9.7e+07,2e+06,1.01e+09,9.61e+08,-3.92e+08,5.69e+08,5.69e+08,3.8e+07,6.07e+08,6.07e+08,2.194e+09,2.194e+09,1.432e+09,1.127e+09,1.127e+09,8.886e+09,2.2528e+10,3.8378e+10,-1.585e+10,5.577e+09,2.388e+09,2.285e+09,4.87e+08,2.8105e+10,3.6991e+10,6.761e+09,3.761e+09,3e+09,3.5e+07,6.796e+09,5.506e+09,5.785e+09,3.369e+09,2.416e+09,1.1291e+10,1.8087e+10,3.713e+09,1.5725e+10,-6.62e+08,1.8776e+10,1.28e+08,1.8904e+10,3.6991e+10,5.69e+08,5.88e+08,2.24e+08,3.08e+08,1.689e+09,-1.375e+09,-4.6e+07,-1.421e+09,-3.4e+07,-1.4e+07,6e+06,-4.2e+07,2.26e+08,2.26e+08,2.26e+08,1.693e+09,5.541e+09,1.018e+09,0.11215,0.06161,0.03211,0.01641,1.6771,1.30753,0.95678,0.14979,1.80091,1.78388,29.23288,55.70654,3.02031,0.10087,0.0212,0.03368,0.05601,1.97696,3.02896
"7","2011_Q4",49.1942857142857,"Down",8.665e+09,-1.88e+09,-4.43e+08,-1.99e+08,-5.86e+08,-6.52e+08,6.04e+08,-1e+08,-9.4e+07,-6e+06,5.04e+08,2.13e+08,5.4e+07,2.67e+08,2.67e+08,3.1e+07,2.98e+08,2.98e+08,8.27e+08,8.27e+08,1.516e+09,1.308e+09,1.308e+09,7.479e+09,2.4167e+10,4.0432e+10,-1.6265e+10,5.693e+09,2.383e+09,2.322e+09,5.97e+08,2.986e+10,3.7339e+10,6.562e+09,3.486e+09,3.076e+09,4.4e+07,6.606e+09,5.548e+09,6.271e+09,3.157e+09,3.114e+09,1.1819e+10,1.8425e+10,3.709e+09,1.5991e+10,-8.67e+08,1.8833e+10,8.1e+07,1.8914e+10,3.7339e+10,2.67e+08,5.86e+08,1.8e+08,-1.1e+07,1.022e+09,-2.303e+09,-1.7e+07,-2.32e+09,-3.4e+07,9e+06,-4.4e+07,-6.9e+07,-1.367e+09,-1.367e+09,-1.367e+09,1.19e+09,5.592e+09,-1.178e+09,0.06971,0.03439,0.01576,0.00798,-3.95302,1.13215,0.97415,0.14976,0.8835,0.87625,25.68983,55.83573,-3.49251,0.1008,0.01079,-0.03828,0.11409,4.0042,7.88907
"8","2012_Q1",51.5358064516129,"Up",-7.282e+09,-1.669e+09,-1.16e+08,-4.26e+08,-6.41e+08,-4.86e+08,5.83e+08,-6.2e+07,-9.3e+07,3.1e+07,5.21e+08,-4.19e+08,1.4e+08,-2.79e+08,-1.34e+08,3e+06,-1.31e+08,-1.31e+08,3.51e+08,3.51e+08,1.423e+09,1.804e+09,1.804e+09,8.339e+09,2.4712e+10,3.971e+10,-1.4998e+10,6.085e+09,2.305e+09,2.941e+09,4.55e+08,3.0797e+10,3.9136e+10,8.048e+09,3.712e+09,4.336e+09,5.2e+07,8.1e+09,6.005e+09,6.439e+09,2.843e+09,3.596e+09,1.2444e+10,2.0544e+10,3.757e+09,1.5826e+10,-1.067e+09,1.8516e+10,7.6e+07,1.8592e+10,3.9136e+10,-2.79e+08,6.41e+08,7.79e+08,-77000000.0000001,1.138e+09,-2.05e+09,2.4e+07,-2.091e+09,7.45058059692383e-09,4.58e+08,2.1e+07,4.77e+08,-4.76e+08,-4.76e+08,-4.76e+08,1.224e+09,6.057e+09,-1.043e+09,-0.08006,0.01799,-0.00705,-0.00335,7.96183,1.02951,1.10499,0.15477,-0.38822,-0.3852,-21.58032,54.87247,-3.09095,1.38777878078145e-17,-0.00421,-0.03355,0,4.66176,9.78731
"9","2012_Q2",41.045873015873,"Down",2.896e+09,-1.72e+09,-1.32e+08,-2.53e+08,-6.62e+08,-6.73e+08,9.06e+08,-7.5e+07,-1.04e+08,2.9e+07,8.31e+08,8.67e+08,-3.28e+08,5.39e+08,5.6e+08,-1.5e+07,5.45e+08,5.45e+08,3.96e+08,3.96e+08,1.411e+09,1.662e+09,1.662e+09,8.212e+09,2.6052e+10,4.1594e+10,-1.5542e+10,6.383e+09,2.293e+09,3.231e+09,4.44e+08,3.2435e+10,4.0647e+10,8.153e+09,3.891e+09,4.262e+09,3.8e+07,8.191e+09,6.94e+09,6.359e+09,2.908e+09,3.451e+09,1.3299e+10,2.149e+10,3.783e+09,1.6337e+10,-1.057e+09,1.9063e+10,9.4e+07,1.9157e+10,4.0647e+10,5.39e+08,6.62e+08,-2.1e+07,-2.13e+08,9.88e+08,-1.724e+09,-2.6e+07,-1.772e+09,-6.8e+07,8.89e+08,8e+06,8.29e+08,4.5e+07,4.5e+07,4.5e+07,1.568e+09,6.978e+09,-4.1e+07,0.31285,0.18819,0.02845,0.01341,-0.07523,1.00256,1.12178,0.17167,1.61243,1.60153,8.56805,56.39941,-0.1213,0.20118,0.01887,-0.00126,0.12477,4.1977,7.2649
"10","2012_Q3",41.704126984127,"Up",3.324e+09,-1.763e+09,-1.44e+08,-1.96e+08,-7.46e+08,-6.77e+08,1.229e+09,-1.08e+08,-1.05e+08,-3e+06,1.121e+09,1.062e+09,-5.22e+08,5.4e+08,5.35e+08,1.4e+07,5.49e+08,5.49e+08,4.09e+08,4.09e+08,1.309e+09,2.02e+09,2.02e+09,7.925e+09,2.6556e+10,4.213e+10,-1.5574e+10,6.133e+09,2.266e+09,2.973e+09,4.44e+08,3.2689e+10,4.0614e+10,6.785e+09,2.707e+09,4.078e+09,2.99e+08,7.084e+09,7.546e+09,6.025e+09,2.654e+09,3.371e+09,1.3571e+10,2.0655e+10,3.812e+09,1.6854e+10,-7.79e+08,1.9887e+10,7.2e+07,1.9959e+10,4.0614e+10,5.4e+08,7.46e+08,2.67e+08,-3.43e+08,1.24e+09,-1.937e+09,-1.6e+07,-1.993e+09,-3.4e+07,8.03e+08,0,7.66e+08,1.3e+07,1.3e+07,1.3e+07,1.975e+09,7.845e+09,2.17e+08,0.36974,0.16516,0.02751,0.01352,0.39526,1.11872,1.03487,0.19316,1.62234,1.61233,9.8227,58.76773,0.64125,0.10047,0.01723,0.00641,0.06193,3.76506,6.05045
