"","YQ","p","d","revenue","net_interest_income","total_interest_income","total_interest_expense","total_non_interest_income","investment_income_loss","commissions_fees_earned","other_non_interest_income","provision_for_loan_losses","net_revenue_after_provisions","total_non_interest_expense","other_operating_expenses","operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","short_long_term_investments","net_loans","reserve_for_loan_losses","total_loans","net_fixed_assets","goodwill","other_intangible_assets","other_assets","total_assets","total_deposits","interest_bearing_deposits","other_deposits","short_term_debt","long_term_debt","other_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization","provision_for_loan_losses_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_investments","net_change_in_loans_interbank","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","net_change_in_deposits","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2011_Q2",183.729047619048,"Down",333567000,203987000,245200000,-41213000,129580000,2315000,73185000,54529000,-44419000,289148000,-190028000,-190028000,99120000,99120000,99120000,-37360000,61760000,61760000,61760000,61760000,406252000,4789643000,13817888000,-232597000,14050485000,1026526000,102625000,9265000,1015296000,21167495000,17811736000,13647287000,4164449000,666417000,801081000,100047000,19379281000,10435000,1817686000,-39907000,1788214000,1788214000,21167495000,61760000,16114000,44419000,-53540000,269792000,338545000,5235000,573189000,119185000,1472575000,-3130000,-433528000,-1428388000,-1865046000,-53926000,-53926000,-53926000,115234000,1467498000,427621000,0.29715,0.18515,0.03454,0.00292,6.92392,10.83723,0.06933,5.91885,5.91885,31.96785,171.37592,40.98164,0.29997,0.00307,0.0202,0.05068,9.20949,10.70668
"2","2011_Q3",155.1484375,"Down",274024000,207375000,245604000,-38229000,66649000,2530000,77645000,-13430000,-53977000,220047000,-187482000,-187482000,32564999.9999999,32564999.9999999,32564999.9999999,-11265000,21300000,21300000,21300000,21300000,537717000,4757993000,13678542000,-250050000,13928592000,1042575000,102625000,8234000,893964000,21021650000,17662966000,13496080000,4166886000,655808000,792661000,100945000,19212380000,10397000,1828324000,-29451000,1809270000,1809270000,21021650000,21300000,16294000,53977000,-75796000,107873000,123648000,-13061000,201888000,141676000,186316000,-3125000,-19029000.0000001,-148770000,-178499000,131465000,131465000,131465000,48859000,1448469000,154936000,0.11884,0.07773,0.01177,0.00101,7.27399,10.61886,0.0689,2.0436,2.0436,26.29084,173.58783,14.86511,0.29982,0.00116,0.00737,0.14671,18.64041,27.9672
"3","2011_Q4",156.859047619048,"Up",380086000,217187000,252179000,-34992000,162899000,3994000,78989000,79662000,-44628000,335458000,-203832000,-203832000,131626000,131626000,131626000,-50205000,81421000,81421000,81421000,81421000,539337000,4406770000,13906792000,-254184000,14160976000,1056431000,102625000,8081000,995308000,21015344000,17663275000,13388330000,4274945000,600384000,744839000,135430000,19143928000,10309000,1893634000,-32527000,1871416000,1871416000,21015344000,81421000,16475000,44628000,-168183000,-95661000,-121320000,11399000,55183000,49357000,864227000,-3109000,-118896000,-606192000,-741287000,1620000,1620000,1620000,148101000,1345223000,114044000,0.34631,0.21422,0.04351,0.00387,1.40067,10.22965,0.06401,7.8567,7.8567,36.67632,180.58191,11.00465,0.3,0.00402,0.00543,0.03818,5.44146,6.12254
"4","2012_Q1",171.006612903226,"Up",347656000,242418000,272176000,-29758000,105238000,-2242000,68071000,39406000,-89253000,258403000,-211583000,-211583000,46820000,46820000,46820000,-16273000,30547000,30547000,30547000,30547000,590801000,4493220000,13673645000,-270144000,13943789000,1053474000,102625000,7032000,1076501000,20997298000,17577274000,13245568000,4331706000,615222000,687599000,256075000,19136170000,10284000,1917418000,-66574000,1861128000,1861128000,20997298000,30547000,16287000,89253000,-23522000,-117752000,-5186999.99999997,55329000,-65503000,163756000,181876000,-3135000,-32717000,-85651000.0000001,-125225000,51464000,51464000,51464000,63107000,1302821000,16957000,0.13467,0.08787,0.01641,0.00145,0.55511,10.28203,0.06205,2.96997,2.96997,33.80131,180.95062,1.64867,0.3048,0.0016,0.00081,0.10263,11.28274,15.2076
"5","2012_Q2",161.928253968254,"Down",267895000,220952000,246752000,-25800000,46943000,2924000,67265000,-23201000,-30715000,237180000,-183331000,-183331000,53849000,53849000,53849000,-18354000,35495000,35495000,35495000,35495000,552663000,5211761000,13400898000,-272500000,13673398000,1054976000,102625000,6076000,896662000,21225661000,17759492000,13187192000,4572300000,677993000,649818000,246235000,19333538000,10275000,1948264000,-66416000,1892123000,1892123000,21225661000,35495000,16620000,30715000,-20550000,22211000,84491000,-2757000,-406436000,277719000,-325629000,-3085000,24990000,182218000,202550000,-38588000,-38588000,-38588000,70469000,1327811000,108277000,0.20101,0.1325,0.01876,0.00167,3.05049,10.21791,0.06256,3.45153,3.45153,26.05009,183.98989,10.52885,0.29999,0.00182,0.0051,0.08691,10.99984,14.39484
"6","2012_Q3",158.387936507937,"Down",272728000,215432000,240519000,-25087000,57296000,175000.000000001,68938000,-11820000,-29667000,243061000,-194797000,-194797000,48264000,48264000,48264000,-10681000,37583000,37583000,37583000,37583000,571004000,5620362000,13188880000,-272929000,13461809000,1040318000,102625000,5175000,804274000,21332638000,17801646000,13040277000,4761369000,700299000,644682000,256221000,19402848000,10271000,1981926000,-62407000,1929790000,1929790000,21332638000,37583000,16706000,29667000,-26798000,29055000,86213000,32324000,-179541000,190784000,-119741000,-3084000,14090000,42154000,52319000,18791000,18791000,18791000,64970000,1344981000,137030000,0.17697,0.1378,0.01948,0.00176,3.64606,10.05438,0.06305,3.65902,3.65902,26.55232,187.88098,13.341,0.30025,0.00191,0.00642,0.08206,11.91284,16.03632
"7","2012_Q4",158.733225806452,"Up",267198000,215356000,236674000,-21318000,51842000,1619000,71132000,-20940000,-17623000,249575000,-190077000,-190077000,59498000,59498000,59498000,-19974000,39524000,39524000,39524000,39524000,606107000,5701696000,13075776000,-276554000,13352330000,1047225000,102625000,4322000,635869000,21173620000,17893215000,12997627000,4895588000,677773000,472170000,156338000,19199496000,10256000,2015854000,-51986000,1974124000,1974124000,21173620000,39524000,17359000,17623000,7896000,-33445000,48957000,11174000,-362295000,123512000,100496000,-3076000,-200308000,91569000,-114350000,35103000,35103000,35103000,76857000,1149943000,74560000,0.22267,0.14792,0.02002,0.00187,1.88645,9.72558,0.05431,3.85072,3.85072,26.03239,192.33362,7.26418,0.29969,0.00201,0.00352,0.07783,7.07595,9.14041
"8","2013_Q1",169.689833333333,"Up",299121000,262948000,280891000,-17943000,36173000,3354000,71245000,-40714000,-64880000,234241000,-198728000,-198728000,35513000,35513000,35513000,-15720000,19793000,19793000,19793000,19793000,639730000,5670750000,13066332000,-319018000,13385350000,1028858000,102625000,3556000,771801000,21283652000,18086025000,13200325000,4885700000,568505000,444921000,320194000,19419645000,9621000,1936492000,-82106000,1864007000,1864007000,21283652000,19793000,21732000,64880000,-111608000,-13170000,-18373000,18234000,-226619000,35791000,100531000,-6153000,-136517000,192810000,-48535000,33623000,33623000,33623000,57245000,1013426000,78029000,0.11872,0.06617,0.01062,0.00093,3.94225,10.41823,0.04762,1.94839,1.94839,29.44498,183.48978,7.68105,0.60569,0.00122,0.00367,0.31087,6.52801,10.52279
"9","2013_Q2",184.83125,"Up",262395000,204882000,220604000,-15722000,57513000,3788000,66604000,-12879000,18606000,281001000,-194355000,-194355000,86646000,86646000,86646000,-31061000,55585000,55585000,55585000,55585000,460217000,6235139000,12857388000,-273019000,13130407000,1018774000,102625000,2884000,673985000,21351012000,18064921000,13149883000,4915038000,573102000,444252000,350156000,19432431000,9619000,1988867000,-79905000,1918581000,1918581000,21351012000,55585000,17994000,-18606000,-42256000,60579000,73296000,27306000,-60622000,269428000,-232421000,-2891000,3928000,-21104000,-20388000,-179513000,-179513000,-179513000,104640000,1017354000,223586000,0.33021,0.21184,0.02897,0.0026,4.02242,10.12854,0.04765,5.77868,5.77868,27.27887,199.45774,23.24424,0.30055,0.00274,0.01047,0.05201,5.32432,6.43004
"10","2013_Q3",198.43875,"Up",244523000,179528000,193926000,-14398000,64995000,3669000,69976000,-8650000,13242000,257765000,-188567000,-188567000,69198000,69198000,69198000,-25292000,43906000,43906000,43906000,43906000,542645000,6226031000,12840489000,-258316000,13098805000,994252000,102625000,2266000,600514000,21308822000,18018015000,12866637000,5151378000,581937000,443313000,326227000,19369492000,9619000,2029887000,-100176000,1939330000,1939330000,21308822000,43906000,17551000,-13242000,-8328000,31237000,71124000,26008000,50355000,55629000,50314000.0000001,0,7896000,-46906000,-39010000,82428000,82428000,82428000,86749000,1025250000,169286000,0.28299,0.17956,0.02264,0.00206,3.85565,9.98772,0.04811,4.56454,4.56454,25.42099,201.61575,17.59923,0,0.00206,0.00794,-2.77555756156289e-17,5.56323,6.97426
