"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","income_loss_from_affiliates","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","other_long_term_assets","investments_in_affiliates","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","other_payables_accruals","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","other_non_cash_adjustments","change_in_working_capital","change_in_other","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","net_cash_from_acquisitions_divestitures","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","dividends_per_share","return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",65.3522222222222,"Up",215449000,-152935000,-8895000,-55972000,-88068000,62514000,-42314000,-42541000,227000,20200000,20200000,20200000,72366000,157000,72523000,72523000,123297000,123297000,229792000,229792000,353089000,6870018000,8403597000,-1533579000,285027000,72999000,212028000,7155045000,7508134000,309755000,309755000,2290378000,50047000,50047000,2650180000,1659529000,56052000,1715581000,4365761000,3288498000,-152324000,-525000,3135649000,6724000,3142373000,7508134000,72366000,56095000,-45324000,-45324000,-14254000,-14254000,68883000,-1834000,-1834000,-36025000,1816000,-36043000,-72603000,-26465000,83896000,83896000,-62000,-15234000,17606000,17606000,17606000,118609000,3949907000,0.29016,0.33661,0.02308,0.00966,0.13323,1.38932,0.52608,0.88835,0.88109,2.63909,38.40933,0.88933,0.0203,1.0011,32.26239,61.21205
"2","2010_Q3",69.889375,"Up",220341000,-150146000,-4041000,-57278000,-88827000,70195000,-40996000,-41458000,462000,29199000,29199000,29199000,51066000,58999.9999999999,51125000,51125000,373721000,373721000,210054000,210054000,583775000,6841858000,8432759000,-1590901000,279211000,71467000,207744000,7121069000,7704844000,304258000,304258000,2288913000,43443000,43443000,2636614000,1659621000,64319000,1723940000,4360554000,3516040000,-179929000,-1202000,3334909000,9381000,3344290000,7704844000,51066000,57479000,-18274000,-18274000,12570000,12570000,102841000,-3562000,-3562000,-7601000,13228000,2065000,-73655000,-1465000,222921000,222921000,-2283000,145518000,250424000,250424000,250424000,127674000,3948534000,0.31857,0.23203,0.01529,0.00664,0.22141,1.30388,0.51247,0.61206,0.60729,2.63788,39.92488,0.88178,0.01696,1.44068,27.99954,50.92689
"3","2010_Q4",74.503125,"Up",221544000,-146776000,-7039000,-56569000,-83168000,74768000,-44586000,-44261000,-325000,30182000,30182000,30182000,23982000,674000,24656000,24656000,229111000,229111000,200635000,200635000,429746000,6924070000,8574975000,-1650905000,320586000,93770000,226816000,7244656000,7674402000,318002000,318002000,2287410000,37706000,37706000,2643118000,1660480000,56343000,1716823000,4359941000,3533304000,-232770000,-1515000,3299019000,15442000,3314461000,7674402000,23982000,58753000,2416000,2416000,-22496000,-22496000,62655000,-4804000,-4804000,-121544000,-18021000,-144369000,-75823000,-1503000,15440000,15440000,-1010000,-62896000,-144610000,-144610000,-144610000,133521000,3947890000,0.33749,0.11129,0.00744,0.00321,0.16259,1.31543,0.51442,0.2901,0.28705,2.6067,38.81645,0.89214,0.01373,3.07524,27.85164,49.73757
"4","2011_Q1",78.7191935483871,"Up",185486000,-131673000,-6871000,-50744000,-74058000,53813000,-41339000,-41737000,398000,12474000,12474000,12474000,26665000,362000,27027000,27027000,304407000,304407000,195385000,195385000,499792000,6955645000,8615415000,-1659770000,366051000,121537000,244514000,7321696000,7821488000,207607000,207607000,2152944000,245529000,245529000,2606080000,1820141000,65414000,1885555000,4491635000,3594536000,-282743000,-1175000,3310618000,19235000,3329853000,7821488000,26665000,60615000,-2375000,-2375000,12822000,12822000,97727000,-6992000,-6992000,-119713000,6116000,-120589000,-76009000,120530000,59108000,59108000,-3452000,100177000,77315000,77315000,77315000,114428000,3973085000,0.29012,0.14571,0.00812,0.00346,0.19178,1.3489,0.50797,0.31691,0.31375,2.17497,38.81955,0.89126,0.01398,2.81234,32.06102,68.17457
"5","2011_Q2",87.2653968253968,"Up",228530000,-154849000,-7292000,-59650000,-87907000,73681000,-42468000,-42971000,503000,31213000,31213000,31213000,30537000,-196000,30341000,30341000,291800000,291800000,208241000,208241000,500041000,7003424000,8770557000,-1767133000,378297000,120255000,258042000,7381721000,7881762000,323252000,323252000,2217397000,32697000,32697000,2573346000,1819786000,61116000,1880902000,4454248000,3750244000,-332401000,-1259000,3416584000,10930000,3427514000,7881762000,30537000,61299000,-894000,-894000,-17727000,-17727000,73215000,-5956000,-5956000,-109419000,-9308000,-124683000,-76557000,-30119000,150157000,150157000,-6639000,36842000,-14626000,-14626000,-14626000,134980000,4037183000,0.32241,0.13277,0.00885,0.00385,0.19432,1.29956,0.51222,0.35211,0.34876,2.65212,39.64993,0.88845,0.0142,2.52322,27.74769,50.83241
"6","2011_Q3",90.3215625,"Up",233774000,-155088000,-8145000,-60409000,-86534000,78686000,-44149000,-44544000,395000,34537000,34537000,34537000,43191000,181000,43372000,43372000,290104000,290104000,94456000,94456000,384560000,7187432000,8974453000,-1787021000,370750000,118627000,252123000,7558182000,7942742000,362037000,362037000,2166679000,33821000,33821000,2562537000,1819478000,74712000,1894190000,4456727000,3864107000,-368412000,-20595000,3475100000,10915000,3486015000,7942742000,43191000,62920000,201000,201000,26352000,26352000,132664000,-55832000,-55832000,-132126000,19613000,-168345000,-77825000,-1843999.99999999,113977000,113977000,-323000,33985000,-1696000.00000003,-1696000.00000003,-1696000.00000003,141606000,3986157000,0.33659,0.18553,0.01244,0.00546,0.15007,1.27846,0.50186,0.49672,0.49177,2.67728,39.79839,0.89129,0.01606,1.79436,26.10096,46.97218
"7","2011_Q4",87.1787301587302,"Down",243719000,-158990000,-6087000,-60894000,-92009000,84729000,-40044000,-42659000,2615000,44685000,44349000,44349000,44677000,147000,44824000,44824000,690049000,690049000,92757000,92757000,782806000,7315783000,9140877000,-1825094000,390068000,131314000,258754000,7705851000,8488657000,320108000,320108000,2155859000,159200000,159200000,2635167000,1629234000,61150000,1690384000,4325551000,4639336000,-409477000,-80866000,4148993000,14113000,4163106000,8488657000,44677000,62736000,912000,912000,-19192000,-19192000,89133000,-7236000,-7236000,-174104000,4886000,-176454000,-79045000,-200585000,773496000,773496000,-5818000,488048000,400727000,400727000,400727000,147465000,3785093000,0.34765,0.18392,0.01077,0.00528,0.29706,1.03902,0.4459,0.49048,0.48542,2.66685,45.39958,0.86494,0.01547,1.76345,20.98833,36.52874
"8","2012_Q1",94.1840322580645,"Up",194064000,-123008000,-7847000,-45775000,-69386000,71056000,-36033000,-37640000,1607000,35023000,30116000,30116000,322965000,120000,323085000,323085000,616853000,616853000,96997000,96997000,713850000,7425030000,9205339000,-1780309000,343510000,144561000,198949000,7768540000,8482390000,330473000,330473000,1969986000,73588000,73588000,2374047000,1629210000,70178000,1699388000,4073435000,4653409000,-171648000,-87020000,4394741000,14214000,4408955000,8482390000,322965000,63314000,-267531000,-267531000,15594000,15594000,134342000,-27383000,-27383000,54165000,-441000,26341000,-84804000,-157518000,12205000,12205000,-2525000,-232642000,-71959000.0000001,-71959000.0000001,-71959000.0000001,134370000,3599196000,0.36615,1.66484,0.07328,0.03809,0.30069,0.9239,0.42431,3.40752,3.38042,2.04676,46.35061,0.89441,0.05049,0.26248,22.19501,41.97173
"9","2012_Q2",100.308253968254,"Up",246032000,-159489000,-9710000,-61571000,-88208000,86543000,-31451000,-33626000,2175000,55092000,53674000,53674000,57609000,149000,57758000,57758000,248242000,248242000,97163000,97163000,345405000,7537454000,9438152000,-1900698000,358200000,151565000,206635000,7895654000,8241059000,326251000,326251000,1930386000,77831000,77831000,2334468000,1449929000,59195000,1509124000,3843592000,4667489000,-208304000,-76012000,4383173000,14294000,4397467000,8241059000,57609000,63312000,2067000,2067000,-17648000,-17648000,105340000,-10335000,-10335000,-164750000,8745000,-166340000,-84926000,-231438000,8956000,8956000,-203000,-307611000,-368611000,-368611000,-368611000,149855000,3380315000,0.35176,0.23476,0.01313,0.00701,0.14796,0.87405,0.41018,0.60891,0.60382,2.59376,46.20906,0.89532,0.01821,1.47038,20.90069,36.19095
"10","2012_Q3",102.012063492063,"Up",250788000,-161633000,-8316000,-62566000,-90751000,89155000,-31115000,-33188000,2073000,58040000,57418000,57418000,156821000,88000,156909000,156909000,358263000,358263000,99159000,99159000,457422000,7606172000,9553603000,-1947431000,348451000,144924000,203527000,7954623000,8412045000,346394000,346394000,1912316000,43357000,43357000,2302067000,1450048000,70374000,1520422000,3822489000,4828296000,-145921000,-103809000,4578566000,10990000,4589556000,8412045000,156821000,65019000,-93477000,-93477000,-11235000,-11235000,117128000,-33964000,-33964000,8019000.00000006,-466000,-26411000,-92396000,-51583000,166726000,166726000,-3443000,19304000,110021000,110021000,110021000,154174000,3362364000,0.3555,0.62566,0.03419,0.01865,0.1987,0.83287,0.39971,1.64633,1.63459,2.63134,48.0396,0.96944,0.03108,0.58885,19.48513,33.69526
"11","2012_Q4",96.0683870967742,"Down",253286000,-158460000,-8372000,-59551000,-90537000,94826000,-28437000,-33990000,5553000,66389000,79975000,79975000,86748000,97000,86845000,86845000,664133000,664133000,75093000,75093000,739226000,7878648000,9891752000,-2013104000,350692000,139405000,211287000,8229340000,8968566000,319889000,319889000,1908872000,51194000,51194000,2279955000,1899208000,61325000,1960533000,4240488000,4981914000,-153811000,-110787000,4717316000,10762000,4728078000,8968566000,86748000,65998000,-4502000,-4502000,4461000,4461000,152705000,-76148000,-76148000,-236917000,23084000,-289981000,-93544000,447366000,150971000,150971000,-61647000,443146000,305870000,305870000,305870000,160824000,3808080000,0.37438,0.34287,0.01837,0.00968,0.32423,0.89687,0.4246,0.89471,0.89019,2.60946,48.59976,0.96373,0.02098,1.07714,19.54899,33.1549
"12","2013_Q1",94.6645,"Down",250521000,-155104000,-7703000,-59992000,-87409000,95417000,-25003000,-36116000,11113000,70414000,59364000,59364000,122384000,-27000,122357000,122357000,2733618000,2733618000,74698000,74698000,2808316000,8015120000,9960401000,-1945281000,336642000,129352000,207290000,8351762000,11160078000,327722000,327722000,1905235000,63398000,63398000,2296355000,1945798000,70105000,2015903000,4312258000,7087551000,-142329000,-108007000,6837215000,10605000,6847820000,11160078000,122384000,65765000,-50180000,-50180000,27677000,27677000,165646000,-61836000,-61836000,-81111000,2293000,-140654000,-94706000,44641000,2103537000,2103537000,-8978999.99999999,2044493000,2069485000,2069485000,2069485000,161182000,3851033000,0.38087,0.48841,0.01787,0.01096,1.22295,0.62973,0.34507,1.19445,1.18913,2.4456,66.74519,0.92452,0.02016,0.77401,6.93263,11.71086
"13","2013_Q2",97.66,"Up",301357000,-219328000,-10039000,-105559000,-103730000,82029000,-56738000,-38174000,-18564000,25291000,-14768000,-14768000,75469000,-42000,75427000,75427000,447456000,447456000,120963000,120963000,568419000,14014180000,16157761000,-2143581000,604765000,371983000,232782000,14618945000,15187364000,455056000,455056000,4082328000,53317000,53317000,4590701000,1845961000,71045000,1917006000,6507707000,8968592000,-206667000,-106616000,8655309000,24348000,8679657000,15187364000,75469000,109829000,-72629000,-72629000,-31281000,-31281000,81388000,-752891000,-752891000,103670000,-360000,-649581000,-110891000,-1607243000,253000,253000,-88000,-1717969000,-2286162000,-2286162000,-2286162000,191858000,5928289000,0.2722,0.25029,0.00869,0.00497,0.12382,0.74977,0.39034,0.63024,0.62798,2.51801,72.32012,0.92656,0.01269,1.47018,28.56713,66.8158
"14","2013_Q3",97.1221875,"Down",378207000,-330196000,-11345000,-189977000,-128874000,48011000,-44107000,-43168000,-938999.999999996,3904000,338000,338000.000000007,36101000,120000,36221000,36221000,111147000,111147000,122286000,122286000,233433000,14116246000,16442378000,-2326132000,622506000,365521000,256985000,14738752000,14972185000,362645000,362645000,3865206000,226984000,226984000,4454835000,1846113000,87960000,1934073000,6388908000,8974146000,-308938000,-105042000,8560166000,23111000,8583277000,14972185000,36101000,196326000,-33609000,-33609000,-12995000,-12995000,185823000,-1091000.00000012,-1091000,-265345000,31667000,-234769000,-138376000,-65676999.9999998,2352000.00000024,2352000.00000024,-85662000,-287363000,-336309000,-336309000,-336309000,244337000,5711319000,0.12694,0.09577,0.00422,0.00242,0.0524,0.74434,0.38146,0.28028,0.27938,2.92657,66.23877,1.07076,0.01214,3.82033,22.91987,116.64352
"15","2013_Q4",91.46890625,"Down",389188000,-308793000,-9878000,-159874000,-139041000,80395000,-43171000,-46430000,3259000,37224000,-15952000,-15952000,-10889000,170000,-10719000,-10719000,112910000,112910000,126297000,126297000,239207000,14284651000,16729945000,-2445294000,621249000,347386000,273863000,14905900000,15145107000,392603000,392603000,3852441000,92302000,92302000,4337346000,2245191000,70985000,2316176000,6653522000,8978074000,-458229000,-50094000,8469751000,21834000,8491585000,15145107000,-10889000,162409000,58292000,58292000,-7100000,-7100000,202712000,-13106000,-13106000,-297372000,-183000,-310661000,-138391000,254731000,269000,269000,-6897000,109712000,1763000,1763000,1763000,242804000,6097632000,0.20657,-0.02754,-0.00126,-0.00071,0.05515,0.78354,0.40261,-0.08293,-0.08266,3.01087,65.52445,1.07063,0.00871,-12.91081,24.64837,74.44147
"16","2014_Q1",94.4408196721311,"Up",394169000,-252490000,-8311000,-104805000,-139374000,141679000,-39540000,-44630000,5090000,102139000,88209000,88209000,252090000,122000,252212000,252212000,281355000,281355000,125236000,125236000,406591000,14284209000,16739999000,-2455790000,637343000,367866000,269477000,14921552000,15328143000,378813000,378813000,3539642000,110484000,110484000,4028939000,2594709000,87448000,2682157000,6711096000,8990017000,-345254000,-48631000,8596132000,20915000,8617047000,15328143000,252090000,105151000,-159850000,-159850000,57001000,57001000,254392000,-98996000,-98996000,109178000,3654999.99999999,13836999.9999999,-138392000,42770000,1829000,1829000,-5991000.00000001,-99784000,168445000,168445000,168445000,246830000,6134351000,0.35944,0.63986,0.02927,0.01645,0.10092,0.77882,0.4002,1.95136,1.9456,3.04967,66.50798,1.07073,0.02632,0.54871,23.71266,41.31167
"17","2014_Q2",104.497936507937,"Up",400075000,-258630000,-9236000,-106367000,-143027000,141445000,-37310000,-42533000,5223000,104135000,103420000,103420000,141599000,140000,141739000,141739000,386190000,386190000,117895000,117895000,504085000,14452361000,17060533000,-2608172000,613793000,353510000,260283000,15066154000,15570239000,391457000,391457000,3536881000,94133000,94133000,4022471000,2844917000,79778000,2924695000,6947166000,9003556000,-353029000,-47058000,8603469000,19604000,8623073000,15570239000,141599000,106367000,-33653000,-33653000,6004000,6004000,220317000,-23009000,-23009000,-201016000,-339000,-224364000,-138393000,246168000,7234000,7234000,-6313000,108696000,104649000,104649000,104649000,247812000,6381798000,0.35355,0.35428,0.01644,0.0091,0.12532,0.80565,0.40987,1.0963,1.09342,3.09443,66.5446,1.07042,0.01857,0.97639,24.19418,42.38826
"18","2014_Q3",113.03703125,"Up",413806000,-264113000,-10220000,-110395000,-143498000,149693000,-36012000,-43722000,7710000,113681000,172197000,172197000,172197000,-14111000,158086000,158086000,425741000,425741000,122923000,122923000,548664000,14509769000,17205231000,-2695462000,599518000,318640000,280878000,15109287000,15657951000,380030000,380030000,3559762000,96021000,96021000,4035813000,2695112000,89410000,2784522000,6820335000,9214744000,-347592000,-45620000,8821532000,16084000,8837616000,15657951000,172197000,110395000,-66357000,-66357000,-26841000,-26841000,189394000,-2795000,-2795000,-107833000,23476000,-87152000,-150217000,-117936000,207736000,207736000,-2088000,-62505000,39737000,39737000,39737000,260088000,6254874000,0.36175,0.38203,0.01789,0.0101,0.13595,0.77174,0.39947,1.21739,1.21373,3.18664,67.93301,1.15679,0.02031,0.95022,22.41216,38.94059
"19","2014_Q4",120.43921875,"Up",430526000,-273332000,-11289000,-111836000,-150207000,157194000,84218000,-46376000,130594000,241412000,241005000,241005000,241005000,99000,241104000,241104000,440028000,440028000,125268000,125268000,565296000,14724299000,17523978000,-2799679000,591583000,304795000,286788000,15315882000,15881178000,403565000,403565000,3546469000,99685000,99685000,4049719000,2695299000,78282000,2773581000,6823300000,9345518000,-256162000,-44074000,9045282000,12596000,9057878000,15881178000,241005000,111836000,-130238000,-130238000,9115000,9115000,231718000,-13296000,-13296000,-173757000,2074000,-184979000,-152022000,-3950000,125121000,125121000,-1601000,-32452000,14287000,14287000,14287000,269030000,6241768000,0.36512,0.56002,0.02662,0.01518,0.13959,0.7533,0.39303,1.83586,1.82785,3.2782,68.87441,1.15756,0.02556,0.63052,21.5654,36.90815
"20","2015_Q1",133.703114754098,"Up",440654000,-277338000,-10680000,-114084000,-152574000,163316000,-42748000,-47987000,5239000.00000003,120568000,151894000,142526000,142526000,112000,142638000,142638000,509460000,509460000,125242000,125242000,634702000,14935740000,17782798000,-2847058000,570136000,298315000,271821000,15505876000,16140578000,397324000,397324000,3514174000,103916000,103916000,4015414000,2975533000,90461000,3065994000,7081408000,9356005000,-267085000,-42515000,9046405000,12765000,9059170000,16140578000,142526000,114084000,-26638000,-26638000,15240000,15240000,245212000,-60725000,-60725000,-263477000,3936999.99999999,-320265000,-153011000,295859000,6043000,6043000,-4406000,144485000,69432000,69432000,69432000,277400000,6489707000,0.37062,0.3237,0.01575,0.00884,0.15807,0.78168,0.40207,1.08164,1.07113,3.34154,68.60005,1.1603,0.0189,1.07272,21.55821,36.61764
