"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","selling_marketing","general_administrative","research_development","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","change_in_accounts_receivable","change_in_accounts_payable","change_in_other","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2017_Q3",18.5509523809524,"Up",4087000,-336000,3751000,-11599000,-8716000,-3414000,-5302000,-2883000,-7848000,-13746000,-13746000,-21594000,-21594000,-1000,-21595000,-21595000,-21595000,-24992000,65912000,65912000,12243000,12243000,10676000,2374000,8302000,88831000,46000,394000,394000,440000,89271000,30657000,18564000,12093000,3089000,3089000,33746000,33764000,132655000,-77148000,55507000,55507000,89271000,-21595000,60000,15390000,-5220000,-4561000,1714000,-2373000,-11365000,0,0,0,33202000,33202000,68495000,57130000,57130000,57130000,-7788000,0,-13007000,0.91779,-1.92023,-6.115,-0.45025,-0.27996,0.52045,2.63234,0.60828,0,-2.86298,-2.86298,0.46819,6.35865,-1.49003,-0.4501,-0.23425,8.46328,8.39857
"2","2017_Q4",29.7522222222222,"Up",3719000,-292000,3427000,-22882000,-19416000,-3676000,-15740000,-3466000,-19455000,88000,88000,-19367000,-19367000,-2000,-19369000,-19369000,-19369000,-19369000,60432000,20762000,10080000,10080000,7997000,2830000,5167000,78509000,52000,1121000,1121000,1173000,79682000,27986000,15840000,12146000,3850000,3850000,31836000,31850000,144411000,-96517000,47832000,47832000,79682000,-19369000,57000,11710000,3709000,2161000,-2523000,4071000,-3893000,-16000,-16000,-40640000,-617000,-617000,-616999.999999985,-45149999.9999999,-45149999.9999999,-45149999.9999999,-19398000,0,-15703000,0.92148,-5.23124,-5.20812,-0.40494,-0.24308,0.81073,2.46604,0.66587,0,-1.29543,-1.29543,0.24873,3.19908,-1.05024,-0.40482,-0.3282,3.11537,3.10625
"3","2018_Q1",17.7629508196721,"Down",3499000,-246000,3253000,-16081000,-11724000,-5010000,-6714000,-4357000,-12828000,39000,39000,-12789000,-12789000,-1000,-12790000,-12790000,-12790000,-12790000,69143000,29545000,7691000,7691000,6971000,2808000,4163000,83805000,680000,4073000,780000,4753000,88558000,23779000,13338000,10441000,3477000,3477000,27256000,27256000,170744000,-109307000,61302000,61302000,88558000,-12790000,77000,2516000,-1344000,2351000,-2502000,-1193000,-11541000,-3652000,-3652000,-3657000,24014000,24014000,23981000,8783000,8783000,8783000,-12751000,0,-17746000,0.92969,-3.66619,-3.65533,-0.20864,-0.14443,1.38749,3.07474,0.44462,0,-0.82999,-0.82999,0.22706,3.97811,-1.1516,-0.20864,-0.28948,5.42256,5.39001
"4","2018_Q2",19.4803125,"Up",4388000,-564000,3824000,-17054000,-12526000,-5748000,-6778000,-4528000,-13230000,183000,183000,-13047000,-13047000,-2000,-13049000,-13049000,-13049000,-13049000,54518000,21026000,9686000,9686000,7363000,2300000,5063000,71567000,2324000,3837000,919000,6161000,77728000,21342000,11585000,9757000,5240000,5240000,26582000,26582000,173817000,-122479000,51146000,51146000,77728000,-13049000,355000,2502000,-3056000,-2023000,-1753000,719999.999999999,-13248000,-1763000,-1763000,4237000,492000,492000,492000.000000007,-8518999.99999999,-8518999.99999999,-8518999.99999999,-12875000,-5.55111512312578e-17,-17692000,0.87147,-3.01504,-2.97379,-0.25513,-0.16788,1.35581,2.69231,0.51973,-1.03397576569128e-25,-0.81203,-0.81203,0.27306,3.18279,-1.10096,-0.25513,-0.34591,4.23441,4.12079
"5","2018_Q3",13.2112698412698,"Down",4168000,-820000,3348000,-17801000,-12655000,-5142000,-7513000,-5146000,-14453000,133000,133000,-14320000,-14320000,-10000,-14330000,-14330000,-14330000,-14330000,78218000,52692000,11583000,11583000,8032000,2969000,5063000,97833000,3365000,3825000,1214000,7190000,105023000,27402000,15759000,11643000,4625000,4625000,32027000,32500000,209308000,-136686000,72523000,72523000,105023000,-14330000,473000,2867000,2897000,-1891000,4174000,614000,-8093000,-1206000,-1206000,6794000,32965000,32965000,32965000,31666000,31666000,31666000,-13980000,0,-12279000,0.80326,-3.46761,-3.4381,-0.19759,-0.13645,0.85687,3.0547,0.44813,0,-0.8783,-0.8783,0.25546,4.44501,-0.75259,-0.19631,-0.16821,5.59499,5.41189
"6","2018_Q4",6.62857142857143,"Down",7545000,-1569000,5976000,-22240000,-17022000,-4586000,-12436000,-5218000,-16264000,329000,329000,-15935000,-15935000,-5000,-15940000,-15940000,-15940000,-15940000,64685000,46127000,21678000,21678000,11939000,3656000,8283000,98302000,4107000,31657000,1076000,35764000,134066000,45972000,21606000,24366000,12818000,12818000,58790000,59839000,226910000,-152626000,74227000,74227000,134066000,-15940000,555000,4733000,7026000,-4413000,3619000,7820000,-3626000,-10830000,-10830000,-3830000,891000,891000,891000,-6565000,-6565000,-6565000,-15709000,0,-19508000,0.79205,-2.1556,-2.11266,-0.21475,-0.1189,1.22384,1.67209,0.80616,-1.65436122510606e-24,-0.85522,-0.85522,0.40481,3.98247,-1.04666,-0.21175,-0.25915,4.1177,3.97719
"7","2019_Q1",5.56918032786885,"Down",10946000,-3526000,7420000,-25463000,-18260000,-6994000,-11266000,-7203000,-18043000,263000,263000,-17780000,-17780000,-5000,-17785000,-17785000,-17785000,-17785000,51104000,37539000,29142000,29142000,6274000,3579000,2695000,86520000,4008000,27226000,1237000,31234000,117754000,46446000,28714000,17732000,9639000,9639000,56085000,57471000,230693000,-170411000,60283000,60283000,117754000,-17785000,2318000,5441000,-6777000,-7204000,7108000,-6681000,-16803000,3728000,3728000,8728000,-56000,-56000,-56000,-8131000,-8131000,-8131000,-15725000,0,-18769000,0.67787,-1.64836,-1.62479,-0.29503,-0.15104,1.05533,1.54266,0.95335,0,-0.92302,-0.92302,0.56809,3.12863,-0.97409,-0.28839,-0.30435,3.24986,2.83234
"8","2019_Q2",7.42666666666667,"Up",12125000,-3872000,8253000,-24761000,-17823000,-6133000,-11690000,-6938000,-16508000,211000,211000,-16297000,-16297000,-9000.00000000003,-16306000,-16306000,-16306000,-16306000,50923000,39844000,26401000,26401000,9945000,2919000,7026000,87269000,3814000,26419000,1208000,30233000,117502000,42506000,20715000,21791000,16221000,16221000,58727000,60003000,244202000,-186717000,57499000,57499000,117502000,-16306000,1133000,5526000,5015000,2716000,-7999000,10298000,-4632000,-97999.9999999981,-98000,2375000,4484000,4484000,4484000,2227000,2227000,2227000,-15375000,-1.4210854715202e-14,-10449000,0.68066,-1.36148,-1.34482,-0.28359,-0.13877,0.64081,1.48601,1.04355,2.64697796016969e-23,-0.83572,-0.83572,0.62144,2.94697,-0.53554,-0.27743,-0.17778,3.31207,3.08475
"9","2019_Q3",5.7221875,"Down",12270000,-4562000,7708000,-24444000,-18093000,-6448000,-11645000,-6351000,-16736000,51000,51000,-16685000,-16685000,-6000,-16691000,-16691000,-16691000,-16691000,45273000,40275000,26820000,26820000,8431000,3625000,4806000,80524000,3660000,25378000,1135000,29038000,109562000,39413000,18459000,20954000,14281000,14281000,53694000,55063000,257835000,-203408000,54499000,54499000,109562000,-16691000,1586000,5834000,-2703000,-438000,-2256000,-9000,-11974000,-1470000,-1470000,4673000,7708000,7708000,7708000,407000,407000,407000,-15150000,0,-19317000,0.6282,-1.36398,-1.36031,-0.30626,-0.15234,1.15733,1.49968,1.01035,0,-0.80375,-0.80375,0.59086,2.6244,-0.93021,-0.29876,-0.34576,2.98832,2.70513
"10","2019_Q4",2.88828125,"Down",12805000,-3291000,9514000,-25709000,-17233000,-5340000,-11893000,-4961000,-16195000,184000,184000,-16011000,-16011000,1814000,-14197000,-14197000,-14197000,-14197000,49188000,49188000,28932000,28932000,10919000,4752000,6167000,89039000,3464000,25871000,1156000,29335000,118374000,41463000,23432000,18031000,24696000,24696000,66159000,67576000,268362000,-217605000,50798000,50798000,118374000,-14197000,1618000,2896000,7861000,-2122000,4973000,5010000,-1822000,-74000,-74000,4924000,5832000,5832000,5832000,8934000,8934000,8934000,-14577000,0,-8604000,0.74299,-1.26474,-1.10871,-0.27948,-0.11993,0.60604,1.34583,1.33029,2.11758236813575e-22,-0.63466,-0.63466,0.57243,2.27087,-0.38463,-0.2719,-0.16478,3.37436,3.03723
