"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_compensation","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repurchase_of_equity","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q4",6.103125,"Up",86096000,-16632000,69464000,-65588000,-65588000,3876000,375000,375000,4251000,4251000,-1573000,2678000,-5740000,-5740000,-5740000,-21367219.2485802,-16056243.2293444,15221723.4725044,15221723.4725044,29595746.5694879,10619892.8666918,4233540.64150309,34070143.6601038,27571879.1710487,48879118.8175026,26104052.0746159,21433630.1811115,76450997.9885514,110521141.648655,14299957.1523139,3098439.69215983,-7800124.59186286,19001642.0520169,5913235.45981602,5913235.459816,32112450.7801118,53056100.7846567,2630328.25069223,1213560.31287871,1416767.93781352,55686429.0353489,87798879.8154607,66088633.7564643,-30677609.1150811,-12688763.6201493,22722261.0212339,22722261.8331945,110521141.648655,-5740000,1091000,7190000,2298000,4839000,-832000,-723000,4000,4000,4120000,4120000,1527000,5647000,4967000,0,8006000,0.80682,0.04502,-0.06667,-0.668912540950185,-0.313578872160014,-1.39477,1.43544551360316,1.96882688151176,0.417674177531905,-0.37004,-0.36781,5.55028,1.44515647552663,0.51612,-0.506687097206679,-0.694792269161814,1.78468962593603,-0.538651626654131
"2","2011_Q1",5.84725806451613,"Down",89889000,-37956000,51933000,-48389000,-48389000,3544000,353000,353000,3897000,3897000,-4283000,-385999.999999998,-7e+05,-7e+05,-7e+05,54074000,47604000,5947000,5947000,36235000,10282000,5700000,106538000,29169000,23708000,12916000,9489000,52877000,159415000,61783000,4855000,3708000,53220000,3385000,3385000,65168000,21366000,4499000,1778000,2721000,25865000,91033000,67752000,8278000,-7648000,68382000,68382000,159415000,-7e+05,1011000,3244000,2375000,5930000,-477000,-3900000,101000,101000,2131000,2131000,-184000,1947000,4555000,21366000,10736000,0.57775,0.03943,-0.00779,-0.01024,-0.00439,-15.33714,1.63482,1.33124,0.13403,-0.04509,-0.04487,5.79032,4.40492,0.69157,-0.00743,0.11391,-7.18068,-9.22912
"3","2011_Q2",8.33539682539683,"Up",92844000,-18552000,74292000,-66671000,-66671000,7621000,265000,265000,7886000,7886000,-1264000,6622000,6622000,6622000,6622000,76982573.0828601,67749831.0764481,5252508.84249854,5252508.84249854,38281417.8101707,10306202.3777694,6035403.11949897,130822702.113299,28903623.6096504,18989793.7274991,10186149.3084614,7537789.93962949,47893417.3371495,178716119.450448,74786680.9492287,5304770.10261339,6606124.86395429,62875785.982661,2603754.84672799,2603754.846728,74788683.0732961,14754799.7384478,4862390.58310259,1840396.56237376,3021994.02072883,19617190.3215504,94405873.3948464,68624955.4145119,21476953.0383604,-5791662.12661691,84310246.3262554,84310246.0556019,178716119.450448,6622000,1054000,650000,-1073000,7253000,-209000,477000,265292.334745497,-3261493.62849048,7730000,7730000,84000,7814000,8675000,0,8657000,0.80018,0.08208,0.07132,0.160184180316729,0.075144624053338,1.30731,1.74216399546561,1.12732020616275,0.0674319408226984,0.42632,0.42555,5.97721,5.43346950815779,0.55733,0.121819032402226,0.279368256387271,-8.29885237531201,-9.70940695778196
"4","2011_Q3",12.26359375,"Up",91811000,-17129000,74682000,-66630000,-66630000,8052000,-420000,-420000,7632000,7632000,-2018000,5614000,5614000,5614000,5614000,69967000,62998000,8955000,8955000,38047000,10401000,5704000,127370000,27708000,24796000,13229000,10338000,52504000,179874000,68217000,5082000,5095000,58040000,2817000,2817000,71034000,20862000,4414000,1636000,2778000,25276000,96310000,69191000,20514000,-6141000,83564000,83564000,179874000,5614000,1063000,1256000,655000,8588000,-485000,-1638000,295000,295000,7245000,7245000,335000,7580000,9115000,20862000,11303000,0.81343,0.0877,0.06115,0.0671800000000002,0.03121,2.01336,1.79309,1.15253,0.11598,0.36135,0.35852,5.90956,5.37873,0.72754,0.05158,0.10385,-5.38727,-6.09848
"5","2011_Q4",10.9922222222222,"Down",91102000,-16879000,74223000,-64578000,-64578000,9645000,1204000,1204000,10849000,-3901000,1645000,-2256000,-2256000,-2256000,-2256000,58654000,54103000,11765000,11765000,38454000,10028000,5052000,118901000,26631000,29651000,16866000,11594000,56282000,175183000,59199000,5130000,4503000,49566000,3042000,3042000,65524000,25276000,3997000,1423000,2574000,29273000,94797000,70043000,18258000,-7915000,80386000,80386000,175183000,-2256000,1087000,-4427000,-14365000,-19961000,-423000,1827000,77000,10077000,-8057000,-8057000,-838000,-8895000,10732000,28559000,-5701000,0.81472,0.10587,-0.02476,-0.02806,-0.01288,2.52704,1.81462,1.17927,0.16302,-0.14497,-0.14497,5.85413,5.16553,-0.36634,-0.01997,-0.05048,-2.80423,-3.12027
"6","2012_Q1",10.8775806451613,"Down",92056000,-36849000,55207000,-45610000,-45610000,9597000,798000,798000,10395000,10395000,-2774000,7621000,7621000,7621000,7621000,64646000,58969000,9868000,9868000,41611000,8978000,4583000,125103000,26566000,24142000,16576000,6415000,50708000,175811000,61899000,5980000,8655000,47264000,2603000,2603000,67798000,16320000,4255000,1429000,2826000,20575000,88373000,71628000,25879000,-10069000,87438000,87438000,175811000,7621000,1158000,503000,-1254000,8028000.00000001,-1291000,-2345000,26000,-783999.999999998,4899000,4899000,-33000,4865999.99999999,10755000,19616000,10984000,0.59971,0.10425,0.08279,0.08716,0.04335,1.44128,1.84523,1.01069,0.11157,0.4895,0.47637,5.91278,5.61616,0.7055,0.06847,0.09868,-4.18689,-4.69209
"7","2012_Q2",10.0020634920635,"Down",92868000,-23729000,69139000,-59965000,-59965000,9174000,-110000,-110000,9064000,9064000,-1836000,7228000,7228000,7228000,7228000,63734000,61342000,13149000,13149000,41468000,9829000,5566000,128180000,26520000,23182000,16259000,5809000,49702000,177882000,57143000,4745000,5706000,46692000,3535000,3535000,63986000,14231000,3872000,1444000,2428000,18103000,82089000,72602000,33107000,-9916000,95793000,95793000,177882000,7228000,1084000,1705000,-9429000,588000,-902000,2380000,337000,-479000,2489000,2489000,-116000,2373000,10258000,17539000,1763000,0.74449,0.09879,0.07783,0.07545,0.04063,0.24391,2.00325,0.85694,0.0986,0.46399,0.45614,5.96148,6.14925,0.11317,0.06167,0.01504,-4.50331,-5.03543
"8","2012_Q3",10.7407936507937,"Up",92991000,-22610000,70381000,-60070000,-60070000,10311000,165000,165000,10476000,10476000,-3190000,7286000,7286000,7286000,7286000,68633000,66353000,10509000,10509000,42752000,9716000,5361000,131610000,27164000,23985000,16623000,6285000,51149000,182759000,55755000,5499000,3820000,46436000,3008000,3008000,62083000,14016000,4099000,1346000,2753000,18115000,80198000,73351000,39613000,-10403000,102561000,102561000,182759000,7286000,931000,176000,245999.999999996,8639000,-1638000,-1524000,64000,-1540000,5575000,5575000,-564000,5011000,11242000,17336000,13040000,0.75686,0.11088,0.07835,0.07104,0.03987,1.78973,2.1199,0.78195,0.09486,0.46693,0.45928,5.95943,6.57274,0.83568,0.06505,0.10516,-4.56298,-4.97498
"9","2012_Q4",10.9641935483871,"Up",91232000,-23144000,68088000,-59383000,-59383000,8705000,-214000,-214000,8491000,8491000,-2121000,6370000,6370000,6370000,6370000,74735000,72543000,10003000,10003000,43655000,10614000,5946000,139007000,29292000,24269000,16610000,6619000,53561000,192568000,57204000,5710000,4468000,47026000,3005000,3005000,63543000,13164000,4013000,1317000,2696000,17177000,80720000,75612000,45203000,-8967000,111848000,111848000,192568000,6370000,1013000,767000,-53000,8097000,-3052000,-2956000,1581000,-24000,5117000,5117000,1073000,6190000,9718000,16498000,8734000,0.74632,0.09542,0.06982,0.05695,0.03308,1.37111,2.18761,0.72169,0.08567,0.4076,0.39885,5.83773,7.1569,0.55887,0.05402,0.06599,-5.99269,-6.69006
"10","2013_Q1",10.3815,"Down",83735000,-21886000,61849000,-56173000,-56173000,5676000,1732000,1732000,7408000,7408000,-3384000,4024000,4496000,4496000,4496000,81312000,79241000,9614000,9614000,43280000,11127000,5820000,145333000,29226000,19360000,11516000,6842000,48586000,193919000,53729000,6226000,2071000,45432000,4311000,4311000,61390000,12841000,4052000,1276000,2776000,16893000,78283000,77292000,48910000,-10566000,115636000,115636000,193919000,4496000,1050000,3990000,-209000,9327000,-1012000,-889000,-1604000,-1090000,7348000,7348000,-650000,6698000,6726000,16191000,8889000,0.73863,0.06779,0.05369,0.03888,0.02318,1.97709,2.36737,0.67698,0.08349,0.28488,0.27639,5.30573,7.32708,0.56324,0.03889,0.06542,-9.68198,-11.47304
