"","YQ","p","d","revenue","sales_services_revenue","financing_revenue","operating_expenses","selling_general_administrative","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_expense","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","misc_short_term_assets","total_current_assets","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","decrease_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",32.0833333333333,"Up",2.271e+09,2.292e+09,-2.1e+07,-1.618e+09,-1.146e+09,-4.72e+08,6.53e+08,-2.92e+08,-6.4e+07,-6.4e+07,-2.28e+08,3.61e+08,3.61e+08,-6.5e+07,2.96e+08,2.96e+08,2.14e+08,2.14e+08,4.6543e+10,5.429e+09,4.1114e+10,4.848e+09,4.848e+09,9.128e+09,9.128e+09,6.0519e+10,6.1858e+10,6.1858e+10,6.1858e+10,1.22377e+11,1.03563e+11,7.65e+08,1.02798e+11,-2317136854.61226,1.03563e+11,8.114e+09,8.114e+09,1.11677e+11,5.822e+09,-2.038e+09,5.959e+09,3.65e+08,1.0108e+10,1.07e+10,1.22377e+11,2.14e+08,2.2e+07,3.51e+08,-4.68e+08,1.19e+08,-2.1e+07,9.47e+08,-7.5e+07,8.51e+08,-4.5e+07,1.037e+09,1.7e+07,3.2e+07,-1.5e+07,-2.5e+08,7.59e+08,1.729e+09,1.729e+09,-1e+07,1.719e+09,6.75e+08,8.114e+09,2.51e+08,0.28754,0.09423,0.02,0.00175,1.1729,0.58437,10.4371,0.0663,0.82055,0.80755,8.70782,38.75767,0.96242,0.17255,0.01377,0.01334,0.21028,-56.93185,-58.84992
"2","2010_Q3",32.35984375,"Up",2.349e+09,2.369e+09,-2e+07,-1.585e+09,-1.119e+09,-4.66e+08,7.64e+08,-3.05e+08,-7.4e+07,-7.4e+07,-2.31e+08,4.59e+08,4.59e+08,-6.5e+07,3.94e+08,3.98e+08,2.59e+08,2.59e+08,4.636e+10,4.397e+09,4.1963e+10,4.998e+09,4.998e+09,1.0451e+10,1.0451e+10,6.1809e+10,5.9301e+10,5.9301e+10,5.9301e+10,1.2111e+11,1.01527e+11,1.071e+09,1.00456e+11,4.84e+08,1.02011e+11,7.98e+09,7.98e+09,1.09991e+11,5.872e+09,-2.259e+09,6.278e+09,6.07e+08,1.0498e+10,1.1119e+10,1.2111e+11,2.59e+08,2.6e+07,5.68e+08,4.26e+08,1.279e+09,-3.3e+07,-8e+06,-1.33e+08,-1.04e+09,-4.6e+07,5.68e+08,-1.78e+08,1.3e+07,-1.91e+08,-1.57e+09,-1.226e+09,-9.87e+08,-9.87e+08,-2e+06,-9.89e+08,7.9e+08,8.464e+09,1.248e+09,0.32524,0.11026,0.02329,0.00214,4.81853,0.60591,9.89217,0.06989,0.99196,0.97625,8.99655,40.20682,4.77978,0.17618,0.01557,0.06373,0.17761,-47.96962,-49.60209
"3","2010_Q4",40.0484375,"Up",2.334e+09,2.349e+09,-1.5e+07,-1.587e+09,-1.197e+09,-3.9e+08,7.47e+08,-3.01e+08,-7.4e+07,-7.4e+07,-2.27e+08,4.46e+08,4.46e+08,-1.32e+08,3.14e+08,3.12e+08,3.44e+08,3.44e+08,4.7443e+10,4.088e+09,4.3355e+10,4.969e+09,4.969e+09,1.1171e+10,1.1171e+10,6.3583e+10,6.5461e+10,6.5461e+10,6.5461e+10,1.29044e+11,1.0848e+11,1.106e+09,1.07374e+11,8.69e+08,1.09349e+11,8.191e+09,8.191e+09,1.1754e+11,5.92e+09,-2.412e+09,6.545e+09,8.97e+08,1.095e+10,1.1504e+10,1.29044e+11,3.44e+08,3.1e+07,2.26e+08,-1.76e+08,4.25e+08,-3.4e+07,-7.09e+08,-9e+07,-8.33e+08,-4.7e+07,6.11e+08,-1.75e+08,8e+06,-1.83e+08,-1.3e+08,2.59e+08,-1.49e+08,-1.49e+08,7e+06,-1.42e+08,7.78e+08,9.06e+09,7e+08,0.32005,0.14739,0.0299,0.00267,2.03488,0.58147,10.21732,0.07021,1.34743,1.32359,9.14219,42.89072,2.74187,0.1841,0.01901,0.03404,0.13663,-49.33548,-51.38286
"4","2011_Q1",46.4977419354839,"Up",2.558e+09,2.572e+09,-1.4e+07,-2.054e+09,-1.518e+09,-5.36e+08,5.04e+08,-3.01e+08,-7.8e+07,-7.8e+07,-2.23e+08,2.03e+08,2.03e+08,-3.1e+07,1.72e+08,1.46e+08,1.72e+08,1.72e+08,4.5509e+10,3.31e+09,4.2199e+10,4.909e+09,4.909e+09,1.0652e+10,1.0479e+10,6.107e+10,7.0144e+10,7.0144e+10,7.0144e+10,1.31214e+11,1.11601e+11,1.134e+09,1.10467e+11,3.97e+08,1.12077e+11,7.852e+09,7.852e+09,1.19929e+11,6.032e+09,-2.62e+09,6.748e+09,5.65e+08,1.0725e+10,1.1285e+10,1.31214e+11,3.35e+08,3.1e+07,-7.42e+08,4e+08,2.4e+07,-4.3e+07,4.2e+08,-8.9e+07,2.88e+08,-4.5e+07,-6.87e+08,-1.33e+08,6e+07,-1.93e+08,-2.7e+08,-1.135e+09,-8.23e+08,-8.23e+08,-1e+06,-8.24e+08,5.35e+08,8.249e+09,9.23e+08,0.19703,0.06724,0.01524,0.00131,5.36628,0.54489,10.62729,0.06287,0.68146,0.66409,10.13471,42.49208,3.65689,0.17829,0.01111,0.04725,0.26163,-69.64486,-73.92857
"5","2011_Q2",45.6474603174603,"Down",2.532e+09,2.545e+09,-1.3e+07,-1.863e+09,-1.405e+09,-4.58e+08,6.69e+08,-2.83e+08,-7.5e+07,-7.5e+07,-2.08e+08,3.86e+08,3.86e+08,-9.2e+07,2.94e+08,2.23e+08,2.41e+08,2.41e+08,4.6186e+10,3.366e+09,4.282e+10,5.589e+09,5.589e+09,1.0325e+10,1.0325e+10,6.21e+10,7.1732e+10,7.1732e+10,7.1732e+10,1.33832e+11,1.14136e+11,9.07e+08,1.13229e+11,4.97e+08,1.14633e+11,8.01e+09,8.01e+09,1.22643e+11,6.046e+09,-2.952e+09,6.915e+09,5.42e+08,1.0551e+10,1.1189e+10,1.33832e+11,2.41e+08,3e+07,4.1e+07,-2.97e+08,1.5e+07,-4.7e+07,6.1e+07,-8.7e+07,-7.3e+07,-4.6e+07,3.56e+08,-3.54e+08,3.9e+07,-3.93e+08,-3.03e+08,-3.47e+08,-4.05e+08,-4.05e+08,4e+06,-4.01e+08,6.99e+08,8.507e+09,4.47e+08,0.26422,0.09518,0.02154,0.0018,1.85477,0.54173,10.96103,0.06356,0.95787,0.9352,10.06359,41.93561,1.77663,0.18283,0.01457,0.02269,0.19087,-53.90415,-56.32138
"6","2011_Q3",35.99984375,"Down",2.623e+09,2.634e+09,-1.1e+07,-1.927e+09,-1.433e+09,-4.94e+08,6.96e+08,-2.87e+08,-7.5e+07,-7.5e+07,-2.12e+08,4.09e+08,4.09e+08,-1.18e+08,2.91e+08,2.87e+08,3.15e+08,3.15e+08,4.637e+10,3.007e+09,4.3363e+10,5.335e+09,5.335e+09,1.1192e+10,1.103e+10,6.2897e+10,7.2241e+10,7.2241e+10,7.2241e+10,1.35138e+11,1.15181e+11,1.072e+09,1.14109e+11,5.05e+08,1.15876e+11,8.034e+09,8.034e+09,1.2391e+11,6.111e+09,-3.319e+09,7.123e+09,6.33e+08,1.0548e+10,1.1228e+10,1.35138e+11,2.69e+08,3.7e+07,2.01e+08,1.36e+08,6.43e+08,-4.2e+07,-3.52e+08,-1.29e+08,-5.23e+08,-5.7e+07,5.3e+07,-3.92e+08,1e+07,-4.02e+08,3.69e+08,-2.7e+07,9.3e+07,9.3e+07,9.31322574615479e-10,92999999.9999999,7.33e+08,8.539e+09,9.45e+08,0.26535,0.12009,0.02805,0.00233,3,0.5428,11.0358,0.06319,1.2831,1.25498,10.68432,42.96538,3.84929,0.23218,0.01882,0.04781,0.18095,-51.61119,-54.35489
"7","2011_Q4",34.468253968254,"Down",2.455e+09,2.467e+09,-1.2e+07,-1.844e+09,-1.384e+09,-4.6e+08,6.11e+08,-2.85e+08,-7.1e+07,-7.1e+07,-2.14e+08,3.26e+08,3.26e+08,-1.09e+08,2.17e+08,2.19e+08,3.24e+08,3.24e+08,4.6843e+10,3.093e+09,4.375e+10,5.364e+09,5.364e+09,1.3558e+10,1.3393e+10,6.5765e+10,6.4615e+10,6.4615e+10,6.4615e+10,1.3038e+11,1.10896e+11,1.03e+09,1.09866e+11,5.04e+08,1.1146e+11,7.933e+09,7.933e+09,1.19393e+11,6.185e+09,-3.772e+09,7.222e+09,6.36e+08,1.0271e+10,1.0987e+10,1.3038e+11,2.19e+08,-6e+06,7.64e+08,-1.84e+08,7.93e+08,-6e+07,-3.28e+08,-7.5e+07,-4.63e+08,-5.5e+07,1.49e+08,-4.37e+08,1e+06,-4.38e+08,1.58e+08,-1.85e+08,1.45e+08,1.45e+08,-5e+06,1.4e+08,6.05e+08,8.437e+09,4.7e+08,0.24888,0.13198,0.02949,0.00249,1.45062,0.59003,10.86675,0.06471,1.36134,1.33884,10.31513,43.15546,1.97479,0.23109,0.01951,0.0242,0.16975,-63.48099,-62.85761
"8","2012_Q1",42.3004838709677,"Up",2.582e+09,2.593e+09,-1.1e+07,-1.938e+09,-1.347e+09,-5.91e+08,6.44e+08,-3.18e+08,-9.6e+07,-9.6e+07,-2.22e+08,3.26e+08,3.26e+08,-5.8e+07,2.68e+08,2.81e+08,2.36e+08,2.36e+08,4.7993e+10,3.251e+09,4.4742e+10,4.44e+09,4.44e+09,1.1301e+10,1.1301e+10,6.3734e+10,6.8573e+10,6.8573e+10,6.8573e+10,1.32307e+11,1.14538e+11,1.065e+09,1.13473e+11,5.04e+08,1.15042e+11,7.571e+09,7.571e+09,1.22613e+11,6.24e+09,-4.034e+09,6.031e+09,7.51e+08,8.988e+09,9.694e+09,1.32307e+11,2.81e+08,4.9e+07,-3.83e+08,7.8e+08,7.27e+08,-1.01e+08,-3.87e+08,2.51e+08,-86999999.9999999,-5.4e+07,-1.61e+08,-2.46e+08,1.6e+07,-2.62e+08,-9.1e+07,-5.52e+08,8.8e+07,8.8e+07,-9.31322574615479e-10,8.8e+07,6.93e+08,8.075e+09,1.43e+09,0.24942,0.0914,0.02434,0.00178,6.05932,0.55401,12.64834,0.06103,1.02386,1.0064,11.20174,38.99349,6.2039,0.23427,0.01632,0.08048,0.22881,-57.60173,-61.98447
"9","2012_Q2",39.4698412698413,"Down",2.561e+09,2.572e+09,-1.1e+07,-1.964e+09,-1.428e+09,-5.36e+08,5.97e+08,-2.75e+08,-6.9e+07,-6.9e+07,-2.06e+08,3.22e+08,3.22e+08,-7.3e+07,2.49e+08,2.48e+08,2.44e+08,2.44e+08,4.6793e+10,2.874e+09,4.3919e+10,5.516e+09,5.516e+09,1.0938e+10,1.0938e+10,6.3247e+10,7.351e+10,7.351e+10,7.351e+10,1.36757e+11,1.18892e+11,9.07e+08,1.17985e+11,5.04e+08,1.19396e+11,7.612e+09,7.612e+09,1.27008e+11,6.24e+09,-4.261e+09,6.285e+09,8.51e+08,9.115e+09,9.749e+09,1.36757e+11,2.48e+08,5.6e+07,-6.34e+08,5.05e+08,1.75e+08,-6.1e+07,-1.6e+08,-1.3e+07,-2.34e+08,-6.2e+07,9.5e+07,-2.52e+08,4e+07,-2.92e+08,-1.98e+08,-4.17e+08,-4.76e+08,-4.76e+08,7e+06,-4.69e+08,6.53e+08,8.116e+09,1.17e+09,0.23311,0.09528,0.02503,0.00178,4.79508,0.52972,13.0278,0.05935,1.07347,1.05309,11.26705,40.10119,5.14738,0.27277,0.01713,0.06549,0.2541,-59.22971,-64.78559
"10","2012_Q3",42.0626984126984,"Up",2.514e+09,2.524e+09,-1e+07,-1.934e+09,-1.426e+09,-5.08e+08,5.8e+08,-2.81e+08,-7.2e+07,-7.2e+07,-2.09e+08,2.99e+08,2.99e+08,-1.28e+08,1.71e+08,1.7e+08,2.23e+08,2.23e+08,4.6836e+10,3.272e+09,4.3564e+10,5.537e+09,5.537e+09,1.1831e+10,1.1831e+10,6.4204e+10,7.1066e+10,7.1066e+10,7.1066e+10,1.3527e+11,1.17543e+11,1.002e+09,1.16541e+11,4.98e+08,1.18041e+11,7.616e+09,7.616e+09,1.25657e+11,6.29e+09,-4.611e+09,6.384e+09,9.42e+08,9.005e+09,9.613e+09,1.3527e+11,1.7e+08,5.4e+07,8.81e+08,-8.12e+08,2.93e+08,-3.8e+07,4.4e+08,4999999.99999994,4.07e+08,-7.7e+07,1.31e+08,-3.69e+08,5e+06,-3.74e+08,2.9e+07,-2.86e+08,4.14e+08,4.14e+08,-5e+06,4.09e+08,6.34e+08,8.114e+09,-8.8e+07,0.23071,0.0887,0.0232,0.00165,-0.394620000000001,0.54391,13.07157,0.05998,1.00586,0.98848,11.33965,40.61795,-0.396930000000001,0.34732,0.01692,-0.00496000000000001,0.34529,-61.07571,-66.76207
