"","YQ","p","d","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","foreign_exchange_gain_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","preferred_dividends","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"36","2019_Q3",9.8171875,"Down",-2337000,-1184000,-1153000,-2337000,247000,56000,21000,-2090000,-2090000,307000,-1783000,-1783000,-1783000,-51000,-1834000,15159000,15159000,2991000,2991000,18150000,29000,1314000,19464000,2500000,1106000,1394000,2500000,3733000,369961000,-353422000,-808000,15731000,15731000,19464000,-1783000,4000,41000,-897000,-2635000,-101000,-2737000,-2737000,-38000,-2775000,-2333000,0,-0.11659,-0.09423,7.26,0.2373,0,-2.13012,-2.13012,18.27098,-0.1051,6.49764,6.48652
"37","2019_Q4",9.30578125,"Down",-2347000,-1285000,-1062000,-2347000,174000,42000,79000,-2173000,-2173000,273000,-1900000,-1900000,-1900000,-50000,-1950000,12967000,12967000,2869000,2869000,15836000,28000,1241000,17077000,2071000,887000,1184000,2071000,3225000,370088000,-355323000,-913000,13852000,13852000,17077000,-1900000,5000,174000,-290000,-2011000,-57000,-2072000,-2072000,-119000,-2191000,-2342000,0,-0.14077,-0.11419,7.64655,0.23282,0,-2.26488,-2.26488,16.0888,-0.12662,5.53672,5.52493
"38","2020_Q1",12.3317741935484,"Up",-2794000,-1363000,-1431000,-2794000,41000.0000000001,47000,-14000,-2753000,-2753000,448000,-2305000,-2305000,-2305000,-50000,-2355000,11885000,11885000,2132000,2132000,14017000,27000,1291000,15308000,2420000,890000,1530000,2420000,3611000,370143000,-357627000,-819000,11697000,11697000,15308000,-2305000,5000,157000,1026000,-1117000,-49999.9999999998,-1161000,-1161000,78000,-1083000,-2789000,0,-0.20133,-0.15384,5.79215,0.30871,0,-2.73684,-2.73684,13.59356,-0.17885,4.26138,4.25376
"39","2020_Q2",5.17857142857143,"Down",-2424000,-1318000,-1106000,-2424000,914000,28000,69000,-1510000,-1510000,290000,-1220000,-1220000,-1220000,-50000,-1270000,8923000,8923000,2888000,2888000,11811000,25000,1176000,12987000,1523000,250000,1273000,1523000,2596000,370184000,-358847000,-946000,10391000,10391000,12987000,-1220000,5000,91000,-1683000,-2807000,-50000,-2861000,-2861000,-101000,-2962000,-2419000,0,-0.12222,-0.09779,7.75509,0.24983,0,-1.47675,-1.47675,12.08259,-0.10642,3.68871,3.68111
"40","2020_Q3",4.15046875,"Down",-2472000,-1308000,-1164000,-2472000,19999.9999999998,4000,-2000.00000000001,-2452000,-2452000,286000,-2166000,-2166000,-2166000,-51000.0000000001,-2217000,25342000,25342000,2591000,2591000,27933000,20000,1238000,29171000,1512000,342000,1170000,1512000,2593000,388525000,-361013000,-934000,26578000,26578000,29171000,-2166000,5000,85000,230000,-1846000,18256000,16410000,16410000,8999.99999999997,16419000,-2467000,0,-0.08341,-0.076,18.47421,0.09756,0,-0.57581,-0.57581,6.90297,-0.07831,10.2724,10.25162
"41","2020_Q4",4.24890625,"Up",-2572000,-1498000,-1074000,-2572000,35000,4000,-25000,-2537000,-2537000,282000,-2255000,-2255000,-2255000,-50000,-2305000,23130000,23130000,2804000,2804000,25934000,64000,1279000,27213000,1712000,455000,1257000,1712000,2775000,388588000,-363269000,-881000,24438000,24438000,27213000,-2255000,6000,113000,7000,-2129000,-50000,-2229000,-2229000,17000,-2212000,-2566000,0,-0.09432,-0.0847,15.14836,0.11355,0,-0.47211,-0.47211,5.00543,-0.08843,9.01403,8.993
"42","2021_Q1",7.82360655737705,"Up",-3168000,-1753000,-1415000,-3168000,-13999.9999999999,6000,-20000,-3182000,-3182000,378000,-2804000,-2804000,-2804000,-3825000,-6629000,33406000,33406000,2063000,2063000,35469000,106000,1333000,36802000,2486000,514000,1972000,2486000,3543000,400077000,-366072000,-746000,33259000,33259000,36802000,-2804000,4000,141000,1507000,-1152000,11348000,10154000,10154000,122000,10276000,-3164000,0,-0.19931,-0.18013,14.2675,0.10653,0,-1.34163,-1.34163,6.73121,-0.19172,10.55815,10.54482
"43","2021_Q2",6.88460317460317,"Down",-4305000,-1739000,-2566000,-4305000,140000,4000,10000,-4165000,-4165000,687000,-3478000,-3478000,-3478000,-50000,-3528000,47777000,47777000,2686000,2686000,50463000,173000,1354000,51817000,2772000,871000,1901000,2772000,3768000,418329000,-369550000,-730000,48049000,48049000,51817000,-3478000,9000,255000,-352000,-3566000,17997000,14353000,14353000,18000,14371000,-4296000,0,-0.07343,-0.06809,18.20455,0.07842,0,-0.49697,-0.49697,6.76838,-0.07091,11.12128,11.09803
"44","2021_Q3",5.34171875,"Down",-6100000,-1999000,-4101000,-6100000,9000.00000000006,4000,-13000,-6091000,-6091000,964000,-5127000,-5127000,-5127000,-51000,-5178000,43639000,43639000,2564000,2564000,46203000,73000,131000,46334000,3118000,1197000,1921000,3118000,3118000,418551000,-374677000,-658000,43216000,43216000,46334000,-5127000,17000,278000,617000,-4215000,-51000,-4204000,-4204000,66000,-4138000,-6083000,0,-0.11982,-0.11175,14.81815,0.07215,0,-0.56003,-0.56003,4.67407,-0.11864,7.17393,7.15393
"45","2021_Q4",4.4596875,"Down",-5998000,-1781000,-4217000,-5998000,13000,4000,9000,-5985000,-5985000,998000,-4987000,-4987000,-4987000,-50000,-5037000,40219000,40219000,3156000,3156000,43375000,71000,1624000,44999000,3591000,1515000,2076000,3591000,3635000,421781000,-379664000,-753000,41364000,41364000,44999000,-4988000,10000,320000,-1552000,-6210000,2904000,-3315000,-3315000,-105000,-3420000,-5988000,0,-0.12177,-0.11194,12.07881,0.08788,0,-0.61634,-0.61634,5.06138,-0.12044,6.7166,6.7054
"46","2022_Q1",3.37129032258064,"Down",-6535000,-1942000,-4593000,-6535000,42000,4000,38000,-6493000,-6493000,1198000,-5295000,-5295000,-5295000,-50000,-5345000,36559000,36559000,4383000,4383000,40942000,64000,1645000,42587000,5294000,2117000,3177000,5294000,5324000,422970000,-384959000,-748000,37263000,37263000,42587000,-5294000,7000,304000,434000,-4549000,887000.000000001,-3664000,-3664000,4000,-3660000,-6528000,0,-0.14344,-0.12551,7.73366,0.14288,0,-1.47108,-1.47108,10.25573,-0.14198,5.60034,5.59434
"47","2022_Q2",1.67854838709677,"Down",-6559000,-1605000,-4954000,-6559000,1313000,4000,29000,-5246000,-5246000,1138000,-4108000,-4108000,-4108000,-50000,-4158000,29639000,29639000,6938000,6938000,36577000,57000,3052000,39629000,6204000,2850000,3354000,6204000,6219000,423300000,-389067000,-823000,33410000,33410000,39629000,-4108000,9000,380000,-3056000,-6775000,-50000,-6829000,-6829000,-91000,-6920000,-6550000,0,-0.12445,-0.10492,5.89571,0.18614,0,-0.44385,-0.44385,3.56637,-0.1229,4.52504,4.51883
"48","2022_Q3",1.41125,"Down",-5785000,-1580000,-4205000,-5785000,226000,17000,209000,-5559000,-5559000,984000,-4575000,-4575000,-4575000,-51000,-4626000,29077000,29077000,3e+06,3e+06,32077000,48000,3269000,35346000,5026000,2205000,2821000,5026000,5139000,425125000,-393642000,-1276000,30207000,30207000,35346000,-4575000,8000,350000,2302000,-1915000,1474000,-444000.000000001,-444000.000000001,-118000,-562000.000000001,-5777000,0,-0.15314,-0.13088,6.38221,0.17013,0,-0.49381,-0.49381,3.22447,-0.15089,5.03324,5.02627
