"","YQ","p","d","cost_of_revenue","gross_profit","operating_income_loss","non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","other_short_term_assets","prepaid_expenses","total_current_assets","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","total_debt","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","equity_per_share","return_on_invested_capital","net_debt_ebit"
"1","2017_Q2",9.83396825396825,"Down",-218648,-218648,-218648,359511,140863,140863,140863,140863,140863,140863,486200,486200,753037,393526,1239237,3.1e+08,3.1e+08,3.1e+08,311239237,140823,140823,140823,10850000,10850000,10850000,10990823,5093001,-92997,300248414,300248414,311239237,140863,-2676165.20197813,-267153,-126290,-427578,-427578,-553868,-553868,-553868,0,0.00047,0.00045,8.79996,0.03661,0,0.01525,0.01525,0.54117,0.00045,2.22367
"2","2017_Q3",9.91825396825397,"Up",-221808,-221808,-221808,602142,380334,380334,380334,380334,380334,380334,286458,286458,903114.999999999,316462,1189573,310375000,310375000,310375000,311564573,85825.0000000019,85824.9999999991,85825.0000000037,10850000,10850000,10850000,10935825,4712671,287337,300628748,300628748,311564573,380334,-375000,-205075.999999999,-199742,0,2.3283064365387e-10,-199742,-199742,-199742,-7.45058059692383e-09,0.00127000000000008,0.00122,13.86045,0.0363799999999998,0,0.04108,0.04108,0.53999,0.00122,1.29147
"3","2017_Q4",9.93365079365079,"Up",-2853131,-2853131,-2853131,736128,-2117003,-2117003,-2117003,-2117003,-2117003,-2117003,117728,117728,282046,242302,399774,311658037,311658037,311658037,312057811,2696066,2696066,2696066,10850000,10850000,10850000,13546066,6829671,-1829666,298511745,298511745,312057811,-2117003,-1283037,3231310,-168730,0,0,-168730,-168730,-168730,0,-0.00709,-0.00678,0.14828,0.04538,0,-0.22807,-0.22807,0.53866,-0.00684,0.04126
"4","2018_Q1",9.95262295081967,"Up",-57926413,140581587,-2200413,-9716781,-11917194,-12954194,-5929194,-5929194,-6792194,-7215194,2309000,2309000,5037000,4399000,49740000,56870000,1148000,98982000,148722000,41604000,22551000,51973000,8338000,8338000,105304000,157277000,56854000,-65409000,-8555000.00000006,-8555000.00000006,148722000,-5929194,-1914963,-782081,-2998238,-1934422,3294578,1422340,1422340,1422340,102335000,0.84339,-0.04851,0.957040000000002,-18.38422,0.6881,-0.03168,-0.0316799999999999,-0.03757,-0.07066,-45.45783
"5","2018_Q2",10.0046875,"Up",-14521000,21008000,-19981000,-2405000,-22386000,-22460000,-22488000,-22488000,-22488000,-22488000,99493,99493,488801,169804,588294,313202093,313202093,313202093,313790387,4762402,4762402,4762402,10850000,10850000,11150000,15912402,7463431,-2463426,297877985,297877985,313790387,-22488000,1004000,15238000,-4457000,-9000,3082000,-1440000,-1440000,-1440000,3e+05,-0.07549,-0.07167,0.12353,0.05342,0.00096,-0.35205,-0.35205,0.07828,-0.07277,-0.01003
"6","2018_Q3",10.0942857142857,"Up",-17300000,26252000,-13531000,-2783000,-16314000,-19983000,-20010000,-20010000,-20010000,-20010000,64411,64411,96055.0000000005,96055,160466,314820605,314820605,314820605,314981071,5421098,5421098,5421097.99999999,10850000,10850000,11325000,16746098,7106441,-2106438,298234973,298234973,314981071,-20010000,4073000,-1636000,-15781000,-121999.999999998,16665000,392000,392000,392000,475000,-0.06709,-0.06353,0.0295999999999997,0.0561499999999997,0.00150999999999994,-0.30621,-0.30621,0.07651,-0.06464,-0.030340000000002
"7","2018_Q4",10.1147619047619,"Up",-19477000,31292000,-10070000,-2931000,-13001000,-13051000,-13078000,-13078000,-13078000,-13078000,2705,2705,22306,22306,25011,316284206,316284206,316284206,316309217,7309631,7309631,7309631,5128205,5128205,5828205,13137836,2170031,2829970,303171381,303171381,316309217,-13078000,922000,-12615000,-22992000,45684000,48506000,24577000,24577000,24577000,7e+05,-0.04314,-0.04135,0.00342,0.04333,0.00221,-1.33774,-1.33774,0.51145,-0.04232,-0.06924
"8","2019_Q1",23.5896721311475,"Up",-17510000,46089000,-4480000,-2508000,-6988000,-9253000,-9255000,-9255000,-9255000,-9255000,21291000,21291000,2442000,2328000,71131000,52924000,1056000,92547000,163678000,39553000,20388000,56096000,6061000,6061000,60541000,116637000,177281000,-130240000,47041000,47041000,163678000,-9255000,5425000,-15193000,-17405000,4.6e+07,24491000,-4481999.99999999,-4481999.99999999,-4481999.99999999,59261000,-0.19674,-0.05654,1.26802,2.47948,0.36206,-0.0373299999999999,-0.0373300000000001,0.18972,-0.08237,-8.47545
"9","2019_Q2",7.35301587301587,"Down",-16980000,40143000,-12121000,-1646000,-13767000,-15629000,-15666000,-15666000,-15666000,-15666000,30561000,30561000,4020000,3918000,85062000,51937000,1568000,91391000,176453000,44970000,20395000,52307000,5859000,5859000,91587000,143894000,178133000,-145574000,32559000,32559000,176453000,-15666000,2210000,1498000,-9558000,-811000,19133000,9258000,9258000,9258000,88065000,-0.48116,-0.08878,1.62621,4.41948,0.49908,-0.226,-0.226,0.4697,-0.12386,-4.74416
"10","2019_Q3",5.5646875,"Down",-19446000,45502000,-7319000,-2307000,-9626000,-9626000,-9649000,-9649000,-9649000,-9649000,20040000,20040000,3232000,3113000,76146000,51177000,1556000,91928000,168074000,42957000,20679000,50399000,6676000,6676000,94477000,144876000,178421000,-155223000,23198000,23198000,168074000,-9649000,1153000,-5978000,-12116000,-38000,2796000,-10504000,-10504000,-10504000,90243000,-0.41594,-0.05741,1.51086,6.24519,0.53692,-0.10647,-0.10647,0.25598,-0.08033,-9.59188
