"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","preferred_dividends","net_income_common","accounts_notes_receivable","notes_receivable_net","inventories","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","preferred_equity","share_capital_additional_paid_in_capital","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","disposition_of_fixed_assets_intangibles","disposition_of_fixed_assets","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","dividends_per_share","return_on_invested_capital","dividend_payout_ratio"
"1","2014_Q2",36.4811111111111,"Up",111181000,-36288000,74893000,-45210000,-10312000,-28889000,-6009000,29683000,-17993000,-18393000,11690000,-760000,10930000,-69000,10861000,10861000,-784000,10077000,-2231000,7846000,-2315407568.88262,-2315407568.88262,-243392601.222886,-6546864888.66528,-4550516724.95565,709412016.577093,709412016.533736,-3841104703.74221,-10387969592.4075,-5660489260.27631,-5385162077.07599,529545545.85418,-426613360.823356,-426613360.823356,102932185.030925,-5282229892.04507,-255589176.605549,-4030040953.80029,-820109569.973386,-5105739700.37923,-5105739700.36243,-10387969592.4075,44674000,-33875000,3082000,3082000,-36957000,-36957000,-651000,-138668000,-26303000,-63090000,186484000,186484000,1455000,98546000,4552000,4552000,4552000,0,0.67361,0.26698,0.07057,-0.372229998215172,-0.122176342423753,-2.6304001799835,5.60376158921763,0.951997576705714,0.21499,0.21376,3.04647,-251.277173255445,0.72073,-0.053807070417742,3.35241
"2","2014_Q3",41.13484375,"Up",120444000,-41506000,78938000,-52693000,-11512000,-30045000,-11136000,26245000,-18346000,-18746000,7899000,-219000,7680000,-70000,7610000,7610000,-458000,7151999.99999999,-2224000,4928000,-1132313284.44131,-1132313284.44131,-102476300.611443,-2928492444.33264,-1200719862.47783,562886008.288547,562886008.266868,-637833851.871107,-3566326296.20375,-2034790130.13815,-1858307538.538,457793772.92709,-192777680.411678,-192777680.411678,265016092.515462,-1593291446.02253,-182273088.302775,-972694976.900146,-818066784.986693,-1973034850.18961,-1973034850.18121,-3566326296.20375,32439000,-29945000.0000001,17134000,17134000,-47079000,-47079000,5078000,-58101000,-29853000,26656000.0000001,27445000,27445000,-271000,23977000,-1685000.00000006,-1685000.00000006,-1685000.00000006,0,0.65539,0.2179,0.04092,-0.178809999107586,-0.0587731712118765,-1.15031508999175,3.70932579460882,0.776973788352857,0.12219,0.12151,2.98639,-113.432691627723,0.7402,-0.020863535208871,6.05783
"3","2014_Q4",45.20375,"Up",130632000,-44787000,85845000,-50403000,-9285000,-29917000,-11201000,35442000,-19027000,-19427000,16415000,10395000,26810000,-68000,26742000,26742000,-1851000,24891000,-2220000,22671000,-370397428.147104,-370397428.147104,-24158433.5371477,-824187814.777547,1107420045.84072,388233002.762849,388233002.755623,1495653049.3763,671465234.598751,316637623.287282,411794153.820668,303210257.642363,-6457560.13722593,-6457560.13722593,296752697.505154,708546851.325822,-46795029.4342583,845707341.033285,-835993928.328898,-37081616.729871,-37081616.7270715,671465234.598751,32146000,-3938000,43628000,43628000,-47566000,-47566000,2085000,-51853000,-30258000,-45188000,348778000,348778000,-2093000,271239000,251532000,251532000,251532000,0,0.65715,0.27131,0.17355,-0.0668299997025286,-0.0220843904039588,-0.29795502999725,2.56057859820294,0.667184596117619,0.55264,0.47766,3.18436,-31.3237105425743,0.73759,-0.00186451173629033,1.33466
"4","2015_Q1",53.8840983606557,"Up",122002000,-42379000,79623000,-64807000,-6278000,-44875000,-13654000,14816000,-20415000,-20415000,-5599000,-6406000,-12005000,-12000,-12017000,-12017000,1341000,-10676000,-2393000,-13069000,51895000,51895000,8860000,144214000,2568164000,225314000,225314000,2793478000,2937692000,1656740000,1691824000,129444000,129953000,129953000,259397000,1951221000,108376000,1741640000,-863545000,986471000,986471000,2937692000,24061000,-473460000,-605000,-605000,-472855000,-472855000,1065000,-302083000,-34963000,134005000,8472000,9590999.99999994,-5185000,102329000,-175693000,-175693000,-175693000,1786184000,0.65264,0.12144,-0.10712,-0.01325,-0.00445,0.08524,1.97798,0.60802,-0.13488,-0.14508,1.25912,9.06234,0.36083,0.00754,-2.67526
"5","2015_Q2",51.3228571428571,"Down",155200000,-47376000,107824000,-68580000,-11628000,-44001000,-12951000,39244000,-26241000,-26241000,13003000,-680000,12323000,-75000,12248000,12248000,-264000,11984000,-5115000,6869000,216119000,216119000,13878000,354878000,3375773000,113990000,113990000,3489763000,3844641000,2248463000,2248463000,144000,214060000,214060000,214204000,2462667000,240771000,2031577000,-890374000,1381974000,1381974000,3844641000,40944000,-21714000,18625000,18625000,-40339000,-40339000,-39886000,-212170000,-38119000,213301000,33689000,33689000,3777000,212648000,41422000,41422000,41422000,2248607000,0.69474,0.25286,0.04426,0.00497,0.00179,0.15783,1.78199,0.58487,0.13084,0.12987,2.9563,21.73803,0.7261,0.0117,5.54942
"6","2015_Q3",54.53234375,"Up",165938000,-53688000,112250000,-68799000,-12646000,-41411000,-14742000,43451000,-20038000,-27538000,23413000,-4850000,18563000,-77000,18486000,18486000,-743000,17743000,-5449000,12294000,188036000,188036000,10246000,210212000,3716141000,106496000,106496000,3822637000,4032849000,2343821000,2343821000,37742000,234523000,234523000,272265000,2616086000,289624000,2038767000,-911628000,1416763000,1416763000,4032849000,51449000,-52467000,1521000,1521000,-53988000,-53988000,47535000,-92682000,-42022000,-30309000,3240000,3240000,-2627000,-71718000,-112951000,-112951000,-112951000,2381563000,0.67646,0.26185,0.07409,0.00868,0.00305,0.08969,1.84652,0.59054,0.23264,0.23097,3.14003,21.32875,0.79518,0.01347,3.41809
"7","2015_Q4",55.6875,"Up",185355000,-59133000,126222000,-74731000,-12670000,-44695000,-17366000,51491000,-28243000,-28243000,23248000,16526000,39774000,-77000,39697000,39697000,-2125000,37572000,-8809000,28763000,49201000,49201000,15263000,88381000,3783529000,242693000,242693000,4026222000,4114603000,2205760000,2244579000,305887000,188948000,188948000,494835000,2739414000,212466000,2079684000,-916961000,1375189000,1375189000,4114603000,54385000,-333412000,30191000,30191000,-363603000,-363603000,337000,-98353000,-41327000,183656000,-80997000,40448000,-5377000,55955000,11987000,11987000,11987000,2511647000,0.68097,0.2778,0.15518,0.02092,0.00699,0.03938,1.99203,0.61042,0.54044,0.53569,3.48274,21.84707,0.77652,0.0172,1.43681
"8","2016_Q1",56.2491803278688,"Up",168238000,-59497000,108741000,-72691000,-10511000,-47530000,-14650000,36050000,-28856000,-28856000,7194000,93777000,100971000,-929000,100042000,100042000,-6922000,93120000,-3721000,89399000,47972000,47972000,14828000,107886000,3721115000,352798000,352798000,4073913000,4181799000,2125267000,2166532000,165127000,183092000,183092000,348219000,2514751000,211272000,2319898000,-864122000,1667048000,1667048000,4181799000,35485000,-8738000,51033000,51033000,-59771000,-59771000,-477000,-9979000,-41023000,-193278000,233019000,233019000,-3055000,-4337000,21169000,21169000,21169000,2290394000,0.64635,0.21428,0.53138,0.05363,0.02138,0.0498,1.50851,0.54771,1.59132,1.62558,2.99468,25.91317,0.73022,0.0315,0.45888
"9","2016_Q2",59.403125,"Up",174644000,-55261000,119383000,-77575000,-13792000,-48412000,-15371000,41808000,-27081000,-27081000,14727000,-2721000,12006000,-228000,11778000,11778000,-276000,11502000,-3627000,7875000,54124000,54124000,16636000,481168000,3750527000,331191000,331191000,4081718000,4562886000,2114818000,2160169000,201729000,182132000,182132000,383861000,2544030000,208449000,2707303000,-896896000,2018856000,2018856000,4562886000,50926000,-43739000,4481000,4481000,-48220000,-48220000,-1498000,-45250000,-43511000,33208000,385064000,385064000,-15115000,359646000,365322000,365322000,365322000,2316547000,0.68358,0.23939,0.04509,0.00389999999999999,0.00173,0.22275,1.26013,0.50769,0.1364,0.13548,3.02487,31.35664,0.75362,0.01137,5.52521
"10","2016_Q3",65.8453125,"Up",190799000,-61162000,129637000,-84425000,-16543000,-49670000,-18212000,45212000,-29215000,-29215000,15997000,-20979000,-4982000,-56000,-5037999.99999999,-5037999.99999999,695000.000000001,-4342999.99999999,-3460000,-7803000,76466000,76466000,29044000,136951000,5432625000,253615000,253615000,5686240000,5823191000,2792021000,2840013000,502405000,255096000,255096000,757501000,3597514000,192596000,2981068000,-947987000,2225677000,2225677000,5823191000,78122000,-1421934000,88944000,88944000,-1510878000,-1510878000,-1444000,-1423365000,-47299000,987037000,33849000.0000001,33849000,-7311000,966276000,-378967000,-378967000,-378967000,3294426000,0.67944,0.23696,-0.0409000000000001,-0.00351,-0.00134,0.04822,1.61637,0.56574,-0.12049,-0.11964,2.94634,31.39506,0.7304,0.00684,-6.06164
