"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_expense","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","other_long_term_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","accrued_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","disposition_of_fixed_assets_intangibles","disposition_of_fixed_assets","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_change_in_long_term_investment","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2017_Q3",19.0714285714286,"Up",1075200000,-763600000,311600000,-232600000,-68600000,-1.64e+08,7.9e+07,-4400000,-4600000,-4600000,2e+05,74600000,74600000,-28100000,46500000,46500000,46500000,46500000,305213000,259931000,45282000,449174000,449174000,82958000,209255000,92420000,116835000,1046600000,1812414000,3035078000,-1222664000,378207000,164302000,213905000,2190621000,3237221000,394086000,256633000,137453000,20740000,52826000,52826000,467652000,427922000,755150000,107291000,575029000,72830000,1183072000,1650724000,1533653000,52384000,1586497000,1586497000,3237221000,46500000,68600000,10700000,11700000,137500000,-127700000,34600000,34600000,-162300000,-162300000,4100000,-123600000,0,-154900000,166700000,180600000,180600000,180600000,147600000,448662000,59700000,0.28981,0.07347,0.04325,0.02931,0.01436,1.28387,2.23799,1.04048,0.13859,0.26659,0.26713,6.16425,9.09558,0.34227,0,0.01666,0.0214,0,0.97188,1.81581
"2","2017_Q4",22.2596825396825,"Up",1110800000,-787600000,323200000,-259100000,-70500000,-188600000,64100000,-3400000,-3600000,-3600000,2e+05,60700000,60700000,-23800000,36899999.9999999,36899999.9999999,36899999.9999999,36899999.9999999,246200000,202200000,4.4e+07,500800000,500800000,9.4e+07,219400000,95200000,124200000,1060400000,1860400000,3102600000,-1242200000,3.82e+08,164500000,217500000,2242400000,3302800000,419100000,284400000,134700000,22100000,58700000,58700000,499900000,422900000,763200000,100600000,587500000,75100000,1186100000,1.686e+09,1535900000,80500000,1616800000,1616800000,3302800000,36900000,70500000,15900000,-34300000,8.9e+07,-128200000,29700000,29700000,-157900000,-157900000,1200000,-133700000,-8800000,-3700000,-1.3e+07,-57699999.9999999,-57699999.9999999,-57699999.9999999,134600000,4.45e+08,-4100000.00000006,0.29096,0.05771,0.03322,0.02282,0.01117,-0.11111,2.12122,1.0428,0.13473,0.20876,0.20844,6.28437,9.14707,-0.0231999999999997,0.04979,0.01618,-0.00145,0.23848,1.47697,3.1014
"3","2018_Q1",23.7006557377049,"Up",1191200000,-844900000,346300000,-252600000,-7.2e+07,-180600000,93700000,-3500000,-3700000,-5700000,2e+05,90200000,90200000,193700000,283900000,283900000,283900000,283900000,280100000,238500000,41600000,527900000,527900000,83100000,202900000,75600000,127300000,1.094e+09,1858100000,3129600000,-1271500000,378400000,164800000,213600000,2236500000,3330500000,373300000,230400000,142900000,19100000,69600000,69600000,4.62e+08,420600000,557700000,102500000,386600000,68600000,978300000,1440300000,1534600000,355600000,1890200000,1890200000,3330500000,283900000,7.2e+07,-202600000,-7700000,145600000,-157100000,-16300000,-16300000,-140800000,-140800000,2100000,-95200000,-8900000,-5200000,-14100000,36300000,36300000,36300000,165700000,439700000,-192800000,0.29072,0.07866,0.23833,0.1502,0.08524,-0.67911,2.36797,0.76198,0.13202,1.60577,1.60124,6.73756,10.69118,-1.0905,0.05034,0.1014,-0.06677,0.03135,0.96319,1.70331
"4","2018_Q2",23.98125,"Up",1.139e+09,-8.21e+08,3.18e+08,-250400000,-71700000,-178700000,67600000,-3100000,-3500000,-4200000,4e+05,64500000,64500000,-16900000,47600000,47600000,47600000,47600000,340400000,300100000,40300000,530400000,530400000,73200000,2.49e+08,1.15e+08,1.34e+08,1.193e+09,1847200000,3122800000,-1275600000,372600000,165300000,207300000,2219800000,3412800000,401600000,270600000,1.31e+08,15700000,75400000,75400000,492700000,417100000,568600000,103500000,4.03e+08,62100000,985700000,1478400000,1535200000,399800000,1934400000,1934400000,3412800000,47600000,71700000,16200000,-35500000,1e+08,-36800000,29400000,29400000,-66200000,-66200000,9e+05,-22600000,-8800000,-7e+06,-15800000,61600000,61600000,61600000,139300000,432800000,83900000.0000001,0.27919,0.05935,0.04179,0.02461,0.01395,1.76261,2.42135,0.76427,0.12682,0.26908,0.26862,6.43867,10.93499,0.47428,0.04975,0.01921,0.02858,0.18487,0.66332,1.36686
"5","2018_Q3",23.1434920634921,"Down",1236300000,-888600000,347700000,-2.56e+08,-71900000,-184100000,91700000,-3400000,-3900000,-4600000,5e+05,88300000,88300000,-22500000,65800000,65800000,65800000,65800000,372900000,333700000,39200000,5.68e+08,5.68e+08,70300000,250200000,108500000,141700000,1261400000,1861600000,3137400000,-1275800000,370400000,164600000,205800000,2.232e+09,3493400000,437800000,289200000,148600000,9500000,76300000,76300000,523600000,415200000,562100000,97800000,416700000,47600000,977300000,1500900000,1537600000,455100000,1992500000,1992500000,3493400000,65800000,71900000,1.7e+07,3e+05,1.55e+08,-1e+08,2.6e+07,2.6e+07,-1.26e+08,-1.26e+08,1e+06,-83300000,-10700000,-8100000,-38100000,33600000,33600000,33600000,163600000,424700000,86400000,0.28124,0.07417,0.05322,0.03302,0.01884,1.31307,2.40909,0.75327,0.12157,0.37154,0.37133,6.9808,11.25071,0.48786,0.06042,0.02568,0.029,0.16261,0.31663,0.56489
"6","2018_Q4",18.5998412698413,"Down",1280100000,-925700000,354400000,-256500000,-73300000,-183200000,97900000,-2600000,-2700000,-4200000,1e+05,95300000,95300000,-24600000,70700000,70700000,70700000,70700000,404800000,359800000,4.5e+07,588700000,588700000,60900000,247200000,96600000,150600000,1301600000,1917600000,3217800000,-1300200000,374700000,164200000,210500000,2292300000,3593900000,453100000,2.93e+08,160100000,10100000,93800000,93800000,5.57e+08,412500000,571200000,98600000,423300000,49300000,983700000,1540700000,1539300000,5.15e+08,2053200000,2053200000,3593900000,70700000,73300000,9200000,1900000,155100000,-137400000,19200000,19200000,-156600000,-156600000,-6e+06,-116200000,-10600000,-2200000,-12800000,26100000,26100000,26100000,171200000,422600000,60300000,0.27685,0.07648,0.05523,0.03443,0.01967,0.8529,2.3368,0.75039,0.11759,0.39944,0.39898,7.2322,11.6,0.34068,0.05989,0.02668,0.01979,0.14993,0.10397,0.18182
"7","2019_Q1",18.6160655737705,"Up",1321600000,-934800000,386800000,-266200000,-74400000,-191800000,120600000,-2100000,-2400000,-4100000,3e+05,118500000,116500000,-31700000,84800000,84800000,84800000,84800000,4.3e+08,378700000,51300000,593100000,593100000,60800000,240400000,79500000,160900000,1324300000,1922200000,3.235e+09,-1312800000,3.78e+08,162200000,215800000,2300200000,3624500000,389700000,2.26e+08,163700000,51700000,81200000,81200000,522600000,359600000,6.1e+08,113300000,450600000,46100000,969600000,1492200000,1.544e+09,589300000,2132300000,2132300000,3624500000,84800000,74400000,3.3e+07,-35800000,156400000,-125900000,37800000,37800000,-163700000,-163700000,-6100000,-115500000,-10600000,-11400000,-2.2e+07,18900000,18900000,18900000,1.95e+08,411300000,6.5e+07,0.29268,0.09125,0.06416,0.03977,0.0234,0.76651,2.53406,0.69981,0.11348,0.4791,0.47856,7.46667,12.04689,0.36723,0.05989,0.03025,0.02061,0.125,-0.0959,-0.15506
"8","2019_Q2",16.907619047619,"Down",1194100000,-861100000,3.33e+08,-281500000,-73400000,-208100000,51500000,-2100000,-1700000,-3900000,-4e+05,49400000,49400000,-12500000,36900000,36900000,36900000,36900000,488100000,4.41e+08,47100000,536800000,536800000,49600000,290500000,122300000,168200000,1.365e+09,1968200000,3.313e+09,-1344800000,538200000,162400000,375800000,2506400000,3871400000,460200000,3.08e+08,152200000,7.6e+07,114100000,114100000,650300000,334700000,726400000,176800000,4.58e+08,91600000,1061100000,1711400000,1544800000,615500000,2.16e+09,2.16e+09,3871400000,36900000,73400000,30900000,-8e+06,133200000,-63900000,1.6e+07,1.6e+07,-79900000,-79900000,4700000,-59200000,-10600000,-1100000,-11700000,62300000,62300000,62300000,124900000,410700000,65500000,0.27887,0.04313,0.0309,0.01708,0.00953,1.77507,2.09903,0.79231,0.10609,0.20847,0.208,6.74633,12.20339,0.37006,0.05989,0.01441,0.01987,0.28726,-0.6197,-1.50291
"9","2019_Q3",17.23484375,"Up",1212700000,-866300000,346400000,-262600000,-74900000,-187700000,83800000,-3300000,-3e+06,-5400000,-3e+05,80500000,45900000,-11400000,34500000,34500000,34500000,34500000,425200000,377700000,47500000,5.25e+08,5.25e+08,57600000,421100000,1.47e+08,274100000,1428900000,2015600000,3334500000,-1318900000,448200000,127600000,320600000,2463800000,3892700000,542500000,2.68e+08,274500000,73600000,105800000,105800000,721900000,334500000,650900000,101600000,448900000,100400000,985400000,1707300000,1546600000,6.39e+08,2185400000,2185400000,3892700000,34500000,74900000,4.7e+07,12400000,168800000,-200100000,2e+07,2e+07,-220100000,-220100000,-1e+05,-200200000,-10700000,-2500000,-31900000,-63300000,-63300000,-63300000,158700000,408100000,-17600000,0.28564,0.0691,0.02845,0.01579,0.00886,-0.51014,1.97936,0.78123,0.10484,0.1947,0.19448,6.84368,12.33296,-0.09932,0.06038,0.01393,-0.00542,0.31014,-0.10775,-0.20406
"10","2019_Q4",19.7465625,"Up",1183900000,-839600000,344300000,-264900000,-74100000,-190800000,79400000,-2300000,-1800000,-3800000,-5e+05,77100000,26700000,-7e+06,19700000,19700000,19700000,19700000,484500000,437100000,47400000,498800000,498800000,57700000,486600000,200900000,285700000,1527600000,1894800000,3165500000,-1270700000,408600000,127300000,281300000,2303400000,3.831e+09,502900000,239800000,263100000,101500000,9.4e+07,9.4e+07,698400000,304600000,635800000,103600000,446500000,85700000,940400000,1638800000,1544500000,648200000,2192200000,2192200000,3.831e+09,19700000,74100000,70800000,3700000,168300000,-96300000,17800000,17800000,-114100000,-114100000,99999.9999999991,-96200000,-10600000,-2100000,-12700000,59400000,59400000,59400000,153500000,406100000,67900000,0.29082,0.06707,0.01664,0.00899,0.00514,3.4467,2.18729,0.74756,0.106,0.11124,0.11124,6.68492,12.37832,0.3834,0.05985,0.00937,0.021,0.53807,-0.51075,-0.98741
