"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","free_cash_flow_to_net_income","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","free_cash_flow_per_share"
"1","2015_Q4",17.801875,"Down",198700000,-141600000,57100000,-66800000,-31800000,-3.5e+07,-9700000,-4e+05,-4e+05,-10100000,-1100000,-11200000,23400000,12200000,12200000,12200000,12200000,12200000,10900000,5900000,-48700000,-19700000,-10600000,-10800000,2.2e+07,-8500000,-8500000,-8900000,1200000,0,-81500000,0.28737,-0.04882,0.0614,-6.68033,0.20748,0.20748,3.37925,-1.38605
"2","2016_Q1",23.1026229508197,"Up",208900000,-145300000,63600000,-73300000,-37600000,-35700000,-9700000,-3e+05,-3e+05,-1e+07,-4900000,-14900000,-9e+05,-15800000,-15800000,-15800000,-15800000,-15800000,10900000,5100000,12900000,13100000,-18200000,-1.8e+07,8800000.00000003,3900000,3900000,3900000,1200000,0,-3200000,0.30445,-0.04643,-0.07563,0.202530000000001,-0.26871,-0.26871,3.55272,-0.0544199999999999
"3","2016_Q2",24.77671875,"Up",212600000,-145700000,66900000,-68400000,-3.4e+07,-34400000,-1500000,-2e+05,-2e+05,-1700000,1200000,-5e+05,3e+05,-2e+05,-2e+05,-2e+05,-1e+07,-2e+05,11700000,5800000,-6700000,10600000,-13900000,-13900000,130700000,127400000,127400000,127600000,10200000,0,-10700000,0.31468,-0.00706,-0.04704,1.07,-0.17007,-0.17007,3.61565,-0.18197
"4","2016_Q3",32.89875,"Up",218300000,-150200000,68100000,-60800000,-25800000,-3.5e+07,7300000,-5e+05,-5e+05,6800000,-3500000,3300000,-5e+05,2800000,2800000,2800000,6e+05,2800000,12100000,10800000,16700000,42400000,-21800000,-21800000,-6e+05,2e+07,2e+07,19800000,19400000,-5.82076609134674e-11,14800000,0.31196,0.03344,0.00275,24.66667,0.01017,0.01014,3.7,0.25085
"5","2016_Q4",39.7933333333333,"Up",230400000,-167600000,62800000,-63300000,-2.8e+07,-35300000,-5e+05,-4e+05,-4e+05,-9e+05,-6600000,-7500000,-1e+05,-7600000,-7600000,-7600000,-7900000,-7600000,11300000,14900000,1900000,20500000,-27700000,-27700000,1300000,-5900000,-5900000,-4700000,10800000,0,-14900000,0.27257,-0.00217,-0.03429,1.88608,-0.13345,-0.13345,3.89189,-0.25169
"6","2017_Q1",44.1177419354839,"Up",241700000,-162200000,79500000,-65900000,-29500000,-36400000,13600000,-1e+05,-1e+05,13500000,900000.000000002,14400000,-1e+05,14300000,14300000,14300000,14100000,14300000,12300000,1800000,-15300000,13100000,-18600000,-18600000,5e+06,-500000.000000002,-500000.000000002,-1e+05,25900000,-9.31322574615479e-10,-7900000,0.32892,0.05627,0.05834,-0.560279999999999,0.23737,0.23818,4.06902,-0.133
"7","2017_Q2",53.6198412698413,"Up",258100000,-176400000,81700000,-6.2e+07,-25100000,-36900000,19700000,2e+05,2e+05,19900000,-25600000,-5700000,2300000,-3400000,-3400000,-3400000,-3600000,-3400000,11900000,32200000,-4400000,36300000,-28900000,-28900000,2300000,9700000,9700000,9700000,31600000,0,-4e+06,0.31654,0.07633,-0.01395,1.11111,-0.0601,-0.0601,4.30885,-0.06678
"8","2017_Q3",58.1261904761905,"Up",2.65e+08,-1.78e+08,8.7e+07,-69700000,-3.1e+07,-38700000,17300000,-2e+05,-2e+05,17100000,8e+05,17900000,-6100000,11800000,11800000,11800000,11600000,11800000,13100000,4900000,-10600000,19200000,-35400000,-35400000,6700000,-9500000,-9500000,-10900000,30400000,-7.45058059692383e-09,-9500000,0.3283,0.06528,0.04377,-0.81897,0.19237,0.18501,4.39469,-0.15755
"9","2017_Q4",55.7455555555556,"Down",255800000,-173700000,82100000,-65400000,-28100000,-37300000,16700000,-1400000,-1400000,15300000,-59700000,-44400000,-11600000,-5.6e+07,-5.6e+07,-5.6e+07,-56200000,-5.6e+07,14100000,63300000,-5e+06,16400000,-35700000,-40800000,445700000,421300000,421300000,4.22e+08,30800000,313400000,1700000,0.32095,0.06529,-0.2197,-0.03025,-0.92131,-0.92131,4.19344,0.02787
"10","2018_Q1",57.3777049180328,"Up",222700000,-155400000,67300000,-61400000,-2.6e+07,-35400000,5900000,-1800000,-1800000,4100000,-31700000,-27600000,-27300000,-54900000,-54900000,-54900000,-55200000,-54900000,15100000,44800000,8100000,13100000,-38100000,-320600000,2e+06,-305500000,-305500000,-3.05e+08,2.1e+07,317500000,18300000,0.3022,0.02649,-0.24787,-0.33152,-0.90196,-0.93878,3.63889,0.29902
