"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","net_cash_from_investing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","operating_margin","net_profit_margin","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share"
"1","2010_Q2",3.65142857142857,"Up",1170027,-2254086,-1253116,-617757,-1084059,15224,-1068835,-1083173,378348,-704825,-704825,-704825,-704825,23997021.0903411,868078.998135282,-37248780.2781657,116110639.789112,103726959.599422,9682765.23506244,11543227.8675449,124952952.70203,124952952.70203,124952952.70203,16186333.7713824,0,-0.92652,-0.6024,-0.0261,-0.0261,0.04333
"2","2010_Q3",3.3084375,"Down",1201302,-2190125,-1253596,-550142,-988823,13785,-975038,-990238,288298,-701940,-701940,-701940,-701940,12438481.6542047,563131.998881169,-19080942.1668994,60852346.073467,54773017.5596534,6714007.94103746,6716544.92052695,68203570.4212178,68203570.4212178,68203570.4212178,8546704.46282943,0,-0.82313,-0.58432,-0.02599,-0.02599,0.04449
"3","2010_Q4",3.91734375,"Up",1291381,-2105582,-1194872,-505445,-814201,18776,-795425,-810987,259466,-551521,-551521,-551521,-551521,5089015.32710234,344231.499440585,-7792843.08344971,26133663.5367335,23774067.2798267,4075545.97051873,3261574.46026347,31111187.7106089,31111187.7106089,31111187.7106089,3527777.23141472,0,-0.63049,-0.42708,-0.02042,-0.02042,0.04782
"4","2011_Q1",4.76387096774194,"Up",1359191,-2025639,-1390659,-144766,-666448,7269,-659179,-675133,245712,-429421,-429421,-429421,-429421,1072963.10903411,201239.499813528,-1820683.02781657,7407495.17891116,6861014.75994223,1864096.32350624,1065628.48675449,9790739.57020297,9790739.57020297,9790739.57020297,664606.077138239,-2.40741243048404e-35,-0.49033,-0.31594,-0.0159,-0.0159,0.05033
"5","2011_Q2",4.84222222222222,"Up",1169096,-1800869,-1307567,-124018,-631773,7767,-624006,-640321,154987,-485334,-485334,-485334,-485334,-485334,124018,399338,126744,164766,176376,16019,357161,357161,357161,-507755,0,-0.54039,-0.41514,-0.01787,-0.01787,0.04304
"6","2011_Q3",4.47875,"Down",1179432,-1736113,-1309387,-102429,-556681,3705,-552976,-563742,102207,-461535,-461535,-461535,-461535,-461535,102429,431020,-255687,-183773,-890898,58,-1074613,-1074613,-1074613,-454252,3.85185988877447e-34,-0.47199,-0.39132,-0.01681,-0.01681,0.04296
"7","2011_Q4",4.78365079365079,"Up",2017075,-1802562,-1359161,-132516,214513,1562,216075,199842,-29416,170426,170426,170426,170426,170426,132516,127470,1126371,1556783,-1114109,90000,532674,532674,532674,347029,0,0.10635,0.08449,0.00619,0.00553,0.07329
"8","2012_Q1",5.84016129032258,"Up",3165272,-1938271,-1359269,-204141,1227001,1180,1228181,1211582,-676692,534890,534890,534890,534890,534890,204141,1052488,-274179,1517340,-396540,173157,1293957,1293957,1293957,1431142,0,0.38764,0.16899,0.01937,0.02201,0.11464
"9","2012_Q2",5.45968253968254,"Down",3884856,-1859018,-1405175,-236891,2025838,7246,2033084,2016112,-872594,1143518,1143518,1143518,1015683,1143518,236891,879923,-326051,1934281,-493474,5926621,7367428,7367428,7367428,2262729,0,0.52147,0.26145,0.03671,0.03247,0.1404
"10","2012_Q3",5.41222222222222,"Down",4646702,-2200248,-1488258,-280795,2446454,6712,2453166,2433550,-1008195,1425355,1425355,1425355,1259950,1425355,280795,1148539,-486614,2368075,-1047495,710673.999999999,2031254,2031254,2031254,2727249,-9.86076131526265e-32,0.52649,0.27115,0.04533,0.03998,0.16719
