"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_expense","income_loss_from_affiliates","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","income_taxes_receivable","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","investments_in_affiliates","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",35.4153968253968,"Up",394282000,-350938000,43344000,-34446000,-34446000,8898000,335000,-5e+05,-618000,534000,301000,9233000,-150000,9083000,-1864000,7219000,-7755000,-814000,-8569000,-8569000,19981000,19981000,122397000,122397000,242969000,64286000,7616000,48998000,449633000,431067000,415175000,23675000,368241000,11118000,12141000,846242000,1295875000,111664000,59829000,50621000,24990000,2995000,2995000,139649000,144798000,95738000,47294000,48444000,240536000,380185000,28499000,885202000,-1799000,911902000,3788000,915690000,1295875000,-7755000,15327000,20878000,-118465000,-90015000,32834000,177000,14885000,-472000,56727000,-2754000,53944000,-21186000,-21186000,141000,-21045000,24225000,169788000,-59542000,0.10993,0.02257,-0.02173,-0.00936,-0.00661,6.94854,3.21974,0.41519,0.13102,-0.3082,-0.30462,14.18128,32.79869,-2.14157,0.01698,-379.799467484356,-0.00685,-0.05041,-0.05508,6.18398,16.83603
"2","2010_Q3",32.4875,"Down",564328000,-496582000,67746000,-39661000,-39661000,28085000,-305000,-510000,-695000,-81000.0000000005,286000,27780000,532000,28312000,-9736000,18576000,18504000,-1046000,17458000,17458000,33573000,33573000,160483000,160483000,203564000,22143000,10364000,4106000,419763000,429545000,419620000,21881000,377260000,11596000,8883000,849165000,1268928000,132167000,69539000,60135000,1161000,2711000,2711000,136039000,100143000,96535000,47834000,48701000,196678000,332717000,31234000,902188000,-1483000,931939000,4272000,936211000,1268928000,18504000,15727000,2740000,69243999.9999999,106215000,-13318000,-350000,-25007000,0,-67175000,-566000,-67574000,13634000,13634000,-42000,13592000,43812000,101304000,109474000,0.12005,0.04977,0.03094,0.01865,0.01376,6.27071,3.08561,0.35539,0.07983,0.62648,0.62075,20.25076,33.44239,3.92845,3.46944695195361e-18,-199.679680490613,0.01539,0.09653,6.93889390390723e-18,1.54595,2.41164
"3","2010_Q4",39.9709375,"Up",703540000,-598721000,104819000,-42779000,-42779000,62040000,1575000,-417000,-503000,1877000,115000,63615000,-141000,63474000,-21715000,41759000,41782000,-1328000,40454000,40454000,31524000,31524000,138371000,138371000,291273000,26966000,11693000,7940000,488134000,438354000,423670000,21164000,380719000,12339000,9448000,862024000,1350158000,166731000,90972000,61758000,1238000,2564000,2564000,170533000,99371000,100188000,51004000,49184000,199559000,370092000,34138000,942170000,-925000,975383000,4683000,980066000,1350158000,41782000,15969000,3836000,-37513000,24074000,-13629000,606000,-24491000,-472000,-695000,-879000,-1764000,-2181000,-2181000,132000,-2049000,78009000,100609000,48582000,0.14899,0.08818,0.0575,0.04128,0.02996,1.20092,2.8624,0.37762,0.07452,1.45007,1.43063,25.2183,34.96247,1.74142,0.01692,-84.8398402453066,0.03466,0.04114,0.01167,0.8856,1.11356
"4","2011_Q1",45.1596774193548,"Up",639090000,-573523000,65567000,-41828000,-41828000,23739000,966000,-916000,-527000,805000,1077000,24705000,-241000,24464000,-7510000,16954000,18145000,-738000,17407000,17407000,30342000,30342000,126156000,126156000,268103000,36193000,12546000,14610000,460794000,460810000,421814000,20444000,380332000,13706000,7332000,882624000,1343418000,156336000,91879000,62641000,1189000,2588000,2588000,160113000,99240000,104433000,58630000,45803000,203673000,363786000,29236000,948642000,-2552000,975326000,4306000,979632000,1343418000,18145000,16395000,8339000,6337000.00000001,49216000,-70211000,-773000,-29676000,-472000,-199000,-2531000,-20304000,-764000,-764000,-418000,-1182000,40134000,100429000,-16230000,0.10259,0.03715,0.02724,0.01777,0.01296,-0.93238,2.87793,0.37135,0.07476,0.62705,0.62042,23.02197,35.13422,-0.58465,0.017,-21.2799467484355,0.01509,-0.0137,0.02712,1.74632,2.9524
"5","2011_Q2",41.2036507936508,"Down",675104000,-602546000,72558000,-45075000,-45075000,27483000,375000,-543000,-598000,757000,161000,27858000,2e+05,28058000,-9164000,18894000,18917000,-1123000,17794000,17794000,57035000,57035000,161044000,161044000,275989000,28726000,11698000,8059000,522794000,465830000,427518000,19817000,383416000,16642000,7643000,893348000,1416142000,124431000,76866000,46635000,527000,2560000,2560000,127518000,179143000,109839000,61472000,48367000,288982000,416500000,30564000,965969000,-1689000,994844000,4798000,999642000,1416142000,18917000,16321000,4809000,-57669000,-17622000,-24917000,-619000,-32492000,-466000,79856000,-2887000,76519000,26405000,26405000,288000,26693000,43804000,179670000,-29618000,0.10748,0.04071,0.02636,0.0178,0.01257,-1.66449,4.09977,0.41665,0.12687,0.64558,0.63844,24.49312,36.09346,-1.07456,0.01691,5,0.01416,-0.02297,0.02619,2.79963,4.46221
"6","2011_Q3",32.964375,"Down",721842000,-632856000,88986000,-43833000,-43833000,45153000,2915000,-923000,-1157000,984000,2854000,48068000,-2e+05,47868000,-15745000,32123000,32134000,-1309000,30825000,30825000,48245000,48245000,161015000,161015000,356559000,38975000,14386000,14732000,604794000,488328000,566668000,22616000,514682000,15734000,13636000,1054996000,1659790000,188050000,119784000,50948000,7e+05,2545000,2545000,191295000,320112000,111235000,62408000,48827000,431347000,622642000,34026000,996327000,1276000,1031629000,5519000,1037148000,1659790000,32134000,18155000,-335000,-12053000,37901000,-21077000,-499000,-180539000,-934000,139846000,-5625000,133550000,-9088000,-9088000,298000,-8790000,63308000,320812000,45923000,0.12328,0.06255,0.0427,0.02972,0.01857,1.4898,3.16158,0.60034,0.19328,1.11576,1.10227,26.12814,37.34133,1.66225,0.03381,8,0.02162,0.03126,0.0303,4.30541,6.03652
"7","2011_Q4",31.4655555555556,"Down",981062000,-870530000,110532000,-56849000,-56849000,53683000,-1510000,-3417000,-3128000,1648000,259000,52173000,-3454304.2796771,52173000,-18056000,34117000,34400000,-1372000,33028000,33028000,32801000,32801000,245785000,245785000,364159000,25919000,12706000,7306000,668664000,538893000,681231000,22806000,628976000,16499000,12950000,1220124000,1888788000,188425000,123374000,62458000,3280000,3425000,3425000,195130000,468611000,131503000,84146000,47357000,600114000,795244000,37155000,1028887000,1911000,1067953000,25591000,1093544000,1888788000,34400000,19507000,28216000,-89726000,-7603000,-28537000,-198000,-156846000,0,150921000,-590000,150607000,-13842000,-13842000,-1602000,-15444000,73190000,471891000,-27017000,0.11267,0.05472,0.03367,0.0302,0.01749,-0.818,3.42676,0.72722,0.24984,1.19338,1.17873,35.44811,38.58769,-0.97619,0,4,0.01946,-0.01592,0,5.99932,8.17931
"8","2012_Q1",31.2188709677419,"Down",1081186000,-966233000,114953000,-59930000,-59930000,55023000,-2317000,-3553000,-3553000,1233000,3000,52706000,-8419342.43128525,52706000,-14203000,38503000,38085000,-1377000,36708000,36708000,49462000,49462000,229975000,229975000,335120000,39442000,24117000,3541000,653999000,555284000,680886000,20906000,627805000,17208000,14967000,1236170000,1890169000,229687000,141011000,74843000,643000.000000001,2983000,2983000,233313000,403287000,133280000,85378000,47902000,536567000,769880000,28063000,1065109000,1540000,1094712000,25577000,1120289000,1890169000,38085000,20883000,-365999.999999993,69185000,127787000,-29903000,-271000,-30024000,-485000,-67767000,-2182000,-80725000,17038000,17038000,-377000,16661000,75906000,403930000,129391000,0.10632,0.05089,0.03395,0.03277,0.01942,3.52487,2.8031,0.68722,0.2137,1.32376,1.31194,38.98976,39.47753,4.6661,0.01749,7,0.02244,0.07806,0.01321,4.66983,6.44218
"9","2012_Q2",23.0966666666667,"Down",812176000,-742215000,69961000,-55992000,-55992000,13969000,-2663000,-3271000,-3271000,1001000,-393000,11306000,-13076372.766973,11306000,-3561000,7745000,7745000,-727000,7018000,7018000,26989000,26989000,209475000,209475000,410119000,54560000,30583000,13035000,701143000,552833000,674325000,19510000,622382000,17665000,14768000,1227158000,1928301000,175898000,111079000,62031000,14665000,2971000,2971000,193534000,480943000,132722000,84845000,47877000,613665000,807199000,31030000,1070363000,-5208000,1096185000,24917000,1121102000,1928301000,7745000,20346000,4712000,-118959000,-86156000,-25300000,353000,-24947000,-468000,93816000,-1450000,88781000,-22322000,-22322000,-151000,-22473000,34315000,495608000,-106383000,0.08614,0.0172,0.00864,0.00626,0.00364,-15.15859,3.62284,0.72,0.25702,0.25566,0.25322,29.58639,39.93243,-3.87538,0.01705,2,0.00428,-0.06081,0.06669,13.65639,33.54707
"10","2012_Q3",21.2722222222222,"Down",886611000,-817088000,69523000,-52370000,-52370000,17153000,-2024000,-3472000,-3472000,832000,616000,15129000,-15406653.598889,15129000,-4767000,10362000,10362000,-735000,9627000,9627000,51720000,51720000,210083000,210083000,324818000,55859000,31004000,13581000,642480000,552851000,678456000,18029000,628079000,17654000,14694000,1231307000,1873787000,182812000,115415000,63561000,668000,3060000,3060000,186540000,412891000,136057000,88926000,47131000,548948000,735488000,32389000,1079528000,-609999.999999999,1111307000,26992000,1138299000,1873787000,10362000,20645000,3660000,92858000,127525000,-17359000,-688000,-18047000,-464000,-84141000,-626000,-84733000,24745000,24745000,-13999.9999999999,24731000,37798000,413559000,118064000,0.07841,0.01935,0.01086,0.00846,0.00514,12.26384,3.44419,0.64613,0.22071,0.34996,0.34688,32.22985,40.39794,4.29183,0.01687,6,0.00598,0.06995,0.0482000000000001,9.57297,21.09479
"11","2012_Q4",20.7912903225806,"Down",879866000,-807980000,71886000,-50148000,-50148000,21738000,-2542000,-2730000,-2730000,341000,-153000,19196000,-13391443.2391818,19196000,-7542000,11654000,11654000,-413000,11241000,11241000,56470000,56470000,149720000,149720000,328057000,55399000,30786000,12884000,589646000,544973000,676544000,16634000,627427000,17052000,15431000,1221517000,1811163000,183041000,115575000,58018000,668000,2966000,2966000,186675000,357065000,142283000,87269000,55014000,499348000,686023000,26885000,1080445000,-7526000,1099804000,25336000,1125140000,1811163000,11654000,20446000,2568000,60400000,95068000,-11662000,-224000,-11886000,-5588000,-55121000,-5700000,-77930000,5252000,5252000,-502000,4750000,42184000,357733000,98464000,0.0817,0.02471,0.01278,0.00999,0.00621,8.75936,3.15868,0.60972,0.19752,0.40821,0.4047,31.95214,39.93914,3.5757,0.20293,5,0.01036,0.06059,0.49711,7.14164,13.85882
"12","2013_Q1",21.406,"Up",762285000,-712433000,49852000,-46668000,-46668000,3184000,-847000,-2407000,-2407000,462000,1098000,2337000,-5012000.00000001,-2675000,1831000,-844000,-843999.999999998,362000,-482000,-482000,89863000,89863000,137313000,137313000,246992000,42651000,28618000,7671000,516819000,564185000,682569000,15778000,635491000,17126000,14174000,1246754000,1763573000,175974000,115007000,60929000,683000,2185000,2185000,178842000,334629000,142158000,85447000,56711000,476787000,655629000,27148000,1056024000,-2589000,1080583000,27361000,1107944000,1763573000,-843999.999999998,20819000,3398000,84980000,108353000,-23286000,467000,-29386000,-4935000,-23229000,440000,-46170000,32797000,32797000,596000,33393000,24003000,335312000,83866000,0.0654,0.00418,-0.00063,-0.000440000000000001,-0.000270000000000001,-173.99585,2.88981,0.59175,0.19013,-0.018,-0.01787,28.47428,40.36394,3.13272,0.18434,5,0.00281,0.0529,-10.23859,10.22576,77.08825
