"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","total_current_liabilities","long_term_debt","other_long_term_liabilities","pension_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2011_Q2",19.7036507936508,"Down",1.185e+09,-1.109e+09,7.6e+07,-3.7e+07,-3.7e+07,3.9e+07,-1.1e+07,-3e+07,1.9e+07,2.8e+07,-1.2e+07,1.6e+07,1.4e+07,3e+07,3e+07,3e+07,3e+07,4132096759.16302,4132096759.16302,1240115003.37394,1240115003.37394,18165679.3055035,1801141189.58154,-480637333.875463,7191518631.424,3407067006.17494,-399347757.057969,1439200832.19523,-245778317.681016,-1592770277.16017,3007719249.11697,10199237880.541,663807373.555497,5158424404.29435,1722117612.47911,1164478359.43907,1227850167.84466,-150769916.407733,2886595971.91818,8045020376.21252,4661717506.81001,-496886823.898901,-1295436568.48394,-801441334.135862,2529831718.47556,-375614214.147112,2154217504.32845,10199237880.541,3e+07,5.4e+07,-2.3e+07,-3e+06,5.8e+07,-1.5e+07,-3e+06,-1.8e+07,-1276848967.78048,-3.3e+07,7e+06,7e+06,7e+06,9.3e+07,0,6.1e+07,0.06414,0.03291,0.02532,-0.595824820950681,-0.325847175034406,2.03333,-11.2186675323845,2.62540970253367,0.630589737635246,0.30896,0.30896,12.20391,5.93361584510857,0.62822,-0.358488191441694,1.17623659184509,-75.1859309098709,-1093.25063651905
"2","2011_Q3",13.82125,"Down",1.2e+09,-1.107e+09,9.3e+07,-4e+07,-4e+07,5.3e+07,-3e+07,-2.8e+07,-2e+06,2.3e+07,-1e+06,2.2e+07,3.9e+07,6.1e+07,6.1e+07,6.1e+07,6.1e+07,1904048379.58151,1904048379.58151,892057501.68697,892057501.68697,260582839.652752,973070594.79077,-56818666.9377314,4029759315.712,2900533503.08747,980326121.471016,623600416.097613,882610841.159492,-525885138.580085,3880859624.55848,7910618940.27048,604903686.777749,2510212202.14717,1077058806.23956,1465239179.71953,1410925083.92233,-28884958.2038667,2542297985.95909,5052510188.10626,4101858753.405,-250932094.339341,-545718284.241969,-537720667.067931,2997915859.23778,-139807107.073556,2858108752.16422,7910618940.27048,6.1e+07,5.5e+07,-9.9e+07,-6e+07,-4.3e+07,-9e+06,2.93e+08,2.84e+08,-2.69e+08,-2.7e+08,-2.9e+07,-2.9e+07,-2.9e+07,1.08e+08,0,-2.98023223876953e-08,0.0775,0.04417,0.05083,-0.25882741047534,-0.141578587517203,4.44089209850063e-16,-3.00468376619223,1.59980985126683,0.323109868817623,0.62822,0.62822,12.35839,22.3880429225543,2.22044604925031e-16,-0.155729095720847,0.550288295922545,-31.8069704549354,-482.787808259527
"3","2011_Q4",12.3361904761905,"Down",1.224e+09,-1.089e+09,1.35e+08,-4.5e+07,-4.5e+07,9e+07,-8.7e+07,-1.9e+07,-6.8e+07,3e+06,-1.8e+07,-1.5e+07,-2.7e+07,-4.2e+07,-4.2e+07,-4.4e+07,-4.4e+07,758349459.860503,758349459.860503,683685833.895656,683685833.895656,403860946.550917,523023531.596923,158727111.020756,2368919771.904,2619844501.02916,1727775373.82367,184866805.365871,1497536947.05316,45371620.473305,4347619874.85283,6716539646.75683,565634562.25925,1086737400.71572,741686268.746519,1609413059.90651,1496308361.30744,34371680.5987111,2351099328.65303,3437836729.36875,3800952917.80167,-99466047.1696703,-131239428.080656,-380906889.022644,3280971953.07926,-2269035.69118538,3278702917.38807,6716539646.75683,-4.2e+07,5.5e+07,-2e+07,7e+06,0,-1.2e+07,1e+07,-2e+06,0,0,-2e+06,-2e+06,-2e+06,1.45e+08,0,1.67e+08,0.11029,0.07353,-0.03595,-0.0743391368251135,-0.0406828625057344,-3.79545,1.48002541126926,1.03601328375561,0.159733289605874,-0.45314,-0.45314,12.60556,31.4853476408514,1.71988,-0.044733031906949,0.196266098640848,-7.85728015164515,-141.554512753176
"4","2012_Q1",12.0817741935484,"Down",1.147e+09,-1.043e+09,1.04e+08,-3.6e+07,-3.6e+07,6.8e+07,-1.5e+07,-1.8e+07,3e+06,5.3e+07,-1.2e+07,4.1e+07,-4.5e+07,-4e+06,-4e+06,-1.49011611938477e-08,-1.49011611938477e-08,3.69e+08,3.69e+08,5.82e+08,5.82e+08,4.75e+08,3.43e+08,2.27e+08,1.769e+09,2.502e+09,2.027e+09,1.8e+07,1.749e+09,2.6e+08,4.529e+09,6.298e+09,5.44e+08,5.44e+08,6.21e+08,1.656e+09,1.524e+09,5.7e+07,2.277e+09,2.821e+09,3.687e+09,-22488682.3898901,4.1e+07,-3.11e+08,3.417e+09,6e+07,3.477e+09,6.298e+09,-4e+06,5.6e+07,2.4e+07,1.07e+08,1.83e+08,-4.2e+07,2.3e+07,-1.9e+07,-8.5e+07,-9e+07,7.4e+07,7.4e+07,7.4e+07,1.24e+08,6.21e+08,2.34e+08,0.09067,0.05929,-1.38777878078145e-17,0,0,2.46509923553251,3.25184,0.81133,0.0986,0,0,11.81256,35.19053,2.40989,0,0.04067,2.03226,3.70588
"5","2012_Q2",9.6647619047619,"Down",1.054e+09,-1.014e+09,4e+07,-3.2e+07,-3.2e+07,8e+06,-3e+06,-1.6e+07,1.3e+07,5e+06,1.8e+07,2.3e+07,1e+07,3.3e+07,3.3e+07,2.3e+07,2.3e+07,4.1e+08,4.1e+08,5.54e+08,5.54e+08,5.01e+08,3.25e+08,2.09e+08,1.79e+09,2.484e+09,2.062e+09,1.8e+07,1.787e+09,2.57e+08,4.546e+09,6.336e+09,5.38e+08,5.38e+08,6.2e+08,1.664e+09,1.534e+09,5.7e+07,2.284e+09,2.822e+09,3.688e+09,0,6.4e+07,-3.08e+08,3.444e+09,7e+07,3.514e+09,6.336e+09,3.3e+07,5.7e+07,-4.9e+07,1.6e+07,5.7e+07,-1.3e+07,-3e+06,-1.6e+07,-57546201.521371,-83090263.1156332,4.1e+07,4.1e+07,4.1e+07,6.5e+07,6.2e+08,5.8e+07,0.03795,0.00759,0.02182,0.00655,0.00363,2.52174,3.32714,0.80307,0.09785,0.23687,0.23687,10.85479,35.46859,0.59732,0.00397,0.01,3.23077,26.25
"6","2012_Q3",9.80301587301587,"Up",1.168e+09,-1.067e+09,1.01e+08,-4.1e+07,-4.1e+07,6e+07,-2.8e+07,-1.8e+07,-1e+07,3.2e+07,-8.7e+07,-5.5e+07,-4e+06,-5.9e+07,-5.9e+07,-1.4e+07,-1.4e+07,5.1e+08,5.1e+08,5.72e+08,5.72e+08,5.12e+08,3.65e+08,1.75e+08,1.959e+09,2.5e+09,2.014e+09,7e+07,1.755e+09,1.89e+08,4.514e+09,6.473e+09,5.49e+08,7.1e+08,6.24e+08,1.649e+09,1.52e+09,5.6e+07,2.273e+09,2.983e+09,3.726e+09,-1.2e+07,4.4e+07,-3.15e+08,3.443e+09,4.7e+07,3.49e+09,6.473e+09,-5.9e+07,5.8e+07,8.4e+07,3.3e+07,1.16e+08,-1.9e+07,7.2e+07,2.9e+07,-1.5e+07,-4.5e+07,1e+08,1e+08,1e+08,1.18e+08,7.22e+08,1.36e+08,0.08647,0.05137,-0.01199,-0.00401,-0.00216,-9.71429,2.75915,0.85473,0.11154,-0.14156,-0.14156,11.80991,34.81294,1.37513,-0.00239,0.0232,1.79661,3.53333
"7","2012_Q4",9.72661290322581,"Down",1.153e+09,-1.08e+09,7.3e+07,-4.1e+07,-4.1e+07,3.2e+07,2e+06,-1.7e+07,1.9e+07,3.4e+07,-1e+06,3.3e+07,4e+06,3.7e+07,3.7e+07,3.7e+07,3.7e+07,3.43e+08,3.43e+08,6.03e+08,6.03e+08,5.35e+08,3.55e+08,1.86e+08,1.836e+09,2.487e+09,2.067e+09,6.9e+07,1.803e+09,1.95e+08,4.554e+09,6.39e+09,5.75e+08,7.16e+08,5.38e+08,1.67e+09,1.522e+09,7.2e+07,2.208e+09,2.924e+09,3.729e+09,-3.9e+07,7.4e+07,-3.12e+08,3.452e+09,1.4e+07,3.466e+09,6.39e+09,3.7e+07,5.9e+07,-6.8e+07,-9e+06,1.9e+07,-3.9e+07,-5e+06,-4.4e+07,-9.7e+07,-1.42e+08,-1.67e+08,-1.67e+08,-1.67e+08,9.1e+07,6.25e+08,3.9e+07,0.06331,0.02775,0.03209,0.01068,0.00579,1.05405,2.56425,0.84362,0.09781,0.37717,0.37717,11.75331,35.18858,0.39755,0.00642,0.00676999999999999,3.0989,8.8125
"8","2013_Q1",11.365,"Up",1.128e+09,-1.071e+09,5.7e+07,-3.5e+07,-3.5e+07,2.2e+07,-1.5e+07,-1.5e+07,-3.72529029846191e-09,7e+06,-8e+07,-7.3e+07,2.9e+07,-4.4e+07,-4.4e+07,-4.5e+07,-4.5e+07,2.63e+08,2.63e+08,5.76e+08,5.76e+08,5.58e+08,2.33e+08,1.77e+08,1.63e+09,2.44e+09,2.263e+09,6.9e+07,2e+09,1.94e+08,4.703e+09,6.333e+09,5.81e+08,5.83e+08,5.32e+08,2.093e+09,1.946e+09,7.2e+07,2.625e+09,3.208e+09,3.73e+09,-6.1e+07,4.7e+07,-6.14e+08,3.102e+09,2.3e+07,3.125e+09,6.333e+09,-4.4e+07,5.9e+07,3.5e+07,2.4e+07,7.4e+07,-6.2e+07,4e+06,-4.4e+07,-8.6e+07,-1.1e+08,-8e+07,-8e+07,-8e+07,8.1e+07,5.34e+08,1.4e+07,0.05053,0.0195,-0.03989,-0.0144,-0.00711,-0.31111,2.79588,1.02656,0.08432,-0.4712,-0.46924,11.81152,32.48168,0.1466,-0.00782,0.00243,3.34568,12.31818
"9","2013_Q2",11.9090625,"Up",1.074e+09,-1.039e+09,3.5e+07,-4.4e+07,-4.4e+07,-9e+06,4e+06,-1.4e+07,1.8e+07,-5e+06,-4e+07,-4.5e+07,4e+07,-5e+06,-5e+06,-5e+06,-5e+06,2.15e+08,2.15e+08,5.86e+08,5.86e+08,5.84e+08,2.47e+08,1.92e+08,1.632e+09,2.386e+09,2.213e+09,6.8e+07,1.957e+09,1.88e+08,4.599e+09,6.231e+09,5.92e+08,5.95e+08,5.29e+08,1.988e+09,1.891e+09,6.9e+07,2.517e+09,3.112e+09,3.746e+09,-6.1e+07,3.3e+07,-6.13e+08,3.105e+09,1.4e+07,3.119e+09,6.231e+09,-5e+06,6e+07,-3e+07,-4.5e+07,-2e+07,-3.8e+07,3e+06,-3.5e+07,-1e+06,7e+06,-4.8e+07,-4.8e+07,-4.8e+07,5.1e+07,5.32e+08,-7.2e+07,0.03259,-0.00838,-0.00466,-0.0016,-8e-04,14.4,2.74286,0.99776,0.08538,-0.05274,-0.05274,11.32911,32.75316,-0.75949,-0.00089,-0.01277,6.21569,-35.22222
"10","2013_Q3",11.05,"Down",1.107e+09,-1.05e+09,5.7e+07,-4.4e+07,-4.4e+07,1.3e+07,-7.8e+07,-1.3e+07,-6.5e+07,-6.5e+07,-1e+07,-7.5e+07,3.1e+07,-4.4e+07,-4.4e+07,-4.3e+07,-4.3e+07,2.48e+08,2.48e+08,5.86e+08,5.86e+08,5.25e+08,2.45e+08,1.91e+08,1.604e+09,2.354e+09,2.19e+09,6.7e+07,1.932e+09,1.91e+08,4.544e+09,6.148e+09,5.5e+08,5.52e+08,6.02e+08,1.904e+09,1.813e+09,6.6e+07,2.506e+09,3.058e+09,3.748e+09,-6.1e+07,-1e+06,-6.09e+08,3.077e+09,1.3e+07,3.09e+09,6.148e+09,-4.4e+07,6.1e+07,1.5e+07,3.6e+07,6.8e+07,-4.5e+07,5e+06,-4e+07,9.8e+07,5000000.00000001,3.3e+07,3.3e+07,3.3e+07,7.4e+07,6.04e+08,3.4e+07,0.05149,0.01174,-0.03884,-0.01392,-0.00699,-0.7907,2.9058,0.98964,0.09824,-0.45359,-0.45359,11.67722,32.45781,0.35865,-0.00768,0.00607,4.81081,27.38462
