"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_expense","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","long_term_debt","other_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",232.753968253968,"Down",16052000,-16564000,-512000,-7958000,-6436000,-1522000,-8470000,-306000,-310000,-310000,4000,-8776000,468000,-76000,392000,392000,392000,392000,26814000,26814000,24490000,24490000,20063000,1411000,1411000,72778000,7867000,12830000,8475000,20697000,93475000,20798000,14659000,6139000,136000,24637000,1125000,45571000,113000,292000,405000,45976000,722326000,-1041000,-673786000,47499000,47499000,93475000,392000,965000,-8205000,-6600000,-13448000,-350000,-5350000,-1658000,-1658000,-20456000,-20456000,-20456000,-7505000,249000,-14379000,-0.0319,-0.52766,0.02442,0.00825,0.00419,-36.68112,1.59702,0.96794,0.00266,0.32361,0.32273,13.25133,39.21162,-11.87023,5,0.00816,-0.29931,3.53964,3.13636
"2","2010_Q3",161.904375,"Down",18922000,-18803000,119000,-8651000,-6611000,-2040000,-8532000,-194000,-194000,-196000,0,-8726000,-1789000,-136000,-1925000,-1925000,-1925000,-1925000,20270000,20270000,24690000,24690000,18496000,2725000,2725000,66181000,6998000,13009000,8910000,20007000,86188000,16754000,14456000,2298000,124000,19581000,1522000,36459000,82000,303000,385000,36844000,726096000,-1041000,-675711000,49344000,49344000,86188000,-1925000,995000,-5537000,-1245000,-7712000,-266000,-266000,1434000,1434000,-6544000,-6544000,-6544000,-7537000,206000,-8912000,0.00629,-0.4509,-0.10173,-0.03901,-0.02233,4.62961,1.81522,0.74668,0.00239,-1.56816,-1.56816,15.41444,40.19714,-7.25999,5,-0.03861,-0.17877,2.66207,2.35162
"3","2010_Q4",165.1171875,"Up",24159000,-23233000,926000,-7383000,-5959000,-1424000,-6457000,-218000,-218000,-219000,0,-6675000,-7869000,-229000,-8098000,-8098000,-8098000,-8098000,27470000,27470000,22638000,22638000,15245000,3037000,3037000,68390000,6641000,9729000,5836000,16370000,84760000,20107000,17303000,2804000,504000,21981000,1882000,42592000,34000,294000,328000,42920000,726743000,-1094000,-683809000,41840000,41840000,84760000,-8098000,871000,2338000,9150000,4261000,-283000,2217000,722000,722000,7200000,7200000,7200000,-5586000,538000,3510000,0.03833,-0.26727,-0.3352,-0.19355,-0.09554,-0.43344,1.6057,1.02581,0.00635,-6.58987,-6.58987,19.65976,34.04796,2.85632,7,-0.18977,0.08226,4.82134,4.17098
"4","2011_Q1",291.377741935484,"Up",22757000,-23827000,-1070000,-9197000,-7197000,-2e+06,-10267000,-119000,-147000,-148000,28000,-10386000,-29040000,201000,-28839000,-28839000,-28839000,-28839000,33456000,33456000,19329000,19329000,19267000,2369000,2369000,74421000,5939000,6659000,3085000,12598000,87019000,22928000,20292000,2636000,214000,29005000,1153000,52147000,83000,309000,392000,52539000,748222000,-1094000,-712648000,34480000,34480000,87019000,-28839000,992000,21393000,1454000,-5e+06,-148000,1102000,-1398000,9884000,5986000,5986000,5986000,-9275000,297000,-8170000,-0.04702,-0.45116,-1.26726,-0.8364,-0.33141,0.2833,1.42714,1.52375,0.00341,-23.05156,-23.05156,18.1901,27.56052,-6.53044,4,-0.82195,-0.23286,3.57509,3.22967
"5","2011_Q2",344.619047619048,"Up",24282000,-23775000,507000,-8802000,-6640000,-2162000,-8295000,-227000,-231000,-231000,4000,-8522000,-2896000,421074.460545561,-2896000,-2896000,-2896000,-2896000,22105000,22105000,19943000,19943000,22654000,2073000,2073000,66775000,5604000,4950000,1575000,10554000,77329000,20538000,16917000,3621000,36000,22790000,1898000,43364000,75000,307000,382000,43746000,750268000,-1141000,-715544000,33583000,33583000,77329000,-2896000,832000,-3449000,-6835000,-12348000,-312000,938000,59000,59000,-11351000,-11351000,-11351000,-7463000,111000,-10238232.3340948,0.02088,-0.34161,-0.11927,-0.08623,-0.03745,1.578185708707,1.53987,1.30262,0.00144,-2.23314,-2.23314,18.72412,25.89622,-8.77768835292411,3,-0.08517,-0.317655197359725,2.94707,2.65148
"6","2011_Q3",254.296875,"Down",27473000,-25804000,1669000,-8829000,-6584000,-2245000,-7160000,-170000,-172000,-173000,2000,-7330000,1264000,326858.599480227,1264000,1264000,1264000,1264000,20335000,20335000,23212000,23212000,23460000,1877000,1877000,68884000,5307000,4900000,1725000,10207000,79091000,22841000,19750000,3091000,33000,20394000,2205000,43268000,67000,298000,365000,43633000,750879000,-1141000,-714280000,35458000,35458000,79091000,1264000,847000,-6703000,-2850000,-7442000,-377000,-377000,6049000,6049000,-1770000,-1770000,-1770000,-6313000,1e+05,-1097234.33926367,0.06075,-0.26062,0.0460099999999999,0.03565,0.01598,0.632279307868977,1.59203,1.23055,0.00126,0.974510000000003,0.967030000000002,21.18098,27.33721,-2.17027064567386,5,0.03525,-0.121574929001731,3.20529,2.82612
"7","2011_Q4",215.502222222222,"Down",27483000,-25143000,2340000,-10134000,-8311000,-1823000,-7794000,-241000,-237000,-237000,-4000,-8035000,-8818000,72963.438674779,-8818000,-8818000,-8818000,-8818000,22871000,22871000,25753000,25753000,25227000,2069000,2069000,75920000,5007000,4925000,1949000,9932000,85852000,27116000,24034000,3082000,543000,17088000,2814000,44747000,59000,282000,341000,45088000,765011000,-1149000,-723098000,40764000,40764000,85852000,-8818000,816000,4337000,-2512000,-6177000,-176000,-176000,8889000,8889000,2536000,2536000,2536000,-6978000,602000,7694630.82519924,0.08514,-0.28359,-0.32085,-0.21632,-0.10271,-0.69663174690354,1.69665,1.10607,0.00701,-6.62898,-6.62898,20.66049,30.64456,4.69880238441332,4,-0.21173,0.0963803038571286,3.19132,2.8572
"8","2012_Q1",232.645161290323,"Up",30133000,-29222000,911000,-9399000,-7392000,-2007000,-8488000,-186000,-215000,-216000,29000,-8674000,-8128000,-186000,-8314000,-8314000,-8314000,-8314000,49952000,49952000,18576000,18576000,18881000,2974000,2974000,90383000,4833000,4576000,1765000,9409000,99792000,26271000,23061000,3210000,363000,14217000,2995000,40851000,70000,254000,324000,41175000,791201000,-1172000,-731412000,58617000,58617000,99792000,-8314000,909000,-592000,12526000,4529000,-554000,-554000,-11443000,23106000,27081000,27081000,27081000,-7579000,433000,4578999.99999999,0.03023,-0.28168,-0.27591,-0.14184,-0.08331,-0.550760000000001,2.2125,0.70244,0.00434,-5.87649,-5.87649,21.29857,41.43159,3.23651999999999,7,-0.14019,0.0772100000000003,6.53371,5.834
"9","2012_Q2",204.52253968254,"Down",28812000,-26643000,2169000,-9652000,-7448000,-2204000,-7483000,-169000,-191000,-191000,22000,-7652000,-7503000,-272000,-7775000,-7775000,-7775000,-7775000,45117000,45117000,18453000,18453000,20086000,2483000,2483000,86139000,4439000,5588000,2908000,10027000,96166000,27922000,23455000,4467000,190000,16522000,2870000,44634000,145000,226000,371000,45005000,791550000,-1202000,-739187000,51161000,51161000,96166000,-7775000,740000,2798000,-2789000,-7026000,-271000,-271000,2462000,2462000,-4835000,-4835000,-4835000,-6743000,335000,-9531000,0.07528,-0.25972,-0.26985,-0.15197,-0.08085,1.22585,1.9299,0.87967,0.00348,-5.19313,-5.19313,19.24431,34.1718,-6.36601,4,-0.15032,-0.18427,6.64126,5.9845
"10","2012_Q3",206.586349206349,"Up",30118000,-27512000,2606000,-8841000,-6428000,-2413000,-6235000,-124000,-128000,-128000,4000,-6359000,-6057000,-124000,-6181000,-6181000,-6181000,-6181000,45217000,45217000,15146000,15146000,19400000,2724000,2724000,82487000,4120000,6449000,3892000,10569000,93056000,27795000,23789000,4006000,61000,15292000,3012000,43148000,130000,191000,321000,43469000,796157000,-1202000,-745368000,49587000,49587000,93056000,-6181000,734000,1984000,910000,-2553000,-382000,-382000,3035000,3035000,99999.9999999963,99999.9999999963,99999.9999999963,-5501000,191000,-4849000,0.08653,-0.20702,-0.20523,-0.12465,-0.06642,0.7845,1.91172,0.87662,0.00205,-4.11718,-4.11718,20.06168,33.03003,-3.22993,4,-0.1237,-0.09704,8.18506,7.22149
"11","2012_Q4",192.592258064516,"Down",33257000,-28639000,4618000,-9004000,-6816000,-2188000,-4386000,-205000,-205000,-205000,0,-4591000,-4287000,-190000,-4477000,-4477000,-4477000,-4477000,41913000,41913000,19298000,19298000,19963000,3550000,3550000,84724000,3720000,6218000,3783000,9938000,94662000,28949000,24463000,4486000,446000,19412000,6555000,48807000,111000,152000,263000,49070000,796649000,-1212000,-749845000,45592000,45592000,94662000,-4477000,734000,1616000,-1769000,-3896000,-223000,-223000,815000,815000,-3304000,-3304000,-3304000,-3652000,557000,-5454000,0.13886,-0.13188,-0.13462,-0.0982,-0.04729,1.21823,1.7359,1.07629,0.00588,-2.94135,-2.94135,21.84956,29.95355,-3.58323,5,-0.09669,-0.11779,11.32421,9.42909
"12","2013_Q1",183.487333333333,"Down",35370000,-30378000,4992000,-8846000,-6672000,-2174000,-3854000,-194000,-193000,-193000,-1000,-4048000,-4022000,-108000,-4130000,-4130000,-4130000,-4130000,38817000,38817000,17941000,17941000,18513000,2588000,2588000,77859000,3543000,5936000,3623000,9479000,87338000,28141000,24121000,4020000,361000,16575000,3089000,45077000,233000,142000,375000,45452000,797073000,-1212000,-753975000,41886000,41886000,87338000,-4130000,612000,1047000,-1124000,-3595000,-337000,-337000,-3414000,836000,-3096000,-3096000,-3096000,-3242000,594000,-4595000,0.14114,-0.10896,-0.11677,-0.0986,-0.04729,1.11259,1.72724,1.08514,0.0068,-2.71206,-2.71206,23.22649,27.50537,-3.01741,4,-0.0969,-0.10781,11.78994,9.91775
"13","2013_Q2",199.385,"Up",24373000,-21050000,3323000,-9903000,-7568000,-2335000,-6580000,-2e+05,-186000,-186000,-14000,-6780000,-6780000,-18000,-6798000,-6798000,-6798000,-6798000,21598000,21598000,23677000,23677000,25922000,2152000,2152000,73349000,3401000,5604000,3413000,9005000,82354000,30695000,25802000,4893000,221000,15337000,2572000,46253000,210000,131000,341000,46594000,797813000,-1280000,-760773000,35760000,35760000,82354000,-6798000,602000,2462000,-12181000,-15915000,-263000,-263000,-1041000,-1041000,-17219000,-17219000,-17219000,-5978000,431000,-18404000,0.13634,-0.26997,-0.27892,-0.1901,-0.08255,2.70727,1.58582,1.30296,0.00523,-4.4618,-4.4618,15.99698,23.47073,-12.07929,1,-0.18716,-0.50669,3.54082,3.21687
"14","2013_Q3",249.05,"Up",35291000,-30399000,4892000,-8597000,-6641000,-1956000,-3705000,-182000,-176000,-176000,-6000,-3887000,-3877000,-11000,-3888000,-3888000,-3888000,-3888000,28267000,28267000,18402000,18402000,20830000,2456000,2456000,69955000,3177000,5336000,3293000,8513000,78468000,31062000,26777000,4285000,131000,14705000,2909000,45898000,185000,112000,297000,46195000,798264000,-1330000,-764661000,32273000,32273000,78468000,-3888000,659000,1790000,9455000,8016000,-319000,-319000,-1028000,-1028000,6669000,6669000,6669000,-3046000,316000,6101000,0.13862,-0.10498,-0.11017,-0.12047,-0.04955,-1.56919,1.52414,1.43138,0.00403,-2.54959,-2.54959,23.1424,21.16332,4.00079,5,-0.1189,0.18657,9.1763,7.54413
"15","2013_Q4",247.28125,"Down",37003000,-29668000,7335000,-9258000,-6991000,-2267000,-1923000,-178000,-176000,-176000,-2000,-2101000,-2101000,-88000,-2189000,-2189000,-2189000,-2189000,31571000,31571000,22046000,22046000,22086000,2588000,2588000,78291000,3095000,5215000,3303000,8310000,86601000,33273000,28975000,4298000,612000,15849000,2645000,49734000,238000,91000,329000,50063000,804718000,-1330000,-766850000,36538000,36538000,86601000,-2189000,545000,1772000,-3890000,-3762000,-201000,-201000,7267000,7267000,3304000,3304000,3304000,-1378000,850000,-5381000,0.19823,-0.05197,-0.05916,-0.05991,-0.02528,2.4582,1.57419,1.37016,0.00982,-1.41948,-1.41948,23.99505,23.69351,-3.48937,3,-0.05841,-0.14357,22.2939,15.97556
"16","2014_Q1",357.83606557377,"Up",36438000,-30292000,6146000,-9252000,-6781000,-2471000,-3106000,-172000,-174000,-174000,2000.00000000001,-3278000,-3278000,-103000,-3381000,-3381000,-3381000,-3381000,27859000,27859000,28019000,28019000,18102000,2217000,2217000,76197000,2891000,5030000,3240000,7921000,84118000,33425000,28577000,4848000,444000,15885000,2657000,49754000,201000,70000,271000,50025000,805654000,-1330000,-770231000,34093000,34093000,84118000,-3381000,517000,1973000,-2880000,-3771000,-396000,-396000,455000,455000.000000002,-3712000,-3712000,-3712000,-2589000,645000,-5762000,0.16867,-0.08524,-0.09279,-0.09917,-0.04019,1.70423,1.53147,1.46731,0.00767,-2.18053,-2.18053,23.5002,21.98782,-3.71612,4,-0.09713,-0.16554,10.51139,8.76175
"17","2014_Q2",343.095238095238,"Down",23260000,-19844000,3416000,-10091000,-7764000,-2327000,-6675000,-46000,-143000,-143000,97000,-6721000,-6721000,-50000,-6771000,-6771000,-6771000,-6771000,46695000,46695000,24210000,24210000,22372000,2021000,2021000,95298000,2797000,5020000,3352000,7817000,103115000,30919000,25691000,5228000,272000,14056000,2104000,45247000,165000,50000,215000,45462000,836120000,-1465000,-777002000,57653000,57653000,103115000,-6771000,456000,1693000,-4457000,-9079000,-247000,-247000,-1610000,28162000,18836000,18836000,18836000,-6219000,437000,-10873000,0.14686,-0.28697,-0.2911,-0.11744,-0.06566,1.60582,2.10617,0.78855,0.00424,-4.20417,-4.20417,14.44232,35.7972,-6.75113,4,-0.11646,-0.18701,7.43817,6.93004
"18","2014_Q3",255.640625,"Down",32248000,-27005000,5243000,-11598000,-9543000,-2055000,-6355000,-160000,-144000,-144000,-16000,-6515000,-6515000,-14000,-6529000,-6529000,-6529000,-6529000,40793000,40793000,23216000,23216000,19125000,3102000,3102000,86236000,3327000,4685000,3140000,8012000,94248000,26017000,21225000,4792000,173000,15937000,3741000,42127000,167000,48000,215000,42342000,836951000,-1514000,-783531000,51906000,51906000,94248000,-6529000,424000,1926000,-1400000,-5579000,-707000,-707000,384000,383999.999999996,-5902000,-5902000,-5902000,-5931000,340000,-8024000,0.16258,-0.19707,-0.20246,-0.12579,-0.06927,1.22898,2.04705,0.81574,0.00361,-3.95967,-3.95967,19.55758,31.47965,-4.86635,4,-0.12485,-0.15344,6.8206,6.36554
"19","2014_Q4",173.0509375,"Down",30084000,-23978000,6106000,-9863000,-7508000,-2355000,-3757000,-165000,-134000,-134000,-31000,-3922000,-3922000,-13000,-3935000,-3935000,-3935000,-3935000,40890000,40890000,21580000,21580000,24896000,3207000,3207000,90573000,3162000,4287000,2864000,7449000,98022000,27692000,23452000,4240000,559000,20941000,6596000,49192000,125000,144000,269000,49461000,837541000,-1514000,-787466000,48561000,48561000,98022000,-3935000,441000,1667000,58000,-1769000,-208000,-208000,2074000,2074000,97000,97000,97000,-3316000,684000,-3453000,0.20297,-0.12488,-0.1308,-0.08103,-0.04014,0.87751,1.84121,1.01853,0.00698,-2.3843,-2.3843,18.22853,29.42413,-2.09225,4,-0.07967,-0.06991,12.12485,10.70162
"20","2015_Q1",137.026557377049,"Down",29869000,-26347000,3522000,-17644000,-14702000,-2942000,-14122000,-136000,-127000,-127000,-9000,-14258000,-14258000,-40000,-14298000,-14298000,-14298000,-14298000,32221000,32221000,13120000,13120000,23097000,3063000,3063000,71501000,3523000,3903000,2566000,7426000,78927000,27562000,22266000,5296000,407000,16004000,3051000,43973000,89000,161000,250000,44223000,837982000,-1514000,-801764000,34704000,34704000,78927000,-14298000,376000,3323000,4008000,-6591000,-444000,-444000,28138000,-1634000,-8669000,-8669000,-8669000,-13746000,496000,-10142000,0.11791,-0.4728,-0.47869,-0.412,-0.18115,0.70933,1.62602,1.27429,0.00628,-8.6623,-8.6623,18.09584,21.02508,-6.14443,3,-0.40434,-0.28681,2.30794,2.24649
"21","2015_Q2",111.766031746032,"Down",26980000,-22295000,4685000,-10505000,-8089000,-2416000,-5820000,-152000,-150000,-150000,-2000,-5972000,-5972000,-3000,-5975000,-5975000,-5975000,-5975000,22415000,22415000,15986000,15986000,24157000,7840000,2840000,70398000,4141000,3830000,2562000,7971000,78369000,29187000,23440000,5747000,258000,19467000,3312000,48912000,128000,178000,306000,49218000,838451000,-1561000,-807739000,29151000,29151000,78369000,-5975000,365000,1290000,-2541000,-6861000,-915000,-915000,2970000,-2030000,-9806000,-9806000,-9806000,-5455000,386000,-8908000,0.17365,-0.21572,-0.22146,-0.20497,-0.07624,1.49088,1.43928,1.68838,0.00493,-3.61508,-3.61508,16.32381,17.63734,-5.38964,2,-0.20108,-0.29978,4.03831,3.78505
"22","2015_Q3",73.2215625,"Down",17905000,-15977000,1928000,-9577000,-6705000,-2872000,-7649000,-233000,-197000,-197000,-36000,-7882000,-7882000,-3.63797880709171e-12,-7882000,-7882000,-7882000,-7882000,10599000,10599000,16164000,16164000,28688000,8179000,3179000,63630000,4132000,3781000,2581000,7913000,71543000,29642000,25101000,4541000,142000,18591000,3427000,48375000,101000,184000,285000,48660000,840080000,-1576000,-815621000,22883000,22883000,71543000,-7882000,420000,524000,-4613000,-11551000,-357000,-357000,92000,92000,-11816000,-11816000,-11816000,-7229000,243000,-12199000,0.10768,-0.4272,-0.44021,-0.34445,-0.11017,1.5477,1.31535,2.12647,0.0034,-4.75507,-4.75507,10.80176,13.8049,-7.35944,1,-0.33814,-0.52334,1.43256,1.3539
"23","2015_Q4",28.75875,"Down",21459000,-17408000,4051000,-9907000,-7002000,-2905000,-5856000,-159000,-159000,-159000,0,-6015000,-6015000,0,-6015000,-6015000,-6015000,-6015000,13470000,13470000,13851000,13851000,20431000,7941000,2941000,55693000,3854000,3700000,2568000,7554000,63247000,25230000,21351000,3879000,540000,13558000,3958000,39328000,77000,184000,261000,39589000,846911000,-1617000,-821636000,23658000,23658000,63247000,-6015000,421000,993000,7165000,2564000,-165000,-165000,-6940000,472000,2871000,2871000,2871000,-5435000,617000,1565000,0.18878,-0.27289,-0.2803,-0.25425,-0.0951,-0.26018,1.41612,1.67339,0.00976,-3.37523,-3.37523,12.04141,13.27535,0.87818,3,-0.24592,0.06398,2.36486,2.19484
"24","2016_Q1",13.2172131147541,"Down",18867000,-16764000,2103000,-7269000,-5310000,-1959000,-5166000,-136000,-134000,-134000,-2000,-5302000,-5302000,-17000,-5319000,-5319000,-5319000,-5319000,11704000,11704000,13575000,13575000,16126000,7638000,2636000,49043000,3537000,3312000,2371000,6849000,55892000,16706000,13187000,3519000,361000,13827000,4368000,30894000,74000,184000,258000,31152000,853312000,-1617000,-826955000,24740000,24740000,55892000,-5319000,540000,1998000,-3839000,-6620000,-76000,-76000,-404000,9932000,3236000,3236000,3236000,-4626000,435000,-8524000,0.11146,-0.27381,-0.28192,-0.215,-0.09517,1.60256,1.58746,1.25918,0.00778,-2.44856,-2.44856,8.68526,11.38885,-3.92395,1,-0.20975,-0.33613,2.43601,2.18138
"25","2016_Q2",15.3234375,"Up",19065000,-16066000,2999000,-7367000,-5746000,-1621000,-4368000,-145000,-129000,-134000,-16000,-4513000,-4513000,-3000,-4516000,-4516000,-4516000,-4516000,19039000,19039000,15734000,15734000,13809000,7380000,2376000,55962000,3068000,3398000,2525000,6466000,62428000,16160000,13235000,2925000,128000,12308000,6231000,28596000,60000,183000,243000,28839000,866683000,-1624000,-831470000,33589000,33589000,62428000,-4516000,407000,803000,1102000,-2204000,-9000,-9000,-3578000,9550000,7337000,7337000,7337000,-3961000,188000,-2865000,0.1573,-0.22911,-0.23687,-0.13445,-0.07234,0.63441,1.95699,0.85858,0.00301,-1.66207,-1.66207,7.01667,12.36208,-1.05443,4,-0.13298,-0.08436,4.75915,4.31571
"26","2016_Q3",14.8296875,"Down",14998000,-14328000,670000,-6387000,-5036000,-1351000,-5717000,-149000,-122000,-129000,-27000,-5866000,-5866000,1.81898940354586e-12,-5866000,-5866000,-5866000,-5866000,11106000,11106000,12750000,12750000,16955000,7214000,2208000,48025000,2796000,3317000,2512000,6113000,54138000,15243000,12087000,3156000,50000,10698000,4520000,25991000,33000,179000,212000,26203000,866909000,-1638000,-837336000,27935000,27935000,54138000,-5866000,395000,1190000,-3542000,-7823000,-75000,-75000,-18000,-33000,-7931000,-7931000,-7931000,-5322000,83000,-8939000,0.04467,-0.38118,-0.39112,-0.20999,-0.10835,1.52387,1.84775,0.938,0.00153,-1.92233,-1.92233,4.91496,9.15451,-2.92938,4,-0.20804,-0.31702,2.07121,1.92811
