"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_expense","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","long_term_debt","other_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"37","2019_Q2",8.52365079365079,"Down",19244000,-16379000,2865000,-7175000,-6237000,-938000,-4310000,-1275000,-1276000,-1276000,1000,-5585000,-5585000,-8000,-5593000,-5593000,-5593000,-5593000,24612000,24612000,14820000,14820000,20481000,4407000,4407000,64320000,6048000,10030000,9899000,16078000,80398000,19060000,15252000,3808000,1181000,7766000,7766000,28007000,32225000,1121000,33346000,61353000,905294000,-1772000,-884477000,19045000,19045000,80398000,-5593000,373000,1336000,-1281000,-5165000,-977000,-977000,-196000,1027000,-5115000,-5115000,-5115000,-3937000,33406000,-6187000,0.14888,-0.22397,-0.29064,-0.29367,-0.06957,1.1062,2.29657,3.22148,0.41551,-0.83485,-0.83485,2.8725,2.84279,-0.92352,4,-0.1044,-0.11549,-2.23368,-2.04037
"38","2019_Q3",6.5446875,"Down",20740000,-17659000,3081000,-6399000,-5499000,-9e+05,-3318000,-1130000,-1287000,-1287000,157000,-4448000,-4448000,0,-4448000,-4448000,-4448000,-4523000,20898000,20898000,18095000,18095000,19857000,4178000,4178000,63028000,7186000,9981000,9906000,17167000,80195000,19845000,15883000,3962000,1490000,6224000,6224000,27559000,32154000,987000,33141000,60700000,910293000,-1798000,-8.89e+08,19495000,19495000,80195000,-4448000,443000,1172000,-3422000,-6255000,-2054000,-2054000,-223000,4595000,-3714000,-3714000,-3714000,-2875000,33644000,-8351000,0.14855,-0.15998,-0.21808,-0.23201,-0.0564,1.84634,2.28702,3.11362,0.41953,-0.60671,-0.60671,2.78203,2.61502,-1.12019,3,-0.08356,-0.15429,-4.43339,-3.84147
"39","2019_Q4",3.361875,"Down",17382000,-14754000,2628000,-6252000,-5279000,-973000,-3624000,-1283000,-1290000,-1290000,7000,-4907000,-4907000,0,-4907000,-4907000,-4907000,-4907000,16730000,16730000,19821000,19821000,20855000,3904000,3904000,61310000,7744000,9611000,9592000,17355000,78665000,22888000,19351000,3537000,471000,4941000,4941000,28300000,32862000,1120000,33982000,62282000,912106000,-1816000,-893907000,16383000,16383000,78665000,-4907000,407000,725000,-525000,-4300000,-869000,-869000,-174000,1001000,-4168000,-4168000,-4168000,-3217000,33333000,-4611000,0.15119,-0.20849,-0.2823,-0.29952,-0.06238,0.93968,2.16643,3.80162,0.42373,-0.59263,-0.59263,2.09928,1.97862,-0.55688,3,-0.09653,-0.0907,-5.16102,-4.5814
"40","2020_Q1",2.42903225806452,"Down",11560000,-11103000,457000,-6034000,-5196000,-838000,-5577000,-1369000,-1337000,-1345000,-32000,-6946000,-6946000,-4000,-6950000,-6950000,-6950000,-6962000,15068000,15068000,16240000,16240000,21460000,3987000,3987000,56755000,7749000,9451000,9451000,17200000,73955000,18578000,1.5e+07,3578000,477000,7898000,7898000,26953000,33037000,944000,33981000,60934000,915765000,-1875000,-900869000,13021000,13021000,73955000,-6950000,393000,880000,1699000,-3978000,-307000,-307000,-19999.9999999998,2623000,-1662000,-1662000,-1662000,-5184000,33514000,-3788000,0.03953,-0.48244,-0.60225,-0.53467,-0.09414,0.5441,2.1057,4.67967,0.45317,-0.73985,-0.73985,1.22848,1.38374,-0.40255,1,-0.14663,-0.07978,-3.55826,-3.30751
"41","2020_Q2",2.10809523809524,"Down",14193000,-10820000,3373000,-3916000,-3546000,-370000,-543000,-1279000,-1283000,-1291000,4000,-1822000,-1822000,-1000,-1823000,-1823000,-1823000,-1823000,16229000,16229000,14655000,14655000,17582000,4778000,4778000,53244000,7560000,9664000,9664000,17224000,70468000,13731000,10804000,2927000,878000,7025000,7025000,21634000,35053000,902000,35955000,57589000,917450000,-1879000,-902692000,12879000,12879000,70468000,-1823000,354000,669000,-1071000,-1871000,-74000,-74000,1734000,3106000,1161000,1161000,1161000,-189000,35931000,-1333000,0.23765,-0.03826,-0.12844,-0.14155,-0.02587,0.73121,2.46113,4.47154,0.50989,-0.22368,-0.22368,1.74147,1.58025,-0.16356,3,-0.03667,-0.02681,-104.24339,-36.28361
"42","2020_Q3",4.1553125,"Up",14906000,-12344000,2562000,-5471000,-4872000,-599000,-2909000,-1294000,-1305000,-1313000,11000.0000000001,-4203000,-4203000,-9000,-4212000,-4212000,-4212000,-4227000,16782000,16782000,13481000,13481000,13906000,3663000,3663000,47832000,8358000,9560000,9560000,17918000,65750000,13676000,10908000,2768000,568000,6459000,6459000,20703000,35339000,860000,36199000,56902000,917685000,-1918000,-906919000,8848000,8848000,65750000,-4212000,349000,735000,4979000,1851000,-1042000,-1042000,-233000,-256000,553000,553000,553000,-2560000,35907000,1386000,0.17188,-0.19516,-0.28358,-0.47774,-0.06429,-0.32789,2.31039,6.43106,0.54611,-0.38915,-0.38915,1.37231,0.81458,0.1276,4,-0.09267,0.03038,-7.47069999999999,-6.57442
"43","2020_Q4",6.61453125,"Up",20675000,-17203000,3472000,-5550000,-4816000,-734000,-2078000,-1235000,-1224000,-1231000,-11000,-3313000,-7595000,0,-7595000,-7595000,-7595000,-7595000,31970000,31970000,19079000,19079000,11224000,3752000,3752000,66025000,8075000,9699000,9699000,17774000,83799000,17594000,14600000,2994000,495000,5113000,5113000,23202000,57517000,818000,58335000,81537000,918694000,-1918000,-914514000,2262000,2262000,83799000,-7595000,369000,4993000,-1113000,-3346000,-153000,-153000,18677000,18687000,15188000,15188000,15188000,-1709000,58012000,-2975000,0.16793,-0.10051,-0.36735,-3.35765,-0.09063,0.39171,2.84566,36.04642,0.69228,-0.68541,-0.68541,1.86581,0.20413,-0.26848,4,-0.12432,-0.0487,-15.23815,-12.53224
"44","2021_Q1",10.1554098360656,"Up",17862000,-20414000,-2552000,-5871000,-5157000,-714000,-8423000,3675000,-1314000,-1321000,4989000,-4748000,-4748000,-9000,-4757000,-4757000,-4757000,-4757000,49533000,49533000,20593000,20593000,11829000,4953000,4953000,86908000,9630000,9484000,9484000,19114000,106022000,27506000,19767000,7739000,576000,6374000,6374000,34456000,57627000,765000,58392000,92848000,934394000,-1949000,-919271000,13174000,13174000,106022000,-4757000,380000,5829000,3615000,5067000,-1940000,-1940000,-36000,14436000,17563000,17563000,17563000,-8043000,58203000,-6359000,-0.14287,-0.47156,-0.26632,-0.361090000000001,-0.04487,1.33677,2.52229,7.04782,0.54897,-0.38628,-0.38628,1.45043,1.06975,-0.51636,5,-0.06594,-0.08815,-1.07795999999999,-1.02932
"45","2021_Q2",7.54285714285714,"Down",16082000,-13434000,2648000,-6207000,-5324000,-883000,-3559000,-565000,-1230000,-1235000,665000,-4124000,-2174000,-8000,-2182000,-2182000,-2182000,-2182000,49216000,49216000,23871000,23871000,14937000,5718000,5718000,93742000,10669000,9299000,9299000,19968000,113710000,27865000,22396000,5469000,1097000,6e+06,6e+06,34962000,55512000,734000,56246000,91208000,945933000,-1978000,-921453000,22502000,22502000,113710000,-2182000,386000,-1499000,-6846000,-10141000,-1200000,-1200000,-106000,11024000,-317000,-317000,-317000,-3173000,56609000,-11211000,0.16466,-0.2213,-0.13568,-0.09697,-0.01919,5.13795,2.68125,4.05333,0.49784,-0.19344,-0.19344,1.42571,1.99486,-0.99388,3,-0.02733,-0.14041,-2.32997,-2.07727
"46","2021_Q3",4.6659375,"Down",17196000,-14486000,2710000,-7425000,-6438000,-987000,-4715000,-1277000,-1272000,-1064981.25268962,-5000,-5992000,-5992000,-2000,-5994000,-5994000,-5994000,-5994000,38267000,38267000,25360000,25360000,18023000,4310000,4310000,85960000,11687000,10710000,10710000,22397000,108357000,27969000,24754000,3215000,860000,4965000,4965000,33794000,57087000,7e+05,57787000,91581000,946293000,-2070000,-927447000,16776000,16776000,108357000,-5994000,458000,1083000,-4761000,-9214000,-1423000,-1544000,-247000,-191000,-10949000,-10949000,-10949000,-4257000,57947000,-10439000,0.15759,-0.27419,-0.34857,-0.3573,-0.05532,1.74157,2.54365,5.45905,0.53478,-0.42205,-0.42205,1.21082,1.18124,-0.73504,3,-0.07947,-0.13841,-4.62297,-4.17391
"47","2021_Q4",4.93890625,"Up",20609000,-18392000,2217000,-6060000,-5293000,-767000,-3843000,-1303000,-1282000,-955108.33691949,-21000,-5146000,-5146000,-5893.1545708122,-5146000,-5146000,-5146000,-5146000,31267000,31267000,26842000,26842000,17290000,5158000,5158000,80557000,14262000,10425000,10425000,24687000,105244000,29490000,26340000,3150000,707000,5231000,5231000,35428000,56924000,927000,57851000,93279000,946636000,-2078000,-932593000,11965000,11965000,105244000,-5146000,493000,761000,254000,-3638000,-3125000,-3133000,-237000,-229000,-7e+06,-7e+06,-7e+06,-3350000,57631000,-10559201.1028265,0.10757,-0.18647,-0.2497,-0.43009,-0.0489,0.239111068692122,2.27382,7.79599,0.54759,-0.33929,-0.33929,1.35881,0.78888,-0.653421553243366,3,-0.07297,-0.156887297001188,-7.86985,-6.86027
"48","2022_Q1",3.70354838709677,"Down",15758000,-14795000,963000,-6647000,-5925000,-722000,-5684000,-1196000,-1199000,-1016931.25268962,3000.00000000003,-6880000,-6880000,-9000,-6889000,-6889000,-6889000,-6889000,22559000,22559000,24665000,24665000,18465000,5519000,5519000,71208000,18038000,11527000,11527000,29565000,100773000,27760000,25130000,2630000,675000,9185000,9185000,37620000,56758000,981000,57739000,95359000,946984000,-2088000,-939482000,5414000,5414000,100773000,-6889000,578000,2208000,-402000,-4505000,-4176000,-4047000,-95000,-156000,-8708000,-8708000,-8708000,-5106000,57433000,-9675000,0.06111,-0.36071,-0.43717,-1.27244,-0.06836,1.40441,1.89282,17.61341,0.56992,-0.44918,-0.44918,1.02745,0.353,-0.63083,2,-0.10793,-0.15158,-6.83000000000003,-6.13547
"49","2022_Q2",3.06822580645161,"Down",18652000,-13946000,4706000,-5409000,-4919000,-490000,-703000,-1354000,-1356000,-1362000,2000,-2057000,-2057000,-2000,-2059000,-2059000,-2059000,-2059000,16914000,16914000,24168000,24168000,18608000,6468000,6468000,66158000,21694000,12002000,12002000,33696000,99854000,25125000,22238000,2887000,1930000,9694000,9694000,36749000,58584000,934000,59518000,96267000,947252000,-2124000,-941541000,3587000,3587000,99854000,-2059000,661000,6e+05,-2644000,-3442000,-1887000,-1887000,-316000,-316000,-5645000,-5645000,-5645000,-42000,60514000,-4571000,0.25231,-0.03769,-0.11039,-0.57402,-0.02062,2.22001,1.80027,26.83775,0.60602,-0.13442,-0.13442,1.21765,0.23417,-0.29841,2,-0.03166,-0.07029,-1038.09524,-62.01991
"50","2022_Q3",2.31203125,"Down",20775000,-18599000,2176000,-5710000,-5107000,-603000,-3534000,-1380000,-1330000,-2101864.57885064,-50000,-4914000,-4914000,-4000,-4918000,-4918000,-4918000,-5015000,23780000,23780000,18189000,18189000,21801000,7039000,7039000,70809000,25375000,15121000,15121000,40496000,111305000,27129000,24344000,2785000,3215000,10686000,10686000,41030000,63287000,915000,64202000,105232000,954768000,-2139000,-946556000,6073000,6073000,111305000,-4918000,832000,1450000,3481000,845000,-677000,-729000,-552000,6750000,6866000,6866000,6866000,-2702000,66502000,106000,0.10474,-0.17011,-0.2414,-0.82579,-0.04506,-0.0211399999999999,1.72579,17.32784,0.59748,-0.29878,-0.29878,1.23771,0.36181,0.00631999999999994,3,-0.06824,0.00144,-15.81125,-12.08885
