"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","other_long_term_assets","intangible_assets","goodwill","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2013_Q2",18.4634375,"Up",87110000,-41743000,45367000,-41198000,-33244000,-7954000,4169000,-223000,-223000,3946000,3946000,-561000,3385000,3385000,3385000,3385000,69817000,69817000,65703000,65703000,26125000,35441000,16049000,7532000,197086000,34697000,12943000,212631000,84529000,111343000,1126000,15633000,260271000,457357000,37852000,18379000,19473000,47759000,47759000,85611000,49953000,24405000,49953000,135564000,321793000,457357000,3385000,4472000,4642000,-8367000,4132000,-3348000,-1899000,-5247000,8315000,8315000,344000,8659000,7544000,7544000,-40000,7504000,8641000,0,-2513000,0.5208,0.04786,0.03886,0.01052,0.0074,-0.74239,2.30211,0.42128,0,0.09985,0.09721,2.56962,-0.07413,0.00911,-0.00676,-8.07974,-16.7467
"12","2013_Q3",22.2890625,"Up",93686000,-44318000,49368000,-40010000,-32860000,-7150000,9358000,64000,64000,9422000,9422000,-3406000,6016000,6016000,6016000,6016000,87334000,87334000,63840000,63840000,26360000,35687000,15928000,7899000,213221000,34114000,13222000,211571000,83468000,111343000,985000,15775000,258907000,472128000,42751000,17459000,25292000,45784000,45784000,88535000,49862000,23637000,49862000,138397000,333731000,472128000,6016000,4772000,2415000,3893000,17096000,-2427000,-1295000,-3722000,3234000,3234000,914000,4148000,17522000,17522000,-5000,17517000,14130000,-1.4210854715202e-14,19002000,0.52695,0.09989,0.06421,0.01803,0.01274,3.15858,2.40832,0.4147,0,0.17461,0.17007,2.71916,0.55152,0.01568,0.04954,-6.18075,-9.33255
"13","2013_Q4",23.88234375,"Up",94039000,-41999000,52040000,-41323000,-34762000,-6561000,10717000,25000,25000,10742000,10742000,-2987000,7755000,7755000,7755000,7755000,116190000,116190000,63999000,63999000,30705000,36965000,17053000,8052000,247859000,33492000,12398000,212235000,82530000,111343000,1293000,17069000,258125000,505984000,51612000,24717000,26895000,47453000,47453000,99065000,49133000,23080000,49133000,148198000,357786000,505984000,7755000,4488000,2368000,4898000,19509000,-2267000,-2500000,-4767000,12471000,12471000,1569000,14040000,28782000,28782000,74000,28856000,15205000,0,20823000,0.55339,0.11396,0.08247,0.02167,0.01533,2.68511,2.50198,0.41421,0,0.22073,0.21429,2.67666,0.59269,0.01906,0.05117,-7.64157,-10.84165
"14","2014_Q1",27.355737704918,"Up",105750000,-49126000,56624000,-45569000,-38129000,-7440000,11055000,-136000,-136000,10919000,10919000,-4096000,6823000,6823000,6823000,6823000,104531000,104531000,58597000,58597000,31457000,39193000,18883000,7675000,233778000,35254000,11485000,211984000,81602000,111343000,1102000,17937000,258723000,492501000,49821000,16471000,33350000,42583000,42583000,92404000,51100000,22938000,51100000,143504000,348997000,492501000,6823000,4633000,2843000,227000,14526000,-4649000,-2067000,-6716000,-18096000,2866000,-1377000,-19473000,-11663000,-11663000,4000,-11659000,15688000,0,15362000,0.53545,0.10454,0.06452,0.01955,0.01385,2.2515,2.52996,0.41119,0,0.19243,0.18579,2.98249,0.43326,0.01705,0.0384,-6.66312,-9.45554
"15","2014_Q2",26.988253968254,"Down",101764000,-47269000,54495000,-44541000,-38420000,-6121000,9954000,-256000,-256000,9698000,9698000,-3504000,6194000,6194000,6194000,6194000,107558000,107558000,75496000,75496000,30975000,36813000,16378000,7799000,250842000,35178000,11644000,212741000,80573000,111343000,1164000,19661000,259563000,510405000,45666000,20154000,25512000,46434000,46434000,92100000,53129000,25203000,53129000,145229000,365176000,510405000,6194000,4612000,2867000,-12556000,1117000,-2690000,-2902000,-5592000,5555000,9624000,1938000,7493000,3018000,3018000,9000,3027000,14566000,0,2824000,0.5355,0.09781,0.06087,0.01696,0.01214,0.45593,2.72358,0.3977,0,0.17584,0.17061,2.88897,0.08017,0.01481,0.00675,-7.38418,-10.80551
"16","2014_Q3",27.39359375,"Up",105052000,-49012000,56040000,-43482000,-37011000,-6471000,12558000,-40000,-40000,12518000,12518000,-4729000,7789000,7789000,7789000,7789000,126379000,126379000,82560000,82560000,31542000,35415000,16739000,6040000,275896000,37257000,10872000,213226000,79561000,111343000,1102000,21220000,261355000,537251000,50829000,18965000,31864000,52465000,52465000,103294000,56336000,27313000,56336000,159630000,377621000,537251000,7789000,4779000,2952000,8784000,24304000,-4836000,-2605000,-7441000,2189000,2189000,-340999.999999999,1848000,18711000,18711000,110000,18821000,17337000,-3.63797880709171e-12,26014000,0.53345,0.11954,0.07414,0.02063,0.0145,3.33984,2.67098,0.42273,3.3881317890172e-21,0.21842,0.21271,2.94585,0.72948,0.01795,0.05995,-7.28955,-10.06362
"17","2014_Q4",30.89296875,"Up",112543000,-52997000,59546000,-45949000,-38871000,-7078000,13597000,-707000,-707000,12890000,12890000,-5591000,7299000,7299000,7299000,7299000,104187000,104187000,95167000,95167000,31847000,37167000,18221000,6262000,268368000,37688000,10823000,230434000,84075000,123090000,975000,22294000,278945000,547313000,53346000,23202000,30144000,58214000,58214000,111560000,56852000,26381000,56852000,168412000,378901000,547313000,7299000,5314000,3471000,-7190000,8894000,-2861000,-2418000,-25028000,-6639000,6344000,836000,-5803000,-21937000,-21937000,-255000,-22192000,18911000,0,14451000,0.5291,0.12082,0.06486,0.01926,0.01334,1.97986,2.40559,0.44447,0,0.20278,0.19817,3.12672,0.40148,0.01675,0.03316,-5.50933,-7.6625
"18","2015_Q1",32.9662295081967,"Up",121541000,-57762000,63779000,-50305000,-42173000,-8132000,13474000,-76000,-76000,13398000,13398000,-4162000,9236000,9236000,9236000,9236000,125888000,125888000,82763000,82763000,31554000,43179000,23518000,7215000,283384000,36178000,10848000,229804000,82667000,122720000,1144000,23273000,276830000,560214000,58605000,19432000,39173000,53725000,53725000,112330000,57786000,27332000,57786000,170116000,390098000,560214000,9236000,5567000,3548000,12497000,30848000,-1862000,-2428000,-5264000,-3401000,3638000,-343000,-3744000,21840000,21840000,-139000,21701000,19041000,-5.82076609134674e-11,33838000,0.52475,0.11086,0.07599,0.02368,0.01649,3.66371,2.52278,0.43609,0,0.25857,0.25144,3.4026,0.94731,0.02062,0.07555,-6.61142,-9.34303
"19","2015_Q2",36.4760317460317,"Up",116221000,-54536000,61685000,-51306000,-43287000,-8019000,10379000,-517000,-517000,9862000,9862000,-3544000,6318000,6318000,6318000,6318000,139553000,139553000,88107000,88107000,33190000,35472000,16811000,6217000,296322000,34373000,10443000,229788000,81279000,122216000,1330000,24963000,274604000,570926000,60989000,21812000,39177000,47635000,47635000,108624000,56852000,25853000,56852000,165476000,405450000,570926000,6318000,5711000,3621000,-4336000,11314000,-1151000,-2957000,-4108000,6224000,6224000,351000,6575000,13781000,13781000,-116000,13665000,16090000,0,14147000,0.53076,0.0893,0.05436,0.01558,0.01107,2.23916,2.72796,0.40813,0,0.17538,0.17115,3.22621,0.39271,0.01367,0.0306,-8.67328,-13.44571
"20","2015_Q3",35.8021875,"Down",112788000,-55326000,57462000,-48481000,-39735000,-8746000,8981000,-472000,-472000,8509000,11952000,-3201000,8751000,8751000,8751000,8751000,88028000,88028000,117307000,117307000,46027000,33962000,15401000,6071000,285324000,34772000,10208000,270718000,94285000,149654000,1397000,25382000,315698000,601022000,78077000,26085000,51992000,60198000,60198000,138275000,63399000,30676000,63399000,201674000,399348000,601022000,8751000,6266000,640000,-16781000,-1124000,-2838000,-3170000,-29633000,-21813000,3208000,762000,-21051000,-51808000,-51808000,283000,-51525000,15247000,4.65661287307739e-10,-1171000,0.50947,0.07963,0.07759,0.02191,0.01456,-0.13381,2.06345,0.50501,0,0.24228,0.23632,3.12259,-0.03242,0.01891,-0.00253,-5.77346,-9.80158
