"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","other_long_term_assets","intangible_assets","goodwill","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"21","2015_Q4",29.50828125,"Down",125234000,-61531000,63703000,-49844000,-40668000,-9176000,13859000,-646000,-646000,13213000,13213000,-5177000,8036000,8036000,8036000,8036000,57757000,57757000,115680000,115680000,49460000,36989000,17698000,6802000,259886000,34026000,13557000,269253000,92042000,148727000,1513000,26971000,316836000,576722000,69297000,24691000,44606000,53347000,53347000,122644000,62538000,30218000,62538000,185182000,391540000,576722000,8036000,6480000,3573000,-22347000,-4258000,-2423000,-3318000,-7571000,-18767000,6233000,544000,-18223000,-30052000,-30052000,-219000,-30271000,20339000,0,746000,0.50867,0.11066,0.06417,0.02052,0.01393,0.09283,2.11903,0.47296,0,0.22443,0.21948,3.49757,0.02083,0.0177,0.00164,-2.83972,-4.16747
"22","2016_Q1",27.4655737704918,"Down",130316000,-65236000,65080000,-53110000,-43891000,-9219000,11970000,-753000,-753000,11217000,11217000,-3562000,7655000,7655000,7655000,7655000,82217000,82217000,107957000,107957000,46594000,27360000,19586000,7774000,264128000,32309000,14484000,267826000,89665000,147906000,2361000,27894000,314619000,578747000,70974000,22646000,48328000,53656000,53656000,124630000,51729000,29907000,51729000,176359000,402388000,578747000,7655000,7182000,8417000,9300000,32554000,-1545000,-2687000,-4283999.99999999,1426000,1426000,-5284000,-3857999.99999999,24412000,24412000,48000,24460000,19152000,-7.45058059692383e-09,30469000,0.4994,0.09185,0.05874,0.01902,0.01323,3.98027,2.1193,0.43828,6.93889390390723e-18,0.21577,0.21079,3.67315,0.85881,0.01686,0.0671,-4.29287,-6.86859000000003
"23","2016_Q2",31.18328125,"Up",171004000,-91059000,79945000,-78093000,-64255000,-13838000,1852000,-2171000,-2171000,-319000,-319000,-59000,-378000,-378000,-378000,-378000,53487000,53487000,153199000,153199000,71914000,31708000,21855000,9853000,310308000,42208000,21037000,550219000,206261000,312511000,2638000,28809000,613464000,923772000,98963000,32142000,66821000,92273000,92273000,199646000,94575000,29591000,313621000,513267000,410505000,923772000,-378000,14473000,4068000,3844000,22007000,-5335000,-3070000,-279863000,5149000,5149000,-3382000,228826000,-29030000,-29030000,3e+05,-28730000,16325000,227456000,14893000,0.4675,0.01083,-0.00221,-0.00092,-0.00041,-39.39947,1.55429,1.25033,0.24623,-0.01058,-0.01058,4.78467,0.4167,-0.00052,0.02033,10.6566,93.93575
"24","2016_Q3",37.28734375,"Up",172907000,-94890000,78017000,-78135000,-64341000,-13794000,-118000,-1881000,-1881000,-1999000,-1999000,840000,-1159000,-1159000,-1159000,-1159000,41029000,41029000,159453000,159453000,73720000,37714000,28690000,9024000,311916000,40503000,19711000,541298000,196475000,311170000,2920000,30733000,601512000,913428000,98053000,37365000,60688000,84852000,84852000,191315000,91978000,29547000,308914000,500229000,413199000,913428000,-1159000,14724000,6e+06,-24685000,-5120000,-1788000,-3611000,-5399000,3490000,3490000,-1181000,-199000,-10718000,-10718000,-1740000,-12458000,14606000,225346000,-12707000,0.45121,-0.00068,-0.00670000000000001,-0.0028,-0.00127,10.96376,1.63038,1.21062,0.2467,-0.03221,-0.03221,4.80471,-0.3531,-0.00159,-0.01739,12.61927,-1562.00847
"25","2016_Q4",34.4007936507937,"Down",176737000,-95229000,81508000,-76580000,-61316000,-15264000,4928000,-2721000,-2721000,2207000,2207000,-224000,1983000,1983000,1983000,1983000,47287000,47287000,177019000,177019000,74125000,38636000,29620000,9016000,337067000,41034000,18756000,534558000,187571000,311420000,2955000,32612000,594348000,931415000,96641000,36715000,59926000,93120000,93120000,198171000,90845000,29269000,305679000,503850000,427565000,931415000,1983000,14708000,5242000,-12790000,9143000,-4193000,-3888000,-8081000,7877000,7877000,-354000,5023000,6085000,6085000,173000,6258000,19636000,223244000,2877000,0.46118,0.02788,0.01122,0.00464,0.00213,1.45083,1.70089,1.17842,0.23968,0.05458,0.05348,4.8645,0.07919,0.00267,0.00388,8.96094,35.70556
"26","2017_Q1",36.8541935483871,"Up",175260000,-97645000,77615000,-62872000,-47969000,-14903000,14743000,-1656000,-1656000,13087000,13087000,-3777000,9310000,9310000,9310000,9310000,54488000,54488000,150303000,150303000,69297000,41320000,28646000,12674000,315408000,42011000,20585000,557099000,190283000,327724000,4041000,35051000,619695000,935103000,84986000,27069000,57917000,87516000,87516000,180912000,76853000,25261000,322584000,503496000,431607000,935103000,9310000,14457000,5328000,-5225000,23870000,-3501000,-3779000,-47980000,1175000,1175000,-1573000,30102000,5992000,5992000,1209000,7201000,29200000,254141000,24251000,0.44286,0.08412,0.05312,0.02157,0.00996,2.60483,1.74343,1.16656,0.27178,0.25462,0.24088,4.79311,0.66323,0.01221,0.0318,6.83743,13.5422199999997
"27","2017_Q2",41.5307936507936,"Up",148553000,-86362000,62191000,-78743000,-61940000,-16803000,-16552000,-2456000,-2456000,-19008000,-19008000,8673000,-10335000,-10335000,-10335000,-10335000,46348000,46348000,131433000,131433000,76230000,40368000,27775000,12593000,294379000,40996000,19174000,555214000,184127000,328216000,5624000,37247000,615384000,909763000,98549000,38466000,60083000,90521000,90521000,197480000,67212000,24710000,273340000,470820000,438943000,909763000,-10335000,12448000,5522000,20547000,28182000,-2612000,-4225000,-6837000,10916000,10916000,-1052000,-30136000,-8791000,-8791000,651000,-8140000,-4104000,214538000,5158000,0.41865,-0.11142,-0.06957,-0.02355,-0.01136,-0.49908,1.49068,1.07262,0.23582,-0.28054,-0.28054,4.03238,0.14001,-0.01434,0.00716,-40.98197,-10.16131
"28","2017_Q3",47.8985714285714,"Up",181042000,-102910000,78132000,-78833000,-61922000,-16911000,-701000,196000,196000,-505000,-505000.000000004,2385000,1880000,1880000,1880000,1880000,26936000,26936000,151010000,151010000,81523000,36512000,26001000,10511000,295981000,40713000,17424000,555783000,180206000,332996000,5627000,36954000,613920000,909901000,115432000,53287000,62145000,85370000,85370000,211712000,65161000,26211000,248687000,460399000,449502000,909901000,1880000,13494000,5624000,-10256000,10742000,-4041000,-2523000,-11010000,4867000,4867000,-1586000,-17219000,-17487000,-17487000,-1925000,-19412000,12793000,194436000,-3889000,0.43157,-0.00387,0.01038,0.00418,0.00207,-2.06862,1.39804,1.02424,0.21369,0.05047,0.049,4.86019,-0.1044,0.00265,-0.00548,13.0931,-238.94437
"29","2017_Q4",50.4611111111111,"Up",186748000,-101929000,84819000,-72622000,-56208000,-16414000,12197000,-2732000,-2732000,9465000,9465000,-1717000,7748000,7748000,7748000,7748000,7466000,7466000,171869000,171869000,92239000,43807000,28044000,15763000,315381000,40219000,15986000,552232000,174227000,334780000,5629000,37596000,608437000,923818000,111623000,51182000,60441000,80837000,80837000,205870000,66528000,26001000,245451000,451321000,472497000,923818000,7748000,12600000,5308000,-43932000,-18276000,-2881000,-3373000,-6254000,10685000,10685000,-2895000,5290000,-19240000,-19240000,-230000,-19470000,24797000,192333000,-20299000,0.45419,0.06531,0.04149,0.0164,0.00839,-2.6199,1.53194,0.95518,0.20819,0.20553,0.1988,4.95379,-0.53846,0.01059,-0.02776,7.45522,15.15676
"30","2018_Q1",45.9726229508197,"Down",196371000,-102876000,93495000,-77294000,-61400000,-15894000,16201000,-1641000,-1641000,14560000,14560000,16665000,31225000,31225000,31225000,31225000,32424000,32424000,190046000,190046000,96137000,33665000,20392000,13273000,352272000,42595000,15435000,606060000,168107000,337751000,9454000,90748000,664090000,1016362000,111224000,48290000,62934000,78774000,78774000,205206000,61898000,20452000,256815000,462021000,554341000,1016362000,31225000,12969000,5926000,-45934000,4186000,-5967000,-4919000,-10886000,17553000,17553000,-2759000,32188000,25488000,25488000,-530000,24958000,29170000,210125000,-39396000,0.47611,0.0825,0.15901,0.05633,0.03072,-1.26168,1.71667,0.83346,0.20674,0.81861,0.76786,5.14815,-1.03282,0.03779,-0.04767,6.09191,10.96852
"31","2018_Q2",47.0296875,"Up",182619000,-100164000,82455000,-81822000,-65285000,-16537000,633000,-2729000,-2729000,-2096000,-2096000,4816000,2720000,2720000,2720000,2720000,43773000,43773000,190678000,190678000,101868000,35912000,21161000,14751000,372231000,48290000,16444000,603990000,162458000,338948000,9456000,93128000,668724000,1040955000,108010000,37859000,70151000,95709000,95709000,221427000,54536000,18216000,245026000,466453000,574502000,1040955000,2720000,12310000,6528000,-2702000,18856000,-9268000,-5272000,-14540000,9541000,9541000,-1300000,5741000,10057000,10057000,1292000,11349000,12943000,208198000,-3843000,0.45151,0.00347,0.01489,0.00473,0.00261,-1.41287,1.68106,0.81193,0.20001,0.0704,0.06853,4.72678,-0.09947,0.00325,-0.00459,12.70378,259.75513
"32","2018_Q3",62.9714285714286,"Up",188673000,-99890000,88783000,-81449000,-65937000,-15512000,7334000,-896000,-896000,6438000,6438000,150000,6588000,6588000,6588000,6588000,46168000,46168000,174570000,174570000,103732000,34388000,18266000,16122000,358858000,50884000,16707000,600026000,155750000,336550000,9451000,98275000,667617000,1026475000,98150000,35261000,62889000,85776000,85776000,201634000,55139000,20351000,236201000,437835000,588640000,1026475000,6588000,12519000,7238000,-4474000,21871000,-5717000,-7819000,-13536000,6576000,6576000,-1762000,-5186000,3149000,3149000,-754000,2395000,19853000,198770000,9512000,0.47057,0.03887,0.03492,0.01119,0.00642,1.44384,1.77975,0.74381,0.19364,0.16905,0.1647,4.84149,0.24409,0.00782,0.01129,7.6866,20.8074700000001
"33","2018_Q4",67.7025396825397,"Up",204267000,-105358000,98909000,-81414000,-65609000,-15805000,17495000,-2837000,-2837000,14658000,14658000,-1030000,13628000,13628000,13628000,13628000,44174000,44174000,206225000,206225000,99231000,29489000,19618000,9871000,379119000,50484000,17448000,605324000,149968000,336517000,9450000,109389000,673256000,1052375000,107097000,38367000,68730000,87777000,87777000,212582000,53419000,20826000,220554000,433136000,619239000,1052375000,13628000,12661000,7221000,-17723000,15787000,-4274000,-9122000,-13396000,11612000,11612000,-586000,-3474000,-1083000,-1083000,-911000,-1994000,30156000,184843000,9189000,0.48421,0.08565,0.06672,0.02201,0.01295,0.67427,1.7834,0.69946,0.17564,0.34561,0.33353,5.18023,0.23303,0.01589,0.01072,4.66471,8.04053
"34","2019_Q1",74.8575409836066,"Up",211750000,-109567000,102183000,-83253000,-66264000,-16989000,18930000,-2314000,-2314000,16616000,16616000,-1823000,14793000,14793000,14793000,14793000,67192000,67192000,196238000,196238000,100868000,32836000,20700000,12136000,397134000,51500000,17082000,615526000,143686000,335887000,15197000,120756000,684108000,1081242000,122745000,38038000,84707000,81835000,81835000,204580000,61628000,20144000,197045000,401625000,679617000,1081242000,14793000,13860000,4618000,14181000,47452000,-4438000,-8464000,-12902000,2882000,2882000,36440000,-10678000,23872000,23872000,-854000,23018000,32790000,135417000,44356000,0.48256,0.0894,0.06986,0.02177,0.01368,2.99845,1.94122,0.59096,0.12524,0.37046,0.35488,5.3029,1.11082,0.01687,0.0506,2.08066,3.60407
"35","2019_Q2",81.2706349206349,"Up",202517000,-105400000,97117000,-84356000,-68278000,-16078000,12761000,-1410000,-1410000,11351000,11351000,-8067000,3284000,3284000,3284000,3284000,77244000,77244000,203489000,203489000,103909000,29065000,17048000,12017000,413707000,52039000,19469000,691845000,138893000,336119000,32043000,184790000,763353000,1177060000,120518000,38466000,82052000,90104000,90104000,210622000,138963000,77558000,235953000,446575000,730485000,1177060000,3284000,12637000,15015000,-4439000,26497000,-4980000,-11717000,-16697000,40742000,40742000,-1920000,-178000,9622000,9622000,430000,10052000,25398000,96990000,24046000,0.47955,0.06301,0.01622,0.0045,0.00279,7.32217,1.96422,0.61134,0.0824,0.0807,0.07767,4.97683,0.59093,0.0034,0.02488,0.77746,1.54737
"36","2019_Q3",73.3903125,"Down",217413000,-113368000,104045000,-85282000,-68434000,-16848000,18763000,-1629000,-1629000,17134000,17134000,-1158000,15976000,15976000,15976000,15976000,87482000,87482000,205353000,205353000,103906000,33098000,19679000,13419000,429839000,52847000,21041000,693251000,134101000,335699000,31195000,192256000,767139000,1196978000,128372000,40183000,88189000,83012000,83012000,211384000,135790000,74498000,212352000,423736000,773242000,1196978000,15976000,13237000,12235000,-14185000,27263000,-4389000,-10864000,-15253000,22397000,22397000,-2802000,-1405000,10605000,10605000,-367000,10238000,3.2e+07,76562000,14584000,0.47856,0.0863,0.07348,0.02066,0.01335,0.91287,2.03345,0.548,0.06396,0.38614,0.37144,5.25482,0.35249,0.01621,0.0148,-0.34125,-0.582
"37","2019_Q4",76.7175,"Up",228805000,-116658000,112147000,-87501000,-70876000,-16625000,24646000,-1168000,-1168000,23478000,23478000,-3495000,19983000,19983000,19983000,19983000,137277000,137277000,203391000,203391000,105813000,30598000,18728000,11870000,477079000,54877000,21494000,690820000,129163000,334516000,30607000,196534000,767191000,1244270000,139965000,48449000,91516000,88205000,88205000,228170000,131432000,70515000,208567000,436737000,807533000,1244270000,19983000,13651000,12019000,10775000,56428000,-3263000,-11548000,-14811000,9696000,9696000,-1068000,8628000,50245000,50245000,-450000,49795000,38297000,77135000,49304000,0.49014,0.10772,0.08734,0.02475,0.01606,2.4673,2.09089,0.54083,0.06199,0.47826,0.46369,5.47603,1.18,0.01967,0.04852,-1.57041,-2.44023
"38","2020_Q1",79.6761290322581,"Up",248292000,-124689000,123603000,-101421000,-82328000,-19093000,22182000,-212000,-212000,21970000,21970000,124999.999999999,22095000,22095000,22095000,22095000,127210000,127210000,218362000,218362000,108011000,29655000,14478000,15177000,483238000,54246000,19750000,683576000,124867000,336539000,14142000,208028000,757572000,1240810000,146102000,46380000,99722000,90894000,90894000,236996000,108560000,69470000,158560000,395556000,845254000,1240810000,22095000,14034000,6652000,-7960999.99999999,34820000,-3262000,-11641000,-14903000,5677000,5677000,-3880000,-30524000,-10607000,-10607000,540000,-10067000,36216000,5e+07,24868000,0.49781,0.08934,0.08899,0.02614,0.01781,1.1255,2.03901,0.46797,0.0403,0.52608,0.50929,5.91186,0.59211,0.02201,0.02477,-2.13193,-3.48075
"39","2020_Q2",68.4514285714286,"Down",229686000,-120064000,109622000,-97471000,-78819000,-18652000,12151000,-822000,-822000,11329000,11329000,-18000,11311000,11311000,11311000,11311000,104080000,104080000,233068000,233068000,112785000,28390000,14155000,14235000,478323000,52997000,19992000,680335000,120063000,334842000,14142000,211288000,753324000,1231647000,139838000,46788000,93050000,108602000,108602000,248440000,104707000,66897000,104707000,353147000,878500000,1231647000,11311000,14043000,12433000,-12556000,25231000,-3173000,-10602000,-13775000,17659000,17659000,-1425000,-33766000,-22310000,-22310000,-820000,-23130000,26194000,0,10483000,0.47727,0.0529,0.04925,0.01288,0.00918,0.9268,1.92531,0.40199,0,0.26704,0.2593,5.42262,0.24749,0.0115,0.01066,-3.97343,-8.56555
"40","2020_Q3",69.30671875,"Up",199621000,-116396000,83225000,-90216000,-69386000,-20830000,-6991000,174000,174000,-6817000,-6817000,2518000,-4299000,-4299000,-4299000,-4299000,133583000,133583000,188918000,188918000,114245000,28419000,13297000,15122000,465165000,57866000,20961000,678454000,115710000,335034000,14154000,213556000,757281000,1222446000,128623000,34587000,94036000,107940000,107940000,236563000,98422000,68861000,98422000,334985000,887461000,1222446000,-4299000,14736000,5807000,31260000,47504000,-10038000,-9400000,-19438000,3503000,3503000,-2045000,1458000,29524000,29524000,-21000,29503000,7745000,1.49011611938477e-08,26449000,0.41692,-0.03502,-0.02154,-0.00484,-0.00352,-6.15236,1.96635,0.37746,0,-0.10077,-0.09858,4.67924,0.61998,-0.00436,0.02683,-17.24764,19.10785
"41","2020_Q4",98.07953125,"Up",213699000,-116908000,96791000,-86639000,-71442000,-15197000,10152000,809000,809000,10961000,10961000,-2156000,8805000,8805000,8805000,8805000,629171000,629171000,188102000,188102000,103101000,43030000,20399000,22631000,963404000,57559000,22510000,675804000,111587000,336456000,14985000,212776000,755873000,1719277000,132235000,37203000,95032000,101641000,101641000,233876000,104887000,69303000,567002000,800878000,918399000,1719277000,8805000,15124000,19846000,-7088000,36687000,-4054000,-5907000,-9961000,-40971000,12064000,-101256000,468178000,494904000,494904000,684000,495588000,25276000,462115000,16290000,0.45293,0.04751,0.0412,0.00959,0.00512,1.85009,4.11929,0.87204,0.26878,0.20572,0.20139,4.99297,0.38061,0.00593,0.01097,-6.60927,-16.45548
"42","2021_Q1",128.25131147541,"Up",249202000,-125548000,123654000,-103440000,-87958000,-15482000,20214000,-6338000,-6338000,13876000,13876000,2501000,16377000,16377000,16377000,16377000,485928000,485928000,190117000,190117000,96298000,57071000,16027000,41044000,829414000,59073000,22156000,913861000,168211000,499309000,15019000,231322000,995090000,1824504000,176370000,40309000,136061000,100053000,100053000,276423000,113377000,73744000,580578000,857001000,967503000,1824504000,16377000,17164000,17223000,25684000,76448000,-5577000,-6115000,-236692000,21044000,21044000,-645000.000000015,20399000.0000001,-139845000,-139845000,594000,-139251000,37378000,467201000,54984000,0.4962,0.08111,0.06572,0.01693,0.00898,3.35739,3.00052,0.88579,0.25607,0.38521,0.37204,5.86165,1.29332,0.01058,0.03552,-0.501020000000001,-0.926440000000007
"43","2021_Q2",139.225873015873,"Up",251843000,-129560000,122283000,-102673000,-86593000,-16080000,19610000,-6691000,-6691000,12919000,12919000,1208000,14127000,14127000,14127000,14127000,548055000,548055000,205658000,205658000,96208000,54078000,17122000,36956000,903999000,60538000,21255000,900831000,161816000,499065000,15376000,224574000,982624000,1886623000,172685000,50759000,121926000,119588000,119588000,292273000,110992000,71864000,583339000,875612000,1011011000,1886623000,14127000,17575000,19225000,6488000,57415000,-5089000,-8043000,-13132000,20826000,20826000,-5227000,15599000,59882000,59882000,-386000,59496000,37185000,472347000,37376000,0.48555,0.07787,0.05609,0.01397,0.00749,2.64571,3.093,0.86608,0.25037,0.32883,0.30468,5.86199,0.86998,0.00886,0.02344,-2.03598,-3.86068
"44","2021_Q3",153.2084375,"Up",272739000,-136441000,136298000,-107382000,-89169000,-18213000,28916000,-5959000,-5959000,22957000,22957000,-2533000,20424000,20424000,20424000,20424000,614236000,614236000,209953000,209953000,101185000,58914000,17442000,41472000,984288000,62323000,19615000,894768000,155775000,499266000,15559000,224168000,976706000,1960994000,195807000,56195000,139612000,121305000,121305000,317112000,113756000,73130000,591310000,908422000,1052572000,1960994000,20424000,17390000,22732000,11227000,71773000,-5978000,-7372000,-13350000,11517000,11517000,-4703000,6814000,65237000,65237000,312000,65549000,46306000,477554000,54088000,0.49974,0.10602,0.07488,0.0194,0.01042,2.64826,3.10391,0.86305,0.24353,0.4754,0.44049,6.34838,1.25897,0.01242,0.0329,-2.95171,-4.72686
"45","2021_Q4",173.45203125,"Up",296402000,-149623000,146779000,-117387000,-97910000,-19477000,29392000,-6065000,-6065000,23327000,23327000,5990000,29317000,29317000,29317000,29317000,481549000,481549000,233729000,233729000,104259000,69179000,24762000,44417000,888716000,64955000,19187000,1078613000,218956000,616387000,15866000,227404000,1162755000,2051471000,223936000,74656000,149280000,114726000,114726000,338662000,118651000,65338000,601473000,940135000,1111336000,2051471000,29317000,18175000,24067000,-28570000,42989000,-6825000,-8726000,-193631000,21574000,21574000,-3290000,18284000,-132358000,-132358000,-418000,-132776000,47567000,482822000,6182000,0.4952,0.09916,0.09891,0.02638,0.01429,0.21087,2.6242,0.84595,0.23535,0.67718,0.62119,6.84642,0.14279,0.01712,0.00361,0.02676,0.04331
"46","2022_Q1",144.121290322581,"Down",311034000,-161741000,149293000,-137704000,-115758000,-21946000,11589000,-4785000,-4785000,6804000,6804000,7177000,13981000,13981000,13981000,13981000,349051000,349051000,240894000,240894000,119924000,70833000,22499000,48334000,780702000,71141000,18391000,1272262000,277616000,738900000,15883000,239863000,1361794000,2142496000,275810000,71513000,204297000,112196000,112196000,876158000,119649000,47750000,119649000,995807000,1146689000,2142496000,13981000,19850000,18286000,7515000.00000001,59632000,-11075000,-5227000,-192385000,13431000,13431000,-6765000,6666000,-126087000,-126087000,-482000,-126569000,31439000,488152000,20702000,0.47999,0.03726,0.04495,0.01219,0.00653,1.48072,0.89105,0.86842,0.22784,0.31268,0.27001,6.95623,0.463,0.00797,0.0118,4.42447,12.00285
"47","2022_Q2",114.779677419355,"Down",318828000,-168781000,150047000,-144963000,-119933000,-25030000,5084000,-114000,-114000,4970000,4970000,3243000,8213000,8213000,8213000,8213000,265008000,265008000,290469000,290469000,137056000,83071000,24228000,58843000,775604000,77062000,19051000,1250871000,269427000,740426000,16054000,224964000,1346984000,2122588000,258745000,71645000,187100000,127998000,127998000,951012000,96835000,68662000,96835000,1047847000,1074741000,2122588000,8213000,21124000,17448000,-62781000,-15996000,-11489000,-3852000,-18733000,-33259000,18951000,1140000,-32119000,-66848000,-66848000,-411000,-67259000,26208000,564269000,-51305000,0.47062,0.01595,0.02576,0.00764,0.00387,-6.2468,0.81556,0.97498,0.26584,0.1866,0.16476,7.24362,-1.16563,0.00473,-0.02956,11.41869,58.8633
"48","2022_Q3",105.05484375,"Down",331386000,-173294000,158092000,-145607000,-119252000,-26355000,12485000,-1711000,-1711000,10774000,10774000,-1705000,9069000,9069000,9069000,9069000,244953000,244953000,310520000,310520000,150461000,81836000,20856000,60980000,787770000,81834000,29209000,1232645000,260159000,734487000,16134000,221865000,1343688000,2131458000,264935000,68400000,196535000,108579000,108579000,373514000,100272000,76366000,665307000,1038821000,1092637000,2131458000,9069000,21893000,20440000,-60953000,-9551000,-9610000,2793000,-6817000,2172000,2172000,-3624000,-1452000,-17820000,-17820000,-1712000,-19532000,34378000,565035000,-34480000,0.47706,0.03768,0.02737,0.0083,0.00425,-3.80196,2.10908,0.95075,0.26509,0.20509,0.19604,7.4942,-0.77976,0.00516,-0.01961,9.31066,25.63732
