"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","other_payables_accruals","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2017_Q1",18.6588709677419,"Up",65540961,-47259394,18281567,-23563728,-5731886,-17831842,-5282161,-976993,-763099,-213894,-6259154,-301610,-6560764,-51145304,-57706068,-57706068,-57706068,-57706068,29239000,29239000,21169000,21169000,6124000,32407000,4426000,27981000,88939000,297487000,115936000,21567000,88727000,5642000,413423000,502362000,29246000,20469000,28000,8749000,29246000,0,50335000,47671000,2664000,50335000,79581000,482320000,-56323000,-3216000,422781000,422781000,502362000,-57706068,17831842,49142552,-2719943,6548383,-7009658,-7009658,-7.2e+07,26075000,25613725,25613725,-32967,25580758,12549681,0,53965384,0.27893,-0.08059,-0.88046,-0.13649,-0.11487,-0.93518,3.04107,0.18823,0,-1.60295,-1.60295,1.82058,11.74392,1.49904,-0.12197,0.11406,-2.32986,5.53542
"2","2017_Q2",18.2657142857143,"Down",74966000,-58498000,16468000,-23650000,-6413000,-17237000,-7182000,-581000,-397000,-184000,-7763000,-323999.999999999,-8087000,3106000,-4981000.00000001,-4981000.00000001,-4981000.00000001,-4981000.00000001,12278120,12278120,24973332,24973332,4922627,37725379,3402022,34323357,79899458,244021697,110581809,19299079,86043148,5239582,354603506,434502964,50984982,37237976,0,13747006,50984982,1.49011611938477e-08,46614875,43881012,2733863,46614875,97599857,401150752,-61259392,-2988253,336903107,336903107,434502964,-4981000.00000001,17237000,-2708000,4870000,14418000,-30741000,-30741000,0,1.49011611938477e-08,-16323000,-16323000,11000,-16312000,10055000,0,-18922000,0.21967,-0.0958,-0.06644,-0.01478,-0.01146,3.79884,1.56712,0.2897,1.38777878078145e-17,-0.13283,-0.13283,1.99909,8.98408,-0.504589999999999,-0.01299,-0.04934,-1.2211,1.70957000000005
"3","2017_Q3",14.2796825396825,"Down",98262000,-77340000,20922000,-27286000,-7393000,-19893000,-6364000,-1315000,-1112000,-203000,-7679000,3705000,-3974000,2804000,-1170000,-1170000,-1170000,-1170000,8549290,8549290,30414421,30414421,10316700,49675767,3647227,46028540,98956178,402972988,124988409,20604329,99562761,4821319,527961397,626917575,64174937,53864660,0,10310277,64174937,6.5e+07,57332379,52307148,5025231,122332379,186507316,505690742,-62473672,-2806811,440410259,440410259,626917575,-1170000,19893000,-4822000,-4315000,9586000,-35053000,-71952000,57926000,57926000,-4440000,-4440000,62000,-4378000,13529000,6.5e+07,-28643000,0.21292,-0.06477,-0.01191,-0.00266,-0.00187,24.4812,1.54198,0.42349,0.10368,-0.02962,-0.02962,2.48765,11.14963,-0.72514,-0.00208,-0.0509,4.17257,-8.87032
"4","2017_Q4",17.8174603174603,"Up",149305000,-114533000,34772000,-34891000,-7667000,-27224000,-118999.999999998,-1740000,-1420000,-320000,-1859000,-355000,-2214000,1413000,-800999.999999998,-800999.999999998,-800999.999999998,-800999.999999998,14278328,14278328,65490189,65490189,12164225,47861974,2753800,45108174,139794716,422528173,122812891,18492572,99810819,4509500,545341064,685135780,91997243,70229349,9.31322574615479e-10,21767894,91997243,9.4e+07,57873272,51086739,6786533,151873272,243870515,506719060,-63274499,-2179296,441265265,441265265,685135780,-800999.999999998,27224000,700999.999999999,-10492000,16632000,-35697000,-38135000,27223000,27223000,5720000,5720000,9000.00000000001,5729000,27105000,9.4e+07,-20497000,0.23289,-0.000799999999999995,-0.00536,-0.00182,-0.00117,25.58926,1.51955,0.55266,0.1372,-0.0179999999999999,-0.018,3.35502,9.91563,-0.46059,-0.00135,-0.03456,2.94122,-669.93002
"5","2018_Q1",24.4455737704918,"Up",368963000,-232198000,136765000,-54702000,-26932000,-27770000,82063000,-1351000,-1381000,30000,80712000,-4641000,76071000,-10155000,65916000,65916000,65916000,65916000,5637000,5637000,243746000,243746000,17814000,47226000,12552000,34674000,314423000,425786000,127034000,16139000,99811000,4345000,552820000,867243000,219988000,141306000,36409000,42273000,219988000,99900000,39559000,34147000,5412000,139459000,359447000,508456000,2001000,-2661000,507796000,507796000,867243000,65916000,27770000,-4192000,-72514000,16980000,-31455000,-31455000,5900000,5900000,-8575000,-8575000,-66000,-8641000,109833000,99900000,16019000,0.37067,0.22242,0.17865,0.12981,0.07601,0.24302,1.42927,0.70786,0.11519,1.47496,1.46304,8.25605,11.36263,0.35845,0.10184,0.02475,0.85824,1.14867
"6","2018_Q2",34.3659375,"Up",494249000,-326101000,168148000,-64990000,-38082000,-26908000,103158000,-1265000,-1237000,-28000,101893000,-429000,101464000,-45918000,55546000,55546000,55546000,55546000,10447000,10447000,243913000,243913000,12189000,59480000,12030000,47450000,326029000,440439000,134617000,13732000,99811000,4245000,575056000,901085000,258928000,151509000,62272000,45147000,258928000,3.9e+07,39020000,31897000,7123000,78020000,336948000,509712000,57547000,-3122000,564137000,564137000,901085000,55546000,26908000,15147000,3721999.99999997,101323000,-35488000,-35488000,-60972000,-60972000,4863000,4863000,-53000,4810000,130066000,3.9e+07,144218000,0.34021,0.20872,0.11238,0.09846,0.06164,2.59637,1.25915,0.59728,0.04328,1.24403,1.23755,11.06937,12.63461,3.22996,0.0865,0.22458,0.21953,0.276789999999854
"7","2018_Q3",32.292380952381,"Down",533594000,-339828000,193766000,-95390000,-64595000,-30795000,98376000,-1445000,-959000,-486000,96931000,-719000,96212000,-53512000,42700000,42700000,42700000,42700000,10702000,10702000,312850000,312850000,12717000,45301000,13811000,31490000,381570000,497074000,150479000,12930000,101511000,4146000,647553000,1029123000,365180000,177353000,131210000,56617000,365180000,0,38274000,31036000,7238000,38274000,403454000,528869000,100247000,-3447000,625669000,625669000,1029123000,42700000,30795000,32518000,19115000,125128000,-72399000,-85755000,-39073000,-39073000,3e+05,3e+05,-45000,255000,129171000,0,129399000,0.36313,0.18436,0.08002,0.06825,0.04149,3.03042,1.04488,0.64484,0,0.95447,0.94765,11.92735,13.98549,2.89244,0.06431,0.19489,-0.08285,-0.10879
"8","2018_Q4",24.1774603174603,"Down",384043000,-247565000,136478000,13746000,45761000,-32015000,150224000,-858000,-458000,-4e+05,149366000,-5019000,144347000,-74835000,69512000,69512000,69512000,69512000,19692000,19692000,390824000,390824000,19185000,36956000,10969000,25987000,466657000,506992000,111509000,9155000,98308000,4046000,618501000,1085158000,355381000,139374000,1.72e+08,44007000,355381000,0,38459000,33601000,4858000,38459000,393840000,530273000,164165000,-3120000,691318000,691318000,1085158000,69512000,32015000,-27616000,-17770000,56141000,-40430000,-41530000,-74000,-5668000,8943000,8943000,47000,8990000,182239000,1.86264514923096e-09,198874000,0.35537,0.39116,0.181,0.10055,0.06406,2.861,1.31312,0.56969,-3.46944695195361e-18,1.55313,1.5419,8.58082,15.44638,4.44352,0.10292,0.27251,-0.10806,-0.131079999999991
"9","2019_Q1",21.1245901639344,"Down",278198000,-180310000,97888000,-44442000,-14283000,-30159000,53446000,-1655000,-533000,-1122000,51791000,-4586000,47205000,21002000,68207000,68207000,68207000,68207000,67625000,67625000,337460000,337460000,21302000,23169000,11317000,11852000,449556000,508407000,115128000,7756000,101245000,6127000,623535000,1073091000,233823000,68843000,104958000,60022000,233823000,0,85216000,79309000,5907000,85216000,319039000,531368000,226765000,-4081000,754052000,754052000,1073091000,68207000,30159000,52909000,-47199000,104076000,-42112000,-49182000,219000,-6879000,48015000,48015000,-82000,47933000,83605000,0,-26708000,0.35186,0.19211,0.24517,0.09045,0.06356,-0.39157,1.92263,0.4231,0,1.52055,1.51373,6.2019,16.81018,-0.5954,0.08795,-0.03182,-0.80886,-1.2653
"10","2019_Q2",12.6474603174603,"Down",262138000,-189070000,73068000,-45478000,-16902000,-28576000,27590000,24034000,-523000,24557000,51624000,-434000,51190000,-22857000,28333000,28333000,28333000,28333000,21343000,21343000,404389000,404389000,18913000,54651000,8913000,45738000,499296000,499776000,171435000,7472000,101245000,62718000,671211000,1170507000,183681000,67542000,60272000,55867000,201214000,82037000,108836000,63923000,44913000,190873000,392087000,532657000,249488000,-3725000,778420000,778420000,1170507000,28333000,28576000,-13431000,-146472000,-102994000,-18773000,-19253000,8.2e+07,75933000,-46314000,-46314000,32000,-46282000,56166000,82037000,-86222000,0.27874,0.10525,0.10808,0.0364,0.02421,-3.04317,2.48142,0.5037,0.07009,0.63062,0.62874,5.83449,17.32556,-1.91907,0.03502,-0.08895,1.08062,2.19986
