"","YQ","p","d","revenue","net_interest_income","total_interest_income","total_interest_expense","total_non_interest_income","investment_income_loss","commissions_fees_earned","other_non_interest_income","provision_for_loan_losses","net_revenue_after_provisions","total_non_interest_expense","other_operating_expenses","operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","interbank_assets","short_long_term_investments","net_loans","reserve_for_loan_losses","total_loans","net_fixed_assets","intangible_assets","goodwill","other_assets","total_assets","total_deposits","interest_bearing_deposits","other_deposits","short_term_debt","long_term_debt","other_liabilities","total_liabilities","preferred_equity","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization","provision_for_loan_losses_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_investments","net_change_in_loans_interbank","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","net_change_in_deposits","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",38.4860317460317,"Up",208977000,137584000,152161000,-14577000,71393000,5000,59829000,11559000,-13571000,195406000,-134594000,-134594000,60812000,60812000,60812000,-12994000,47818000,47818000,47818000,47818000,493777000,2065960000,4862384000,8064222000,-125369000,8189591000,322721000,18127000,527684000,406105000,16760980000,13733748000,8846524000,4887224000,617537000,256558000,203897000,14811740000,0,614594000,1170642000,164004000,1949240000,1949240000,16760980000,47818000,11467000,13571000,857000,11473000,85186000,6098000,179486000,156791000,342375000,-25922000,250000,15672000,420438000,410697000,838258000,838258000,838258000,72279000,874095000,102844000,0.291,0.22882,0.02453,0.00285,2.15074,7.59873,0.05215,0.80425,0.80348,3.51479,32.78436,1.72974,0.43598,0.0044,0.00614,0.5421,5.2618,6.254
"2","2010_Q3",36.83421875,"Down",211828000,141896000,155314000,-13418000,69932000,1000,57503000,12428000,-8650000,203178000,-134654000,-134654000,68524000,68524000,68524000,-15624000,52900000,52900000,52900000,52900000,491747000,2157066000,5150015000,7940237000,-125442000,8065679000,318921000,16828000,527684000,457381000,17059879000,13952160000,8890137000,5062023000,574580000,250054000,242234000,15019028000,0,628833000,1196254000,215764000,2040851000,2040851000,17059879000,52900000,10962000,8650000,-7000,96000,72601000,3851000,-232026000,94641000,-133534000,-27288000,-48582000,7307000,218412000,150009000,89076000,89076000,89076000,79486000,824634000,99057000,0.32349,0.24973,0.02592,0.0031,1.87253,7.3592,0.04834,0.87918,0.87633,3.52051,33.91823,1.64629,0.45352,0.0047,0.00581,0.51584,4.188,4.85796
"3","2010_Q4",39.01125,"Up",212846000,142416000,155688000,-13272000,70430000,0,58305000,12125000,-10100000,202746000,-132552000,-132552000,70194000,70194000,70194000,-15199000,54995000,54995000,54995000,54995000,580005000,2272879000,5655422000,7926791000,-126157000,8052948000,315259000,15552000,527684000,444534000,17738126000,14530087000,9235094000,5294993000,554449000,250049000,287404000,15621989000,0,641006000,1223891000,251240000,2116137000,2116137000,17738126000,54995000,11474000,10100000,1237000,47113000,124919000,-514000,-461340000,4123000,-457731000,-27358000,-19238000,5358000,577927000,536883000,204071000,204071000,204071000,81668000,804498000,143466000,0.32979,0.25838,0.02599,0.0031,2.60871,7.38231,0.04535,0.90859,0.90643,3.51651,34.96155,2.37026,0.45199,0.00464,0.00809,0.49746,2.74885,3.19818
"4","2011_Q1",41.8140322580645,"Up",211841000,141563000,154176000,-12613000,70278000,-2.91038304567337e-11,77646000,-7368000,-11290000,200551000,-133741000,-133741000,66810000,66810000,66810000,-13759000,53051000,53051000,53051000,53051000,587847000,2233130000,5586122000,7990704000,-126316000,8117020000,316909000,14335000,527684000,360361000,17617092000,14479342000,9118906000,5360436000,599385000,250045000,226640000,15555412000,0,657946000,1249484000,154250000,2061680000,2061680000,17617092000,53051000,11750000,11290000,6605000,59131000,141827000,-5493000,-66480000.0000001,-78956000,-150929000,-27459000,45845000,9484000,-50745000,-22805000,-31907000,-31907000,-31907000,78560000,849430000,145957000,0.31538,0.25043,0.02573,0.00301,2.75126,7.54502,0.04822,0.8729,0.87055,3.48562,33.92277,2.40157,0.45181,0.00457,0.00828,0.5176,3.32972,3.91533
"5","2011_Q2",41.181746031746,"Down",214092000,141759000,153593000,-11834000,72333000,5000,66488000,5840000,-9450000,204642000,-140061000,-140061000,64581000,64581000,64581000,-12653000,51928000,51928000,51928000,51928000,587655000,2111016000,6154901000,7900759000,-124321000,8025080000,313233000,13215000,527684000,333181000,17941644000,14709559000,9296557000,5413002000,677283000,250040000,207411000,15844293000,0,668850000,1273826000,154818000,2097351000,2097351000,17941644000,51928000,11559000,9450000,1617000,-3317000,71237000,1001000,-556224000,75427000,-479796000,-27579000,77893000,5568000,230217000,286253000,-122306000,-122306000,-122306000,76140000,927323000,86477000,0.30165,0.24255,0.02476,0.00289,1.66533,7.55443,0.05169,0.85103,0.84664,3.50866,34.37257,1.41723,0.45198,0.00443,0.00482,0.5311,4.4611,5.25957
"6","2011_Q3",36.49828125,"Down",215125000,144333000,156133000,-11800000,70792000,-2.3283064365387e-10,65069000,5723000,-8985000,206140000,-136797000,-136797000,69343000,69343000,69343000,-13657000,55686000,55686000,55686000,55686000,575464000,2845097000,5928751000,7945471000,-122741000,8068212000,316165000,12764000,528072000,326602000,18478386000,15104131000,9285439000,5818692000,697844000,250036000,249730000,16301741000,-7.27595761418343e-12,674233000,1301279000,202589000,2176645000,2176645000,18478386000,55686000,11846000,8985000,318999.999999999,17598000,94434000,-3266000,301031000,-56409000,240312000,-28212000,20557000,14000,394572000,387144000,721890000,721890000,721890000,81189000,947880000,109178000,0.32234,0.25885,0.02558,0.00301,1.9606,7.48939,0.0513,0.91148,0.90708,3.52121,35.62777,1.78705,0.46178,0.00454,0.00591,0.50663,4.58703,5.37064
"7","2011_Q4",35.9050793650794,"Down",224578000,145361000,154779000,-9418000,79217000,6409000,66584000,6224000,-9010000,215568000,-137407000,-137407000,78161000,78161000,78161000,-23654000,54507000,54507000,54507000,54507000,571332000,3916029000,5854801000,7974144000,-115433000,8089577000,321517000,11656000,528072000,312091000,19489642000,16063873000,9522634000,6541239000,781958000,100031000,296904000,17242766000,0,676692000,1327587000,244053000,2246876000,2246876000,19489642000,54507000,12267000,9010000,-7555000,25440000,93669000,-7920000,152139000,-36766000,107453000,-28199000,-65891000,0,959742000,865678000,1066800000,1066800000,1066800000,90428000,881989000,131602000,0.34803,0.24271,0.02426,0.0028,2.41441,7.67411,0.04525,0.89154,0.89177,3.6733,36.75093,2.15254,0.46124,0.00424,0.00675,0.51735,3.43541,3.97458
"8","2012_Q1",41.7314516129032,"Up",217983000,150323000,158512000,-8189000,67660000,0,59077000,8583000,0,217983000,-143833000,-143833000,74150000,74150000,74150000,-18736000,55414000,55414000,55414000,55414000,574039000,2333553000,8303272000,7884982000,-110147000,7995129000,319042000,10604000,528072000,363681000,20317245000,16756748000,10084193000,6672555000,845914000,100026000,331020000,18033708000,0,681416000,1354759000,247734000,2283537000,2283537000,20317245000,55414000,13397000,0,10465000,-64247000,15029000,3367000,-2414969000,87948000,-2323260000,-28220000,63951000,-173000,692875000,728462000,-1579769000,-1579769000,-1579769000,87547000,945940000,45403000,0.34016,0.25421,0.02427,0.00273,0.81934,7.89727,0.04656,0.90614,0.90451,3.56449,37.34069,0.74244,0.46146,0.00412,0.00223,0.50926,4.24802,5.01552
"9","2012_Q2",41.8912698412698,"Up",221686000,149707000,156865000,-7158000,71979000,-491000,65290000,7180000,-1100000,220586000,-142040000,-142040000,78546000,78546000,78546000,-17513000,61033000,61033000,61033000,61033000,623204000,1505530000,9085699000,8019532000,-107181000,8126713000,321681000,11033000,535560000,314942000,20417181000,16909021000,10124909000,6784112000,760810000,100022000,326615000,18096468000,-2555951.51319328,688764000,1387553000,244396000,2320713000,2320713000,20417181000,61033000,14036000,1100000,-3505000,29246000,101910000,-3540000,-780779000,-133759000,-925277000,-28239000,-85108000,5542000,152273000,44509000,-778858000,-778858000,-778858000,92582000,860832000,135801000,0.35431,0.27531,0.0263,0.00299,2.22504,7.79781,0.04216,0.99726,0.99187,3.62228,37.91976,2.21895,0.46142,0.00437,0.00665,0.46268,2.56668,3.02534
"10","2012_Q3",42.2025396825397,"Up",218980000,149217000,155796000,-6579000,69763000,370000,63206000,6187000,-2355000,216625000,-142536000,-142536000,74089000,74089000,74089000,-16027000,58062000,58062000,58062000,58062000,609211000,1686040000,8993727000,8384115000,-105648000,8489763000,319904000,10039000,535560000,327630000,20866226000,17277117000,10140443000,7136674000,779737000,100017000,346744000,18503615000,-9.31322574615479e-10,693239000,1416097000,253275000,2362611000,2362611000,20866226000,58062000,14128000,2355000,-658000,-8342000,65545000,651000.000000002,108980000,-367863000,-258232000,-29518000,18922000,1669000,368096000,359204000,166517000,166517000,166517000,88217000,879754000,96553000,0.33834,0.26515,0.02458,0.00278,1.66293,7.83185,0.04216,0.94731,0.94201,3.57278,38.54725,1.57531,0.4816,0.0042,0.00463,0.50839,3.06679,3.65159
