"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_cash_from_investing_activities","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",14.9703174603175,"Up",46800000,-7508000,39292000,-36114000,-16192000,-19922000,3178000,375000,383000,-8000,3553000,3553000,-1635000,1918000,1918000,2523000,2523000,116384000,116384000,33405000,33405000,17081000,24666000,7271000,191536000,133493000,17762000,-324585.900580868,14588000,151255000,342791000,27085000,16164000,10921000,241000,48123000,44165000,1387000,1387000,45552000,93675000,123674000,124675000,-1261000,247088000,249116000,342791000,1918000,1296000,2496000,11691000,17401000,-5030000,-5030000,-5030000,-5030000,376000,874000,13245000,13245000,215000,13460000,4474000,64962000,12770000,0.83957,0.06791,0.05391,0.01013,0.00736,5.06143,3.98013,0.37603,0.18951,0.08287,0.08041,1.53722,8.11602,0.41945,5,0.008,0.04048,-11.49352,-16.18062
"2","2010_Q3",16.9453125,"Up",62138000,-11076000,51062000,-36251000,-17649000,-18602000,14811000,380000,374000,6000.00000000023,15191000,15191000,-5757000,9434000,9434000,9808000,9808000,102193000,102193000,45765000,45765000,17116000,29372000,7732000,194446000,136839000,14462000,2825207.04970957,14063000,151301000,345747000,33017000,20300000,12717000,241000,45444000,36910000,1350000,1350000,38260000,83704000,127380000,134482000,-1641000,260221000,262043000,345747000,9434000,1350000,4780000,-11772000,3792000,-3601000,-3601000,-3601000,-3601000,333000,-14002000,-13811000,-13811000,-380000,-14191000,16161000,49096000,6545000,0.82175,0.23836,0.15784,0.03743,0.02837,0.667309999999999,4.2788,0.31943,0.142,0.3165,0.30972,2.00514,8.39712,0.2112,3,0.03139,0.02094,-3.2855,-3.58497
"3","2010_Q4",18.17546875,"Up",73986000,-11532000,62454000,-41849000,-20693000,-21156000,20605000,-965000,45000,-1010000,19640000,19640000,-7696000,11944000,11944000,13120000,13120000,151229000,151229000,7937000,7937000,17320000,34350000,8690000,210836000,141257000,14144000,4452069.01656986,14058000,155401000,366237000,37567000,22518000,15049000,253000,49858000,36225000,1160000,1160000,37385000,87243000,130863000,147602000,-2173000,276292000,278994000,366237000,11944000,1374000,4608000,36246000,54172000,-5411000,-5411000,-5411000,-5411000,368000,807000,49568000,49568000,-532000,49036000,21979000,48263000,60510000,0.84413,0.2785,0.17733,0.04703,0.03582,4.61204,4.22873,0.31271,0.13178,0.4191,0.40851,2.36337,8.82575,1.9329,7,0.03995,0.18425,-4.68474,-4.99714
"4","2011_Q1",21.3054838709677,"Up",103247000,-16998000,86249000,-51286000,-21671000,-29615000,34963000,19000,30000,-11000.0000000001,34982000,34982000,-11094000,23888000,23888000,26247000,26247000,171048000,169019000,39326000,39326000,12722000,20397000,8814000,243493000,152701000,104125000,5029000,65339000,256826000,500319000,50693000,25409000,25284000,7839000,75719000,30239000,20800000,16414000,51039000,126758000,197724000,173850000,-2110000,369464000,373561000,500319000,23888000,1970000,10006000,-13208000,22656000,-8059000,-8059000,-8059000,-9414000,1530000,3872000,17114000,17114000,676000,17790000,36933000,47426000,26760000,0.83537,0.33863,0.25422,0.07026,0.05246,1.01955,3.21575,0.33932,0.09479,0.7755,0.75624,3.05056,10.91626,0.79066,6,0.05941,0.06057,-3.3472,-3.53579
"5","2011_Q2",21.9101587301587,"Up",18533000,-1068000,17465000,-52971000,-18212000,-34759000,-35506000,34000,35000,-1000,-35472000,-35472000,12299000,-23173000,-23173000,-21397000,-21397000,143263000,136925000,11976000,11976000,22163000,38801000,7875000,216203000,157963000,97111000,5029000,65270000,255074000,471277000,38978000,24034000,14944000,15029000,70934000,29657000,11763000,7940000,41420000,112354000,204402000,152453000,-2803000,354052000,358923000,471277000,-23173000,2235000,8425000,-10210000,-22723000,-8432000,-8432000,-8432000,-12741000,-803000,3395000,-32069000,-32069000,-25000,-32094000,-33271000,46584000,-64212000,0.94237,-1.91583,-1.15454,-0.05961,-0.0454,3.00098,3.04795,0.31303,0.09885,-0.60823,-0.60823,0.52682,10.06421,-1.82528,2,-0.05128,-0.15389,2.9058,2.72289
"6","2011_Q3",17.45671875,"Down",88141000,-16069000,72072000,-51865000,-20384000,-31481000,20207000,-21000,18000,-39000,20186000,20186000,-7663000,12523000,12523000,14210000,14210000,127142000,122094000,47263000,47263000,17262000,32177000,7742000,223844000,172481000,97659000,5029000,64660000,270140000,493984000,47205000,32182000,15023000,15070000,72504000,29074000,11176000,8223000,40250000,112754000,213356000,166663000,-2771000,377248000,381230000,493984000,12523000,2279000,3060000,-24547000,-6685000,-8363000,-8363000,-8363000,-7073000,-5534000,-1037000,-14795000,-14795000,-36000,-14831000,22486000,39303000,-2761000.00000001,0.81769,0.22926,0.16122,0.03727,0.02877,-0.1943,3.08733,0.29576,0.07956,0.39891,0.39891,2.47431,10.59016,-0.0775099999999997,4,0.03292,-0.00639999999999993,-3.90639,-4.34696
"7","2011_Q4",16.4085714285714,"Down",58762000,-10706000,48056000,-46648000,-17432000,-29216000,1408000,59000,28000,31000,1467000,1467000,-1604000,-137000,-137000,1549000,1549000,128845000,125346000,48994000,48994000,17979000,40947000,9033000,236765000,188245000,87952000,5502000,64172000,276197000,512962000,49787000,33902000,15885000,14224000,68931000,48873000,10655000,7874000,59528000,128459000,215974000,168212000,-2894000,381292000,384503000,512962000,-137000,2412000,13185000,-10798000,4662000,-17358000,-17358000,-17358000,-15809000,-7092000,14347000,3200000,3200000,52000,3252000,3820000,53793000,-22732000,0.81781,0.02396,0.02636,0.00403,0.00302,-14.67527,3.43481,0.33409,0.10487,0.0432,0.0432,1.63879,10.63372,-0.63396,4,0.00345,-0.05063,-19.64712,-53.30398
"8","2012_Q1",15.5841935483871,"Down",107948000,-14328000,93620000,-47630000,-18254000,-29376000,45990000,-228000,24000,-252000,45762000,45762000,-18862000,26900000,26900000,28657000,28657000,145867000,143901000,74153000,74153000,14661000,19737000,8276000,254418000,208973000,83473000,5502000,63972000,292446000,546864000,62584000,40530000,22054000,3110000,71054000,54094000,4989000,4989000,59083000,130137000,220690000,196869000,-3313000,414246000,416727000,546864000,26900000,2429000,8528000,-926000,36931000,-19873000,-19873000,-19873000,-18340000,8034000,-45999.9999999963,18545000,18545000,10000,18555000,48419000,59454000,46482000,0.86727,0.42604,0.26547,0.06877,0.0524,1.62201,3.58063,0.31228,0.10872,0.79654,0.75086,3.00048,11.51421,1.29199,5,0.05956,0.0966,-1.78468999999999,-1.87895
"9","2012_Q2",13.6585714285714,"Down",50311000,-7511000,42800000,-45738000,-19492000,-26246000,-2938000,876000,22000,854000,-2062000,-11662000,3640000,-8022000,-8022000,-6829000,-6829000,150425000,150425000,43652000,43652000,17319000,28146000,7907000,239542000,218749000,56396000,5502000,42545000,275145000,514687000,39432000,28316000,11116000,283000,42995000,57592000,2005000,2005000,59597000,102592000,222782000,190041000,-3229000,409594000,412095000,514687000,-8022000,2373000,16326000,3163000,13840000,-10564000,-22329000,-22329000,-8598000,-8613000,1250000,6492000,6492000,32000,6524000,-565000,60872000,-11606000,0.85071,-0.0584,-0.13574,-0.01657,-0.01327,1.69952,5.57139,0.24895,0.11827,-0.18945,-0.18945,1.39575,11.36314,-0.32198,5,-0.01438,-0.02444,158.50088,30.48094
"10","2012_Q3",13.8925396825397,"Up",70379000,-13186000,57193000,-48540000,-17895000,-30645000,8653000.00000001,933000,26000,907000,9586000,9586000.00000001,-4043000,5543000,5543000,7629000,7629000,161843000,161843000,46815000,46815000,16008000,18549000,7489000,243215000,224894000,59031000,5502000,42513000,283925000,527140000,38904000,23301000,15603000,1504000,44465000,58140000,2013000,2013000,60153000,104618000,225267000,197670000,-3249000,419688000,422522000,527140000,5543000,2536000,2044000,8215000,18338000,-8592000,-8592000,-8592000,-8592000,-278000.000000004,1673000,11419000,11419000,-1000,11418000,11189000,62197000,14855000,0.81264,0.12295,0.1084,0.01806,0.01447,1.94718,5.46981,0.2476,0.11799,0.21085,0.20869,1.94509,11.59905,0.41055,4,0.01567,0.03052,-8.90571,-11.51577
