"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","foreign_exchange_gain_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",15.4896825396825,"Up",219635000,-62262000,157373000,-89390000,-43513000,-12577000,-33300000,67983000,-10262000,-9639000,-623000,57721000,-51771000,5950000,-9100000,-3150000,-3150000,-3150000,-3150000,-1744702036.66196,-1756540959.42634,-724212025.182861,-724212025.182861,-798819346.515735,-255302016.629952,-145673542.614461,-3523035424.99051,-490943437.148732,-23858581505.9805,-15138240062.0866,-8919695797.4697,164368147.602407,34986205.9733754,-24429297414.5929,-27952332839.5834,-1624249315.31316,-623305410.666263,-988573410.191817,-2077485750.2752,-8646333008.92789,-5260257286.81495,809793150.432444,-423266015.74229,-13906590295.7428,-15984076046.018,-11245715640.5536,-790579279.281755,68038217.849845,-11968256701.9855,-11968256793.5654,-27952332839.5834,-3150000,40048000,46470000,-38615000,44753000,-45095000,1215000,-43880000,-500393863.809221,1058332650.09485,-12702000,-11829000,-11829000,258000,-11571000,108031000,0,33421000,0.71652,0.30953,-0.01434,0.315559163890888,0.171629108159783,-10.60984,1.66153553734738,-1.28987166688271,-0.204139307266189,-0.01989,-0.01989,1.3867,-117.138225740854,0.21101,0.344787530342083,0.115717830237848,-145.452265960211,-126.043436408925
"2","2010_Q3",22.07859375,"Up",238771000,-67222000,171549000,-102037000,-45094000,-23644000,-33299000,69512000,-9051000,-9718000,667000,60461000,-21092000,39369000,-5400000,33969000,33969000,33969000,33969000,182804000,176566000,114409000,114409000,88134000,29093000,9576000,414440000,96480000,1509143000,1263993000,100294000,115400000,29456000,1615283000,2029723000,193738000,41880000,140535000,234236000,302939000,131865000,1402123383.47748,72419000,434804000,669040000,1563315000,-244669000,42037000,1360683000,1360683000,2029723000,33969000,40233000,16225000,18486000,108913000,-13102000,3750000,-9352000,-12500000,378737825.047427,-25502000,74058999.9999999,74058999.9999999,-385000,73674000.0000001,109745000,319223000,120529000,0.71847,0.29112,0.14227,0.02496,0.01674,3.54821,1.76933,0.49169,0.15727,0.2143,0.210959999999999,1.50635,8.58421,0.76039,0.02662,0.06653,1.24305,1.96252
"3","2010_Q4",26.65671875,"Up",208267000,-62674000,145593000,-109452000,-60187000,-13766000,-35499000,36141000,-10791000,-11092000,301000,25350000,-173232000,-147882000,-6e+07,-207882000,-207882000,-207882000,-207882000,598245000,592654000,291118000,291118000,295279000,115806000,41167000,1300448000,280161000,9551649000,6470596000,2963947000,88646000,28460000,9835455000,11135903000,654820000,175993000,463567000,845922000,3113960000,1826357000,1549578000,221747000,4940317000,5786239000,5770461000,-467744000,46947000,5349664000,5349664000,11135903000,-207882000,42338000,175498000,100970000,110924000,4385000,2e+06,315367000,0,42918941.6824757,-10590000,415701000,415701000,387000,416088000,78479000,3235550000,243834000,0.69907,0.17353,-0.99815,-0.03886,-0.01867,-1.17294,1.53731,1.08161,0.29055,-1.27305,-1.27305,1.2754,32.76073,1.49321,-0.01852,0.02342,33.60523,72.97266
"4","2011_Q1",39.0140322580645,"Up",514564000,-213592000,300972000,-263736000,-127752000,-18324000,-117660000,37236000,-52335000,-52564000,229000,-15099000,-118601000,-133700000,102570000,-31130000,-31130000,-31130000.0000001,-31130000.0000001,400352000,394269000,274819000,274819000,229582000,115413000,26088000,1020166000,281752000,9491116000,6372780000,3001376000,80085000,36875000,9774951000,10795117000,552591000,101324000,442114000,692456000,3478377000,1713188000,1436743000,226424000,5191565000,5884021000,5746771000,-934511000,98836000,4911096000,4911096000,10795117000,-31130000,131885000,550999.99999997,-102705000,-1399000.00000001,-32497000,1e+06,-31497000,213084000,-57570000,-166188000,-199084000,-199084000,699000,-198385000,169121000,3595277000,-68651000,0.58491,0.07236,-0.0605000000000001,-0.00634,-0.00288,2.2053,1.47326,1.19811,0.33305,-0.10273,-0.10358,1.69801,16.2061,-0.22654,0.02755,-0.00672,18.89136,85.80205
"5","2011_Q2",51.6804761904762,"Up",565026000,-203232000,361794000,-265219000,-139506000,-13670000,-112043000,96575000,-65141000,-67948000,2807000,31434000,-28325000,3109000,3373000,6482000,6482000,6482000,6482000,406053000,401752000,471101000,471101000,266133000,131374000,33834000,1274661000,307696000,10025701000,6563316000,3322094000,83894000,56397000,10413348000,11688009000,618863000,116122000,493962000,661466000,4699147000,1618721000,1275717000,297983000,6317868000,6979334000,5697751000,-1206692000,217616000,4708675000,4708675000,11688009000,6482000,127002000,3683000,-50837000,86330000,-324390000,-37242000,-825334000,1025463000,-31175000,742767000,3763000,3763000,3720000,7483000,223577000,4716371000,-155023000,0.64031,0.17092,0.01147,0.00138,0.000550000000000001,-23.91592,1.92702,1.48223,0.40352,0.02134,0.01947,1.86017,15.50186,-0.51037,0.00059,-0.01404,19.2789,44.63182
"6","2011_Q3",45.53171875,"Down",609387000,-173307000,436080000,-282367000,-149657000,-17764000,-114946000,153713000,-81140000,-81987000,847000,72573000,-28837000,43736000,12624000,56360000,56360000,56360000,56360000,241899000,238945000,411547000,411547000,259783000,132458000,24964000,1045687000,318851000,10454165000,6959907000,3358917000,81722000,53619000,10782186000,11827873000,609912000,126709000,415651000,761894000,4529289000,1871272000,1251086000,577680000,6400561000,7162455000,6269832000,-1887343000,282929000,4665418000,4665418000,11827873000,56360000,122276000,15594000,-3573999.99999999,190656000,15526000,54539000,-26499999.9999998,-99788000,-11700000,-330169000,-166013000,-166013000,3206000,-162807000,275989000,4546789000,275317000,0.7156,0.25224,0.09249,0.01208,0.00477,4.88497,1.37248,1.53522,0.38441,0.18575,0.17009,2.00836,15.37585,0.90736,0.00509,0.02484,15.59805,28.00602
"7","2011_Q4",41.7039682539683,"Down",600584000,-165646000,434938000,-290304000,-134801000,-17476000,-138027000,144634000,-90042000,-86452000,-3590000,54592000,-42731000,11861000,29001000,40862000,40862000,40862000,40862000,257526000,254559000,450379000,450379000,259648000,131556000,32855000,1099109000,355663000,10363589000,6832698000,3379137000,93637000,58117000,10719252000,11818361000,658657000,148777000,468241000,862667000,5187968000,1753627000,1177905000,534313000,6941595000,7804262000,6256770000,-2056402000,-186269000,4014099000,4014099000,11818361000,40862000,154936000,-4518000,-17573000,173707000,-21821000,-11745000,-442622000,476325000,-107591000,299025000,30110000,30110000,-14496000,15614000,299570000,5226911000,231175000,0.72419,0.24082,0.06804,0.01018,0.00346,5.65746,1.27408,1.94421,0.44227,0.135,0.1266,1.98421,13.26181,0.76376,0.00372,0.02103,16.58839,34.35835
"8","2012_Q1",50.9208064516129,"Up",652453000,-153913000,498540000,-358083000,-148508000,-16777000,-192798000,140457000,-74143000,-94055000,26487000,66314000,-143020000,-76706000,132561000,55855000,55855000,55855000,55855000,170449000,164111000,569268000,569268000,355212000,262577000,41884000,1357506000,414242000,11336371000,7641478000,3581512000,54681000,58700000,11750613000,13108119000,695538000,157620000,527583000,924272000,6539761000,1714256000,1188506000,487597000,8254017000,9178289000,6239738000,-2030292000,-279616000,3929830000,3929830000,13108119000,55855000,208389000,-9329000,-65135000,189780000,-19267000,0,-1514052000,1368687000,-74552000,1236542000,-87730000,-87730000,-2718000,-90447999.9999999,348846000,6651011000,131883000,0.7641,0.21528,0.08561,0.01421,0.00426,2.36117,1.46873,2.33554,0.5074,0.1809,0.17595,2.11311,12.72758,0.42713,0.00454,0.01073,18.57714,46.13912
"9","2012_Q2",50.3660317460317,"Down",856103000,-311836000,544267000,-399935000,-177286000,-22006000,-200643000,144332000,-76603000,-100902000,24299000,67729000,-80910000,-13181000,260000,-12921000,-12921000,-12921000,-12921000,331528000,330479000,613564000,613564000,373529000,213310000,52489000,1531931000,426510000,11661293000,7808814000,3730279000,34797000,87403000,12087803000,13619734000,707832000,156277000,543310000,957932000,6851013000,1734354000,1134311000,566069000,8585367000,9543299000,6221551000,-2115592000,-29524000,4076435000,4076435000,13619734000,-12921000,215582000,34286000,-69717000,167230000,53269000,1164000,-218379000,346220000,-32166000,210438000,159289000,159289000,7079000,166368000,359914000,6996075000,343206000,0.63575,0.16859,-0.01509,-0.00317,-0.00095,-26.56188,1.59921,2.34109,0.51367,-0.04198,-0.04198,2.78158,13.24481,1.11512,-0.00101,0.0268,18.51705,46.17512
"10","2012_Q3",51.174126984127,"Up",820090000,-209767000,610323000,-413721000,-185440000,-17711000,-210570000,196602000,-103832000,-99594000,-4238000,92770000,-109827000,-17057000,-4550000,-21607000,-21607000,-21607000,-21607000,395266000,395266000,611204000,611204000,388729000,235035000,56470000,1630234000,409399000,11980187000,8121556000,3724341000,36181000,98109000,12389586000,14019820000,772372000,156178000,600657000,1049197000,7356021000,1919171000,1229030000,652240000,9275192000,10324389000,6168286000,-2245886000,-226969000,3695431000,3695431000,14019820000,-21607000,221866000,85616000,-31273000,254602000,-14296000,1048000,-476141000,504240000,-41653000,292498000,70959000,70959000,-6172000,64787000,418468000,7551175000,377449000,0.74421,0.23973,-0.02635,-0.00585,-0.00154,-17.46883,1.55379,2.79383,0.53861,-0.07089,-0.07089,2.69044,12.12348,1.23828,-0.00164,0.02867,17.10025,36.39795
"11","2012_Q4",56.6817741935484,"Up",884140000,-230252000,653888000,-426017000,-188660000,-19170000,-218187000,227871000,-116489000,-114886000,-1603000,111382000,-200729000,-89347000,96992000,7645000,7645000,7645000,7645000,257730000,257730000,805010000,805010000,418252000,232678000,72214000,1713670000,450327000,11982211000,8035717000,3799613000,41181000,105700000,12432538000,14146208000,811618000,166688000,634722000,1158508000,7422558000,1779960000,1127226000,616007000,9202518000,10361026000,6186854000,-2281834000,-119838000,3785182000,3785182000,14146208000,7645000,235311000,38587000,-114716000,166827000,-52657000,0,-297396000,95342000,-108483000,-7932000,-138501000,-138501000,965000,-137536000,463182000,7630246000,198817000,0.73958,0.25773,0.00865,0.00202,0.00054,26.00615,1.4792,2.73726,0.53938,0.02514,0.02452,2.90764,12.44819,0.65384,0.00058,0.01507,15.9171,32.3539
"12","2013_Q1",67.1953333333333,"Up",920067000,-217845000,702222000,-524427000,-204714000,-20213000,-299500000,177795000,-295576000,-160218000,1242000,-117781000,-156834000,-274615000,185498000,-89117000,-89117000,-89117000,-89117000,916091000,916091000,913835000,913835000,531256000,416269000,130279000,2777451000,462724000,14710204000,9308669000,5141366000,76422000,183747000,15172928000,17950379000,1235608000,227384000,1008224000,1822752000,10535443000,1874786000,1248312000,621149000,12410229000,14232981000,6207770000,-2370976000,-119396000,3717398000,3717398000,17950379000,-89117000,313441000,-118789000,-37594000,67941000,-75416000,615388000,-1973784000,3135198000,-583698000,2562296000,656453000,656453000,1928000,658381000,491236000,11015625000,192728000,0.76323,0.19324,-0.09686,-0.02397,-0.00496,-2.16264,1.52377,3.82875,0.61367,-0.29225,-0.29979,3.01728,12.19087,0.63203,-0.00537,0.0116,20.55943,56.80438
"13","2013_Q2",78.8009375,"Up",1068400000,-300300000,768100000,-591900000,-241900000,-23800000,-326200000,176200000,-156800000,-153700000,1400000,19400000,-74200000,-54800000,27300000,-27500000,-27500000,-27500000,-27500000,413736000,413736000,1054161000,1054161000,509676000,392556000,136747000,2370129000,452969000,14663369000,9227321000,5165247000,90391000,180410000,15116338000,17486467000,1254644000,183021000,1071623000,1646128000,10327444000,1925907000,1259900000,666007000,12253351000,13899479000,6207518000,-2423731000,-196799000,3586988000,3586988000,17486467000,-27500000,341400000,46500000,-105100000,255300000,-6300000,9e+06,-234900000,-426900000,-56600000.0000001,-515900000,-495500000,-495500000,-6900000,-502400000,517600000,10617120000,378900000,0.71893,0.16492,-0.02574,-0.00767,-0.00157,-13.77818,1.43982,3.87497,0.60716,-0.08993,-0.08993,3.49379,11.72985,1.23905,-0.0017,0.02349,19.71287,57.90797
