"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","income_loss_from_affiliates","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","other_long_term_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","decrease_in_long_term_investment","increase_in_long_term_investment","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",10.5893650793651,"Up",2722700000,-1145700000,1.577e+09,-1235500000,-1.033e+09,-130600000,-71900000,341500000,46300000,-8200000,29400000,25100000,387800000,369500000,-1.26e+08,243500000,243500000,-2e+06,241500000,241500000,1308800000,1306300000,2500000,263400000,263400000,544900000,466800000,1.41e+08,2583900000,2482700000,7.8e+07,9.57e+08,262500000,310500000,3517700000,6101600000,8.64e+08,241900000,622100000,9.15e+08,156300000,1779200000,549300000,4.09e+08,4.09e+08,958300000,2737500000,258500000,3034600000,58200000,3351300000,12800000,3364100000,6101600000,243500000,138200000,56800000,330200000,768700000,-99700000,-9600000,1351108898.92133,-9600000,19900000,-1e+08,0,-6500000,38100000,8200000,39800000,708500000,708500000,-2e+06,706500000,479700000,549500000,836200000,0.5792,0.12543,0.0887,0.07179,0.03958,3.46253,1.45228,0.81374,0.09006,0.16225,0.15828,1.82928,2.25161,0.56181,0,17.1931554059261,0.05587,0.19345,0,-1.58286,-2.22343
"2","2010_Q3",10.146875,"Down",2534700000,-1064100000,1470600000,-1157300000,-9.67e+08,-128500000,-61800000,313300000,31100000,-8e+06,34400000,4700000,344400000,336500000,-118700000,217800000,217800000,-5e+05,217300000,217300000,1244300000,1.086e+09,158300000,299700000,299700000,488700000,457700000,136100000,2490400000,2414600000,2.7e+08,969700000,262800000,3.19e+08,3654300000,6144700000,994100000,286800000,707300000,652500000,152500000,1646600000,549300000,394100000,394100000,943400000,2.59e+09,3.16e+08,3177100000,47900000,3.541e+09,13700000,3554700000,6144700000,217800000,134300000,14500000,-177500000,189100000,-84800000,-350200000,776754449.460666,-350200000,5200000,-429800000,0,-1.86264514923096e-09,24600000,4700000,29299999.9999999,-211400000,-211400000,-8900000,-220300000,447600000,549300000,3.04e+08,0.58019,0.1236,0.08573,0.06113,0.03536,1.39899,1.51245,0.72861,0.08939,0.14545,0.14167,1.69659,2.37015,0.20348,6.93889390390723e-18,12.9961974477367,0.04831,0.06758,0,-1.55273,-2.21832
"3","2010_Q4",12.27046875,"Up",2.612e+09,-1076200000,1535800000,-1.224e+09,-1021600000,-125200000,-77200000,311800000,2.7e+07,-7900000,36300000,-1400000,338800000,318400000,-109900000,208500000,208500000,-6e+05,207900000,207900000,1349100000,1125200000,223900000,282500000,282500000,496600000,482700000,1.56e+08,2610900000,2361500000,263900000,970600000,260900000,311100000,3.596e+09,6206900000,1077700000,288200000,789500000,648900000,145500000,1726600000,549400000,396300000,396300000,945700000,2672300000,202200000,3288300000,30400000,3520900000,13700000,3534600000,6206900000,208500000,1.32e+08,32100000,4.5e+07,417600000,-96600000,-99300000,413618149.820222,-99300000,35700000,-160200000,-74800000,0,-141200000,6600000,-209400000,4.8e+07,4.8e+07,-8800000,39200000,443800000,549400000,502100000,0.58798,0.11937,0.07959,0.05882,0.03349,2.4151,1.51216,0.75604,0.08851,0.13931,0.13558,1.7502,2.35922,0.33644,0.05012,9.99847897909468,0.0631,0.11207,0.35979,-1.80194,-2.56479
"4","2011_Q1",13.8372580645161,"Up",2.838e+09,-1130500000,1707500000,-1349800000,-1154900000,-126100000,-68800000,357700000,61300000,-8600000,4.8e+07,21900000,4.19e+08,412600000,-134100000,278500000,278500000,4e+05,278900000,278900000,1400500000,1.164e+09,236500000,302700000,302700000,543300000,509900000,156500000,2756400000,2416500000,191800000,1021200000,262400000,346500000,3629500000,6385900000,1118600000,282600000,8.36e+08,660500000,146200000,1779100000,549400000,375100000,375100000,924500000,2703600000,146300000,3471200000,57200000,3674700000,7600000,3682300000,6385900000,278500000,136300000,3400000,-88700000,329500000,-159600000,1.2e+08,209900000,-89900000,-58500000,-99499999.9999999,-96200000,6500000,-74300000,-41700000,-205700000,24300000.0000001,24300000.0000001,14500000,38800000,4.94e+08,549400000,379800000,0.60166,0.12604,0.09827,0.07574,0.04367,1.36178,1.54932,0.73422,0.08603,0.1884,0.18341,1.91705,2.48223,0.25655,0.06498,8,0.08142,0.08244,0.34493,-1.72287,-2.37937
"5","2011_Q2",14.9815873015873,"Up",2950800000,-1192300000,1758500000,-1291100000,-1073200000,-127800000,-90100000,467400000,4.1e+07,-7900000,34500000,14400000,508400000,508400000,-160800000,347600000,347600000,-1e+06,346600000,346600000,1996500000,1.792e+09,204500000,316100000,316100000,620500000,467300000,1.51e+08,3400400000,2393600000,130600000,1006500000,263800000,317900000,3530700000,6931100000,1081100000,296800000,784300000,875300000,151300000,1956400000,549400000,3.65e+08,3.65e+08,914400000,2870800000,2.69e+08,3720100000,62600000,4051700000,8600000,4060300000,6931100000,347600000,135300000,96200000,94500000,673600000,-128900000,92800000,113800000,-2.1e+07,-7e+05,-36800000,-96900000,18873952.8285332,50500000,36500000,-9900000,626900000,626900000,1100000,6.28e+08,602700000,549400000,729100000,0.59594,0.1584,0.11746,0.08536,0.05001,2.10358,1.73809,0.70704,0.07927,0.2324,0.22603,1.97854,2.71671,0.48887,0.06497,6.80076051045266,0.08915,0.14656,0.27957,-2.40103,-3.09606
"6","2011_Q3",15.94953125,"Up",2785700000,-1171200000,1614500000,-1276600000,-1048800000,-128900000,-98900000,337900000,50900000,-7100000,38200000,19800000,388800000,388800000,-126500000,262300000,262300000,-8e+05,261500000,261500000,1.87e+09,1645200000,224800000,355700000,355700000,772400000,542200000,226700000,3540300000,2378500000,93500000,1015300000,265300000,323400000,3487300000,7027600000,1097800000,330200000,767600000,696400000,145500000,1794200000,549400000,356800000,356800000,906200000,2700400000,349500000,3883700000,84600000,4317800000,9400000,4327200000,7027600000,262300000,136300000,37800000,-440500000,-4100000,-110200000,16800000,100800000,-8.4e+07,-8900000,-102300000,-97400000,31255055.6399005,15400000,30600000,-51400000,-157800000,-157800000,1.1e+07,-146800000,474200000,549400000,5e+07,0.57957,0.1213,0.09387,0.06043,0.03721,0.1912,1.97319,0.62405,0.07818,0.17426,0.16939,1.85639,2.87738,0.03332,0.06491,6.20076051045266,0.06858,0.00955000000000003,0.37247,-2.7849,-3.90826
"7","2011_Q4",17.6779365079365,"Up",2932200000,-1237500000,1694700000,-1336600000,-1107200000,-129400000,-1e+08,358100000,51800000,-8500000,44200000,16100000,409900000,409900000,-129900000,2.8e+08,2.8e+08,-7e+05,279300000,279300000,1894400000,1720800000,173600000,361500000,361500000,856700000,474400000,152800000,3.587e+09,2384800000,89600000,1036400000,265700000,312100000,3510800000,7097800000,1.141e+09,339900000,801100000,718400000,146400000,1859400000,549400000,347500000,347500000,896900000,2756300000,175700000,4065700000,97500000,4338900000,2600000,4341500000,7097800000,2.8e+08,136600000,22500000,18100000,457200000,-133300000,54400000,119100000,-64700000,1e+06,-77900000,-97800000,37333630.6313176,-200400000,-7900000,-306100000,73200000,73200000,2400000,75600000,494700000,549400000,509400000,0.57796,0.12213,0.09525,0.06433,0.03935,1.82385,1.92912,0.63487,0.0774,0.1861,0.18096,1.95376,2.89106,0.33942,0.06517,6,0.07199,0.09724,0.35016,-2.71882,-3.75593
"8","2012_Q1",20.6795161290323,"Up",3031700000,-1314500000,1717200000,-1.356e+09,-1.115e+09,-137200000,-103800000,361200000,112600000,-9800000,56800000,65600000,473800000,5.04e+08,-145900000,358100000,358100000,2e+05,358300000,358300000,2050700000,1148100000,902600000,386500000,386500000,965800000,391900000,161500000,3794900000,2.355e+09,1.07e+08,1103500000,321600000,409600000,3565500000,7360400000,1480900000,5.4e+08,940900000,594900000,145600000,2075800000,549500000,347800000,347800000,897300000,2973100000,41200000,4297400000,46300000,4384900000,2400000,4387300000,7360400000,358100000,141800000,9900000,-24100000,485700000,-42100000,-7e+08,96300000,-796300000,-4600000,-802500000,-97400000,30800000,-1.71e+08,-3e+06,-240600000,-557400000,-557400000,-15300000,-572700000,5.03e+08,549500000,582700000,0.56641,0.11914,0.11818,0.08167,0.04868,1.62629,1.82816,0.67766,0.07466,0.23989,0.23312,2.02979,2.93579,0.39013,0.06521,6,0.08623,0.11026,0.27184,-2.98449,-4.15615
"9","2012_Q2",23.1714285714286,"Up",3435900000,-1496100000,1939800000,-1428700000,-1187200000,-134800000,-106700000,511100000,59500000,-8600000,44900000,23200000,570600000,570600000,-188400000,382200000,382200000,-1e+05,382100000,382100000,2273200000,1569600000,703600000,4.31e+08,4.31e+08,1.124e+09,408900000,180100000,4237100000,2347300000,146100000,1105100000,337100000,3.86e+08,3598500000,7835600000,1.329e+09,365900000,963100000,829800000,1.56e+08,2158800000,549500000,3.52e+08,3.52e+08,901500000,3060300000,179500000,4551200000,42100000,4772800000,2500000,4775300000,7835600000,382200000,143600000,60300000,-119800000,466300000,-153500000,158700000,780800000,-622100000,4800000,-19700000,-126800000,11012309.6109103,7.8e+07,22200000,-26600000,4.2e+08,4.2e+08,1500000,421500000,654700000,549500000,569800000,0.56457,0.14875,0.11121,0.08002,0.04876,1.49123,1.96271,0.64086,0.07013,0.25545,0.2486,2.29703,3.1908,0.38093,0.08477,6,0.08965,0.10037,0.33185,-2.63281,-3.37253
"10","2012_Q3",20.7892063492063,"Down",3195900000,-1411900000,1.784e+09,-1405800000,-1163400000,-137100000,-105300000,378200000,78700000,-8800000,52200000,35300000,456900000,456900000,-146800000,310100000,310100000,-3e+05,309800000,309800000,2234300000,1432200000,802100000,437400000,437400000,1.205e+09,474800000,259600000,4351500000,2382500000,145900000,1126600000,340700000,392100000,3.655e+09,8006500000,1284600000,388300000,896300000,686800000,155900000,1971400000,549600000,348800000,348800000,898400000,2869800000,360100000,4732100000,41700000,5133900000,2800000,5136700000,8006500000,310100000,144300000,41300000,-386400000,109300000,-160300000,-92700000,526100000,-618800000,-14300000,-267300000,-128200000,-3.72529029846191e-09,84400000,58500000,14700000,-143300000,-143300000,5900000,-137400000,522500000,549600000,122600000,0.55822,0.11834,0.09694,0.06031,0.03869,0.39574,2.20731,0.55869,0.06864,0.20525,0.20031,2.11733,3.40129,0.08122,0.08493,6,0.07258,0.02031,0.41382,-3.22431,-4.45452
