"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2013_Q3",8.98546875,"Up",9476866,-3956750,5520116,-2163429,3356687,251351,280977,3608038,3608038,-116369,3491669,3491669,3491669,3491669,6147350,6147350,7391616,7391616,2479904,2870696,638243,18889566,2349400,11275490,11148000,127490,13624890,32514456,4933132,1711280,3221852,1353713,1353713,6286845,341508,78849,341508,6628353,67533028,-7044235,-34021171,-581519,25886103,25886103,32514456,3491669,143307,167318,172478,3974772,-191928,-191928,1868656,1868656,1868656,3499994,0,3596913,0.58248,0.3542,0.36844,0.13489,0.10739,1.03014,3.00462,0.25606,0,0.12299,0.12143,0.33382,0.91182,0.1267,0.19872,0.13714,-1.75639,-1.83137
"12","2013_Q4",8.98078125,"Down",7280498,-3537418,3743080,-2653184,1089896,-34046.9999999999,-766.999999999942,1055849,1055849,-328938,726911,726911,726911,726911,11878170,11878170,926097.999999999,926097.999999999,2816369,2762407,558140,18383044,2220009,11274800,11148000,126800,13494809,31877853,3448075,1377668,2070407,1370066,1370066,4818141,326588,72838,326588,5144729,67653138,-7044235,-33294260,-581519,26733124,26733124,31877853,726911,144134,171327,6722169,7764541,-28598,-28598,5731018,5731018,5731018,1234030,-3.46944695195361e-18,8256539,0.51412,0.1497,0.09984,0.02719,0.0228,11.35839,3.81538,0.19245,0,0.02561,0.0253,0.25652,0.94191,0.29091,0.10096,0.30512,-9.62551,-10.89844
"13","2014_Q1",7.28409836065574,"Down",4789187,-2514224,2274963,-532983,1741980,-31536,-30421,1710444,1710444,4879728,6590172,6590172,6590172,6590172,8922430,8922430,2362165,2362165,2459417,3144653,514213,16888665,2094830,16186458,16048000,138458,18281288,35169953,1866742,904049,962693,1598276,1598276,3465018,301978,66799,301978,3766996,67767426,-7067910,-28715040,-581519,31402957,31402957,35169953,6590172,137952,-5085332,-2606409,-963617,-12773,-12773,-3008007,-3008007,-3008007,1879932,0,-5618978,0.47502,0.36373,1.37605,0.20986,0.18738,-0.85263,4.87405,0.11996,0,0.23203,0.22941,0.16862,1.10567,-0.19784,0.27119,-0.17723,-4.74615,-5.122
"14","2014_Q2",6.49968253968254,"Down",6690195,-3011701,3678494,-2094858,1583636,-20158,-1732,1563478,1563478,-98875.0000000009,1464603,1464603,1464603,1464603,7991187,7991187,2671582,2671582,2532874,3082450,452931,16278093,2032553,16194956,16048000,146956,18227509,34505602,3654374,1175974,2478400,1232597,1232597,4886971,344203,60139,344203,5231174,68207389,-7067910,-31283532,-581519,29274428,29274428,34505602,1464603,143749,201457.000000001,-628150.000000001,1181659,-81902,-81902,-931243,-931243,-931243,1727385,0,1116208,0.54983,0.23671,0.21892,0.05003,0.04245,0.762120000000003,3.33092,0.17869,0,0.05143,0.05086,0.23491,1.02791,0.0391900000000001,0.11802,0.0376899999999999,-4.62618,-5.0461
"15","2014_Q3",4.1296875,"Down",4346223,-1960282,2385941,-1590718,795223,84756,108724,879979,879979,-504898,375081,375081,375081,375081,5941316,5941316,2477318,2477318,4124655,2570046,288933,15113335,1891496,16205718,16048000,157718,18097214,33210549,3832095,1495929,2336166,1293892,1293892,5125987,333332,53161,333332,5459319,68346237,-7078275,-32935213,-581519,27751230,27751230,33210549,375081,143146,634216,-1168226,-15783,-2089,-2089,-2049871,-2049871,-2049871,938369,0,272952,0.54897,0.18297,0.0863,0.01352,0.01129,0.72771,2.94838,0.19672,0,0.01313,0.01295,0.15217,0.97162,0.00956,0.08534,0.00972,-6.33153,-7.47126
"16","2014_Q4",4.12265625,"Down",7900055,-3729785,4170270,-2142640,2027630,-16811,-993,2010819,2010819,-851321,1159498,1159498,1159498,1159498,4142231,4142231,5419568,5419568,3029417,2109328,374290,14700544,1752088,16222568,16048000,174568,17974656,32675200,1605335,1213365,391970,1782915,1782915,3388250,319336,46133,319336,3707586,68610729,-7285741,-31775855,-581519,28967614,28967614,32675200,1159498,142293,675078,-1661673,315196,-2884.99999999999,-2885,-1799085,-1799085,-1799085,2169923,1.73472347597681e-18,1356686,0.52788,0.25666,0.14677,0.04003,0.03549,1.17006,4.33868,0.12799,-2.58493941422821e-26,0.0406,0.04019,0.2766,1.01421,0.0475,0.10862,0.04632,-1.90893,-2.04289
"17","2015_Q1",3.48901639344262,"Down",5554113,-2667340,2886773,-3369350,-482577,-14508,11124,-497085,-497085,-69036,-566121,-566121,-566121,-566121,5796223,5796223,2943850,2943850,2983447,1349243,638243,13072763,1602307,16998084,16832000,166084,18600391,31673154,1561702,1124859,436843,1816508,1816508,3378210,229618,39105,229618,3607828,68794476,-7805655,-32341976,-581519,28065326,28065326,31673154,-566121,160155,436360,2153947,2184341,-10435,-10435,1653992,1653992,1653992,-322422,0,1890126,0.51975,-0.08689,-0.10193,-0.02017,-0.01787,-3.33873,3.86973,0.12855,0,-0.01987,-0.01963,0.19497,0.98519,0.06635,-0.02001,0.0668,17.97713,12.01098
"18","2015_Q2",2.67365079365079,"Down",6659206,-2839533,3819673,-2365824,1453849,21498,651.999999999993,1475347,1475347,-670430,804917,804917,804917,804917,4568570,4568570,5835850,5835850,3464673,581795,452795,14450888,1473167,16988958,16832000,156958,18462125,32913013,1490942,1152867,338075,1956283,1956283,3447225,210180,31899,210180,3657405,69179841,-7805655,-31537059,-581519,29255608,29255608,32913013,804917,127939,772927,-2925956,-1220173,-2282,-2282,-1227653,-1227653,-1227653,1581788,-2.77555756156289e-17,-676020,0.57359,0.21832,0.12087,0.02751,0.02446,-0.839859999999999,4.19204,0.12502,0,0.02824,0.02797,0.23364,1.02642,-0.02372,0.02749,-0.02294,-2.88823,-3.1424
"19","2015_Q3",1.50859375,"Down",10977467,-4583360,6394107,-3444714,2949393,24626,-3841,2974019,2974019,-1306445,1667574,1667574,1667574,1667574,2933802,2933802,12472276,12472276,2808907,1083169,383169,19298154,1374481,15221626,15072754,148872,16596107,35894261,2097463,1477562,619901,2547695,2547695,4645158,193034,24669,193034,4838192,69313678,-7806605,-29869485,-581519,31056069,31056069,35894261,1667574,123444,1358812,-4758890,-1609060,-24758,-24758,-1634768,-1634768,-1634768,3072837,0,-404366,0.58248,0.26868,0.15191,0.0537,0.04646,-0.24249,4.15447,0.15579,0,0.05847,0.05796,0.38488,1.08887,-0.01418,0.05336,-0.01294,-0.95475,-0.99471
"20","2015_Q4",1.63546875,"Up",7813207,-3180672,4632535,-3178687,1453848,2026,-1941,1455874,1455874,-284900,1170974,1170974,1170974,1170974,2624726,2624726,14335235,14335235,2546340,1346481,518481,20852782,1353877,14957869,14806471,151398,16311746,37164528,1557299,931337,625962,3048207,3048207,4605506,183747,18352,183747,4789253,69461910,-7806605,-28698511,-581519,32375275,32375275,37164528,1170974,121152,297879,-1798393,-208388,-100548,-100548,-309076,-309076,-309076,1575000,4.44089209850063e-16,-39041,0.59291,0.18608,0.14987,0.03617,0.03151,-0.03334,4.52779,0.14793,0,0.04103,0.04078,0.27377,1.13443,-0.00137,0.03597,-0.0012,-1.66649,-1.80536
