"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"33","2019_Q1",1.43508196721311,"Up",5203268,-2012177,3191091,-6970466,-3779375,-1228523,65,-5007898,-3711070,-4208441,-7919511,-7919511,-7919511,-7919511,3759509,3759509,3972632,3972632,2302030,1148345,1148345,11182516,404552,36865571,8543758,965152,37270123,48452639,4791440,3226036,1565404,8761487,8559035,13552927,962919,118161,5418294,18971221,96071193,-7806605,-58201651,-581519,29481418,29481418,48452639,-7919511,113681,5898590,-907733,-2814973,-2958,-2958,-1817931,-1817931,-1817931,-3665694,4455375,-367944,0.61329,-0.72635,-1.52203,-0.26863,-0.16345,0.04646,0.8251,0.6435,0.09195,-0.1436,-0.1436,0.09435,0.53456,-0.00667,-0.22692,-0.01054,-0.18983,-0.18412
"34","2019_Q2",1.69380952380952,"Up",6371809,-1727729,4644080,-5655807,-1011727,-1269573,-1278423,-2281300,-2056300,-92498,-2148798,-2148798,-2148798,-2148798,8979183,8979183,2487096,2487096,2698306,1208446,1208446,15373031,361998,36599931,8546718,773861,36961929,52334960,2673584,2103711,569873,7068647,7019552,9742231,1012190,116328,5710886,15453117,105620416,-7806605,-60350449,-581519,36881843,36881843,52334960,-2148798,119863,1764236,-1241782,-1506481,32286.3878110755,30812.4970657731,5219674,5219674,5219674,-891864,4698696,-1169068.94222024,0.72885,-0.15878,-0.33724,-0.05826,-0.04106,0.384600532772559,1.57798,0.41899,0.08978,-0.03435,-0.03435,0.10186,0.5896,-0.0175306639221387,-0.05045,-0.0296196049167839,4.79948,4.23087
"35","2019_Q3",2.08078125,"Up",6976115,-2367264,4608851,-6733441,-2124590,-1256278,-1258272,-3380868,-4008868,-25167,-4034035,-4034035,-4034035,-4034035,5896536,5896536,4027235,4027235,2998201,1220908,1220908,14142880,320802,36548372,8570150,776178,36869174,51012054,2963090,2525162,437928,8309037,8309037,11272127,1136454,240594,6195910,17468037,106316625,-7806605,-64384484,-581519,33544017,33544017,51012054,-4034035,119148,1884991,-466202,-2496098,-643.999999999985,-644,-3082647,-3082647,-3082647,-2005442,5059456,-2447121,0.66066,-0.30455,-0.57826,-0.12026,-0.07908,0.60662,1.25468,0.52075,0.09918,-0.06427,-0.06427,0.11115,0.53444,-0.03899,-0.10151,-0.06158,0.4174,0.394
"36","2019_Q4",2.23203125,"Up",9727060,-3155902,6571158,-8413160,-1842002,-1089532,-1091276,-2931534,-2774534,458,-2774076,-2774076,-2774076,-2774076,8039116,8039116,4766962,4766962,3130720,1206003,1206003,17142801,314690,36383274,8574448,684091,36697964,53840765,4599093,3134795,1464298,7064192,7064192,11663285,1127028,231167,7441313,19104598,110282851,-7806605,-67158560,-581519,34736167,34736167,53840765,-2774076,118999,1642001,485450,-527626,-74304,-74304,2142580,2142580,2142580,-1723003,6314285,-1312315,0.67555,-0.18937,-0.28519,-0.07986,-0.05152,0.47306,1.46981,0.54999,0.11728,-0.04409,-0.04409,0.1546,0.55209,-0.02086,-0.06577,-0.03111,1.00106,0.93639
"37","2020_Q1",3.7558064516129,"Up",8728403,-2895670,5832733,-7290308,-1457575,-1071022,3647622,-2528597,-3481597,421140,-3060457,-3060457,-3060457,-3060457,6295152,6295152,5021057,5021057,3647406,1843297,1843297,16806912,351895,36469963,8433669,988867,36821858,53628770,8634326,3124751,5509575,5385649,5385649,14019975,543759,247154,7275659,21295634,110940277,-7806605,-70219017,-581519,32333136,32333136,53628770,-3060457,113411,2333559,-341515,-955002,-33569,-33569,-1743964,-1743964,-1743964,-1344164,6731900,-2140388,0.66825,-0.16699,-0.35063,-0.09465,-0.05707,0.69937,1.19878,0.65863,0.12553,-0.04704,-0.04704,0.13417,0.497,-0.0329,-0.07727,-0.05404,-0.32492,-0.29964
"38","2020_Q2",3.44174603174603,"Down",10578016,-3308921,7269095,-9053488,-1784393,-1203451,-62026,-2987844,-3381844,76743,-3305101,-3305101,-3305101,-3305101,4174957,4174957,5970163,5970163,4595390,2075414,2075414,16815924,336171,37384303,8586279,1829689,37720474,54536398,7804899,3827874,3977025,9103807,9103807,16908706,1302890,1006285,7985159,24893865,111554775,-7806605,-73524118,-581519,29642533,29642533,54536398,-3305101,116623,2225382,-1547406,-2510502,-21807,-21807,-2120195,-2120195,-2120195,-1667770,6682269,-3313726,0.68719,-0.16869,-0.31245,-0.1115,-0.0606,1.00261,0.99451,0.8398,0.12253,-0.05082,-0.05082,0.16264,0.45577,-0.05095,-0.08784,-0.08807,-1.50339,-1.40513
"39","2020_Q3",2.898125,"Down",9943104,-2506606,7436498,-7736176,-299678,-1112971,51991,-1412649,-943649,133140,-810509,-810509,-810509,-810509,2557514,2557514,5802016,5802016,6016323,3084037,3084037,17459890,332362,38083903,8632613,2562047,38416265,55876155,7977358,4235679,3741679,8842801,8842801,16820159,1199937,903332,7941419,24761578,113837328,-7806605,-74334627,-581519,31114577,31114577,55876155,-810509,115774,1494111,-3216365,-2416989,-32873,-32873,-1617443,-1617443,-1617443,-183904,6741482,-3566282,0.74791,-0.03014,-0.08151,-0.02605,-0.01451,4.40005,1.03803,0.79582,0.12065,-0.0124,-0.0124,0.15212,0.47601,-0.05456,-0.02075,-0.09131,-22.75083,-13.96155
"40","2020_Q4",4.1375,"Up",10321754,-3802636,6519118,-7911970,-1392852,-1223026,-53334,-2615878,-2784878,-240502,-3025380,-3025380,-3025380,-3025380,15394423,15394423,4144351,4144351,5194442,2125730,2125730,26858946,315456,38013234,8628006,2575077,38328690,65187636,8246524,3772990,4473534,9126388,9126388,17372912,1128610,835870,6535617,23908529,127027238,-7806605,-77360007,-581519,41279107,41279107,65187636,-3025380,114762,2015640,4233485,3338507,-18764,-18764,12836909,12836909,12836909,-1278090,5407007,3177133,0.63159,-0.13494,-0.29311,-0.07329,-0.04641,-1.05016,1.54602,0.57919,0.08295,-0.04534,-0.04534,0.1547,0.61866,0.04762,-0.06327,0.06645,7.81433,7.17048
"41","2021_Q1",12.6,"Up",11749186,-2187039,9562147,-6731918,2830229,-1208834,-63491,1621395,-12941605,1109060,-11832545,-11832545,-11832545,-11832545,13588778,13588778,5227237,5227237,6704134,1494541,881267,27014690,312691,24216294,9466800,2118435,24528985,51543675,7198305,2812673,4385632,6428643,6428643,14727141,1087724,1013000,6705218,21432359,127691992,-7806605,-89192552,-581519,30111316,30111316,51543675,-11832545,115582,14634842,-3258990,-341111,-32316,-32316.0000000005,-1805645,-1805645,-1805645,2945811,6717687,-1454555,0.81386,0.24089,-1.00709,-0.39296,-0.22956,0.122929999999999,1.83435,0.71177,0.13033,-0.16931,-0.16931,0.16812,0.43086,-0.02081,-0.31207,-0.03836,-2.3325,-2.42775
"42","2021_Q2",8.8068253968254,"Down",14616989,-3780356,10836633,-10059634,776999,-1277154,-87971,-500155,17306003,-78302,17227701,17227701,17227701,17227701,30921496,30921496,4155792,4155792,6665908,5824110,3324110,47567306,287997,24933174,9429298,4522563,25221171,72788477,9169173,3274856,5894317,7893359,7893359,17062532,992084,917360,6977812,24040344,129101108,-7806605,-71964851,-581519,48748133,48748133,72788477,17227701,91783,-17393666,733423.000000001,659241,-7186,14992814,17332718,17332718,17332718,868782.000000001,5985728,1673321,0.74137,0.0531599999999999,1.17861,0.3534,0.23668,0.09713,2.78782,0.49315,0.08223,0.24501,0.22728,0.20788,0.6933,0.0238,0.30915,0.03003,-28.70199,-32.09241
"43","2021_Q3",7.93796875,"Down",13340487,-2432187,10908300,-12379710,-1471410,-1299881,-48330,-2771291,-2824291,-21690,-2845981,-2845981,-2845981,-2845981,136675153,136675153,5149154,5149154,7794523,6432823,3932823,156051653,271166,24828430,9435877,4429097,25099596,181151249,11027172,5722391,5304781,7840028,7840028,18867200,876060,801336,6788043,25655243,238694962,-7806605,-74810832,-581519,155496006,155496006,181151249,-2845981,39620,998415,-781560,-2589506,-4932,-4931.99999999814,105753657,105753657,105753657,-1431790,5911983,-2196592,0.81768,-0.1103,-0.21333,-0.0183,-0.01571,0.77182,8.27106,0.16499,0.03264,-0.03788,-0.03328,0.17759,2.06992,-0.02924,-0.01754,-0.01354,91.32846,88.8693
"44","2021_Q4",7.65015625,"Down",17655592,-3782480,13873112,-16744976,-2871864,-1322065,-34540,-4193929,-5565929,2873063,-2692866,-2692866,-2692866,-2692866,123155968,123155968,8313543,8313543,6945916,15990107,1444081,154405534,392012,25275537,12379578,1950360,25667549,180073083,12110720,4927680,7183040,5101237,5101237,17211957,792703,717979,7892848,25104805,240860100,-7806605,-77503698,-581519,154968278,154968278,180073083,-2692866,39310,-3708722,-6472013,-12834291,-142298,-142298,-13519185,-13519185,-13519185,-2832554,7100145,-12319928,0.78576,-0.16266,-0.15252,-0.01738,-0.01495,4.57502,8.97083,0.162,0.03943,-0.03378,-0.03091,0.22144,1.94368,-0.15452,-0.0165299999999999,-0.07565,40.97215,40.41132
"45","2022_Q1",5.43290322580645,"Down",15646460,-3337282,12309178,-14180404,-1871226,-1139321,18474,-3010547,-4650547,356067,-4294480,-4294480,-4294480,-4294480,122359535,122359535,8794224,8794224,5574253,15025475,850889,151753487,592603,25800633,13024550,1848341,26393236,178146723,12032196,3409771,8622425,497903,497903,15767310,688333,624907,10085469,25852779,242480246,-7806605,-81798178,-581519,152293944,152293944,178146723,-4294480,40681,540739,2906592,-806468,-222233,-222233,-796433,-796433,-796433,-1830545,12634347,497746.999999998,0.78671,-0.11959,-0.27447,-0.0282,-0.02411,-0.1159,9.62456,0.16976,0.07092,-0.05722,-0.05186,0.20847,2.0291,0.00663000000000002,-0.02593,0.00300999999999998,59.94127,58.63813
"46","2022_Q2",11.6064516129032,"Up",14135132,-2293050,11842082,-16804367,-4962285,-1094066,64616,-6056351,-6265351,-114655,-6380006,-6380006,-6380006,-6380006,116103961,116103961,8071541,8071541,4899868,16631298,1940149,145706668,869442,25588447,12931129,1747434,26457889,172164557,9873575,4087708,5785867,4066928,4066928,13940503,601121,537695,10219819,24160322,244570543,-7806605,-88178184,-581519,148004235,148004235,172164557,-6380006,43228,2607253,-4928267,-8657792,-302209,2197791,-6255574,-6255574,-6255574,-4919057,9618698,-10034878,0.83778,-0.35106,-0.45136,-0.04311,-0.03706,1.57286,10.45204,0.16324,0.05587,-0.07986,-0.07986,0.17694,1.85267,-0.12561,-0.04032,-0.06342,21.6475,21.45892
"47","2022_Q3",14.42625,"Up",13028394,-1853116,11175278,-22940242,-11764964,-1211316,1386,-12976280,-14205280,27450,-14177830,-14177830,-14177830,-14177830,112015505,112015505,8134690,8134690,6415463,13895695,1657144,140461353,1025463,31338433,13019385,7427021,32363896,172825249,16509956,7518071,8991885,4671502,4671502,21181458,4523858,4460432,15645348,36826806,246742581,-7806605,-102356014,-581519,135998443,135998443,172825249,-14177830,47061,2523905,7660187,-3946677,-185225,-185225,-4088456,-4088456,-4088456,-11717903,11121490,-4270391,0.85776,-0.90302,-1.08823,-0.10425,-0.08204,0.3012,6.63134,0.27079,0.06435,-0.17717,-0.17717,0.16281,1.69949,-0.05336,-0.09349,-0.02816,8.61024,8.5758
