"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q4",20.305625,"Up",194843000,-114954000,79889000,-79107000,-22612000,-13341000,-43154000,782000,-1086000,-1086000,-304000,-7180000,2967000,-4213000,-4213000,-4213000,-4213000,24627197.8086085,24627197.8086085,31184371.8294928,31184371.8294928,19624889.0371414,13293068.343686,1806018.6352877,88729527.0189287,426826888.588805,110243428.899857,-1450484.85448947,537070317.488662,625799844.50759,11286213.5769942,22463851.0422851,-11177637.4652909,77989292.4782819,83404190.0874647,131807973.596943,152088548.741064,26515405.2407308,26515405.2407308,178603953.981795,310411927.578738,151644571.550962,54248469.9440371,108167949.180547,1326926.25330658,315387916.928853,315387916.928853,625799844.50759,-4213000,13341000,5374000,2189000,16691000,-8550000,-8550000,-10810000,-6604000,40000,40000,-6564000,-683000,-683000,-683000,14123000,0,4795000,0.41002,0.00401,-0.02162,0.0167133642497354,0.00824564334737175,-1.13814,0.632840181091845,0.983791688170287,0.314328402768374,-0.27156,-0.26841,12.55917,13.5348062723372,0.30908,0.0097509878859916,-0.0166515306913473,12.9675750702667,103.913443047992
"2","2011_Q1",22.8220967741935,"Up",192573000,-114005000,78568000,-75600000,-19503000,-12961000,-43136000,2968000,-775000,-884000,2193000,1170000,1057000,2227000,2227000,2227000,2227000,17889000,17889000,6983000,6983000,16037000,12716000,7600000,53625000,414048000,111584000,6759000,525632000,579257000,60505000,12776000,47729000,17334000,14391000,97416000,138945000,42235000,42235000,181180000,278596000,171575000,-50321000,179604000,-197000,300661000,300661000,579257000,2227000,12961000,3091000,784000,19063000,-9169000,-9169000,-10091000,-2498000,175000,175000,-2323000,6649000.00000001,6649000.00000001,6649000,15929000,158522000,6487000,0.40799,0.01541,0.01156,0.00741,0.00384,2.91289,0.55047,0.92661,0.27366,0.14219,0.14066,12.29556,19.19685,0.41419,0.00444,0.01294,8.82874,47.38309
"3","2011_Q4",26.0526984126984,"Down",206244000,-119831000,86413000,-80616000,-22926000,-13006000,-44684000,5797000,-1556000,-1556000,4241000,1700000,369000,2069000,2069000,2069000,2069000,27094000,27094000,8277000,8277000,16616000,12394000,9665000,64381000,405453000,110814000,9155000,516267000,580648000,71662000,12457000,59205000,14470000,10461000,96241000,146944000,44787000,44787000,191731000,287972000,176796000,-80985000,197276000,-411000,292676000,292676000,580648000,2069000,13006000,2216000,1577000,18868000,-12073000,-13195000,-11482000,-2056000,-19931000,356000,-22823000,-15437000,-15437000,-15437000,18803000,157053000,7938000,0.41898,0.02811,0.01003,0.00707,0.00356,3.83664,0.66896,0.98393,0.27048,0.14109,0.13865,14.06465,19.95881,0.54133,0.00418,0.01605,6.91161,22.41832
"4","2012_Q1",33.3641935483871,"Up",205981000,-119379000,86602000,-78977000,-23616000,-12521000,-42840000,7625000,-1489000,-1461000,6136000,2990000,-85000,2905000,2905000,2905000,2905000,35036000,35036000,14785000,14785000,18040000,12786000,9970000,80647000,402360000,109969000,9231000,512329000,592976000,68887000,14798000,54089000,27467000,24139000,106486000,146799000,44993000,44993000,191792000,298278000,178128000,-83285000,200181000,-326000,294698000,294698000,592976000,2905000,12521000,8224000,-1069000,22581000,-12557000,-11435000,-12354000,-122000,-2163000,137000,-2285000,7942000,7942000,7942000,20146000,156931000,6605000,0.42044,0.03702,0.0141,0.00986,0.0049,2.27367,0.75735,1.01215,0.26465,0.19333,0.19058,13.70831,19.61254,0.43957,0.00585,0.0133,6.05058,15.98623
"5","2012_Q4",31.9675806451613,"Up",213317000,-123795000,89522000,-82436000,-24469000,-13284000,-44683000,7086000,-1093000,-1093000,5993000,4743000,-1210000,3533000,3533000,3533000,3533000,26866000,26866000,9479000,9479000,17386000,14517000,10707000,68248000,405429000,110640000,10106000,516069000,584317000,73303000,13755000,59548000,19968000,14738000,107151000,118091000,52008000,52008000,170099000,277250000,184732000,-98940000,222019000,-744000,307067000,307067000,584317000,3533000,13284000,1189000,4257000,22263000,-15091000,-15091000,-15091000,-3e+06,-7244000,699000,-10244000,-3072000,-3072000,-3072000,20370000,131971000,10746000,0.41967,0.03322,0.01656,0.01151,0.00605,3.04161,0.63693,0.9029,0.22586,0.24649,0.24238,14.88293,21.42378,0.74974,0.00719,0.02188,5.15979,14.83277
"6","2013_Q1",40.1905,"Up",240679000,-139386000,101293000,-88451000,-26878000,-1.3e+07,-48573000,12842000,-1240000,-1469000,11602000,8044000,-1552000,6492000,6492000,6492000,6492000,22440000,22440000,16386000,16386000,18371000,17307000,13439000,74504000,413258000,109370000,9642000,522628000,597132000,68618000,14241000,54377000,32881000,28187000,102283000,134211000,53719000,53719000,187930000,290213000,185991000,-107589000,228512000,5000,306919000,306919000,597132000,6492000,1.3e+07,4225000,-1684000,22033000,-20279000,-20279000,-20279000,2929000,-8160000,490000,-6180000,-4426000,-4426000,-4426000,25842000,134995000,5431000,0.42086,0.05336,0.02697,0.02115,0.01087,0.83657,0.72841,0.94557,0.22607,0.46065,0.45266,17.07791,21.77812,0.38537,0.0131,0.01096,4.35551,8.7646
"7","2013_Q4",75.66,"Up",230673000,-133877000,96796000,-87512000,-27481000,-13436000,-46595000,9284000,-624000,-624000,8660000,6178000,-1517000,4661000,4661000,4661000,4661000,17964000,17964000,14388000,14388000,21276000,14560000,10952000,68188000,437508000,108366000,9733000,545874000,614062000,82464000,17279000,65185000,40420000,20032000,122884000,90130000,60170000,60170000,150300000,273184000,195997000,-108899000,253792000,-12000,340878000,340878000,614062000,4661000,13436000,-2020000,-4900000,11177000,-18704000,-18704000,-18704000,8803000,-1570000,933000,8946000,1419000,1419000,1419000,22720000,90130000,633000,0.41962,0.04025,0.02021,0.01367,0.00759,0.13581,0.5549,0.80141,0.14678,0.32597,0.31955,16.13211,23.83929,0.04427,0.00949,0.00129,3.17632,7.77316
"8","2014_Q1",70.3847540983607,"Down",241926000,-139937000,101989000,-90472000,-30803000,-13611000,-46058000,11517000,-178000,-305000,11339000,7899000,-940000,6959000,6959000,6959000,6959000,17108000,17108000,22568000,22568000,21992000,18978000,16026000,80646000,444727000,109272000,9947000,553999000,634645000,89490000,19117000,70373000,50422000,35740000,139912000,87888000,59442000,59442000,147330000,287242000,197163000,-110486000,260751000,-25000,347403000,347403000,634645000,6959000,13611000,3118000,7659000,31347000,-28483000,-28483000,-27838000,-3207000,-1591000,909000,-4365000,-855999.999999998,-855999.999999998,-856000.000000002,25128000,87888000,5244000,0.42157,0.04761,0.02876,0.02003,0.01097,0.75356,0.57641,0.82683,0.13848,0.48552,0.47586,16.87895,24.23798,0.36587,0.01407,0.0106,2.81678,6.1457
"9","2014_Q4",63.4915625,"Up",267376000,-157158000,110218000,-98387000,-27830000,-15210000,-55347000,11831000,-985000,-985000,10846000,8240000,-1032000,7208000,7208000,7208000,7208000,19940000,19940000,12684000,12684000,24639000,16875000,13817000,74138000,490804000,143005000,12849000,633809000,707947000,85952000,18891000,67061000,45586000,25872000,131538000,155446000,64722000,64722000,220168000,351706000,199946000,-131898000,289373000,-1180000,356241000,356241000,707947000,7208000,15210000,521000,3916000,26855000,-27130000,-27130000,-68969000,18798000,-17466000,168000,1561000,-40553000,-40553000,-40603000,27041000,155446000,4859000,0.41222,0.04425,0.02696,0.02023,0.01018,0.67411,0.56362,0.98727,0.21957,0.50664,0.49983,18.79356,25.03978,0.34153,0.01251,0.00843,5.01113,11.45347
"10","2015_Q1",81.0696721311475,"Up",282109000,-161318000,120791000,-105788000,-31585000,-16363000,-57840000,15003000,-691000,-911000,14312000,4260000,-321000,3939000,3939000,3939000,3939000,22408000,22408000,23740000,23740000,25947000,27837000,23160000,99932000,496262000,139695000,13101000,635957000,735889000,102968000,28522000,74446000,60701000,45049000,163669000,147313000,65136000,65136000,212449000,376118000,200635000,-132252000,293312000,-1924000,359771000,359771000,735889000,3939000,16363000,8218000,12123000,40643000,-31844000,-31844000,-29731000,-8211000,-533000,639000,-8440000,2472000,2472000,2468000,31366000,147313000,11966000,0.42817,0.05318,0.01396,0.01095,0.00535,3.03783,0.61057,1.04544,0.20018,0.28034,0.27667,20.0775,25.60465,0.85161,0.00688,0.02091,3.98218,8.32533
