"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q4",9.1178125,"Up",19973000,-13994000,5979000,-4233000,-3937000,-296000,1746000,-643000,-553000,1103000,1103000,-376000,727000,727000,727000,727000,24268944.4942691,24268944.4942691,2723214.93904378,20620376.0896921,-1639793.026793,47612535.523005,86877889.9596532,15474746.1658919,4819905.68312692,6277666.86064741,102352636.125545,149965171.64855,62635604.3469271,66272854.7638619,-12155142.6395257,1336425.98203859,1336425.98203859,66585467.9060987,124184357.375058,23709556.9045788,-4822677.86018088,11884274.4640896,-4990339.23485174,25780814.2734919,25780814.2734919,149965171.64855,727000,5616000,-538000,-3653000,2152000,794000,-8298000,5507000,-639000,-639000,394000,-245000,7362000,0,4879000,0.29935,0.08742,0.0364,0.137890614450955,0.0983935708917038,6.71114,-0.583613017132825,1.26291464047029,0.428621332941976,0.07332,0.07125,2.01422,-0.291740834272089,0.49203,0.123924031884835,0.123233894237924,5.48059379232656,23.48490553614
"2","2011_Q1",11.1506451612903,"Up",19735000,-10670000,9065000,-5767000,-4469000,-3e+05,3298000,-511000,-340000,2787000,2787000,-1033000,1754000,1754000,1754000,1754000,14647000,14647000,4813000,25294000,2128000,44754000,79095000,14122000,5358000,4444000,93217000,137971000,11644000,5203000,5165000,778000,778000,15599000,43256000,77528000,-4843000,14976000,7054000,94715000,94715000,137971000,1754000,6131000,1824000,133000,9842000,851000,-15836000,10796000,4802000,4802000,324000,5126000,9429000,26520000,11446000,0.45934,0.16711,0.08888,0.01852,0.01271,6.52566,2.86903,0.4567,0.19221,0.17771,0.17228,1.99949,9.59625,1.15968,0.01397,0.09117,1.2592,3.60006
"3","2011_Q2",14.9731746031746,"Up",26502000,-12577000,13925000,-4953000,-4648000,-305000,8972000,-511000,-336000,8461000,8461000,-2368000,6093000,6093000,6093000,6093000,12244018.5019103,12244018.5019103,5552511.68698541,27941624.6367693,3484931.008931,45738154.825665,86514203.3467823,13346917.9447027,5434698.10562436,3611277.71311753,99861121.291485,145599276.11715,2794881.88435765,-6877118.25462063,10371714.2131752,1156608.00598714,1156608.00598714,7084010.69796711,18190464.2083139,103281647.698474,-4853274.04660637,18131491.8453035,10848946.4116172,127408811.908836,127408811.908836,145599276.11715,6093000,6429000,1204000,-3137000,10589000,281000,-8006000,-2985000,-402000,-402000,396000,-6000,15401000,0,14913000,0.52543,0.33854,0.22991,-0.0122768714836516,-0.00874035696390128,2.44756,3.37136933904427,0.167789286509903,0.0662528890193412,0.61403,0.58195,2.67076,12.971138611424,1.50287,-0.0128330106282783,0.0798220352540252,-0.678193764108854,-4.02428184538001
"4","2011_Q3",16.1909375,"Up",21278000,-13065000,8213000,-5614000,-5794000,-312000,2599000,-431000,-336000,2168000,2168000,-868000,1300000,1300000,1300000,1300000,13897000,13897000,5597000,30192000,3395000,49686000,101563000,13025000,5231000,3474000,114588000,164274000,15963000,6960999.99999999,8594000,1790000,1790000,20415000,26028000,110906000,-4857000,22369000,9828000,138246000,138246000,164274000,1300000,7050000,-1164000,1863000,9049000,127000,-22202000,12148000,-1005000,-1005000,261000,-744000,9649000,3746000,12507000,0.38599,0.12214,0.0611,0.00940000000000001,0.00791,9.62077,2.4338,0.18827,0.0228,0.11849,0.11191,1.93948,12.60104,1.14001,0.00887000000000002,0.08536,-1.05203,-3.90573
"5","2011_Q4",15.614126984127,"Down",28020000,-13675000,14345000,-5944000,-4961000,-304000,8401000,655000,680000,9056000,9056000,-2293000,6763000,6763000,6763000,6763000,15906000,15906000,5784000,34899000,2747000,56589000,115213000,12781000,4924000,3537000,127994000,184583000,28844000,20995000,5704000,1790000,1790000,32667000,41642000,111192000,-4857000,29132000,7474000,142941000,142941000,184583000,6763000,7559000,-1090000,-4510000,8722000,1611000,-8878000,2636000,2480000,2480000,-471000,2009000,15960000,6254000,15354000,0.51196,0.29982,0.24136,0.04731,0.03664,2.27029,1.7323,0.29132,0.03388,0.54633,0.52099,2.26351,11.54706,1.24033,0.04393,0.09973,-0.60476,-1.14891
"6","2012_Q1",22.9567741935484,"Up",37034000,-15765000,21269000,-6697000,-5951000,-318000,14572000,73000.0000000001,174000,14645000,14645000,-4480000,10165000,10165000,10165000,10165000,15287000,15287000,6708000,43283000,2530000,65278000,120377000,12574000,4696000,3558000,132951000,198229000,22039000,13037000,6583000,543000,543000,23981000,42795000,113790000,-4857000,39297000,7204000,155434000,155434000,198229000,10165000,7736000,-1723000,-8580000,7598000,2959000,-18226000,10344000,-284000,-284000,-335000,-618999.999999999,22308000,14183000,21167000,0.57431,0.39348,0.27448,0.0654,0.05128,2.08234,2.72207,0.27533,0.07155,0.81614,0.76955,2.97342,12.47965,1.69948,0.05787,0.12051,-0.04949,-0.07576
"7","2012_Q2",20.1409523809524,"Down",34631000,-17745000,16886000,-5220000,-5319000,-329000,11666000,-603000,-598000,11063000,11063000,-2607000,8456000,8456000,8456000,8456000,17432000,17432000,6540000,40305000,3193000,64277000,127059000,13888000,4621000,4223000,140947000,205224000,13433000,6049000,4848000,522000,522000,14134000,38928000,114430000,-4857000,47753000,8970000,166296000,166296000,205224000,8456000,8757000,-2281000,2932000,17864000,2186000,-21626000,5631000,1869000,1869000,276000,2145000,20423000,19538000,28148000,0.4876,0.33687,0.24417,0.05085,0.0412,3.32876,4.54769,0.23409,0.0952,0.66973,0.63455,2.74283,13.17092,2.22937,0.04421,0.14716,0.10312,0.18052
"8","2012_Q3",16.801746031746,"Down",23080000,-15680000,7400000,-6059000,-5719000,-340000,1341000,-67000,29000.0000000001,1274000,1274000,5128000,6402000,6402000,6402000,6402000,21545000,21545000,6977000,35262000,1646000,63784000,118499000,10999000,4332000,578000,129498000,193282000,6909000,3241000,3668000,1021000,1021000,8105000,21052000,115873000,-4857000,54155000,7059000,172230000,172230000,193282000,6402000,8810000,-1844000,-1952000,11416000,2865000,-639000,-6829000,3948000,3948000,165000,4113000,10151000,12705000,5936000,0.32062,0.0581,0.27738,0.03717,0.03312,0.92721,7.86971,0.12223,0.06573,0.50545,0.48273,1.8222,13.59782,0.46866,0.03454,0.03203,-0.87085,-6.5921
"9","2012_Q4",13.8625806451613,"Down",18573000,-14219000,4354000,-6216000,-5869000,-362000,-1862000,-316000,-395000,-2178000,-2178000,956000,-1222000,-1222000,-1222000,-1222000,23990000,23990000,7524000,32521000,4072000,64035000,117388000,12298000,4185000,412000,129686000,193721000,6719000,3976000,2743000,925000,925000,7786000,21677000,116402000,-4857000,52932000,7567000,172044000,172044000,193721000,-1222000,8703000,-2632000,2e+06,6849000,1563000,-6652000,1272000,1469000,1469000,976000,2445000,6841000,13616000,9448000,0.23443,-0.10025,-0.06579,-0.0071,-0.00631,-7.73159,8.22438,0.126,0.07029,-0.0957,-0.09255,1.45454,13.47357,0.73992,-0.00657,0.05077,-1.51644,5.57143
"10","2013_Q1",15.4401666666667,"Up",28401000,-19628000,8773000,-6016000,-5632000,-369000,2757000,608000,575000,3365000,3365000,49999.9999999995,3415000,3415000,3415000,3415000,15150000,15150000,6188000,36540000,3079000,57878000,119608000,12921000,3989000,316000,132529000,190407000,8796000,6921000,1875000,539000,539000,9480000,14094000,116644000,-4860000,56348000,8181000,176313000,176313000,190407000,3415000,8669000,-2369000,-1587000,8128000,3833000,-5780000,-9949000,-7601000,-7601000,-1239000,-8840000,11426000,4383000,13622000,0.3089,0.09707,0.12024,0.01937,0.01794,3.98887,6.10527,0.07994,0.02302,0.26682,0.25918,2.219,13.77553,1.0643,0.01886,0.07523,-0.94232,-3.90533
