"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","income_loss_from_affiliates","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","other_long_term_assets","intangible_assets","investments_in_affiliates","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","non_cash_items","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_change_in_long_term_investment","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repurchase_of_equity","increase_in_capital_stock","decrease_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","dividends_per_share","return_on_invested_capital","dividend_payout_ratio","net_debt_ebit"
"1","2010_Q2",18.5719047619048,"Up",221535000,-25583000,195952000,-84979000,-11106000,-73873000,110973000,25303000,1229000,24074000,136276000,-40149000,96127000,-36269000,59858000,59858000,59420000,59420000,626566762.268424,626566762.268424,86151911.3687267,86151911.3687267,-13651277.0544304,-13651277.0544304,699067396.58272,142961539.723635,217205781.545178,347133206.020124,279922984.197961,54902250.67824,10347650.1294077,707300527.288937,1406367923.87166,146379878.315346,17234999.3064142,129144879.008932,5867179.45602722,5867179.08789792,151462738.461671,77853107.5599248,73280986.7739239,4572120.78600087,281535253.027524,432997991.489195,596207490.918972,382093281.903437,-15007344.3973156,963293428.425093,973369932.382463,1406367923.87166,59858000,-41758000,18100000,-12948000,-12948000,-4541000,4622000,-39083000,-47409000,-17121000,-11241000,6072000,-17313000,-60907000,-90216000,-90216000,-90216000,0,0.88452,0.50093,0.26822,0.0692760297677452,0.0490566660975285,4.43866682871388,0.441518825303489,0.147053759360562,0.4229,0.30983,1.57668,12.3972825784323,0.12185,0.185318855131745,0.28814,-3.71540552922358
"2","2010_Q3",16.7378125,"Down",228388000,-24600000,203788000,-84871000,-11581000,-73290000,118917000,24606000,1087000,23519000,143523000,-57081000,86442000,-32603000,53839000,53839000,53478000,53478000,461929000,461929000,135233000,135233000,63496000,63496000,660658000,147159000,177379000,364925000,284834000,61370000,17579000,689463000,1350121000,115993000,8176000,107817000,151000,151000,116144000,92169000,86417000,5752000,242169000,358313000,546117000,434370000,-1521000,978966000,991808000,1350121000,53839000,-13352000,40487000,-11831000,-11831000,-2660000,21975000,1570000,11714000,-18890000,-22581000,7749000,-30330000,-90933000,-38732000,-38732000,-38732000,1.5e+08,0.89229,0.52068,0.23415,0.05392,0.03961,5.68827,0.36127,0.1111,0.38061,0.27958,1.62546,6.96738,0.13444,0.05865,0.35323,-2.62308
"3","2010_Q4",19.20546875,"Up",219513000,-25237000,194276000,-79762000,-11600000,-68162000,114514000,26531000,1285000,25246000,141045000,-50013000,91032000,-34311000,56721000,56721000,56389000,56389000,451778000,451778000,144620000,144620000,64823000,64823000,661221000,144026000,177889000,370889000,289604000,63096000,16993000,692804000,1354025000,116275000,5226000,111049000,65000.0000000005,64999.9999999995,116340000,96944000,91108000,5836000,216944000,333284000,546940000,456775000,2676000,1006391000,1020741000,1354025000,56721000,5537000,62258000,-14886000,-14886000,-4367000,8150000,0,-6736000,0,-35670000,1970000,-37640000,-65673000,-10151000,-10151000,-10151000,1.2e+08,0.88503,0.52167,0.25688,0.05524,0.04165,5.68352,0.32651,0.08862,0.29754,0.29754,1.15826,5.31021,0,0.04556,0,-2.89727
"4","2011_Q1",19.7725806451613,"Up",231399000,-26302000,205097000,-92286000,-11663000,-80623000,112811000,27865000,1247000,26618000,140676000,-44496000,96180000,-33278000,62902000,62902000,62400000,62400000,496292000,496292000,136490000,136490000,49550000,49550000,682332000,140568000,179364000,374959000,294332000,64409000,14831000,694891000,1377223000,125992000,4582000,121410000,1608000,1608000,127600000,97898000,92253000,5645000,192898000,320498000,567254000,471159000,3157000,1041570000,1056725000,1377223000,62902000,8735000,108481000,-12675000,-12675000,-2043000,13201000,430000,956000,-18623000,-22187000,12305000,-34492000,-64923000,44514000,44514000,44514000,9.5e+07,0.88633,0.48752,0.26966,0.05905,0.04531,5.34743,0.30329,0.06898,0.32981,0.32981,1.22303,5.50507,0.09843,0.06484,0.29845,-3.55721
"5","2011_Q2",19.2206349206349,"Down",232493000,-26296000,206197000,-86599000,-11842000,-74757000,119598000,30289000,1340000,28949000,149887000,-57723000,92164000,-34124000,58040000,58040000,57728000,57728000,498039000,498039000,133728000,133728000,69945000,69945000,701712000,142333000,148384000,385606000,299006000,69237000,16328000,676323000,1378035000,123980000,2741000,121239000,1086000,1086000,125066000,100013000,94074000,5939000,160013000,285079000,578131000,493646000,5292000,1077069000,1092956000,1378035000,58040000,296000,58336000,-18023000,-18023000,-7368000,19645000,4905000,6527000,0,-28907000,10594000,-39501000,-63116000,1747000,1747000,1747000,6e+07,0.8869,0.51442,0.2483,0.05282,0.04189,5.61073,0.26083,0.04354,0.30626,0.30626,1.23342,5.71405,0,0.04607,0,-3.66259
"6","2011_Q3",15.463125,"Down",237760000,-26304000,211456000,-88606000,-12183000,-76423000,122850000,30811000,1281000,29530000,153661000,-70841000,82820000,-28707000,54113000,54113000,53603000,53603000,442311000,442311000,149425000,149425000,72746000,72746000,664482000,136543000,138479000,391301000,302337000,72439000,15874000,666323000,1330805000,104190000,2855000,101335000,361000,361000,104551000,99192000,91643000,7549000,139192000,243743000,587451000,475667000,7042000,1070160000,1087062000,1330805000,54113000,-19609000,34504000,-9487000,-9487000,394999.999999999,4301000,0,-5186000,-22041000,-44385000,10251000,-54636000,-85046000,-55728000,-55728000,-55728000,4e+07,0.88937,0.5167,0.22545,0.04931,0.04028,6.35558,0.22422,0.03006,0.28662,0.28662,1.27131,5.72217,0.11785,0.06169,0.41119,-3.27481
"7","2011_Q4",13.7092063492063,"Down",233227000,-24613000,208614000,-86976000,-12354000,-74622000,121638000,25182000,1274000,23908000,146820000,-71920000,74900000,-25256000,49644000,49644000,49232000,49232000,428865000,428865000,139461000,139461000,69069000,69069000,637395000,133115000,137108000,396089000,305589000,67994000,21455000,666312000,1303707000,111864000,6904000,104960000,1109000,1109000,132973000,101854000,90682000,11172000,101854000,234827000,582823000,470380000,386999.999999999,1053590000,1068880000,1303707000,49644000,33052000,82696000,-13790000,-13790000,-3771000,4797000,-7499000,-16492000,0,-58962000,1654000,-60616000,-79650000,-13446000,-13446000,-13446000,2e+07,0.89447,0.52154,0.21109,0.04606,0.03776,4.79342,0.21969,0.01534,0.26964,0.26964,1.27739,5.77053,0,0.04135,0,-3.36133
"8","2012_Q1",16.7811290322581,"Up",226247000,-25921000,200326000,-90135000,-12380000,-77755000,110191000,24780000,1349000,23431000,134971000,-66368000,68603000,-23750000,44853000,44853000,44396000,44396000,420986000,420986000,142109000,142109000,70706000,70706000,633801000,129548000,139333000,391877000,309133000,68454000,13140000,660758000,1294559000,149043000,1999000,147044000,2030000,2030000,151073000,102027000,93751000,8276000,102027000,253100000,579714000,443702000,1900000,1025316000,1041459000,1294559000,44853000,-1950000.00000001,81426000,-11925000,-11925000,-1527000,-2874000,-2e+06,-16799000,0,-52457000,1722000,-54179000,-72506000,-7879000,-7879000,-7878999.99999999,0,0.88543,0.48704,0.19623,0.04263,0.03429,4.19533,0.24302,0,0.24884,0.24884,1.26812,5.7469,-1.38777878078145e-17,0.03883,0,-3.82051
"9","2012_Q2",16.5839682539683,"Down",237898000,-28003000,209895000,-95630000,-13054000,-82576000,114265000,28656000,1326000,27330000,142921000,-62971000,79950000,-29715000,50235000,50235000,49965000,49965000,388127000,388127000,147110000,147110000,81680000,81680000,616917000,136431000,140675000,399603000,311229000,66691000,21261000,676709000,1293626000,117649000,2241000,115408000,1228000,1228000,118877000,103309000,92477000,10832000,103309000,222186000,589726000,460727000,4091000,1054544000,1071440000,1293626000,50235000,-11011000,39224000,-21393000,-21393000,-12116000,1538000,0,-19855000,-26518000,-24101000,12362000,-36463000,-52228000,-32859000,-32859000,-32859000,0,0.88229,0.48031,0.21003,0.04663,0.03862,5.18954,0.20737,0,0.28123,0.28123,1.339,5.93548,0.14926,0.06511,0.53073,-3.39673
"10","2012_Q3",18.5593650793651,"Up",241237000,-25417000,215820000,-97433000,-13037000,-84396000,118387000,24039000,1327000,22712000,142426000,-63925000,78501000,-28762000,49739000,49739000,49555000,49555000,347494000,347494000,168913000,168913000,78548000,78548000,594955000,135011000,134491000,400405000,312815000,63553000,23582000,669907000,1264862000,104752000,3850000,100902000,631000,631000,105383000,102451000,91819000,10632000,102451000,207834000,590153000,447812000,2137000,1040102000,1057028000,1264862000,49739000,-13850000,35889000,-13165000,-13165000,-4228000,7542000,-2720000,-8343000,-26117000,-42033000,2403000,-44436000,-68179000,-40633000,-40633000,-40633000,0,0.89464,0.49075,0.20542,0.04688,0.03918,5.64564,0.19662,0,0.2817,0.2817,1.37133,5.91256,0.14846,0.06526,0.52703,-2.93524
