"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","income_loss_from_affiliates","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","derivative_hedging_assets_short_term","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","derivative_hedging_assets_long_term","investments_in_affiliates","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","liabilities_from_derivatives_hedging_short_term","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","liabilities_from_derivatives_hedging_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","common_stock","additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","net_income_2","depreciation_amortization_2","non_cash_items","other_non_cash_adjustments","change_in_working_capital","change_in_other","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_acquisitions_divestitures","net_cash_from_other_acquisitions","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",18.4766666666667,"Down",2.215e+09,-1.639e+09,5.76e+08,-3.41e+08,-1.3e+08,-2.02e+08,2.35e+08,-1.35e+08,-1.53e+08,1.4e+07,4e+06,1e+08,2.3e+07,1.23e+08,-6.5e+07,5.8e+07,5.8e+07,5.8e+07,5.6e+07,1.813e+09,1.813e+09,7e+08,7e+08,5.49e+08,4.08e+09,3.07e+08,3.257e+09,5.16e+08,7.142e+09,1.1627e+10,5.809e+09,1.686e+09,1.713e+09,9.75e+08,4.21e+08,1.014e+09,1.7436e+10,2.4578e+10,1.183e+09,5.95e+08,5.88e+08,1.52e+08,3.037e+09,2.354e+09,5.09e+08,4.372e+09,8.123e+09,3.815e+09,1.925e+09,4.39e+08,1.451e+09,1.1938e+10,1.631e+10,5.277e+09,3e+06,5.274e+09,3.388e+09,6.67e+08,8.256e+09,8.268e+09,2.4578e+10,5.8e+07,5.8e+07,2.02e+08,-1.15e+08,-1.15e+08,-3.1e+07,-3.1e+07,1.14e+08,-1.8e+08,-2985910923.66062,-2985910923.66062,-8.1e+07,-1.94e+08,-2e+06,-4.19e+08,2e+06,1.1e+07,-4.08e+08,-4.88e+08,-4.88e+08,-3e+06,-4.91e+08,4.37e+08,8.275e+09,2.91e+08,0.26005,0.10609,0.02528,0.00677,0.00228,5.19643,1.63358,1.97267,0.33668,0.22672,0.22672,8.96761,32.4251,1.17814,0.00285,0.01429,14.78719,27.49787
"2","2010_Q3",17.84234375,"Down",2.133e+09,-1.329e+09,8.04e+08,-3.6e+08,-1.39e+08,-2.08e+08,4.44e+08,-1.17e+08,-1.47e+08,1.1e+07,1.9e+07,3.27e+08,0,3.27e+08,-1.17e+08,2.1e+08,2.1e+08,2.11e+08,2.08e+08,2.168e+09,2.168e+09,9.09e+08,9.09e+08,5.35e+08,2.757e+09,2.43e+08,2.191e+09,3.23e+08,6.369e+09,1.1793e+10,6.941e+09,1.626e+09,1.716e+09,9.1e+08,3.94e+08,2.295e+09,1.8734e+10,2.5103e+10,1.313e+09,6.9e+08,6.23e+08,1.79e+08,2.038e+09,1.484e+09,3.1e+08,3.53e+09,8.249e+09,5.046e+09,1.768e+09,4.33e+08,2.845e+09,1.3295e+10,1.6825e+10,5.314e+09,3e+06,5.311e+09,3.596e+09,4.76e+08,8.261e+09,8.278e+09,2.5103e+10,2.1e+08,2.1e+08,2.08e+08,87000000.0000001,87000000.0000001,-1.4e+07,-1.4e+07,4.91e+08,-1.54e+08,-1.41e+08,-1.41e+08,1.8e+08,-1.91e+08,-3e+06,1.401e+09,-5e+07,-1.287e+09,60999999.9999999,3.61e+08,3.61e+08,-6e+06,3.55e+08,6.52e+08,8.428e+09,6.01e+08,0.37693,0.20816,0.09752,0.02513,0.00829,2.88942,1.80425,2.0325,0.33574,0.85597,0.85246,8.77778,32.97531,2.47325,0.0097,0.02763,9.60123,14.0991
"3","2010_Q4",16.1671875,"Down",2.685e+09,-1.835e+09,8.5e+08,-3.96e+08,-1.72e+08,-2.1e+08,4.54e+08,-1.4e+08,-1.67e+08,1.6e+07,1.1e+07,3.14e+08,-2e+06,3.12e+08,-8.9e+07,2.23e+08,2.23e+08,2.23e+08,2.21e+08,3.447e+09,3.447e+09,9.04e+08,9.04e+08,4.63e+08,3.682e+09,2.5e+08,2.956e+09,4.76e+08,8.496e+09,1.1844e+10,7.079e+09,1.541e+09,1.713e+09,1.001e+09,5.1e+08,2.314e+09,1.8923e+10,2.7419e+10,1.415e+09,7.65e+08,6.5e+08,1.57e+08,2.91e+09,2.072e+09,4.57e+08,4.482e+09,9.298e+09,5.17e+09,1.747e+09,5e+08,2.923e+09,1.4468e+10,1.895e+10,5.319e+09,3e+06,5.316e+09,3.817e+09,5.71e+08,8.452e+09,8.469e+09,2.7419e+10,2.23e+08,2.23e+08,2.1e+08,-4.7e+07,-4.7e+07,1.5e+08,1.5e+08,5.36e+08,-1.68e+08,-1e+06,-1e+06,1e+06,-1.85e+08,-2e+06,1.041e+09,-1.3e+08,1.3e+07,9.22e+08,1.273e+09,1.273e+09,6e+06,1.279e+09,6.64e+08,9.455e+09,7.35e+08,0.31657,0.16909,0.08231,0.0261,0.00806,3.32579,1.89558,2.23757,0.34483,0.87698,0.87352,10.65476,32.55556,2.91667,0.00966,0.03183,9.04819,13.23348
"4","2011_Q1",16.6732258064516,"Up",1.816e+09,-1.27e+09,5.46e+08,-3.94e+08,-1.57e+08,-2.18e+08,1.52e+08,-1.61e+08,-1.63e+08,3e+06,-1e+06,-9e+06,-2.98023223876953e-08,-9e+06,-6e+06,-1.5e+07,-1.5e+07,-1.6e+07,-1.8e+07,2.951e+09,2.951e+09,7.34e+08,7.34e+08,4.53e+08,2.999e+09,2.96e+08,2.287e+09,4.16e+08,7.137e+09,1.2517e+10,7.242e+09,1.776e+09,1.868e+09,7.58e+08,5.36e+08,2.304e+09,1.9759e+10,2.6896e+10,1.282e+09,7.83e+08,4.99e+08,4.63e+08,2.475e+09,1.685e+09,6.82e+08,4.22e+09,8.971e+09,5.385e+09,1.989e+09,3.65e+08,2.709e+09,1.4356e+10,1.8576e+10,5.326e+09,3e+06,5.323e+09,3.8e+09,4.32e+08,8.303e+09,8.32e+09,2.6896e+10,-1.5e+07,-1.5e+07,2.18e+08,1.17e+08,1.17e+08,1.62e+08,-6.7e+07,4.82e+08,-1.95e+08,-8.64e+08,-8.64e+08,1.4e+07,-1.053e+09,-2e+06,3e+06,-1.49011611938477e-08,7.5e+07,7.6e+07,-4.95e+08,-4.95e+08,-999999.999999998,-4.96e+08,3.7e+08,9.434e+09,3.43e+08,0.30066,0.0837,-0.00991,-0.00216,-0.00067,-19.05556,1.69123,2.23269,0.35076,-0.06767,-0.06618,6.82707,30.28195,1.28947,-0.00069,0.01482,17.52162,42.65132
"5","2011_Q2",19.175873015873,"Up",1.995e+09,-1.324e+09,6.71e+08,-3.57e+08,-1.43e+08,-2.05e+08,3.14e+08,-1.7e+08,-1.73e+08,-2e+06,5e+06,1.44e+08,-5.09e+08,-3.65e+08,1.05e+08,-2.6e+08,-2.6e+08,-2.6e+08,-2.62e+08,2.711e+09,2.711e+09,6.87e+08,6.87e+08,4.18e+08,2.562e+09,3.11e+08,1.921e+09,3.3e+08,6.378e+09,1.1579e+10,7.086e+09,1.686e+09,1.863e+09,6.74e+08,5.21e+08,2.342e+09,1.8665e+10,2.5043e+10,9.83e+08,5.68e+08,4.15e+08,1.5e+08,1.865e+09,1.411e+09,3.17e+08,2.998e+09,9.013e+09,5.183e+09,1.812e+09,3.35e+08,3.036e+09,1.4196e+10,1.7194e+10,5.333e+09,3e+06,5.33e+09,3.538e+09,3.63e+08,7.849e+09,7.849e+09,2.5043e+10,-2.6e+08,-2.6e+08,2.05e+08,7.51e+08,7.51e+08,-4.8e+08,-4.8e+08,2.16e+08,-2.19e+08,-589242806.306023,-589242806.306023,1e+06,-2.28e+08,-2e+06,-7.5e+07,-1.3e+08,-2.5e+07,-2.32e+08,-2.44e+08,-2.44e+08,4e+06,-2.4e+08,5.19e+08,9.163e+09,-2.85e+08,0.33634,0.15739,-0.13133,-0.03338,-0.01046,1.08779,2.12742,2.1906,0.36589,-1.06073,-1.06073,8.07692,30.77328,-1.15385,-0.01171,-0.01284,12.4316,20.54777
"6","2011_Q3",18.843125,"Down",2.278e+09,-1.608e+09,6.7e+08,-4.01e+08,-1.67e+08,-2.22e+08,2.69e+08,-1.52e+08,-1.67e+08,1.2e+07,3e+06,1.17e+08,-1.26e+08,-9000000.00000006,6.3e+08,6.21e+08,6.21e+08,6.21e+08,6.18e+08,1.939e+09,1.939e+09,1.008e+09,1.008e+09,3.86e+08,2.706e+09,2.98e+08,2.003e+09,4.05e+08,6.039e+09,1.2283e+10,7.014e+09,1.589e+09,1.863e+09,5.86e+08,5.49e+08,2.427e+09,1.9297e+10,2.5336e+10,1.335e+09,8.42e+08,4.93e+08,9e+07,1.68e+09,1.319e+09,2.6e+08,3.105e+09,9.111e+09,4.544e+09,1.709e+09,3.33e+08,2.502e+09,1.3655e+10,1.676e+10,5.342e+09,3e+06,5.339e+09,4.156e+09,3.05e+08,8.418e+09,8.576e+09,2.5336e+10,6.21e+08,6.21e+08,2.22e+08,1.19209289550781e-07,1.19209289550781e-07,-7.5e+08,-7.5e+08,9.3e+07,-6.2e+08,-6.8e+07,-6.8e+07,-1.4e+08,-8.31e+08,-3e+06,4e+07,0,-7.3e+07,-3.6e+07,-7.74e+08,-7.74e+08,2e+06,-7.72e+08,4.91e+08,9.201e+09,-1.509e+09,0.29412,0.11809,0.27129,0.07206,0.02439,-2.44175,1.94493,1.95429,0.36316,2.54321,2.53279,9.37449,33.6214,-6.20988,0.02782,-0.0676,14.79022,26.99628
"7","2011_Q4",16.3996825396825,"Down",2.674e+09,-2.053e+09,6.21e+08,-4.18e+08,-1.69e+08,-2.38e+08,2.03e+08,-1.43e+08,-1.64e+08,1.6e+07,5e+06,6e+07,-1.95e+08,-1.35e+08,8e+07,-5.5e+07,-5.5e+07,-5.5e+07,-5.7e+07,1.127e+09,1.127e+09,1.042e+09,1.042e+09,3.2e+08,3.849e+09,2.45e+08,2.904e+09,7e+08,6.338e+09,1.2843e+10,5.579e+09,1.561e+09,1.859e+09,5.33e+08,5.76e+08,1.05e+09,1.8422e+10,2.476e+10,1.501e+09,9.74e+08,5.27e+08,8.1e+07,2.413e+09,2.089e+09,2.59e+08,3.995e+09,9.399e+09,3.186e+09,1.588e+09,4.08e+08,1.19e+09,1.2585e+10,1.658e+10,5.351e+09,3e+06,5.348e+09,4.099e+09,2.01e+08,8.018e+09,8.18e+09,2.476e+10,-5.5e+07,-5.5e+07,2.38e+08,2.12e+08,2.12e+08,-3.6e+07,-3.6e+07,3.59e+08,-5.23e+08,-2.84e+08,-2.84e+08,-2.88e+08,-1.102e+09,-2e+06,2.95e+08,-2.46e+08,-1.12e+08,-6.5e+07,-8.08e+08,-8.08e+08,-4e+06,-8.12e+08,4.41e+08,9.48e+09,-1.98e+08,0.23224,0.07592,-0.02132,-0.00697,-0.0023,3.47368,1.58648,2.02689,0.38288,-0.2375,-0.2375,11.14167,32.375,-0.825,-0.00264,-0.0095,18.94104,41.14778
"8","2012_Q1",13.9046774193548,"Down",2.132e+09,-1.76e+09,3.72e+08,-3.63e+08,-1.07e+08,-2.31e+08,9e+06,-1.46e+08,-1.61e+08,9e+06,6e+06,-1.37e+08,-2.98023223876953e-08,-1.37e+08,28000000.0000001,-1.09e+08,-1.09e+08,-1.09e+08,-1.11e+08,1.105e+09,1.105e+09,8.34e+08,8.34e+08,3.08e+08,5.502e+09,2.14e+08,4.738e+09,5.5e+08,7.749e+09,1.3621e+10,5.53e+09,1.419e+09,1.886e+09,4.83e+08,6.4e+08,1.102e+09,1.9151e+10,2.69e+10,1.254e+09,8.08e+08,4.46e+08,8.7e+07,4.52e+09,4.029e+09,3.64e+08,5.861e+09,9.928e+09,3.193e+09,1.389e+09,4.59e+08,9.45e+08,1.3121e+10,1.8982e+10,5.349e+09,3e+06,5.346e+09,3.987e+09,7.4e+07,7.735e+09,7.918e+09,2.69e+10,-1.09e+08,-1.09e+08,2.31e+08,-1.29e+08,-1.29e+08,5.05e+08,4.79e+08,4.98e+08,-9.6e+08,-24999999.9999999,-2.5e+07,1e+08,-8.86e+08,-2e+06,-8.29e+08,-5.2e+07,1.249e+09,3.66e+08,-21999999.9999999,-2.2e+07,0,-2.2e+07,2.4e+08,1.0015e+10,-2.43e+08,0.17448,0.00422,-0.05206,-0.01402,-0.00413,2.18919,1.32213,2.39732,0.3723,-0.48261,-0.47639,9.26957,32.54783,-1.05652,-0.00516,-0.0115,37.125,990
"9","2012_Q2",12.7561904761905,"Down",1.862e+09,-1.583e+09,2.79e+08,-4.49e+08,-2.06e+08,-2.3e+08,-1.7e+08,-1.56e+08,-1.65e+08,8e+06,1e+06,-3.26e+08,0,-3.26e+08,1.2e+08,-2.06e+08,-2.06e+08,-2.07e+08,-2.09e+08,1.014e+09,1.014e+09,7.16e+08,7.16e+08,3.92e+08,6.336e+09,2.72e+08,5.648e+09,4.16e+08,8.458e+09,1.4376e+10,5.696e+09,1.34e+09,1.886e+09,6.49e+08,6.43e+08,1.178e+09,2.0072e+10,2.853e+10,1.699e+09,1.08e+09,6.19e+08,7.1e+07,5.115e+09,4.824e+09,1.99e+08,6.885e+09,1.0326e+10,3.437e+09,1.3e+09,7.08e+08,1.429e+09,1.3763e+10,2.0648e+10,5.377e+09,3e+06,5.374e+09,3.777e+09,7.1e+07,7.552e+09,7.882e+09,2.853e+10,-2.06e+08,-2.06e+08,2.3e+08,-1.16e+08,-1.16e+08,1.6e+07,1.6e+07,-7.6e+07,-6.39e+08,0,0,1.03e+08,-5.43e+08,-2e+06,3.81e+08,0,1.48e+08,5.27e+08,-9.2e+07,-9.2e+07,1e+06,-9.1e+07,6e+07,1.0397e+10,-6.83e+08,0.14984,-0.0913,-0.11224,-0.02652,-0.00733,3.26794,1.22847,2.61964,0.36442,-0.91667,-0.91667,8.16667,32.0307,-2.99561,-0.00953,-0.03145,156.38333,-55.19412
"10","2012_Q3",16.5531746031746,"Up",2.166e+09,-1.337e+09,8.29e+08,-4.32e+08,-1.83e+08,-2.34e+08,3.97e+08,-1.51e+08,-1.67e+08,1.4e+07,2e+06,2.46e+08,7.45058059692383e-09,2.46e+08,1.3e+07,2.59e+08,2.59e+08,2.51e+08,2.48e+08,1.149e+09,1.149e+09,1e+09,1e+09,4.16e+08,4.69e+09,6.06e+08,3.741e+09,3.43e+08,7.255e+09,1.5318e+10,5.283e+09,1.256e+09,1.886e+09,5.62e+08,6.58e+08,9.21e+08,2.0601e+10,2.7856e+10,2.143e+09,1.35e+09,7.93e+08,7.1e+07,3.484e+09,3.234e+09,1.35e+08,5.698e+09,1.0653e+10,3.353e+09,1.147e+09,7.2e+08,1.486e+09,1.4006e+10,1.9704e+10,5.386e+09,3e+06,5.383e+09,4.026e+09,-1.7e+07,7.722e+09,8.152e+09,2.7856e+10,2.59e+08,2.59e+08,2.34e+08,5.22e+08,5.22e+08,-3.54e+08,-3.54e+08,6.61e+08,-9.54e+08,7.45058059692383e-09,0,-4.9e+07,-1.012e+09,-3e+06,4.25e+08,0,65999999.9999999,4.88e+08,1.37e+08,1.37e+08,-2e+06,1.35e+08,6.31e+08,1.0724e+10,-6.9e+08,0.38273,0.18329,0.1145,0.03042,0.0089,-2.78226000000001,1.27325,2.41708,0.38498,1.08772,1.08297,9.5,32.77632,-3.02632,0.01129,-0.03104,15.17433,24.11839
