"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","selling_marketing","general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_expense","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","stock_based_compensation","deferred_income_taxes","other_non_cash_adjustments","change_in_working_capital","change_in_accounts_receivable","change_in_other","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","other_investing_activities","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"21","2015_Q2",83.6822222222222,"Up",1573129000,-1046401000,526728000,-429272000,-286166000,-194677000,-91489000,-143106000,97456000,-59030000,-26737000,-26737000,-32293000,38426000,38426000,-14730000,23696000,23696000,23696000,23696000,2957708000,2454777000,2581348000,2581348000,5539056000,145816000,3555754000,3555754000,3701570000,9240626000,297890000,190567000,107323000,2710959000,285340000,3008849000,2.4e+09,1922563000,1922563000,4322563000,7331412000,842980000,-43154000,1909214000,1909214000,9240626000,23696000,36352000,-296670000,27441000,-37042000,-287069000,109240000,-10625000,119865000,-127382000,-35717000,-35942000,-35942000,-7105000,-42822000,10916000,10916000,1522434000,1352230000,1352230000,-11061000,1341169000,133808000,2.4e+09,222061000,0.33483,0.06195,0.01506,0.01241,0.00256,9.37124,1.84092,3.84002,0.25972,0.05594,0.05462,3.7135,4.50686,0.52419,3,0.0038,0.03563,-4.16797,-5.72266
"22","2015_Q3",107.3859375,"Up",1644694000,-1121752000,522942000,-448107000,-293046000,-197140000,-95906000,-155061000,74835000,-34345000,-35217000,-35217000,871999.999999996,40490000,40490000,-14155000,26335000,26335000,26335000,26335000,2796758000,2293872000,2803752000,2803752000,5600510000,171396000,3882955000,3882955000,4054351000,9654861000,362135000,211729000,150406000,2857934000,301754000,3220069000,2.4e+09,2002717000,2002717000,4402717000,7622786000,869315000,-38120000,2032075000,2032075000,9654861000,26335000,36394000,-271276000,28590000,-4232000,-295634000,27204000,6446999.99999999,20757000,-181343000,-47963000,-47324000,-47324000,-366999.999999998,-48330000,23804000,23804000,62547000,-167126000,-167126000,6221000,-160905000,111229000,2.4e+09,104625000,0.31796,0.0455,0.01601,0.01296,0.00273,3.97285,1.73925,3.75123,0.24858,0.06192,0.06039,3.86677,4.77753,0.24598,3,0.00409,0.01626,-3.56704,-5.30177
"23","2015_Q4",114.263125,"Up",1738355000,-1173958000,564397000,-490756000,-318994000,-208102000,-110892000,-171762000,73641000,-31403000,-35333000,-35333000,3930000,42238000,42238000,-12806000,29432000,29432000,29432000,29432000,2609642000,2115437000,2960071000,2960071000,5569713000,181268000,4165286000,4165286000,4346554000,9916267000,388715000,209365000,179350000,2952703000,329739000,3341418000,2.4e+09,2007531000,2007531000,4407531000,7748949000,898747000,-37890000,2167318000,2167318000,9916267000,29432000,34636000,-351822000,32834000,-29417000,-355239000,91785000,6762000,85023000,-195969000,-56047000,-52287000,-52287000,8568000,-47479000,35089000,35089000,72754000,-170694000,-170694000,-7741000,-178435000,108277000,2.4e+09,156821000,0.32467,0.04236,0.01693,0.01358,0.00297,5.32825,1.66687,3.57536,0.24203,0.06895,0.06726,4.07234,5.07724,0.36738,3,0.00448,0.02385,-1.93616,-2.84681
"24","2016_Q1",98.1614754098361,"Down",1823333000,-1249365000,573968000,-514074000,-333215000,-224173000,-109042000,-180859000,59894000,-39163000,-35429000,-35429000,-3734000,20731000,20731000,22447000,43178000,43178000,43178000,43178000,2310715000,1809330000,3121125000,3121125000,5431840000,173412000,4597619000,4597619000,4771031000,10202871000,393880000,253491000,140389000,3135744000,346721000,3529624000,2371362000,2078459000,2078459000,4449821000,7979445000,941925000,-43308000,2223426000,2223426000,10202871000,43178000,34281000,-266862000,35860000,12036000,-314758000,-55342000,49031000,-104373000,-244745000,-31391000,-33653000,-33653000,-9170000,-40561000,8171000,8171000,-17458000,-302764000,-302764000,-3343000,-306107000,94175000,2371362000,-15005000,0.31479,0.03285,0.02368,0.01942,0.00423,-0.347510000000001,1.53893,3.58881,0.23242,0.10095,0.09851,4.26288,5.19828,-0.0350799999999999,2,0.00647,-0.00225,0.64398,1.01257
"25","2016_Q2",96.06703125,"Down",1957736000,-1369540000,588196000,-538743000,-335235000,-208010000,-127225000,-203508000,49453000,-9574000,-35537000,-35537000,25963000,39879000,39879000,-12221000,27658000,27658000,27658000,27658000,2072471000,1605244000,3471365000,3471365000,5543836000,166254000,5552184000,5552184000,5718438000,11262274000,413548000,231914000,181634000,3520084000,374223000,3933632000,2372218000,2639191000,2639191000,5011409000,8945041000,969583000,-34401000,2317233000,2317233000,11262274000,27658000,35239000,-325095000,42422000,-16603000,-350914000,33608000,-19898000,53506000,-228590000,-31988000,-31632000,-31632000,36251000,4263000,3536000,3536000,14907000,-209420000,-209420000,5334000,-204086000,84692000,2372218000,98533000,0.30045,0.02526,0.01413,0.01194,0.00246,3.56255,1.40934,3.86023,0.21063,0.0646,0.06315,4.5729,5.41262,0.23015,2,0.00377,0.01344,3.53926,6.06125
"26","2016_Q3",95.45328125,"Down",2105204000,-1473098000,632106000,-561736000,-354436000,-216029000,-138407000,-207300000,70370000,-19138000,-35455000,-35455000,16317000,51232000,51232000,-10477000,40755000,40755000,40755000,40755000,1834228000,1390925000,3552690000,3552690000,5386918000,162864000,6043725000,6043725000,6206589000,11593507000,412531000,240458000,172073000,3639306000,396976000,4051837000,2373085000,2752751000,2752751000,5125836000,9177673000,1010338000,-38211000,2415834000,2415834000,11593507000,40755000,34152000,-355935000,44112000,-17876000,-382171000,54735000,8795000.00000001,45940000,-226293000,-27831000,-28738000,-28738000,24935000,-2896000,4232000,4232000,17612000,-211577000,-211577000,-2742000,-214319000,104522000,2373085000,141903000,0.30026,0.03343,0.01936,0.01687,0.00352,3.48185,1.3295,3.79897,0.20469,0.09511,0.09302,4.91316,5.63811,0.33118,3,0.0054,0.01882,5.15544,7.65748
"27","2016_Q4",118.515873015873,"Up",2290188000,-1532844000,757344000,-651308000,-435209000,-282043000,-153166000,-216099000,106036000,-26909000,-35536000,-35536000,8627000,79127000,79127000,-27610000,51517000,51517000,51517000,51517000,1343256000,969158000,3850637000,3850637000,5193893000,191876000,6961569000,6961569000,7153445000,12347338000,486985000,285753000,201232000,3924420000,427206000,4411405000,2373966000,3033001000,3033001000,5406967000,9818372000,1061855000,-36530000,2528966000,2528966000,12347338000,51517000,33694000,-633334000,43495000,14338000,-691167000,86182000,27810000,58372000,-461941000,-44490000,-44615000,-44615000,68466000,23976000,3819000,3819000,16639000,-421326000,-421326000,-441000.000000002,-421767000,139730000,2373966000,209032000,0.33069,0.0463,0.02249,0.02037,0.00417,4.05753,1.17738,3.88237,0.19227,0.1201,0.11751,5.33922,5.89589,0.48733,4,0.00649,0.02634,7.37644,9.72038
"28","2017_Q1",140.309516129032,"Up",2477541000,-1654419000,823122000,-669188000,-443997000,-284996000,-159001000,-225191000,153934000,-63665000,-43586000,-43586000,-20079000,90269000,90269000,-23521000,66748000,66748000,66748000,66748000,1733782000,1467576000,3986509000,3986509000,5720291000,250395000,7615924000,7615924000,7866319000,13586610000,510474000,312842000,197632000,4076183000,443472000,4586657000,3364311000,2955842000,2955842000,6320153000,10906810000,1128603000,-48565000,2679800000,2679800000,13586610000,66748000,33395000,-675158000,43646000,-26706000,-692098000,17855000,15540000,2315000.00000001,-557160000,-81462000,-79845000,-79845000,105884000,24422000,25392000,25392000,1042472000,509734000,509734000,-11316000,498418000,187329000,3364311000,147243000,0.33223,0.06213,0.02694,0.02491,0.00491,2.20595,1.24716,4.07001,0.24762,0.15532,0.15168,5.76506,6.2357,0.34262,3,0.00742,0.01636,8.70409,10.59239
"29","2017_Q2",153.835555555556,"Up",2636635000,-1657024000,979611000,-722669000,-465561000,-271270000,-194291000,-257108000,256942000,-33150000,-46742000,-46742000,13592000,223792000,223792000,-45570000,178222000,178222000,178222000,178222000,1341229000,1077824000,4319101000,4319101000,5660330000,275083000,8423683000,8423683000,8698766000,14359096000,591089000,294831000,296258000,4320140000,458693000,4911229000,3365431000,3108753000,3108753000,6474184000,11385413000,1350410000,-45859000,2973683000,2973683000,14359096000,178222000,33647000,-636936000,44888000,-26764000,-655060000,81211000,-1.1e+07,92211000,-343856000,-78664000,-77895000,-77895000,3074000,-75590000,24178000,24178000,24239000,-395207000,-395207000,5455000,-389752000,290589000,3365431000,338706000,0.37154,0.09745,0.06759,0.05993,0.01241,1.90047,1.15253,3.82872,0.23438,0.41389,0.40009,6.12317,6.90591,0.78659,4,0.01886,0.03585,6.96586,7.87805
"30","2017_Q3",174.400317460317,"Up",2785464000,-1902308000,883156000,-755349000,-488266000,-274323000,-213943000,-267083000,127807000,-113845000,-55482000,-55482000,-58363000,13962000,13961999.9999999,51638000,65600000,65600000,65600000,65600000,2164902000,1918777000,4535883000,4535883000,6700785000,309831000,9506607000,9506607000,9816438000,16517223000,522269000,273398000,248871000,4600676000,505302000,5122945000,4836502000,3445276000,3445276000,8281778000,13404723000,1416010000,-31368000,3112500000,3112500000,16517223000,65600000,35062000,-499672000,44028000,-20702000,-522998000,-135518000,-12439000,-123079000,-534528000,-73919000,-72855000,-72855000,17487000,-56432000,14826000,14826000,1420386000,829426000,829426000,11527000,840953000,162869000,4836502000,-98206000.0000001,0.31706,0.04588,0.02355,0.02108,0.00397,-1.49704,1.30799,4.30674,0.29282,0.15206,0.147,6.45686,7.21495,-0.22765,4,0.00576,-0.00861999999999999,16.40337,20.90339
"31","2017_Q4",192.55380952381,"Up",2984859000,-1992980000,991879000,-783252000,-528016000,-312490000,-215526000,-255236000,208627000,-92390000,-60688000,-60688000,-31702000,116237000,116237000,13353000,129590000,129590000,129590000,129590000,1746469000,1746469000,4638879000,4638879000,6385348000,322421000,10243771000,10243771000,10566192000,16951540000,633166000,301443000,331723000,4677511000,535425000,5310677000,4888783000,3424719000,3424719000,8313502000,13624179000,1545600000,-25362000,3327361000,3327361000,16951540000,129590000,32497000,-673728000,44763000,-57090000,-661401000,92034000,34029000,58005000,-419607000,-45287000,-44180000,-44180000,247479000,202192000,34669000,34669000,34422000,-182993000,-182993000,10685000,-172308000,241124000,4888783000,274518000,0.3323,0.0699,0.04342,0.03895,0.00764,2.11836,1.20236,4.09459,0.2884,0.2997,0.28968,6.90294,7.69503,0.63486,4,0.01113,0.02358,13.03194,15.06188
"32","2018_Q1",272.217868852459,"Up",3285755000,-2480688000,805067000,-559764000,-385481000,-578198000,192717000,-174283000,245303000,-113973000,-75292000,-75292000,-38681000,131330000,131330000,54187000,185517000,185517000,185517000,185517000,2822795000,2822795000,4847179000,4847179000,7669974000,319404000,11023364000,11023364000,11342768000,19012742000,674649000,359555000,315094000,4791663000,618622000,5466312000,6499432000,3465042000,3465042000,9964474000,15430786000,1731117000,-20557000,3581956000,3581956000,19012742000,185517000,31362000,-726086000,48530000,-104132000,-670484000,21250000,63969000,-42719000,-487957000,-35841000,-32092000,-32092000,5.96046447753906e-08,-35841000,14705000,14705000,1597943000,1074145000,1074145000,2181000,1076326000,276665000,6499432000,207887000,0.24502,0.07466,0.05646,0.05179,0.00976,1.12058,1.40314,4.30792,0.34185,0.42831,0.41394,7.5859,8.26974,0.47995,3,0.01369,0.01535,13.28913,14.98815
"33","2018_Q2",340.896875,"Up",3700856000,-2300579000,1400277000,-953699000,-671389000,-536777000,-134612000,-282310000,446578000,-146962000,-81219000,-81219000,-65743000,299616000,299616000,-9492000,290124000,290124000,290124000,290124000,2593666000,2593666000,5223910000,5223910000,7817576000,341932000,11993289000,11993289000,12335221000,20152797000,865614000,436183000,429431000,5139973000,673892000,6005587000,6542373000,3584107000,3584107000,10126480000,16132067000,2021241000,4264000,4020730000,4020730000,20152797000,290124000,30175000,-763383000,68395000,-22049000,-809729000,206327000,74083000,132244000,-236757000,-49752000,-47966000,-47966000,0,-49752000,56335000,56335000,56014000,-230495000,-230495000,7177000,-223318000,476753000,6542373000,642820000,0.37837,0.12067,0.07839,0.07216,0.0144,2.21567,1.30172,4.01222,0.32464,0.66822,0.64421,8.5239,9.26064,1.48056,5,0.02051,0.04544,8.2825,8.84214
"34","2018_Q3",362.951428571429,"Up",3907270000,-2185363000,1721907000,-1259694000,-924061000,-469225000,-454836000,-335633000,462213000,-33577000,-101605000,-101605000,68028000,428636000,428636000,-44287000,384349000,384349000,384349000,384349000,3906357000,3906357000,5440532000,5440532000,9346889000,349646000,12967002000,12967002000,13316648000,22663537000,840814000,448219000,392595000,5238827000,697740000,6079641000,8342067000,3745229000,3745229000,12087296000,18166937000,2405590000,-12427000,4496600000,4496600000,22663537000,384349000,30890000,-927226000,81232000,-9539000,-998919000,-6252000.00000003,7733000.00000001,-13985000,-518239000,-40316000,-39875000,-39875000,7.45058059692383e-09,-40316000,26936000,26936000,1909412000,1350857000,1350857000,-36340000,1314517000,493103000,8342067000,490822000,0.44069,0.1183,0.09837,0.08548,0.01696,1.27702,1.53741,4.04015,0.36808,0.88336,0.85117,8.98023,10.33471,1.12807,5,0.02318,0.0296,8.9955,9.59668
"35","2018_Q4",299.257619047619,"Down",3999374000,-2412346000,1587028000,-1106360000,-779334000,-435269000,-344065000,-327026000,480668000,-101858000,-108862000,-108862000,7004000,378810000,378810000,24025000,402835000,402835000,402835000,402835000,3067534000,3067534000,5662447000,5662447000,8729981000,371152000,14265096000,14265096000,14636248000,23366229000,968506000,441427000,527079000,5329734000,716723000,6298240000,8336586000,3721750000,3721750000,12058336000,18356576000,2808425000,-14508000,5009653000,5009653000,23366229000,402835000,31120000,-1216927000,82316000,-39453000,-1259790000,92561000,-4449000,97010000,-690411000,-168694000,-47064000,-47064000,0,-168694000,29781000,29781000,29237000,-829868000,-829868000,-5562000,-835430000,511788000,8336586000,411630000,0.39682,0.12019,0.10072,0.08041,0.01724,1.02183,1.3861,3.66424,0.35678,0.92434,0.89139,9.1769,11.49507,0.94452,4,0.0236,0.02412,10.29538,10.96194
"36","2019_Q1",346.668852459016,"Up",4186841000,-3069250000,1117591000,-901824000,-624979000,-928198000,303219000,-276845000,215767000,-96371000,-128807000,-128807000,32436000,119396000,119396000,14538000,133934000,133934000,133934000,133934000,3794483000,3794483000,5899652000,5899652000,9694135000,418281000,15861984000,15861984000,16280265000,25974400000,1040402000,562985000,477417000,5446918000,760899000,6487320000,10360058000,3888257000,3888257000,14248315000,20735635000,2942359000,-19582000,5238765000,5238765000,25974400000,133934000,-9028000,-1275589000,88714000,71041000,-1435344000,-84389000,121831000,-206220000,-1235072000,84816000,-39041000,-39041000,-165174000,-80358000,11450000,11450000,2053864000,738434000,738434000,-4957000,733477000,206739000,10360058000,192628000,0.26693,0.05153,0.03199,0.02557,0.00516,1.43823,1.49432,3.95812,0.39886,0.3069,0.29688,9.59369,12.00406,0.44139,3,0.00687,0.00988,31.7578,30.429
"37","2019_Q2",360.777777777778,"Up",4520992000,-2870614000,1650378000,-1191294000,-818530000,-616578000,-201952000,-372764000,459084000,-59425000,-135529000,-135529000,76104000,399659000,399659000,-55607000,344052000,344052000,344052000,344052000,3348557000,3348557000,820350000,820350000,4168907000,434372000,22615353000,22615353000,23049725000,27218632000,1185764000,439496000,746268000,5672043000,808692000,6857807000,10305023000,4352744000,4352744000,14657767000,21515574000,3288885000,-25600000,5703058000,5703058000,27218632000,344052000,32070000,-800332000,101200000,6627000,-908159000,44411000,-124467000,168878000,-379799000,-80103000,-69551000,-69551000,-135232076.152008,-80103000,22972000,22972000,22972000,-436930000,-436930000,-5014000,-441944000,491154000,10305023000,511069000,0.36505,0.10154,0.0761,0.06033,0.01264,1.48544,0.60791,3.77264,0.3786,0.7874,0.76131,10.34677,13.05206,1.16964,1,0.0169,0.0251,14.16351,15.15293
"38","2019_Q3",312.88953125,"Down",4923116000,-3005657000,1917459000,-1211040000,-827807000,-603150000,-224657000,-383233000,706419000,-205503000,-152033000,-152033000,-53470000,500916000,500916000,-230266000,270650000,270650000,270650000,270650000,5004247000,5004247000,872910000,872910000,5877157000,452399000,23841783000,23841783000,24294182000,30171339000,1193006000,442194000,750812000,5740978000,892777000,6933984000,12594135000,4537672000,4537672000,17131807000,24065791000,3559535000,-20352000,6105548000,6105548000,30171339000,270650000,33152000,-851912000,103848000,35519000,-991279000,4355999.99999994,-2674000,7030000,-543754000,-36830000,-47382000,-47382000,-13206000,-50036000,21896000,21896000,2246900000,1653110000,1653110000,4998000,1658108000,739571000,12594135000,937363000,0.38948,0.14349,0.05498,0.04433,0.00897,3.46338,0.84759,3.94163,0.41742,0.61849,0.59851,11.25039,13.95251,2.14208,1,0.01165,0.04034,10.26255,10.74417
"39","2019_Q4",296.48171875,"Down",5244905000,-3097919000,2146986000,-1166747000,-786971000,-553797000,-233174000,-379776000,980239000,32084000,-160660000,-160660000,192744000,1012323000,1012323000,-347079000,665244000,665244000,665244000,665244000,4435018000,4435018000,892740000,892740000,5327758000,481992000,25131961000,25131961000,25613953000,30941711000,1481852000,444129000,1037723000,5776048000,915506000,7257900000,12425746000,4396560000,4396560000,16822306000,24080206000,4224779000,-41246000,6861505000,6861505000,30941711000,665244000,10539000,-1408757000,100262000,52105000,-1561124000,231180000,-7643000,238823000,-501794000,-28365000,-28365000,-28365000,-20989000,-49354000,11989000,11989000,11989000,-539159000,-539159000,-29325000,-568484000,990778000,12425746000,1540672000,0.40935,0.18689,0.12684,0.09695,0.0215,2.31595,0.73406,3.50946,0.40159,1.51848,1.47321,11.97196,15.662,3.51672,4,0.02809,0.06505,8.0651,8.15182
"40","2020_Q1",353.777258064516,"Up",5467434000,-3466023000,2001411000,-1542899000,-1133523000,-878937000,-254586000,-409376000,458512000,-309179000,-177801000,-177801000,-131378000,149333000,149333000,437637000,586970000,586970000,586970000,586970000,5018437000,5018437000,1160067000,1160067000,6178504000,565221000,27231987000,27231987000,27797208000,33975712000,1517390000,674347000,843043000,5338306000,924745000,6855696000,14759260000,4778599000,4778599000,19537859000,26393555000,4811749000,-23521000,7582157000,7582157000,33975712000,586970000,27818000,-1839859000,100066000,-188694000,-1751231000,-236904000,230847000,-467751000,-1461975000,-107737000,-107737000,-107737000,-99834000,-207571000,15633000,15633000,2223801000,554255000,554255000,29810000,584065000,486330000,14759260000,-295948000,0.36606,0.08386,0.10736,0.07741,0.01728,-0.5042,0.90122,3.48101,0.43441,1.33842,1.30041,12.46693,17.28895,-0.67483,3,0.02164,-0.01091,20.02925,21.24442
"41","2020_Q2",425.617777777778,"Up",5767691000,-3599701000,2167990000,-1209734000,-755917000,-503830000,-252087000,-453817000,958256000,-162386000,-184083000,-184083000,21697000,795870000,795870000,-86803000,709067000,709067000,709067000,709067000,5151884000,5151884000,1295897000,1295897000,6447781000,650455000,27961674000,27961674000,28612129000,35059910000,1606578000,545488000,1061090000,5748338000,986753000,7853725000,14170692000,4626199000,4626199000,18796891000,26650616000,5520816000,-47054000,8409294000,8409294000,35059910000,709067000,28517000,-435919000,97019000,46619000,-579557000,-41753000,-149153000,107400000,259912000,-98015000,-98015000,-98015000,-288000,-98303000,43694000,43694000,43694000,205303000,205303000,-70902000,134401000,986773000,14669501000,933808000,0.37589,0.16614,0.12294,0.08432,0.02022,1.31695,0.82098,3.16919,0.41841,1.61389,1.56702,13.12772,19.14022,2.12542,5,0.02559,0.03371,9.64519,9.93223
"42","2020_Q3",497.6978125,"Up",6148286000,-3643707000,2504579000,-1146651000,-711606000,-434370000,-277236000,-435045000,1357928000,-322326000,-189151000,-189151000,-133175000,1035602000,1035602000,-315406000,720196000,720196000,720196000,720196000,7153248000,7153248000,1410891000,1410891000,8564139000,751941000,27859201000,27859201000,28611142000,37175281000,1433263000,446668000,986595000,5693994000,1029261000,7626418000,15294998000,4919112000,4919112000,20214110000,27840528000,6241012000,-34072000,9334753000,9334753000,37175281000,720196000,26661000,504925000,104210000,223308000,177407000,-210706000,149153000,-359859000,1041076000,-141741000,-141741000,-141741000,-260000.000000015,-142001000,89060000,89060000,1090965000,1990040000,1990040000,11819000,2001859000,1384589000,15794159000,1347548000,0.40736,0.22086,0.11714,0.07715,0.01937,1.87109,1.12296,2.98246,0.42486,1.63469,1.58652,13.9553,21.1879,3.05865,7,0.02397,0.04485,6.24078,6.36331
"43","2020_Q4",506.976875,"Up",6435637000,-3867751000,2567886000,-1253023000,-799221000,-527597000,-271624000,-453802000,1314863000,-453403000,-197079000,-197079000,-256324000,861460000,861460000,-71484000,789976000,789976000,789976000,789976000,8392391000,8392391000,1434089000,1434089000,9826480000,828118000,27967945000,27967945000,28796063000,38622543000,1800422000,541298000,1259124000,5639856000,1040202000,7939795000,15547616000,4801809000,4801809000,20349425000,28289220000,7030988000,-1147000,10333323000,10333323000,38622543000,789976000,28589000,99524000,106357000,-40277000,33444000,345672000,-149503000,495175000,1263761000,-109811000,-109811000,-109811000,-8840000,-118651000,68665000,68665000,68665000,1213775000,1213775000,28459000,1242234000,1343452000,16047133000,1650797000,0.39901,0.20431,0.12275,0.07645,0.02045,2.08968,1.23762,2.73767,0.41549,1.78915,1.73584,14.57557,23.40313,3.73876,4,0.02533,0.05294,5.69782,5.8217
"44","2021_Q1",530.43606557377,"Up",6644442000,-4165160000,2479282000,-1525040000,-1038104000,-762565000,-275539000,-486936000,954242000,-447825000,-197186000,-197186000,-250639000,506417000,506417000,35738999.9999999,542156000,542156000,542156000,542156000,8205550000,8205550000,1556030000,1556030000,9761580000,960183000,28558596000,28558596000,29518779000,39280359000,1758379000,656183000,1102196000,5547528000,1117992000,7805785000,15809095000,4600239000,4600239000,20409334000,28215119000,7573144000,44398000,11065240000,11065240000,39280359000,542156000,31942999.9999999,-586685000,107594000,-159584000,-534695000,-125086000,107898000,-232984000,-137672000,-148356000,-148356000,-148356000,1957000,-146399000,33987000,33987000,33986999.9999999,-250084000,-250084000,66674000,-183410000,986185000,16308973000,677004000,0.37314,0.14362,0.0816,0.049,0.0138,1.24873,1.25056,2.54989,0.41519,1.22596,1.19078,15.02486,17.22529,1.53089,4,0.01696,0.02117,8.21694,8.492
"45","2021_Q2",511.163333333333,"Down",7163282000,-3868511000,3294771000,-1334915000,-809708000,-512512000,-297196000,-525207000,1959856000,74646000,-194440000,-194440000,269086000,2034502000,2034502000,-327787000,1706715000,1706715000,1706715000,1706715000,8403705000,8403705000,1703803000,1703803000,10107508000,1015419000,29000087000,29000087000,30015506000,40123014000,1824754000,532942000,1291812000,5438228000,1140271000,7961770000,14860552000,4416612000,4416612000,19277164000,27238934000,9279859000,4137000,12884080000,12884080000,40123014000,1706715000,35741000,-745130000,107230000,159733000,-1012093000,-220060000,-137313000,-82747000,777266000,-81001000,-81001000,-81001000,-4615000,-85616000,48071000,48071000,-451929000,239721000,239721000,-42138000,197583000,1995597000,15559340000,2022323000,0.45995,0.2736,0.23826,0.13247,0.04254,1.18492,1.26951,2.11415,0.38779,3.85068,3.74575,16.16176,20.94651,4.56276,7,0.05194,0.06154,3.58571,3.6511
"46","2021_Q3",550.31328125,"Up",7341777000,-4018008000,3323769000,-1476139000,-938818000,-482431257.259446,-333076463.477535,-537321000,1847630000,-253841000,-191322000,-192341122.824368,-62519000,1593789000,1593789000,-240776000,1353013000,1353013000,1353013000,1353013000,7777530000,7777530000,1826746000,1826746000,9604276000,1107437000,30259256000,30259256000,31366693000,40970969000,1748522000,622931000,1125591000,5385238000,1187364000,7832888000,14926889000,4347321000,4347321000,19274210000,27107098000,10632872000,9775000,13863871000,13863871000,40970969000,1353013000,5564433000,-6804267000,101583000,51126999.9999999,-6956977000,-176940000,72312999.9999999,-249253000,-63760999.9999998,-110278000,-110278000,-110278000,-1e+06,-111278000,-480273000,19749000,-480273000,-655312000,-655312000,23477000,-631835000,7412063000,15626017000,7365621000,0.45272,0.25166,0.18429,0.09759,0.03302,5.44387,1.22615,1.95523,0.38139,3.0531,2.97281,16.56688,31.28412,16.62068,6,0.03999,0.21768,1.05888,4.24787
"47","2021_Q4",638.920625,"Up",7483467000,-4206589000,3276878000,-1521625000,-957738000,-674634872.801466,-371413558.576613,-563887000,1755253000,-94294000,-190429000,-190847878.160961,96135000,1660959000,1660959000,-211888000,1449071000,1449071000,1449071000,1449071000,7526681000,7526681000,1889106000,1889106000,9415787000,1220114000,32103956000,32103956000,33324070000,42739857000,2056179000,643059000,1413120000,5293594000,1182632000,8049246000,14793691000,4582303000,4582303000,19375994000,27425240000,12081943000,-19835000,15314617000,15314617000,42739857000,1449071000,-5455746000,3905335000,95078000,50967000,3759290000,183719000,24836000,158883000,82379000,-167327000,-167327000,-167327000,-21304000,-188631000,-81555000,18445000,-81555000,-187807000,-187807000,-63843000,-251650000,-3700493000,15493164000,-3472213000,0.43788,0.23455,0.19364,0.09462,0.0339,-2.39616,1.16977,1.79079,0.3625,3.26962,3.18208,16.88538,25.86257,-7.83456,5,0.04095,-0.09811,-2.15282,4.53865
"48","2022_Q1",416.322903225806,"Down",7709318000,-5239575000,2469743000,-1837973000,-1190503000,-792713000,-397790000,-647470000,631770000,-80917000,-189429000,-189429000,108512000,550853000,550853000,56576000,607429000,607429000,607429000,607429000,6027804000,6027804000,2042021000,2042021000,8069825000,1323453000,35191385000,35191385000,36514838000,44584663000,2286834000,837483000,1449351000,5502309000,1209342000,8488966000,14693072000,5553377000,5553377000,20246449000,28735415000,12689372000,-40495000,15849248000,15849248000,44584663000,607429000,63984000,-1045991000,99329000,-62279000,-1083041000,-28696000,185279000,-213975000,-403274000,-165979000,-165979000,-165979000,0,-954328000,88149000,88149000,-136019000,-1493621000,-1493621000,-4236000,-1497857000,695754000,15392895000,444503000,0.32036,0.08195,0.07879,0.03833,0.01362,0.73178,0.95063,1.81305,0.34525,1.36974,1.33268,17.38439,26.66449,1.00235,3,0.01651,0.01208,13.46035,14.82358
"49","2022_Q2",221.702096774194,"Down",7867767000,-4284705000,3583062000,-1611436000,-953906000,-555978000,-397928000,-657530000,1971626000,8066000,-187579000,-187579000,195645000,1979692000,1979692000,-382245000,1597447000,1597447000,1597447000,1597447000,6008946000,6008946000,2089069000,2089069000,8098015000,1383763000,35849126000,35849126000,37232889000,45330904000,2434319000,617202000,1817117000,5305337000,1239048000,7739656000,14534561000,5512648000,5512648000,20047209000,27786865000,14286819000,-74170000,17544039000,17544039000,45330904000,1597447000,74602000,-774498000,119209000,-68906000,-824801000,25288000,-215444000,240732000,922839000,-121158000,-121158000,-121158000,135289211.864796,-245679000,13678000,13678000,-686322000,-9162000,-9162000,-11448000,-20610000,2046228000,14534561000,2332603000,0.45541,0.2506,0.20304,0.09105,0.03524,1.46021,1.0463,1.58384,0.32063,3.60222,3.50475,17.74169,30.19077,5.25998,3,0.0425,0.06205,4.1665,4.32415
