"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","selling_marketing","general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_expense","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","stock_based_compensation","deferred_income_taxes","other_non_cash_adjustments","change_in_working_capital","change_in_accounts_receivable","change_in_other","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","other_investing_activities","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",11.1766129032258,"Up",905089000,-662638000,242451000,-226316000,-143795000,-108448000,-35347000,-82521000,16135000,-4189000,-4990000,-4990000,801000,11946000,11946000,-4271000,7675000,7675000,7675000,7675000,798355000,370298000,1426663000,1393511000,2225018000,133603000,1450212000,1450212000,1583815000,3808833000,162192000,91511000,70681000,1436031000,155146000,1598223000,4e+08,1093770000,1093770000,1493770000,3091993000,432185000,3006000,716840000,716840000,3808833000,7675000,24260000,-43536000,18472000,-15606000,-46402000,8676000,-9727000,18403000,-2925000,-17537000,-19394000,-19394000,-12912000,-30449000,318000,318000,-158000,-33532000,-33532000,1579000,-31953000,40395000,4e+08,35805000,0.26788,0.01783,0.00848,0.01071,0.00202,4.66515,1.39218,4.31337,0.10502,0.01974,0.01867,2.32798,1.84379,0.09209,3,0.00347,0.0162,-9.86149,-24.68888
"12","2013_Q1",22.8995,"Up",945239000,-722059000,223180000,-203542000,-121403000,-86868000,-34535000,-82139000,19638000,-4734000,-5016000,-5016000,282000,14904000,14904000,-7007000,7897000,7897000,7897000,7897000,748078000,290291000,1492713000,1492713000,2240791000,131681000,1595418000,1595418000,1727099000,3967890000,139607000,86468000,53139000,1536319000,169472000,1675926000,4e+08,1147291000,1147291000,1547291000,3223217000,440082000,2919000,744673000,744673000,3967890000,7897000,27877000,-49191000,17694000,-3622000,-63263000,-588000.000000002,6224000,-6812000,-14005000,-37001000,-39494000,-39494000,-30819000,-67820000,1594000,1594000,1832000,-79993000,-79993000,-14000,-80007000,47515000,4e+08,16933000,0.23611,0.02078,0.00835,0.0106,0.00199,2.14423,1.33705,4.32837,0.10081,0.0203,0.01802,2.43038,1.91469,0.04354,2,0.00345,0.00739,-7.32564,-17.72472
"13","2013_Q2",29.7378125,"Up",1023961000,-736952000,287009000,-255187000,-163212000,-119086000,-44126000,-91975000,31822000,-5763000,-6740000,-6740000,977000,26059000,930000,1759000,2689000,2689000,2689000,2689000,1025872000,418051000,1531228000,1473974000,2557100000,129319000,1676870000,1676870000,1806189000,4363289000,154826000,102822000,52004000,1533888000,178878000,1688714000,7e+08,1161656000,1161656000,1861656000,3550370000,442771000,291000,812919000,812919000,4363289000,2689000,30288000,-70239000,17746000,-6748000,-81237000,25012000,17019000,7993000,-12250000,-29261000,-33311000,-33311000,-149975000,-179236000,39146000,39146000,321582000,130096000,130096000,-2336000,127760000,62110000,7e+08,56102000,0.28029,0.03108,0.00263,0.00331,0.00062,20.86352,1.51423,4.36743,0.16043,0.00686,0.00639,2.61345,2.07481,0.14319,3,0.00101,0.02098,-5.24669,-10.24046
"14","2013_Q3",38.60875,"Up",1069372000,-760674000,308698000,-251581000,-158455000,-114611000,-43844000,-93126000,57117000,-10468000,-7528000,-7528000,-2940000,46649000,46649000,-17178000,29471000,29471000,29471000,29471000,1080110000,370678000,1490212000,1458148000,2570322000,127931000,1782498000,1782498000,1910429000,4480751000,162476000,103441000,59035000,1507788000,186571000,1670264000,5e+08,1204865000,1204865000,1704865000,3375129000,472242000,-1664000,1105622000,1105622000,4480751000,29471000,29735000,-79185000,17955000,-2040000,-95100000,53922000,-5138000,59060000,33943000,-21024000,-22111000,-22111000,-106661000,-127685000,28846000,28846000,48959000,-44782999.9999999,-44782999.9999999,-2590000,-47373000,86852000,5e+08,136928000,0.28867,0.05341,0.02756,0.02666,0.00658,4.64619,1.53887,3.0527,0.11159,0.07233,0.06949,2.6246,2.71357,0.33607,7,0.01049,0.04872,-6.67929,-10.15652
"15","2013_Q4",49.14046875,"Up",1105999000,-798900000,307099000,-249979000,-154439000,-108228000,-46211000,-95540000,57120000,-7629000,-7436000,-7436000,-193000,49491000,49491000,-17669000,31822000,31822000,31822000,31822000,1134987000,439056000,1714291000,1683769000,2849278000,127263000,1924784000,1924784000,2052047000,4901325000,147332000,100899000,46433000,1787804000,195823000,1935136000,5e+08,1261819000,1261819000,1761819000,3696955000,504064000,1570000,1204370000,1204370000,4901325000,31822000,28998000,-17174000,18477000,-2424000,-33227000,-8953000,-5877000,-3076000,34693000,-27628000,-26299000,-26299000,13959000,-13669000,25561000,25561000,45795000,66819000,66819000,1559000,68378000,86118000,5e+08,67206000,0.27767,0.05165,0.02877,0.02642,0.00649,2.11194,1.47239,3.06962,0.10201,0.07688,0.07454,2.67212,2.90979,0.16237,7,0.01073,0.02266,-7.37345,-11.11672
"16","2014_Q1",57.262131147541,"Up",1175230000,-820677000,354553000,-272265000,-174137000,-128017000,-46120000,-98128000,82288000,-8284000,-7438000,-7438000,-846000,74004000,74004000,-25583000,48421000,48421000,48421000,48421000,1200405000,604965000,1858358000,1858358000,3058763000,133605000,2220195000,2220195000,2353800000,5412563000,162453000,108435000,54018000,1991750000,215767000,2154203000,5e+08,1424799000,1424799000,1924799000,4079002000,552485000,3575000,1333561000,1333561000,5412563000,48421000,30678000,-68483000,18922000,-10832000,-76573000,30829000,12370000,18459000,41445000,-36218000,-38349000,-38349000,100840000,64622000,31004000,31004000,59928000,165995000,165995000,-86000,165909000,112966000,5e+08,133160000,0.30169,0.07002,0.0412,0.03631,0.00895,2.75005,1.4199,3.05873,0.09238,0.11629,0.11281,2.82242,3.20267,0.3198,7,0.01486,0.04087,-6.20014,-8.51163
"17","2014_Q2",54.1120634920635,"Down",1270089000,-869186000,400903000,-303308000,-192998000,-137098000,-55900000,-110310000,97595000,-8651000,-10052000,-10052000,1401000,88944000,88944000,-35829000,53115000,53115000,53115000,53115000,1668243000,1157450000,1918541000,1918541000,3586784000,133473000,2327849000,2327849000,2461322000,6048106000,188741000,133883000,54858000,2074912000,230015000,2263653000,9e+08,1406095000,1406095000,2306095000,4569748000,605600000,4503000,1478358000,1478358000,6048106000,53115000,28503000,-124234000,25825000,-13103000,-136956000,78975000,22812000,56163000,36359000,-27953000,-28248000,-28248000,85592000,57639000,32448000,32448000,458186000,552184000,552184000,301000,552485000,126098000,9e+08,212949000,0.31565,0.07684,0.04182,0.03593,0.00878,4.00921,1.58451,3.0911,0.14881,0.12685,0.12328,3.03327,3.53067,0.50857,6,0.01404,0.05627,-6.09243,-7.87175
"18","2014_Q3",64.8525,"Up",1340407000,-914848000,425559000,-295959000,-180777000,-120763000,-60014000,-115182000,129600000,-12228000,-13328000,-13328000,1100000,117372000,117372000,-46354000,71018000,71018000,71018000,71018000,1714365000,1214244000,1954015000,1954015000,3668380000,141715000,2515727000,2515727000,2657442000,6325822000,235774000,137226000,98548000,2099350000,241330000,2335124000,9e+08,1480993000,1480993000,2380993000,4716117000,676618000,6502000,1609705000,1609705000,6325822000,71018000,29900000,-94579000,29285000,-16569000,-107295000,49685000,-3086000,52771000,56024000,-39721000,-40850000,-40850000,10768000,-28953000,14469000,14469000,28473000,55544000,55544000,1250000,56794000,159500000,9e+08,215818000,0.31748,0.09669,0.05298,0.04412,0.01123,3.03892,1.57096,2.9298,0.14227,0.1691,0.16461,3.19164,3.83287,0.51388,5,0.0178,0.05408,-5.10574,-6.28368
"19","2014_Q4",53.68984375,"Down",1409432000,-954394000,455038000,-344631000,-223678000,-145654000,-78024000,-120953000,110407000,-12870000,-13486000,-13486000,616000,97537000,97537000,-38242000,59295000,59295000,59295000,59295000,1666819000,1183217000,2156663000,2156663000,3823482000,144147000,2810700000,2810700000,2954847000,6778329000,220933000,150374000,70559000,2327722000,252956000,2548655000,9e+08,1604800000,1604800000,2504800000,5053455000,735913000,1645000,1724874000,1724874000,6778329000,59295000,32626000,-165292000,29878000,-7892000,-187278000,35932000,13003000,22929000,-37439000,-36221000,-36562000,-36562000,15810000,-20411000,9877000,9877000,30662000,-27188000,-27188000,-3839000,-31027000,143033000,9e+08,180986000,0.32285,0.07833,0.04207,0.03438,0.00875,3.0523,1.5002,2.92975,0.13278,0.14078,0.13702,3.34628,4.0952,0.4297,4,0.01402,0.04279,-5.36113,-6.94538
"20","2015_Q1",60.6585245901639,"Up",1484728000,-1014332000,470396000,-405350000,-279474000,-203671000,-75803000,-125876000,65046000,-19530000,-13353000,-13353000,-6177000,45516000,45516000,37855000,83371000,83371000,83371000,83371000,1608496000,1113608000,2318557000,2318557000,3927053000,149875000,2965572000,2965572000,3115447000,7042500000,271327000,201581000,69746000,2391827000,274586000,2663154000,885849000,1635789000,1635789000,2521638000,5184792000,819284000,-4446000,1857708000,1857708000,7042500000,83371000,34490000,-128393000,30251000,7501000,-166145000,-27929000,51083000,-79012000,-38461000,-39287000,-38856000,-38856000,-11854000,-51141000,3750000,3750000,24391000,-65211000.0000001,-65211000.0000001,-4398000,-69608999.9999999,99536000,885849000,-5535000,0.31682,0.04381,0.05615,0.04488,0.01184,-0.0663900000000011,1.47459,2.79096,0.12579,0.19743,0.19274,3.5159,4.39914,-0.01311,4,0.01904,-0.00126,-7.26016,-11.10978
