"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","other_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","net_income_2","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"30","2019_Q1",1.11606557377049,"Up",5464518,-1752256,3712262,-3353590,-2394177,-959413,358672,-112457,-51613,-60844,246215,-3100724,5141,-3095583,-3095583,-3095583,-3095583,2376000,2376000,2933000,2933000,2609000,2609000,7918000,237000,23585000,7367000,15537000,681000,23822000,31740000,3094000,1280000,1814000,3948000,9337000,8338000,16379000,9159000,9159000,25538000,82752000,-76550000,6202000,6202000,31740000,-3095583,-3095583,270883,4307656,621986,2104942,734,-714756,-714022,-207548,-159645,1231275,1231275,1231275,629555,3948000,1247134,0.67934,0.06564,-0.56649,-0.49913,-0.09753,-0.402880000000001,0.48342,4.1177,0.12439,-0.16775,-0.16775,0.29613,0.33609,0.06758,-0.16032,0.06459,2.497,4.38283000000001
"31","2019_Q2",1.28428571428571,"Up",5357000,-1647000,3710000,-3276000,-2484000,-792000,434000,-119000,-78000,-41000,315000,315000,-2000,313000,313000,313000,313000,2009000,2009000,2892000,2892000,2734000,2734000,7635000,240000,24108000,7989000,15537000,582000,24348000,31983000,2231000,1241000,990000,3812000,10178000,9164000,16221000,8978000,8978000,25199000,83021000,-76237000,6784000,6784000,31983000,313000,313000,178000,279000,23000,793000,-38000,-970000,-1008000,-149000,-152000,-367000,-367000,-367000,612000,3812000,599000,0.69255,0.08102,0.05843,0.04614,0.00979,1.91374,0.47069,3.71448,0.11919,0.01581,0.01371,0.27065,0.34274,0.03026,0.01599,0.0306,2.94608,4.15438
"32","2019_Q3",1.38125,"Up",4793000,-1758000,3035000,-3328000,-2461000,-867000,-293000,-173000,-70000,-103000,-466000,-605999.999999999,-2000,-608000,-608000,-608000,-608000,1229000,1229000,2764000,2764000,2647000,2647000,6640000,207000,24704000,8543000,15537000,624000,24911000,31551000,2156000,927000,1229000,3678000,936000.000000002,8281963.08134671,6770000,17456000,18456000,25226000,83170000,-76845000,6325000,6325000,31551000,-608000,-608000,183000,609000,-888000,-704000,-8000.00000000001,-908000,-916000,820000,840000,-780000,-780000,-780000,-110000,4678000,-1004000,0.63322,-0.0611300000000002,-0.12685,-0.09613,-0.01927,1.65132,0.9808,3.9883,0.14827,-0.03053,-0.03601,0.24069,0.31762,-0.05042,-0.02136,-0.03528,-31.35455,-11.77133
"33","2019_Q4",1.22796875,"Down",-978000,-329000,-1307000,-2731000,-2640000,-91000,-4038000,-146000,-91000,-55000,-4184000,-4665000,1138000,-3527000,-164000,-164000,-5058000,1220000,1220000,2214000,2214000,1989000,1989000,5423000,175000,25678000,9030000,15537000,1111000,25853000,31276000,2036000,629000,1407000,3472000,7357000,6310000,12865000,142000,142000,13007000,95278000,-77009000,18269000,18269000,31276000,-3527000,-164000,96000,-213000,-1737000,-1064000,-5000,-261000,-857000,-1119000,1912000,-9000,-9000,-9000,-3942000,3472000,-6822000,1.3364,4.12883,5.17178,-0.27686,-0.16172,1.34875,0.42153,0.71197,0.11101,-0.23419,-0.23419,-0.04528,0.84586,-0.31586,-0.23114,-0.31175,-0.57128,-0.5577
"34","2020_Q1",1.14564516129032,"Down",2681000,-1617000,1064000,-2961000,-2021000,-940000,-1897000,-87000,-70000,-17000,-1984000,-2920000,498000,-2422000,-2404000,-2404000,-2404000,1649000,1649000,2016000,2016000,2889000,803000,6554000,98000,25046000,6897000,10712000,7437000,25144000,31698000,2151000,756000,1395000,3872000,9615000,3593000,15638000,55000,55000,15693000,95418000,-79413000,16005000,16005000,31698000,-2422000,-2404000,140000,793000,1072000,967000,-1000,-661000,-629000,418000,91000.0000000002,429000,429000,429000,-1757000,3872000,-1184000,0.39687,-0.70757,-0.89668,-0.1502,-0.07584,0.49251,0.41911,0.98051,0.12215,-0.08107,-0.08107,0.0904100000000001,0.53973,-0.0399300000000001,-0.12061,-0.0594,-1.26522,-1.17185
"35","2020_Q2",0.988888888888889,"Down",2844000,-1270000,1574000,-3080000,-2291000,-789000,-1506000,-32000,-14000,-18000,-1538000,-1538000,561000,-977000,3673000,3673000,3673000,6560000,6560000,688000,688000,1560000,1392000,8808000,84000,19614000,6964000,10712000,1938000,19698000,28506000,2072000,289000,848000,686000,3823000,2262000,6581000,391000,2006000,8587000,95659000,-75740000,19919000,19919000,28506000,-977000,3673000,137000,188000,-1251000,-4173000,0,-479000,10805000,-1699000,-1721000,4911000,4911000,4911000,-1369000,2301000,-3181000,0.55345,-0.52954,1.29149,0.1844,0.12885,-0.86605,1.3384,0.4311,0.08072,0.12339,0.12228,0.09554,0.66915,-0.10686,0.16244,-0.14068,3.11103,2.82802
"36","2020_Q3",1.3946875,"Up",2887000,-1351000,1536000,-2689000,-2285000,-404000,-1153000,-77000,-13000,-64000,-1230000,-1335000,172000,-1163000,-1135000,-1135000,-1135000,5707000,5707000,418000,418000,2094000,1940000,8219000,101000,19969000,7131000,10712000,2126000,20070000,28289000,2013000,121000,1049000,1071000,4534000,3149000,7618000,345000,1574000,9192000,95972000,-76875000,19097000,19097000,28289000,-1163000,-1135000,141000,1222000,-268000,-172000,11254000,-615000,-645000,0,-36000,-852999.999999999,-852999.999999999,-852999.999999999,-1012000,2300000,9802000,0.53204,-0.39938,-0.39314,-0.05943,-0.04012,-8.63612,1.07889,0.48133,0.0813,-0.0378,-0.03731,0.09615,0.636,0.32644,-0.0522,0.45083,3.3666,2.9549
"37","2020_Q4",1.54515625,"Up",2641000,-1479000,1162000,-3036000,-2283000,-753000,-1874000,2000,-12000,14000,-1872000,-1872000,803000,-1069000,-1055000,-1055000,-1055000,3031000,3031000,937000,937000,1485000,746000,5453000,105000,19787000,745000,10712000,8330000,19892000,25345000,1452000,267000,1094000,1676000,2685000,1977000,5813000,337000,1157000,6970000,96305000,-77930000,18375000,18375000,25345000,-1069000,-1055000,127000,-556000,-214000,-1657000,-8000,-401000,-409000,-5e+05,-610000,-2676000,-2676000,-2676000,-1747000,2496000,-2772000,0.43998,-0.70958,-0.39947,-0.05741,-0.04163,2.62749,0.93807,0.37932,0.09848,-0.03483,-0.03415,0.0872,0.60671,-0.09153,-0.04975,-0.13071,0.30624,0.28549
"38","2021_Q1",1.91114754098361,"Up",2974000,-1589000,1385000,-2693000,-1706000,-987000,-1308000,-6000,-12000,6000.00000000001,-1314000,-1314000,-276000,-1590000,-1187000,-1187000,-1187000,2409000,2409000,2929000,2929000,1977000,974000,7315000,104000,18558000,624000,10712000,7222000,18662000,25977000,1180000,272000,908000,1732000,4457000,3862000,7369000,352000,1119000,8488000,96606000,-79117000,17489000,17489000,25977000,-1590000,-1187000,150000,1401000,229000,245000,-2000,-289000,-291000,-5e+05,-576000,-622000,-622000,-622000,-1158000,2499000,-655000.000000002,0.4657,-0.43981,-0.39913,-0.06787,-0.04569,0.551810000000001,0.99267,0.48533,0.0962,-0.03888,-0.03803,0.09742,0.57287,-0.02146,-0.05836,-0.0322,-0.0777200000000001,-0.0688099999999998
"39","2021_Q2",1.98365079365079,"Up",2951000,-1437000,1514000,-3528000,-2551000,-977000,-2014000,2000,-13000,15000,-2012000,-2453000,-9000,-2462000,-2142000,-2142000,-2142000,16727000,16727000,3187000,3187000,1698000,1057000,21612000,83000,18346000,6327000,10712000,1307000,18429000,40041000,1296000,243000,1053000,2500000,5341000,4983000,9137000,170000,346000,9483000,111817000,-81259000,30558000,30558000,40041000,-2462000,-2142000,136000,1187000,661000,82000,1535266.27478717,-379000,-379000,-1293000,14615000,14318000,14318000,14318000,-1878000,2676000,3439793.50654495,0.51305,-0.68248,-0.72586,-0.0701,-0.0535,19.2674441626356,2.36533,0.31033,0.06683,-0.05712,-0.0561,0.0787,0.81492,0.105295583309185,-0.06412,0.0811183779455682,7.4819,6.97666
"40","2021_Q3",1.64625,"Down",2868000,-1438000,1430000,-3479000,-2515000,-964000,-2049000,-17000,-9000,-7999.99999999999,-2066000,-74999.9999999995,3999.99999999994,-71000,-59999.9999999995,-59999.9999999995,-60000,15847000,15847000,2625000,2625000,1205000,236000,19677000,76000,18084000,393000.000000002,10712000,6979000,18160000,37837000,1687000,363000,1324000,201000,4757000,4474000,6645000,163000,292000,6937000,112219000,-81319000,30900000,30900000,37837000,-72000.0000000005,-60000,132000,1161000,-2280000,-1183000,796999.999999999,-327000,470000,1293000,-167000.000000002,-880000,-880000,-880000,-1917000,330000,-3404000,0.49861,-0.71444,-0.0209199999999999,-0.00194000000000001,-0.00159,56.73333,2.96117,0.2245,0.00872,-0.00145,-0.00144,0.06946,0.74839,-0.08244,-0.00191,-0.10843,8.09442,7.57296
"41","2021_Q4",1.59796875,"Down",5514000,-2623000,2891000,-4778000,-3439000,-1339000,-1887000,-95000,-85000,-10000,-1982000,-4375000,-4000,-4379000,-4310000,-4310000,-4310000,10409000,10409000,3287000,3287000,1457000,581000,15153000,116000,47145000,17323000,23089000,6733000,47261000,62414000,2713000,689000,2024000,327000,15496000,4395000,18536000,436000,10277000,28813000,119230000,-85629000,33601000,33601000,62414000,-4379000,-4310000,506000,1584000,-12550000,-14869000,-15000,-342000,-357000,1e+07,9788000,-5438000,-5438000,-5438000,-1381000,10168000,-13942000,0.5243,-0.34222,-0.78165,-0.12827,-0.06906,3.2348,0.81749,0.8575,0.16291,-0.10941,-0.10786,0.13997,0.85296,-0.35392,-0.0975,-0.31539,0.17451,0.12772
"42","2022_Q1",1.42790322580645,"Down",6046000,-3079000,2967000,-4928000,-3426000,-1502000,-1961000,1785000,-129000,1914000,-176000,95000,-1e+05,-5000.00000000186,-30000.0000000019,-30000.0000000019,-30000.0000000009,9885000,9885000,3823000,3823000,1411000,843000,15119000,123000,46573000,16763000,23089000,6721000,46696000,61815000,2581000,778000,1803000,454000,5794000,5794000,8829000,9255000,18942000,27771000,119703000,-85659000,34044000,34044000,61815000,-4000,-30000,575000,-1070000,12991000,12466000,-23000.0000000001,-410000,-12903000,0,-86999.9999999981,-524000,-524000,-524000,-1386000,10141000,11682000,0.49074,-0.32435,-0.00496000000000008,-0.000879999999999992,-0.000490000000000018,-389.4,1.71242,0.81574,0.16405,-0.000989999999999977,-0.000979999999999981,0.20051,1.12906,0.38743,-0.000559999999999991,0.2186,-0.1847,-0.13055
"43","2022_Q2",1.34016129032258,"Down",5935000,-3209000,2726000,-5813000,-4501000,-1312000,-3087000,401000,-132000,533000,-2686000,-2776000,-11000,-2787000,-2787000,-2787000,-2787000,7955000,7955000,4660000,4660000,1094000,671000,13709000,109000,46144000,16235000,23089000,6820000,46253000,59962000,3668000,1013000,2655000,563000,10775000,6060000,15006000,3965000,13514000,28520000,119888000,-88446000,31442000,31442000,59962000,-2787000,-2787000,542000,387000,588000,-1270000,196947.714662511,-519000,-519000,-55043872.5556607,-141000,-1930000,-1930000,-1930000,-2545000,10112000,31594636.4308088,0.45931,-0.52013,-0.46959,-0.08864,-0.04648,-587.296618979746,0.91357,0.90707,0.16864,-0.05926,-0.05894,0.1262,0.66857,0.94584398850658,-0.06123,0.63413109041567,-0.84754,-0.69874
"44","2022_Q3",1.496875,"Up",5992000,-3204000,2788000,-5395000,-3934000,-1461000,-2607000,-614000,-189000,-425000,-3221000,-3270000,-2000,-3272000,-3272000,-3272000,-3272000,5918000,5918000,3545000,3545000,1716000,771000,11179000,106000,45677000,15707000,23089000,6881000,45783000,56962000,3105000,669000,2436000,638000,6189000,6189000,9932000,9079000,18523000,28455000,120225000,-91718000,28507000,28507000,56962000,-3272000,-30293442.9858148,541000,1361000,-311000,-1681000,-9999.99999999994,-352000,-362000,-179959617.666982,6000,-2037000,-2037000,-2037000,-2066000,10082000,-2385000,0.46529,-0.43508,-0.54606,-0.11478,-0.05744,0.728909999999701,1.12555,0.99818,0.177,-0.06928,-0.06901,0.12687,0.60356,-0.0504999999999999,-0.06864,-0.0500299999999999,-2.01549,-1.59724
