"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","general_administrative","research_development","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_cash_from_investing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2014_Q2",830.871746031746,"Down",288000,-130000,158000,-4256000,-1708000,-1708000,-2548000,-4098000,13000,13000,-4085000,520000,-3565000,-3565000,-3565000,-3565000,-3565000,88606058.6275066,88606058.6275066,1019532.64070178,1019532.64070178,25482580.3172226,-26927756.7584444,-26927756.7584444,88180414.8269866,294711.572883866,176136.073865439,176136.073865858,475793.46836295,88656208.2953495,-38382808.4478802,-27615187.9884929,-10767620.4593873,-6994923.80162141,-45377732.2881139,12782189.3445165,3493141.66367051,13547829.9479133,-31829902.3402006,177517717.957275,-57031607.3203737,120486110.63555,120486110.63555,88656208.2953495,-3565000,70000,-232000,-689000,-4416000,-12000,-12000,-12000,-2324000,6556000,-184000,-184000,-184000,-4028000,0,0.54861,-14.22917,-12.37847,290.785488207793,4.81845791581516,64.3071160774225,-369.447483319896,0.14481197194769,-68.73393,-68.73393,5.5527,-1602774.61346867,20.1374291462038,16.3906528884825,16.2419914308889
"2","2014_Q3",777.4265625,"Down",123000,-18000,105000,-3871000,-1653000,-1653000,-2218000,-3766000,37000,37000,-3729000,797000,-2932000,-2942000,-2942000,-2942000,-2942000,40057029.3137533,40057029.3137533,593266.320350891,593266.320350891,11198290.1586113,-11529378.3792222,-11529378.3792222,40319207.4134933,401355.786441933,160568.03693272,160568.036932929,564396.734181475,40883604.1476748,-14755904.2239401,-10823593.9942465,-3932310.22969366,-2716961.9008107,-17472866.144057,6843094.67225826,1761070.83183525,7225914.97395664,-10246951.1701003,113207858.978638,-62077303.6601868,51130555.3177751,51130555.3177751,40883604.1476748,-2942000,71000,-595000,-287000,-3753000,93000,-9000,-9000,1143000,51000,-2559000,-2559000,-2559000,-3695000,0,0.85366,-30.61789,-23.9187,119.891974103896,1.64423895790758,28.2598280387113,-152.489286659948,0.072405985973845,-49.5735700000001,-49.57357,2.07258999999992,-715123.507309333,7.2919245731019,7.37383144424125,7.30585071544443
"3","2014_Q4",627.2509375,"Down",152000,-41000,111000,-4224000,-1912000,-1912000,-2312000,-4113000,-2000,-2000,-4115000,-104000,-4219000,-4219000,-4219000,-4219000,-4219000,14623343.1045844,14623343.1045844,360422.10678363,360422.10678363,3483763.38620377,-2916126.1264074,-2916126.1264074,15551402.4711644,441118.595480644,151856.012310907,151856.012310976,593798.911393825,16145201.3825583,-2038968.0746467,-1732864.66474882,-306103.409897885,-432987.300270234,-2471955.38135232,3609698.22408609,768690.277278418,3737304.99131888,1265349.60996656,81759619.6595459,-66879767.886729,14879851.7725917,14879851.7725917,16145201.3825583,-4219000,44000,364000,1065000,-2746000,-35000,-42000,-42000,2514000,359000,127000,127000,127000,-4069000,0,0.73026,-27.05921,-27.75658,30.2117580346322,-0.00729368069747283,9.16523934623709,-38.4984355533161,0.0241353286579483,-74.09811,-74.09811,2.66957,-215356.841276444,0.967994857700633,2.72383048141375,2.69799023848148
"4","2015_Q1",518.064754098361,"Down",491000,-297000,194000,-5121000,-2716000,-962000,-2405000,-4927000,0,0,-4927000,451000,-4476000,-4468000,-4468000,-4468000,-4468000,5429000,5429000,273000,273000,521000,729000,729000,6952000,436000,149000,149000,585000,7537000,2920000,1865000,1055000,425000,3345000,2344000,344000,2344000,5689000,73395000,-71547000,1848000,1848000,7537000,-4468000,47000,-173000,454000,-4140000,14000,-5000,-5000,1265000,420000,-2455000,-2455000,-2455000,-4880000,4.54747350886464e-13,0.39511,-10.03462,-9.0998,-2.41775,-0.59281,2.07833,3.07846,0,-75.8146999999964,-75.8147,8.3314699999996,31.35756,-1.06584,1.1125,1.10189
"5","2015_Q2",632.043333333333,"Up",538000,-148000,390000,-5051000,-3468000,-1554000,-1583000,-4661000,-11000,-11000,-4672000,34000,-4638000,-4640000,-4640000,-4640000,-4640000,5598000,5598000,283000,283000,492000,1223000,1223000,7596000,408000,151000,151000,559000,8155000,3273000,2178000,1095000,425000,3698000,2308000,315000,2308000,6006000,78336000,-76187000,2149000,2149000,8155000,-4640000,41000,320000,-228000,-4507000,23000,-14000,-14000,23000,4653000,169000,169000,169000,-4620000,0,0.72491,-8.66357,-8.62454,-2.15914,-0.56898,2.05408,2.79479,0,-74592.07459,-74.59756,8648.82244,34547.06213,-1.04106,1.21169,1.20103
"6","2015_Q3",434.9715625,"Down",1008000,-253000,755000,-5614000,-4257000,-1946000,-1357000,-4859000,-22000,-22000,-4881000,5.82076609134674e-11,-4881000,-4887000,-4887000,-4887000,-4887000,7208000,7208000,389000,389000,1452000,597000,597000,9646000,375000,153000,153000,528000,10174000,2541000,1777000,764000,220000,2761000,2509000,320000,2509000,5270000,85978000,-81074000,4904000,4904000,10174000,-4887000,41000,433000,-1012000,-5425000,-8000,-8000,-8000,-8000,7043000,1610000,1610000,1610000,-4818000,-7.27595761418343e-12,0.74901,-4.82044,-4.84821,-0.99653,-0.48034,3.49366,1.07463,0,-35.3883099999948,-64.33804,7.29925000000003,35.51141,-0.65925,1.49606,1.48343
"7","2015_Q4",167.345,"Down",1200000,-269000,931000,-6279000,-4716000,-1681000,-1563000,-5348000,-31000,-31000,-5379000,139000,-5240000,-5242000,-5242000,-5242000,-5242000,3383000,3383000,543000,543000,1583000,668000,668000,6177000,359000,154000,154000,513000,6690000,3876000,2870000,1006000,378000,4254000,2209000,187000,2209000,6463000,86543000,-86316000,227000,227000,6690000,-5242000,41000,82000,981000,-4138000,-24000,-24000,-24000,-24000,337000,-3825000,-3825000,-3825000,-5307000,0,0.77583,-4.45667,-4.36833,-23.09251,-0.78356,1.45205,28.47137,0,-61.84943,-61.85014,14.15859,2.67832999999966,-2.15189,0.63746,0.63257
"8","2016_Q1",79.1990163934426,"Down",1635000,-591000,1044000,-7313000,-6088000,-2825000,-1225000,-6269000,81000,81000,-6188000,1976000,-4212000,-4204000,-4204000,-4204000,-4204000,2385000,2385000,536000,536000,1345000,261000,261000,4527000,395000,155000,155000,550000,5077000,4463000,2483000,1980000,170000,4633000,3887000,1639000,5542000,10175000,85422000,-90520000,-5098000,-5098000,5077000,-4204000,41000,-1603000,1277000,-4489000,-77000,-77000,-77000,-77000,3568000,-997999.999999999,-997999.999999999,-997999.999999999,-6228000,1655000,0.63853,-3.83425,-2.57125,0.82464,-0.82805,0.97712,-1.99588,0.32598,-43.9855999999998,-43.98512,17.1066699999997,-53.33934,-9.46847,0.11721,0.11645
"9","2016_Q2",85.93984375,"Up",1719000,-611000,1108000,-5759000,-4826000,-1682000,-933000,-4651000,-41000,-41000,-4692000,-385000,-5077000,-5077000,-5077000,-5077000,-5077000,1430000,1430000,1497000,1497000,1201000,433000,433000,4561000,370000,21019.5922012212,21019.5921989113,370000,4931000,3839000,1820000,2019000,189000,4028000,5139000,2024000,8202000,12230000,88299000,-95598000,-7299000,-7299000,4931000,-5077000,40000,723000,-619000,-4933000,-16000,-16000,-16000,-16000,3994000,-955000,-955000,-955000,-4611000,3063000,0.64456,-2.70564,-2.95346,0.695569999999998,-1.02961,1.13232,-1.67556999999999,0.62117,-43.4453,-43.4453,14.70996,-62.4595699999998,-5.62237,-0.35415,-0.35111
"10","2016_Q3",105.31171875,"Up",2663000,-479000,2184000,-4424000,-4146000,-1293000,-278000,-2240000,-24000,-24000,-2264000,-424000,-2688000,-2690000,-2690000,-2690000,-2690000,3495000,3495000,1490000,1490000,1115000,474000,474000,6574000,366000,65000,65000.0000000001,431000,7005000,2775000,860000,1915000,1593000,4368000,4580000,2448000,5104000,9472000,95820000,-98287000,-2467000,-2467000,7005000,-2690000,27000,-1806000,-690000,-5159000,-22000,-22000,-22000,-22000,7246000,2065000,2065000,2065000,-2213000,524000,0.82013,-0.84116,-1.01014,1.09039,-0.38401,1.50504,-3.83948,0.0748,-12.69889,-12.69889,12.57143,-11.64616,-1.0201,1.34252,1.32634
