"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_expense","interest_income","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_acquisitions_divestitures","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","decrease_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q4",10.22421875,"Up",307648000,-257339000,50309000,-41885000,-41885000,8424000,-793000,-793000,-832000,39000,7631000,698000,8329000,-2919000,5410000,5371000,5371000,5371000,102706781.4713,102706781.4713,217134330.675097,217134330.675097,6163673.87907864,103720941.335636,20560554.6799339,70006300.951343,429725727.361111,43285431.0739648,-58623517.7437505,17306692.9509617,-77832183.1506309,1901972.45947789,-15338086.6697856,414387640.691325,129124973.950955,99048996.2725893,30119374.0056945,300067.967207693,101550340.122387,109191013.277311,230975382.04055,50250231.2717595,-11309326.4319034,4044844.12088153,-15354170.552785,38940829.5894523,269916211.630002,323233712.159408,-40784670.1196898,-106549685.377647,175899356.662072,144471429.061323,414387640.691325,5410000,2925000,1038000,-13145000,-3772000,-2010000,-38155000,-39165000,-1881000,-16382000,-835000,16000,-851000,-906000,-20004000,-62941000,-62941000,-62941000,11349000,0,-887000,0.16353,0.02738,0.01746,-0.753685212486944,-0.353018420581665,-0.16515,1.80617650942909,1.49292164367691,0.0995613785049612,0.143,0.14211,8.19084,4.87720032991177,-0.02362,0.05008,-0.63598937862329,-0.0741453731316926,0.35021,29.4443031482895,6.22928755489846
"2","2011_Q1",11.543064516129,"Up",269809000,-211660000,58149000,-44111000,-44111000,14038000,-283000,-283000,-293000,10000,13755000,5617000,19372000,-7029000,12343000,5796000,5796000,5796000,86346000,86346000,233893000,233893000,9365000,73344000,30470000,33330000,402948000,43620000,193452000,39616000,147818000,6018000,237072000,640020000,130128000,101134000,28994000,3e+05,137782000,137782000,268210000,28669000,30357000,18871000,11486000,59026000,327236000,326878000,-34714000,20620000,312784000,312784000,640020000,5796000,3366000,4615000,32843000,46620000,-2834000,-750000,-2584000,-1878000,-450000.000000002,-334000,236000,-570000,311000,-2351000,41685000,41685000,41685000,17404000,28969000,54442000,0.21552,0.05203,0.02148,0.01853,0.00906,9.39303,1.50236,1.0462,0.04526,0.15454,0.15375,7.19414,8.34002,1.45163,0.05007,0.02062,0.14631,0.32402,-3.29677,-4.08726
"3","2011_Q2",9.98984126984127,"Down",282059000,-247850000,34209000,-42622000,-42622000,-8413000,-461000,-461000,-487000,26000,-8874000,5000,-8869000,3699000,-5170000,-5170000,-5170000,-5170000,67274489.5095668,67274489.5095668,246601389.774968,246601389.774968,10321275.3736405,65801769.5547881,31762398.440022,24950316.3495523,389998924.212963,42546772.9753451,247691755.914584,42895852.3496794,196902644.383544,7893259.18017404,290238528.889929,680237453.102892,129754675.349682,99871751.2424702,29868458.6647685,299977.344264102,140808886.625871,139326245.57423,270863539.319817,24263589.5760802,39659775.4773011,22516301.9597062,17143473.517595,63923390.1368492,334786929.456666,327621845.946864,-33907359.9601034,45888811.792549,339603297.779309,345450523.646226,680237453.102892,-5170000,3161000,1691000,-18748000,-19066000,-2113000,-1761000,-1874000,-1880000,57523.1991891442,123000,123000,-2415462.7921621,-13000,-1770000,-22710000,-22710000,-22710000,-5252000,0,-29812000,0.12128,-0.02983,-0.01833,0.175915070828981,0.0828044735272216,5.76634,1.43993866352364,0.94690778544103,0.034636207165013,-0.13773,-0.13773,7.51416,8.99980405669608,-0.7942,0.05008,0.154548126207763,0.119843457710564,-0.36364,-13.2761977160965,-6.31139251829949
"4","2011_Q3",8.7403125,"Down",312148000,-264638000,47510000,-41928000,-41928000,5582000,-443000,-443000,-466000,23000,5139000,536000,5675000,-2513000,3162000,3162000,3162000,3162000,50101000,50101000,255286000,255286000,10062000,70451000,28499000,31957000,385900000,41039000,194605000,37388000,148986000,8231000,235644000,621544000,129401000,98202000,31199000,3e+05,128364000,128364000,258065000,27619000,30477000,18907000,11570000,58096000,316161000,326592000,-36040000,14831000,305383000,305383000,621544000,3162000,3013000,2913000,-13465000,-4376999.99999999,-1410000,-482000,-1892000,-1923000,-1289000,-3617000,95000,-3712000,-437000,-7266000,-13535000,-13535000,-13535000,8595000,27919000,-3767000.00000001,0.1522,0.01788,0.01013,0.01035,0.00509000000000003,-1.19133,1.49536,1.03529,0.04492,0.08403,0.08403,8.29497,8.1152,-0.1001,0.0511,0.0139800000000001,-0.01036,0.60816,-2.5808,-3.97384
"5","2011_Q4",9.02603174603175,"Up",328113000,-279005000,49108000,-41493000,-41493000,7615000,-462000,-462000,-478000,16000,7153000,-50015000,-42862000,6293000,-36569000,-36569000,-36569000,-36569000,43692000,43692000,259769000,259769000,9742000,74799000,24602000,38719000,388002000,40475000,137169000,36099000,93640000,7430000,177644000,565646000,132220000,101421000,30799000,3e+05,123232000,123232000,255752000,27369000,17877000,11599000,6278000,45246000,300998000,325028000,-38642000,-21738000,264648000,264648000,565646000,-36569000,2974000,46976000,-11903000,1478000,-2318000,-249000,-2567000,-1864000,-3e+05,-2608000,1000,-2609000,-548000,-5320000,-6409000,-6409000,-6409000,10589000,27669000,-9925000,0.14967,0.02321,-0.11145,-0.13818,-0.06465,0.2714,1.5171,1.13735,0.04892,-0.97988,-0.97988,8.79188,7.09132,-0.26594,0.04995,-0.11188,-0.032,-0.05097,-1.51317,-2.10414
"6","2012_Q1",10.2298387096774,"Up",294334000,-243631000,50703000,-41010000,-41010000,9693000,542000,-392000,-455000,63000,10235000,-2116000,8119000,-2016000,6102999.99999999,2084999.99999999,1747000.00000001,1747000.00000001,51237000,51237000,260145000,260145000,10349000,68819000,24179000,33233000,390550000,41693000,161737000,48349000,107093000,6295000,203430000,593980000,139022000,111683000,27339000,3e+05,141462000,137205000,280784000,14749000,15341000,4642000,10699000,30090000,310874000,324019000,-39437000,-19991000,264591000,283106000,593980000,2085000.00000001,3443000,4277999.99999999,41839000,51645000,-2108000,-27309000,-29417000,-1853000,-12798000,-861000,74000,-935000,829000,-14683000,7545000,7545000,7545000,13136000,15049000,54883000,0.17226,0.03293,0.00593999999999997,0.00616999999999998,0.00293999999999998,31.41557,1.39093,1.09808,0.02534,0.04713,0.0471299999999998,7.94038,7.13799,1.4806,0.04999,0.01148,0.17507,1.06068,-2.75486999999999,-3.73342
"7","2012_Q2",8.77761904761905,"Down",326902000,-283971000,42931000,-46051000,-46051000,-3120000,-393000,-393000,-397000,4000,-3513000,138000,-3375000,944000,-2431000,-2668000,-1029000,-1029000,27873000,27873000,265941000,265941000,10699000,69012000,29179000,39833000,373525000,40807000,161726000,46284000,107093000,8349000,202533000,576058000,134078000,105801000,28277000,3e+05,131863000,131863000,266241000,14649000,15969000,5131000,10838000,30618000,296859000,322684000,-39341000,-21020000,262323000,279199000,576058000,-2668000,3057000,1748000,-21953000,-19816000,-1674000,24000,-1650000,-1853000,-1e+05,36000,36000,-781641.66481416,19000,-1898000,-23364000,-23364000,-23364000,-63000,14949000,-24634000,0.13133,-0.00954,-0.00315,-0.00369,-0.00179,23.93975,1.40296,1.06325,0.02595,-0.02777,-0.02777,8.82184,7.0791,-0.66478,0.05001,0.00266,-0.07943,-1.80078,205.14286,4.14231
"8","2012_Q3",9.66238095238095,"Up",353172000,-299076000,54096000,-46877000,-46877000,7219000,-424000,-424000,-428000,4000,6795000,200999.999999998,6996000,-3049000,3947000,4045000,4466000,4466000,28811000,28811000,285333000,285333000,10465000,65632000,28572000,37060000,390241000,42251000,172129000,49206000,114593000,8330000,214380000,604621000,137126000,109833000,27293000,3e+05,138420000,138420000,275846000,28649000,19281000,6485000,12796000,47930000,323776000,320996000,-40054000,-16552000,264390000,280845000,604621000,4047000,2946000,5410000,-5610000.00000001,6793000,-4152000,-12174000,-16326000,-1929000,1.4e+07,-912000,0,-912000,-688000,10471000,938000.000000004,938000.000000004,938000.000000004,10165000,28949000,3451999.99999999,0.15317,0.02044,0.01265,0.0159,0.00739,0.772949999999998,1.41471,1.15286,0.04788,0.12016,0.11939,9.50256,7.11376,0.09288,0.0519,0.01943,0.01049,0.43193,0.0135799999999904,0.01912
"9","2012_Q4",9.85306451612903,"Up",335241000,-279720000,55521000,-45853000,-45853000,9668000,-311000,-393000,-406000,13000,9357000,-6000,9351000,-3926000,5425000,5327000,5675000,5675000,35665000,35665000,268839000,268839000,9908000,65068000,27434000,37634000,379480000,42041000,170205000,46795000,114588000,8822000,212246000,591726000,121644000,92994000,28650000,3e+05,141385000,141385000,263329000,24049000,20029000,7117000,12912000,44078000,307407000,319543000,-40452000,-10879000,268212000,284319000,591726000,5325000,2921000,3492000,4717000,16455000,-2612000,-385000,-2997000,-1859000,-4300000,-478000,34000,-512000,33000,-6604000,6854000,6854000,6854000,12589000,24349000,18620000,0.16562,0.02884,0.01693,0.01996,0.00959,3.28106,1.44109,1.0812,0.04115,0.15273,0.15202,9.02253,7.21854,0.50113,0.05003,0.02292,0.05665,0.32758,-0.89888,-1.17046
"10","2013_Q1",11.6576666666667,"Up",315870000,-260797000,55073000,-47028000,-47028000,8045000,-298000,-361000,-364000,3000,7747000,820000,8567000,-4014000,4553000,5145000,4351000,4351000,40757000,40757000,256959000,256959000,9638000,65199000,25037000,38580000,372553000,41416000,166785000,44515000,114588000,7682000,208201000,580754000,166629000,100641000,65988000,3e+05,101658000,100891000,268587000,7100000,17761000,7954000,9807000,24861000,293448000,317945000,-41012000,-6528000,270405000,287306000,580754000,5145000,2869000,5938000,13126000,27078000,-2238000,43000.0000000019,-2195000,-1857000,-16949000,-1177000,259000,-1436000,192000,-19791000,5092000,5092000,5092000,10914000,7400000,25816000,0.17435,0.02547,0.01377,0.01514,0.00749,5.93335,1.38709,1.02138,0.01274,0.11737,0.11683,8.52091,7.29444,0.69641,0.05009,0.01987,0.08262,0.4268,-3.05635000000001,-4.1463
