"","YQ","p","d","revenue","sales_services_revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_expense","interest_income","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2014_Q2",11.1611111111111,"Down",708349000,818740000,-426669000,281680000,-211376000,-124679000,-66179000,-20518000,70304000,-74739000,-75027000,-75503000,476000,288000,-4435000,-1942000,-6377000,-4848000,-11225000,-11225000,-6182000,-6182000,196128498.280017,196128498.280017,-50497021.1451711,-50497021.1451711,38253284.1062709,192406038.969697,270255205.057499,-87741169.5382768,376290800.210814,2853078967.89007,910694727.092354,941790476.017564,680618327.462554,-808663706.929834,3763773694.98243,4140064495.19324,734932527.990532,777223264.71629,-42290725.3780093,71602548.6440132,825324450.652737,3517333599.462,634636170.597343,123659232.444523,510976938.15282,4151969770.05935,4977294220.71208,843417536.003143,-1639891754.0147,-40805555.3363797,-837279773.347936,-837229725.518846,4140064495.19324,-11225000,66179000,8031000,-5816000,57169000,-18306000,1112000,-17194000,-55523000,-169000,-54935000,-14960000,-14960000,-14960000,136483000,0,117209000,0.39766,0.09925,-0.00873,-6.06284727234352,-0.646365818667178,-18.95972,0.101526541393371,34.1638781675484,0.86058615236575,-0.05633,-0.05633,6.45403,-7.40308845413378,1.06793,-0.695834919218486,0.107427789725315,-3676.03157544804,-3155.9097556926
"2","2014_Q3",10.44875,"Down",722534000,840802000,-437276000,285258000,-196127000,-111379000,-65898000,-18850000,89131000,-75496000,-74826000,-75296000,470000,-670000,13635000,-3056000,10579000,-5241000,5338000,5338000,669000,669000,176532749.140008,176532749.140008,-9619010.57258554,-9619010.57258554,26014642.0531354,110827019.484849,133009102.528749,-29932084.7691384,303755400.105407,2558275483.94504,1425694363.54618,941357238.008782,682964163.731277,-366940853.464917,3983969847.49121,4287725247.59662,521438263.995266,407406132.358145,114032137.310995,49645274.3220066,580719725.326369,3416742299.731,428926585.298671,129672116.222261,299254469.07641,3845668885.02967,4426388610.35604,885547268.001571,-1006676877.00735,-17583777.6681898,-138713386.673968,-138663362.759423,4287725247.59662,5338000,65898000,22890000,-12966000,81160000,-35203000,12000,-35191000,-46389000,811000,-46335000,-366000.000000015,-365999.999999985,-365999.999999985,155029000,0,112101000,0.3948,0.12336,0.000930000000000002,-2.75732363617176,-0.293237909333589,167.56502,0.396693270696686,20.4593540837742,0.807198076182875,0.00608999999999998,0.00609,6.57537,-1.14714422706689,1.02017,-0.315707459609243,0.0316188948626577,-1818.47671272402,-1537.4860628463
"3","2014_Q4",10.84671875,"Up",738843000,866511000,-448912000,289931000,-194814000,-113436000,-66168000,-15210000,95117000,-75070000,-74954000,-75420000,466000,-116000,20047000,-21414000,-1367000,-1961000,-3328000,-3328000,-15105000,-15105000,160094916.380003,160094916.380003,15050996.4758048,15050996.4758048,18709547.3510451,68560673.1616162,59999367.5095832,3162638.41028719,262416133.368469,2378943161.31501,1737572121.18206,938843079.336261,684528054.577092,-92539284.4883057,4116515282.49707,4378931415.86554,390811754.665089,189381044.119382,201430712.436998,36383758.1073355,432044908.442123,3378988433.24367,308556528.43289,135949038.740754,172607489.692137,3687544961.67656,4119589870.11868,910495422.66719,-646210625.669116,-4993259.22272995,259291537.775344,259341545.746859,4378931415.86554,-3328000,66168000,25771000,5561000,94172000,-67999000,2063000,-65936000,-69877000,39000,-69838000,-41602000,-41602000,-41602000,161285000,0,100808000,0.39241,0.12874,-0.02044,-0.88929787872392,-0.0939726364445297,-6.67382,0.583351090232229,12.6347413612581,0.779822692060958,-0.13741,-0.13741,6.7214,2.3992585909777,0.91707,-0.101199153203081,0.000379631620885909,-705.229727574673,-574.096417615433
"4","2015_Q1",13.2596721311475,"Up",-27471000.0000001,-143261000,18889000,-8582000,-23557000,21895000,-10670000,-34782000,-32139000,-2924000,-3374000,-3841000,467000,450000,-35063000,-23805000,-58868000,17458000,-41410000,-32423000,-32423000,-32423000,145341000,145341000,27235000,27235000,15161000,54213000,32944000,18107000,241950000,2286108000,1894326000,934249000,685310000,52050000,4180434000,4422384000,324355000,85089000,239266000,29753000,357195000,3375098000,252004000,142263000,109741000,3627102000,3984297000,923205000,-485115000,-53000,438037000,438087000,4422384000,-41410000,10670000,36554000,51583000,57397000,-16243000,-8946000,-25189000,31647000,1140000,32787000,64995000,24431000,24431000,-21469000,3404851000,-3587000,0.3124,1.16992,1.18026,-0.07401,-0.00733,0.110630000000007,0.67736,9.09476,0.76991,-0.29381,-0.29381,-0.24894,3.96938,-0.0325,-0.00792,-0.00088,-151.82403,-101.41915
"5","2015_Q2",13.6239682539683,"Up",550578000,610091000,-323276000,227302000,-154354000,-81689000,-51942000,-20723000,72948000,-53068000,-56464000,-56935000,471000,-618000,19880000,-1573000,18307000,16796000,35103000,35103000,35103000,35103000,130797000,130797000,30655000,30655000,14192000,56390000,33561000,21465000,232034000,2250796000,1943954000,927576000,685310000,104336000,4194750000,4426784000,303370000,56471000,246899000,27688000,334065000,3376097000,237747000,148387000,89360000,3613844000,3947909000,928619000,-450012000,218000,478825000,478875000,4426784000,35103000,51942000,6803000,-34210000,59638000,-19269000,2316000,-16953000,-59202000,1973000,-57229000,-14544000,-14544000,-14544000,124890000,3403785000,54615000,0.41284,0.13249,0.06376,0.0733,0.00793,1.55585,0.69458,8.24413,0.76891,0.31498,0.31242,4.94031,4.29648,0.49006,0.00852,0.01325,26.20697,44.86741
"6","2015_Q3",15.966875,"Up",559867000,619463000,-324641000,235226000,-152132000,-81013000,-51964000,-19155000,83094000,-61950000,-56666000,-57131000,465000,-1270000,21144000,-30962000,-9818000.00000001,-7171000,-16989000,-6424999.99999999,-6425000.00000001,-6425000.00000001,124523000,124523000,28728000,28728000,14566000,63064000,41376000,21486000,230881000,2240299000,1948293000,920902000,685310000,109373000,4188592000,4419473000,309071000,60740000,248331000,27688000,340217000,3361618000,243169000,154182000,88987000,3604787000,3945004000,931672000,-456437000,-816000,474419000,474469000,4419473000,-16989000,51964000,51233000,9929999.99999999,96138000,-38843000,658999.999999998,-38184000,-64352000,124000,-64228000,-6274000,-6273999.99999999,-6273999.99999999,135058000,3389306000,113316000,0.42015,0.14842,-0.01148,-0.01354,-0.00145,-17.63673,0.67863,8.31457,0.7669,-0.05725,-0.0568400000000001,4.9883,4.22698,1.00962,-0.00156,0.02759,24.17319,39.29024
"7","2015_Q4",18.5290625,"Up",546313000,608138000,-328896000,217417000,-147994000,-79954000,-51345000,-16695000,69423000,-57851000,-56098000,-56558000,460000,-1753000,11572000,-863000,10709000,-3694000,7015000,25425000,25425000,25425000,125045000,125045000,25176000,25176000,15106000,62841000,38107000,24734000,228168000,2225643000,1955341000,914228000,685310000,104670000,4180984000,4409152000,322760000,59837000,262923000,27688000,353546000,3302687000,246748000,159421000,87327000,3549435000,3902981000,937307000,-431012000,-174000,506121000,506171000,4409152000,7015000,51345000,10392000,16921000,85673000,-28885000,802000,-28083000,-60843000,3775000,-57068000,522000,522000,522000,120768000,3330375000,112498000,0.39797,0.12708,0.04654,0.05023,0.00577,4.4247,0.64537,7.7108,0.75533,0.22576,0.2242,4.85103,4.49414,0.99893,0.00623,0.02755,26.54122,46.17101
"8","2016_Q1",17.0559016393443,"Down",542674000,604385000,-318559000,224115000,-159813000,-79764000,-51867000,-28182000,64302000,-53539000,-53504000,-53966000,462000,-35000,10763000,-25900000,-15137000,703000,-14434000,-6869000,-6869000,-6869000,158821000,158821000,25289000,25289000,15462000,57660000,37250000,19030000,257232000,2225342000,1868326000,890054000,685310000,48341000,4093668000,4350900000,325321000,75803000,249518000,29750000,355071000,3239799000,248019000,162189000,85830000,3487818000,3842889000,946158000,-437881000,-316000,507961000,508011000,4350900000,-14434000,51867000,49510000,-2641000,84302000,-44173000,751000,-43422000,-19016000,-2183000,-21199000,19681000,33776000,33776000,116169000,3269549000,68652000,0.41298,0.11849,-0.01266,-0.01352,-0.00158,-9.99447,0.72445,7.56458,0.75146,-0.0598100000000001,-0.05926,4.72482,4.42259,0.59772,-0.00171,0.01705,26.77761,48.37685
"9","2016_Q2",18.694375,"Up",552378000,612692000,-319007000,233371000,-149681000,-81851000,-47653000,-20177000,83690000,-52645000,-52568000,-53065000,497000,-77000,31045000,-1867000,29178000,-7618000,21560000,33190000,33190000,33190000,616201000,616201000,24056000,24056000,15137000,57290000,34359000,22375000,712684000,2210482000,1873917000,886062000,685310000,48947000,4084399000,4797083000,310294000,67177000,243117000,27688000,337982000,3657911000,257591000,168708000,88883000,3915502000,4253484000,948034000,-404691000,206000,543549000,543599000,4797083000,21560000,47653000,13384000,-2221000,80376000,-35297000,5000,-35292000,411029000,-1387000,409642000,454726000,457380000,457380000,131343000,3685599000,101443000,0.42248,0.15151,0.06009,0.06106,0.00692,3.05643,2.10864,7.82467,0.7683,0.29086,0.28894,4.84079,4.76342,0.889,0.0074,0.02261,23.36933,36.6758
"10","2016_Q3",18.52828125,"Down",544874000,601884000,-315013000,229861000,-149371000,-79002000,-48250000,-22119000,80490000,-60993000,-60928000,-61887000,959000,-65000,19497000,-418999.999999996,19078000,-7771000,11307000,30022000,30022000,30022000,628278000,628278000,26765000,26765000,15361000,65473000,43139000,20719000,735877000,2206216000,1887227000,882084000,685310000,47541000,4093443000,4829320000,330394000,72486000,257908000,29750000,360144000,3628112000,264025000,175452000,88573000,3892137000,4252281000,951637000,-374669000,21000,576989000,577039000,4829320000,11307000,48250000,16012000,4316000,79885000,-37150000,699000,-36451000,-32640000,1283000,-31357000,12077000,12077000,12077000,128740000,3657862000,103677000,0.42186,0.14772,0.0551,0.05203,0.00622,3.45337,2.04329,7.36914,0.75743,0.2626,0.26088,4.76593,5.04683,0.90685,0.00667,0.02304,23.53258,37.63926
