"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_expense","interest_income","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","total_current_liabilities","other_long_term_liabilities","deferred_tax_liabilities_long_term","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","decrease_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",32.548253968254,"Up",384817000,-209118000,175699000,-124677000,51022000,-344000,-327000,-387000,60000,-17000,50678000,50678000,-19258000,31420000,31420000,31420000,31420000,250620000,250620000,177812000,177812000,243283000,41617000,14700000,713332000,132328000,338412000,54009000,271765000,12638000,470740000,1184072000,107937000,58432000,49505000,161793000,269730000,58022000,58022000,76844000,346574000,349695000,-106318000,596146000,-2025000,837498000,837498000,1184072000,31420000,6577000,4401000,4429000,46827000,-5135000,-5135000,-12595000,-12855000,7059000,8123000,-1064000,-16642000,25050000,25050000,-2000,25048000,57599000,180615000,76151000,0.45658,0.13259,0.08165,0.03752,0.02654,2.42365,2.64461,0.41382,0.15254,0.5051,0.5009,6.18617,13.4633,1.22417,0.20247,4,0.0409,0.07076,0.40086,-1.21539,-1.37206
"2","2010_Q3",30.545625,"Down",395482000,-216447000,179035000,-129145000,49890000,-295000,-324000,-358000,34000,29000,49595000,49595000,-18946000,30649000,30649000,30649000,30649000,245946000,245946000,194469000,194469000,242812000,44558000,17021000,727785000,135352000,333929000,52239000,271765000,9925000,469281000,1197066000,111502000,64751000,46751000,167669000,279171000,59223000,59223000,59314000,338485000,354142000,-106846000,614162000,-2877000,858581000,858581000,1197066000,30649000,6378000,4120000,-13711000,27436000,-7587000,-7587000,-12633000,-12855000,333000.000000007,1469000,-1136000,-24431000,-4582000,-4582000,-92000,-4674000,56268000,167760000,53916000,0.4527,0.12615,0.0775,0.0357,0.0256,1.75914,2.60695,0.39424,0.14014,0.49013,0.48625,6.32447,13.73027,0.86221,0.20202,5,0.03987,0.04967,0.41218,-1.38953,-1.56717
"3","2010_Q4",37.395625,"Up",450381000,-245499000,204882000,-134481000,70401000,-186000,-205000,-248000,43000,19000,70215000,70215000,-25968000,44247000,44247000,44247000,44247000,167900000,167900000,212873000,212873000,266066000,45042000,18729000,691881000,139697000,329442000,50520000,271765000,7157000,469139000,1161020000,131968000,75470000,56498000,59858000,191826000,60280000,60280000,60327000,252153000,373697000,-107164000,645713000,-3379000,908867000,908867000,1161020000,44247000,6295000,3217000,-18759000,3.5e+07,-8794000,-8794000,-12696000,-107855000,14214000,14225000,-11000,-104279000,-78073000,-78073000,27000,-78046000,76696000,59905000,75111000,0.45491,0.15631,0.09824,0.04868,0.03811,1.69754,3.60682,0.27744,0.0516,0.70469,0.69882,7.17293,14.47494,1.19624,0.2022,5,0.05534,0.07299,0.28693,-1.40809,-1.534
"4","2011_Q1",39.4824193548387,"Up",461361000,-254038000,207323000,-136817000,70506000,-166000,-119000,-147000,28000,-47000,70340000,70340000,-26283000,44057000,44057000,44057000,44057000,121191000,121191000,221013000,221013000,285985000,48347000,20498000,676536000,143609000,333178000,48751000,271765000,12662000,476787000,1153323000,150924000,81220000,69704000,39361000,190285000,63158000,63158000,63158000,253443000,378381000,-151809000,675968000,-2660000,899880000,899880000,1153323000,44057000,6799000,5379000,-15641000,40594000,-8788000,-8788000,-13802000,-20544000,-44449000,1584000,-46033000,-78552000,-46746000,-46746000,37000,-46709000,77305000,39361000,79159000,0.44937,0.15282,0.09549,0.04896,0.0382,1.79674,3.55538,0.28164,0.03413,0.70803,0.70328,7.4144,14.46171,1.27214,0.22181,8,0.05772,0.07897,0.31328,-1.05853,-1.16061
"5","2011_Q2",43.6457142857143,"Up",472827000,-255134000,217693000,-140543000,77150000,-105000,-74000,-99000,25000,-31000,77045000,77045000,-29485000,47560000,47560000,47560000,47560000,80545000,80545000,225488000,225488000,299069000,47304000,21450000,652406000,142878000,328175000,46992000,271765000,9418000,471053000,1123459000,146814000,79066000,67748000,18818000,165632000,64796000,64796000,64796000,230428000,402661000,-153159000,646076000,-2547000,893031000,893031000,1123459000,47560000,7073000,4296000,-17003000,41926000,-4455000,-4455000,-77229000,-20543000,15990000,17855000,-1865000,-78131000,-40660000,-40660000,14000,-40646000,84223000,18818000,92250000,0.46041,0.16317,0.10059,0.05326,0.04233,1.93966,3.93889,0.25803,0.01675,0.76255,0.75739,7.581,14.31828,1.47908,1.23824,7,0.12777,0.09446,1.62382,-0.7329,-0.80009
"6","2011_Q3",38.70734375,"Down",483362000,-257063000,226299000,-145701000,80598000,-28000,-56000,-61000,5000,28000,80570000,80570000,-30881000,49689000,49689000,49689000,49689000,75675000,75675000,246595000,246595000,305072000,47986000,22372000,675328000,147499000,326464000,46560000,272041000,7863000,473963000,1149291000,134936000,78546000,56390000,87000,135023000,71528000,71528000,71528000,206551000,416475000,-153291000,681775000,-2219000,942740000,942740000,1149291000,49689000,7143000,10077000,-28511000,38398000,-9535000,-20550000,-13949000,-18731000,8484000,9251000,-767000.000000007,-22736000,-4888000,-4888000,18000,-4869999.99999999,87741000,87000,80576000,0.46818,0.16674,0.1028,0.05271,0.04323,1.62161,5.00158,0.2191,7.99999999999967e-05,0.79029,0.78467,7.68779,14.99412,1.28155,0.22186,7,0.06274,0.07944,0.28073,-0.86149,-0.93784
"7","2011_Q4",42.4750793650794,"Up",532366000,-280804000,251562000,-153428000,98134000,-159000,-39000,-51000,12000,-120000,97975000,97975000,-35889000,62086000,62086000,62086000,62086000,136771000,136771000,257088000,257088000,321859000,45882000,19612000,761600000,147649000,322469000,44705000,272041000,5723000,470118000,1231718000,146567000,87212000,59355000,42000,146609000,75517000,75517000,75517000,222126000,434660000,-152949000,729811000,-1930000,1009592000,1009592000,1231718000,62086000,7315000,5238000,-9672000,64967000,-5501000,-4559000,-14008000,-45000,12498000,12585000,-87000,670000,61078000,61078000,18000,61096000,105449000,42000,126165000,0.47254,0.18434,0.11662,0.0615,0.05041,2.0321,5.19477,0.22002,3e-05,0.98264,0.97573,8.42578,15.97886,1.99682,0.22171,8,0.07012,0.11626,0.22562,-1.29664,-1.39329
"8","2012_Q1",50.4837096774194,"Up",533237000,-287866000,245371000,-151488000,93883000,-143000,-31000,-47000,16000,-112000,93740000,93740000,-34289000,59451000,59451000,59451000,59451000,95959000,95959000,266545000,266545000,344854000,51076000,22545000,758434000,148813000,337176000,48308000,277431000,11437000,485989000,1244423000,172202000,95538000,76664000,1398700.21220106,172202000,79109000,79109000,79109000,251311000,439102000,-219054000,775149000,-2085000,993112000,993112000,1244423000,59451000,7628000,5920000,-8328000,64671000,-5988000,-24863000,-14071000,-41999.9999999981,-65585000,975000,-66560000,-80616000,-40808000,-40808000,-4000,-40812000,101511000,0,121484000,0.46015,0.17606,0.11149,0.05986,0.04777,2.04343,4.40433,0.25305,3.55753837846806e-19,0.94096,0.93556,8.43983,15.71852,1.92279,0.22271,7,0.06857,0.1133,0.23668,-0.94531,-1.02211
"9","2012_Q2",46.3104761904762,"Down",545703000,-293570000,252133000,-155309000,96824000,0,4000,-46000,50000,-4000,96824000,96824000,-36987000,59837000,59837000,59837000,59837000,128234000,128234000,269872000,269872000,360532000,53427000,26292000,812065000,154898000,332939000,46106000,277431000,9402000,487837000,1299902000,163081000,88309000,74772000,1279000,164360000,81907000,81907000,84696000,249056000,456355000,-221925000,819193000,-2777000,1050846000,1050846000,1299902000,59837000,7823000,6781000,-28249000,46192000,-8271000,-9517000,-15746000,678000,7975000,11306000,-3331000,-4309000,32366000,32366000,-91000,32275000,104647000,4068000,105114000,0.46203,0.17743,0.10965,0.05694,0.04603,1.75667,4.94077,0.23701,0.00313,0.9607,0.95545,8.76139,16.87157,1.68763,0.25281,7,0.06649,0.09246,0.26315,-1.18652,-1.28239
"10","2012_Q3",44.3393650793651,"Down",562974000,-303514000,259460000,-162933000,96527000,-18000,-2000,-70000,68000,-16000,96509000,96509000,-36441000,60068000,60068000,60068000,60068000,108881000,108881000,291968000,291968000,377912000,60045000,31910000,838806000,158192000,352464000,56537000,288072000,7855000,510656000,1349462000,160554000,96316000,64238000,1654000,162208000,76729000,76729000,79240000,241448000,468489000,-221454000,863437000,-2458000,1108014000,1108014000,1349462000,60068000,8546000,-3025000,-37718000,27871000,-9051000,-40201000,-15776000,97000.0000000005,7178000,7286000,-108000,-7082000,-19412000,-19412000,59000,-19353000,105073000,4165000,94745000,0.46087,0.17146,0.1067,0.05421,0.04451,1.5773,5.17118,0.21791,0.00309,0.95929,0.95332,8.99075,17.6951,1.51309,0.25194,6,0.06379,0.07969,0.26264,-0.9966,-1.08484
