"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","other_intangible_assets","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","pension_liabilities","pensions","other_post_retirement_benefits","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",71.6895238095238,"Up",4.272e+09,-3.633e+09,6.39e+08,-3.78e+08,-3.71e+08,-7e+06,2.61e+08,-7e+07,-5.8e+07,-1.2e+07,1.91e+08,-2e+07,1.71e+08,3e+06,1.74e+08,1.74e+08,-1e+07,1.64e+08,1.64e+08,2594068089.75073,2594068089.75073,922575027.468076,922575027.468076,337756432.098567,890284358.354493,636017937.202644,4744683907.67186,2784401112.57019,4539502063.62859,1727739176.53426,1656228342.20286,5441881804.68587,-2920664786.33873,7323903176.19878,12068587083.8706,3686513364.59033,2902567908.5917,783945455.998632,313430220.78322,470814384.505591,470814384.505591,4470757969.87914,2180741925.95997,2362577191.2575,1968906603.88017,1549027818.76715,419878785.11302,393670587.377329,4543319117.21747,9014077087.09661,2252620493.29721,-1822937234.72298,4603152925.56553,-2006738340.10379,3026097844.03597,28412152.7380704,3054509996.77404,12068587083.8706,1.74e+08,1.34e+08,-2.81e+08,7.1e+07,-1.45e+08,-1.5e+08,-3.3e+07,-5.2e+07,7e+06,7e+06,-9e+07,-1.69e+08,-1.69e+08,-2e+07,-1.89e+08,3.95e+08,0,-3.4e+07,0.14958,0.0611,0.03839,0.218595932170951,0.0569317531170536,-0.20732,1.09133835909952,2.92712170725019,0.198373544511228,2.17507,2.13542,56.65782,42.737226679722,-0.45093,0.43767,0.0953597735605522,0.132401883137725,0.20122,-2.86446733389015,-5.85042995746109
"2","2010_Q3",58.9084375,"Down",4.534e+09,-3.773e+09,7.61e+08,-4.08e+08,-4.01e+08,-7e+06,3.53e+08,-1.24e+08,-5.5e+07,-6.9e+07,2.29e+08,-2.2e+07,2.07e+08,8e+06,2.15e+08,2.15e+08,-1e+07,2.05e+08,2.05e+08,8.5e+08,8.5e+08,2.382e+09,2.382e+09,2.676e+09,9.53e+08,7e+08,6.861e+09,2.97e+09,4.901e+09,1.729e+09,1.777e+09,3007440902.34293,1.395e+09,7.871e+09,1.4732e+10,4.476e+09,3.499e+09,9.77e+08,3.1e+08,1.119e+09,1.119e+09,5.905e+09,2.195e+09,2.841e+09,2.216e+09,1.519e+09,6.97e+08,6.25e+08,5.036e+09,1.0941e+10,2.25e+09,-1.823e+09,4.496e+09,-1.224e+09,3.699e+09,9.2e+07,3.791e+09,1.4732e+10,2.15e+08,1.39e+08,-2.69e+08,9.9e+07,-1.13e+08,-1.26e+08,-3.3e+07,-3.18e+08,6.5e+07,6.5e+07,-2.9e+08,-3.17e+08,-3.17e+08,-2.4e+07,-3.41e+08,4.92e+08,2.505e+09,1.02e+08,0.16784,0.07786,0.04521,0.05408,0.01392,0.49756,1.1619,2.88605,0.17004,2.69737,2.66234,59.65789,48.67105,1.34211,0.43421,0.02605,0.01116,0.16098,3.36382,4.68839
"3","2010_Q4",59.5978125,"Up",4.519e+09,-3.871e+09,6.48e+08,-3.98e+08,-3.91e+08,-7e+06,2.5e+08,-1.58e+08,-5.4e+07,-1.04e+08,9.2e+07,-1.6e+07,7.6e+07,7e+06,8.3e+07,8.3e+07,-4e+06,7.9e+07,7.9e+07,9.01e+08,9.01e+08,2.552e+09,2.552e+09,3.084e+09,9.21e+08,6.97e+08,7.458e+09,3.077e+09,5.064e+09,1.73e+09,1.803e+09,1735813634.11431,1.531e+09,8.141e+09,1.5599e+10,4.818e+09,3.7e+09,1.118e+09,3.11e+08,1.192e+09,1.192e+09,6.321e+09,2.197e+09,2.952e+09,2.208e+09,1.513e+09,6.95e+08,7.44e+08,5.149e+09,1.147e+10,2.253e+09,-1.823e+09,4.542e+09,-9.44e+08,4.028e+09,1.01e+08,4.129e+09,1.5599e+10,8.3e+07,1.41e+08,1.6e+07,2.07e+08,-1.2e+08,-1.47e+08,-3.3e+07,-1e+07,0,0,-5.1e+07,9e+06,9e+06,4.2e+07,5.1e+07,3.91e+08,2.508e+09,2.8e+08,0.14339,0.05532,0.01748,0.01913,0.00506,3.5443,1.17988,2.77791,0.16078,1.02731,1.01673,58.76463,52.37971,3.64109,0.42913,0.01168,0.0292,0.41772,4.10997,6.428
"4","2011_Q1",61.8220967741935,"Up",5.041e+09,-4.375e+09,6.66e+08,-4.48e+08,-4.41e+08,-7e+06,2.18e+08,-7e+07,-5.8e+07,-1.2e+07,1.48e+08,-1.6e+07,1.32e+08,4.6e+07,1.78e+08,1.78e+08,-7e+06,1.71e+08,1.71e+08,1.368e+09,1.368e+09,2.278e+09,2.278e+09,2.792e+09,8.77e+08,6.73e+08,7.315e+09,3.134e+09,5.135e+09,1.731e+09,1.789e+09,1.305e+09,3.1e+08,8.269e+09,1.5584e+10,4.757e+09,3.66e+09,1.097e+09,3.12e+08,1.08e+09,1.08e+09,6.149e+09,2.195e+09,2.92e+09,2.129e+09,1.519e+09,6.1e+08,7.91e+08,5.115e+09,1.1264e+10,2.262e+09,-1.823e+09,4.68e+09,-8.93e+08,4.226e+09,9.4e+07,4.32e+09,1.5584e+10,1.78e+08,1.41e+08,3.89e+08,7.01e+08,-1.83e+08,-1.83e+08,-3.3e+07,-1.7e+07,-7.45058059692383e-09,0,-6.4e+07,4.54e+08,4.54e+08,1.3e+07,4.67e+08,3.59e+08,2.507e+09,5.19e+08,0.13212,0.04325,0.03392,0.03958,0.01097,3.03509,1.18962,2.60741,0.16087,2.23529,2.1673,65.89542,55.24183,6.78431,0.43137,0.02093,0.05325,0.19298,3.1727,5.22477
"5","2011_Q2",60.2350793650794,"Down",4.401e+09,-3.778e+09,6.23e+08,-3.87e+08,-3.8e+08,-7e+06,2.36e+08,-7.4e+07,-5.4e+07,-2e+07,1.62e+08,-8e+06,1.54e+08,2.4e+07,1.78e+08,1.78e+08,-9e+06,1.69e+08,1.69e+08,1.026e+09,1.026e+09,2.347e+09,2.347e+09,2.938e+09,8.9e+08,6.71e+08,7.201e+09,3.174e+09,5.234e+09,1.732e+09,1.786e+09,1.393e+09,3.23e+08,8.408e+09,1.5609e+10,4.489e+09,3.572e+09,9.17e+08,3.13e+08,1.135e+09,1.135e+09,5.937e+09,2.193e+09,2.907e+09,2.117e+09,1.51e+09,6.07e+08,7.9e+08,5.1e+09,1.1037e+10,2.277e+09,-1.823e+09,4.816e+09,-8.03e+08,4.467e+09,1.05e+08,4.572e+09,1.5609e+10,1.78e+08,1.41e+08,-5.37e+08,-2.24e+08,-1.12e+08,-1.19e+08,-3.3e+07,-4e+06,8e+06,8e+06,-2.9e+07,-3.72e+08,-3.72e+08,3e+07,-3.42e+08,3.77e+08,2.506e+09,-2.96e+08,0.14156,0.05362,0.0384,0.03696,0.01083,-1.75148,1.2129,2.41404,0.16055,2.20339,2.16945,57.3794,58.2399,-3.85919,0.43025,0.02023,-0.02964,0.19527,3.92573,6.27119
"6","2011_Q3",46.73984375,"Down",4.729e+09,-4.061e+09,6.68e+08,-4.32e+08,-4.25e+08,-7e+06,2.36e+08,-5.92e+08,-5.5e+07,-5.37e+08,-3.56e+08,-1.4e+07,-3.7e+08,2.06e+08,-1.64e+08,-1.64e+08,3e+06,-1.61e+08,-1.61e+08,8.45e+08,8.45e+08,2.455e+09,2.455e+09,3.071e+09,8.44e+08,6.62e+08,7.215e+09,3.213e+09,5.486e+09,1.729e+09,1.78e+09,1.633e+09,3.44e+08,8.699e+09,1.5914e+10,5.401e+09,3.827e+09,1.574e+09,3.63e+08,1.105e+09,1.105e+09,6.869e+09,2.143e+09,2.403e+09,1.777e+09,1.312e+09,4.65e+08,6.26e+08,4.546e+09,1.1415e+10,2.29e+09,-1.822e+09,4.617e+09,-6.87e+08,4.398e+09,1.01e+08,4.499e+09,1.5914e+10,-1.64e+08,1.45e+08,-4.28e+08,-1e+07,-1.27e+08,-1.58e+08,-3.8e+07,1.1e+07,6e+06,6e+06,-2.9e+07,-1.97e+08,-1.97e+08,1.6e+07,-1.81e+08,3.81e+08,2.506e+09,-3.8e+08,0.14126,0.0499,-0.03405,-0.03579,-0.01012,2.36025,1.05037,2.53723,0.15747,-2.09635,-2.09635,61.57552,57.26562,-4.94792,0.49479,-0.01307,-0.04039,-0.23602,4.35958,7.03814
"7","2011_Q4",38.4534920634921,"Down",4.625e+09,-4.052e+09,5.73e+08,-4.01e+08,-3.94e+08,-7e+06,1.72e+08,-7.8e+07,-5.1e+07,-2.7e+07,9.4e+07,-3.6e+07,5.8e+07,1.23e+08,1.81e+08,1.81e+08,-4e+06,1.77e+08,1.77e+08,5.11e+08,5.11e+08,2.261e+09,2.261e+09,2.864e+09,8.24e+08,5.99e+08,6.46e+09,3.081e+09,5.462e+09,1.724e+09,1.767e+09,1.703e+09,2.68e+08,8.543e+09,1.5003e+10,4.846e+09,3.536e+09,1.31e+09,3.61e+08,1.036e+09,1.036e+09,6.243e+09,2.133e+09,2.29e+09,1.69e+09,1.238e+09,4.52e+08,6e+08,4.423e+09,1.0666e+10,2.295e+09,-1.821e+09,4.755e+09,-9.9e+08,4.239e+09,9.8e+07,4.337e+09,1.5003e+10,1.81e+08,1.36e+08,-1.24e+08,-1.08e+08,-1.58e+08,-1.31e+08,-3.9e+07,-3e+06,0,0,-4.6e+07,-2.85e+08,-2.85e+08,-4.9e+07,-3.34e+08,3.08e+08,2.494e+09,-9.7e+07,0.12389,0.03719,0.03827,0.04081,0.0118,-0.54802,1.03476,2.4593,0.16623,2.30169,2.22362,60.14304,55.12354,-1.26138,0.50715,0.02368,-0.01063,0.22034,6.43831,11.52907
"8","2012_Q1",50.2374193548387,"Up",4.911e+09,-4.198e+09,7.13e+08,-4.29e+08,-4.22e+08,-7e+06,2.84e+08,-7.6e+07,-5.3e+07,-22999999.9999999,2.08e+08,-7.8e+07,1.3e+08,8.3e+07,2.13e+08,2.13e+08,-8e+06,2.05e+08,2.05e+08,1.109e+09,1.109e+09,2.105e+09,2.105e+09,2.354e+09,8.54e+08,6.06e+08,6.422e+09,3.102e+09,5.657e+09,1.727e+09,1.757e+09,1.893e+09,2.8e+08,8.759e+09,1.5181e+10,4.892e+09,3.512e+09,1.38e+09,3.61e+08,1.044e+09,1.044e+09,6.297e+09,2.129e+09,2.475e+09,1.917e+09,1.487e+09,4.3e+08,5.58e+08,4.604e+09,1.0901e+10,2.307e+09,-1.822e+09,4.922e+09,-1.226e+09,4.181e+09,9.9e+07,4.28e+09,1.5181e+10,2.13e+08,1.36e+08,5.05e+08,8.72e+08,-1.88e+08,-1.88e+08,-3.8e+07,-1.9e+07,0,9.31322574615479e-10,-6.2e+07,6.22e+08,6.22e+08,-2.4e+07,5.98e+08,4.2e+08,2.49e+09,6.54e+08,0.14518,0.05783,0.04174,0.0479,0.0135,3.19024,1.01985,2.54696,0.16402,2.66927,2.62484,63.94531,54.4401,8.51562,0.49479,0.02628,0.07074,0.18537,3.2881,4.86268
"9","2012_Q2",47.8228571428571,"Down",4.348e+09,-3.698e+09,6.5e+08,-4.12e+08,-4.05e+08,-7e+06,2.38e+08,-7.1e+07,-5.4e+07,-1.7e+07,1.67e+08,-3.4e+07,1.33e+08,-3.6e+07,9.7e+07,9.7e+07,-5e+06,9.2e+07,9.2e+07,5.83e+08,5.83e+08,2.143e+09,2.143e+09,2.608e+09,9.43e+08,6.6e+08,6.277e+09,3.097e+09,5.641e+09,1.728e+09,1.751e+09,1.877e+09,2.85e+08,8.738e+09,1.5015e+10,4.616e+09,3.581e+09,1.035e+09,8.61e+08,1.032e+09,1.032e+09,6.509e+09,1.628e+09,2.42e+09,1.859e+09,1.434e+09,4.25e+08,5.61e+08,4.048e+09,1.0557e+10,2.323e+09,-1.812e+09,4.975e+09,-1.131e+09,4.355e+09,1.03e+08,4.458e+09,1.5015e+10,9.7e+07,1.51e+08,-3.96e+08,-4.23e+08,-9.2e+07,-9.2e+07,-3.9e+07,-4e+06,1.1e+07,1.1e+07,-3.4e+07,-5.49e+08,-5.49e+08,2.3e+07,-5.26e+08,3.89e+08,2.489e+09,-6.3e+07,0.14949,0.05474,0.02116,0.02064,0.00613,-0.68478,0.96436,2.3681,0.16577,1.19017,1.17197,56.24838,56.33894,-0.81501,0.50453,0.01399,-0.00673,0.42391,4.89974,8.0084
"10","2012_Q3",55.4,"Up",4.51e+09,-3.782e+09,7.28e+08,-4.55e+08,-4.47e+08,-8e+06,2.73e+08,-7e+07,-4.8e+07,-2.2e+07,2.03e+08,-7.9e+07,1.24e+08,-4e+06,1.2e+08,1.2e+08,-7e+06,1.13e+08,1.13e+08,4.26e+08,4.26e+08,2.125e+09,2.125e+09,2.583e+09,1.143e+09,6.76e+08,6.277e+09,2.955e+09,5.375e+09,1.727e+09,1.738e+09,1.678e+09,2.32e+08,8.33e+09,1.4607e+10,4.518e+09,3.517e+09,1.001e+09,5.1e+08,1.032e+09,1.032e+09,6.06e+09,1.922e+09,2.307e+09,1.787e+09,1.372e+09,4.15e+08,5.2e+08,4.229e+09,1.0289e+10,2.334e+09,-1.794e+09,5.049e+09,-1.376e+09,4.213e+09,1.05e+08,4.318e+09,1.4607e+10,1.2e+08,1.46e+08,-1.49e+08,6.8e+07,-9.3e+07,-9.3e+07,-3.8e+07,-5e+07,0,0,-1.03e+08,-1.28e+08,-1.28e+08,-2.9e+07,-1.57e+08,4.19e+08,2.432e+09,1.81e+08,0.16142,0.06053,0.02506,0.02617,0.00774,1.60177,1.03581,2.38282,0.1665,1.44686,1.42857,57.74648,53.94366,2.31754,0.48656,0.01667,0.01998,0.33628,4.78759,7.34799
"11","2012_Q4",73.5511290322581,"Up",4.494e+09,-3.791e+09,7.03e+08,-4.28e+08,-4.2e+08,-8e+06,2.75e+08,-8.6e+07,-4.8e+07,-3.8e+07,1.89e+08,-6.2e+07,1.27e+08,-4.7e+07,8e+07,8e+07,-6e+06,7.4e+07,7.4e+07,5.18e+08,5.18e+08,2.266e+09,2.266e+09,2.598e+09,1.222e+09,7.14e+08,6.604e+09,2.947e+09,5.421e+09,1.728e+09,1.732e+09,1.716e+09,2.45e+08,8.368e+09,1.4972e+10,4.685e+09,3.588e+09,1.097e+09,5.1e+08,1.165e+09,1.165e+09,6.36e+09,1.92e+09,2.251e+09,1.717e+09,1.309e+09,4.08e+08,5.34e+08,4.171e+09,1.0531e+10,2.349e+09,-1.781e+09,5.083e+09,-1.318e+09,4.333e+09,1.08e+08,4.441e+09,1.4972e+10,8e+07,1.28e+08,-1.1e+07,1.94e+08,-8.9e+07,-8.9e+07,-3.9e+07,1.4e+07,3e+06,3e+06,-2.4e+07,8.1e+07,8.1e+07,1.1e+07,9.2e+07,4.03e+08,2.43e+09,3.5e+08,0.15643,0.06119,0.01647,0.01666,0.00494,4.72973,1.03836,2.37131,0.1623,0.94508,0.93317,57.39464,55.33844,4.46999,0.49808,0.01239,0.03837,0.52703,4.74442,6.95273
"12","2013_Q1",85.7326666666667,"Up",4.791e+09,-3.979e+09,8.12e+08,-4.92e+08,-4.85e+08,-7e+06,3.2e+08,-8.4e+07,-4.9e+07,-3.5e+07,2.36e+08,-6.2e+07,1.74e+08,-4.6e+07,1.28e+08,1.28e+08,-6e+06,1.22e+08,1.22e+08,1.168e+09,1.168e+09,2.038e+09,2.038e+09,2.354e+09,1.267e+09,7.09e+08,6.827e+09,3.034e+09,5.535e+09,1.727e+09,1.722e+09,1.832e+09,2.54e+08,8.569e+09,1.5396e+10,4.809e+09,3.698e+09,1.111e+09,5.1e+08,1.191e+09,1.191e+09,6.51e+09,1.944e+09,2.575e+09,2.058e+09,1.636e+09,4.22e+08,5.17e+08,4.519e+09,1.1029e+10,2.421e+09,-1.777e+09,5.147e+09,-1.531e+09,4.26e+09,1.07e+08,4.367e+09,1.5396e+10,1.28e+08,1.26e+08,6.16e+08,8.57e+08,-1.92e+08,-2.2e+08,-3.9e+07,7000000.00000001,2.9e+07,2.9e+07,1.3e+07,6.5e+08,6.5e+08,-7.45058059692383e-09,6.5e+08,4.46e+08,2.454e+09,9.16e+08,0.16948,0.06679,0.02546,0.02794,0.00792,7.5082,1.04869,2.52553,0.15939,1.55019,1.5193,60.87675,54.12961,11.63914,0.49555,0.01713,0.09749,0.31967,2.88341,4.01875
