"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_change_in_long_term_investment","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2015_Q4",45.29734375,"Up",50416000,-16919000,33497000,-31315000,-26755000,-4560000,2182000,-98000,17000,-115000,2084000,2084000,-1183000,901000,901000,209000,209000,159098000,159098000,0,26055000,26055000,50324000,13600000,6267000,249077000,8646000,1602000,1309000,293000,10248000,259325000,28277000,4024000,24253000,28277000,2458000,2458000,2458000,30735000,249260000,-19108000,-1562000,228590000,228590000,259325000,901000,482000,253000,-5936000,-4300000,-1434000,-1434000,-1434000,0,-1434000,125947000,125947000,2221000,128168000,122434000,122434000,-1e+05,122334000,2664000,0,-3523000,0.66441,0.04328,0.00415,0.00091,0.00081,-16.85646,8.80847,0.13445,0,0.02661,0.02051,6.41937,29.10592,-0.44858,9e-04,-0.01525,-59.72147,-72.91384
"2","2016_Q1",46.7288524590164,"Up",54416000,-17958000,36458000,-34638000,-29154000,-5484000,1820000,56000,139000,-83000,1876000,1876000,-243000,1633000,1633000,909000,909000,148804000,19547000,129257000,29444000,29444000,56761000,9352000,9352000,244361000,8951000,10536000,10143000,393000,19487000,263848000,28148000,2567000,25581000,28148000,3178000,3178000,3178000,31326000,252117000,-17475000,-2120000,232522000,232522000,263848000,1633000,525000,866000.000000001,-11082000,-8058000,-967000,-967000,-967000,-128433000,-129400000,-1102999.99999999,-1102999.99999999,-1257000,-2360000,-139818000,-139818000,267000,-139551000,2345000,0,-9461000,0.66999,0.03345,0.0167,0.00391,0.00345,-10.40814,8.68129,0.13472,0,0.03018,0.02642,1.80662,7.71978,-0.31411,0.00386,-0.04014,-63.4558600000001,-81.76044
"3","2016_Q2",53.88265625,"Up",57919000,-18014000,39905000,-38070000,-33069000,-5001000,1835000,286000,510000,-224000,2121000,2121000,170000,2291000,2291000,2291000,2291000,144419000,17606000,126813000,31156000,31156000,66564000,11512000,11512000,253651000,9717000,11753000,11318000,435000,21470000,275121000,33979000,4022000,29957000,33979000,3094000,3094000,3094000,37073000,255529000,-16695000,-786000,238048000,238048000,275121000,2291000,538000,4872000,-9775000,-2074000,-1115000,-1115000,-1115000,2719000,1604000,129000,129000,-1642000,-1513000,-1983000,-1983000,42000,-1941000,2373000,0,-8687000,0.68898,0.03168,0.03956,0.00962,0.00833,-3.79179,7.46493,0.15574,0,0.07639,0.06937,1.93128,7.93758,-0.28966,0.0095,-0.03602,-60.85925,-78.70245
"4","2016_Q3",69.0025,"Up",65106000,-23636000,41470000,-42140000,-35876000,-6264000,-670000,287000,559000,-272000,-383000,-383000,3396000,3013000,3013000,3013000,3013000,139863000,13914000,125949000,34577000,34577000,68406000,17406000,17406000,260252000,11864000,11863000,11422000,441000,23727000,283979000,32189000,4070000,28119000,32189000,4199000,4199000,4199000,36388000,266680000,-16510000,-2579000,247591000,247591000,283979000,3013000,608000,2856000,-12585000,-6108000,-2580000,-2580000,-2580000,1280000.00000001,-1299999.99999999,5147000,5147000,-204000,4943000,-2465000.00000001,-2465000.00000001,-1227000,-3692000,-62000,0,-18623000,0.63696,-0.01029,0.04628,0.01217,0.01061,-6.18088,8.08512,0.14697,0,0.09973,0.09046,2.15509,8.19558,-0.61644,0.01197,-0.07396,2255.85484,208.75075
"5","2016_Q4",66.8503174603175,"Down",67187000,-24313000,42874000,-44237000,-37740000,-6497000,-1363000,271000,631000,-360000,-1092000,-1092000,12998000,11906000,11906000,11906000,11906000,141831000,15856000,125975000,36635000,36635000,70092000,18665000,18665000,267223000,16224000,13832000,13394000,438000,30056000,297279000,37344000,3584000,33760000,37344000,6081000,6081000,6081000,43425000,275062000,-17616000,-3592000,253854000,253854000,297279000,11906000,663000,5060000,-11897000,5732000,-3383000,-3383000,-3383000,-441000,-3824000,1400000,1400000,-178000,1222000,3130000,3130000,-1188000,1942000,-7e+05,0,-28978000,0.63813,-0.02029,0.17721,0.0469,0.04005,-2.4339,7.15571,0.17106,0,0.38903,0.35271,2.19534,8.29469,-0.94686,0.0458,-0.11148,202.61571,104.05796
"6","2017_Q1",75.6927419354839,"Up",73105000,-26525000,46580000,-47732000,-41619000,-6113000,-1152000,-363000,623000,-986000,-1515000,-1515000,-881000.000000002,-2396000,-2396000,-2396000,-2396000,128753000,13236000,115517000,43335000,43335000,73012000,18727000,18727000,263827000,21464000,22963000,22476000,487000,44427000,308254000,35800000,4110000,31690000,35800000,5907000,5907000,5907000,41707000,273896000,-2661000,-4688000,266547000,266547000,308254000,-2396000,488000,-6514000,-1935000,-10357000,-6557000,-6557000,-6557000,10764000,4207000,3074000,3074000,-6e+05,2474000,-3675999.99999999,-3675999.99999999,1056000,-2620000.00000001,-664000,0,-8275000,0.63717,-0.01576,-0.03277,-0.00899,-0.00777,3.45367,7.36947,0.15647,0,-0.07716,-0.07083,2.35415,8.58344,-0.26647,-0.00879000000000001,-0.03037,193.90512,111.76476
"7","2017_Q2",84.9349206349206,"Up",73213000,-25504000,47709000,-49755000,-42721000,-7034000,-2046000,295000,644000,-349000,-1751000,-1751000,-1355000,-3106000,-3106000,-3106000,-3106000,231639000,109383000,122256000,45278000,45278000,79187000,16258000,14554000,372362000,22905000,23098000,22486000,612000,46003000,418365000,38564000,4973000,33591000,38564000,6329000,6329000,6329000,44893000,383165000,-5767000,-3926000,373472000,373472000,418365000,-3106000,654000,4680000,-34000,2194000,-3194000,-3194000,-3194000,-6782000,-9976000,107613000,107613000,-2089000,105524000,97742000,97742000,109000,97851000,-1392000,0,-3265000,0.65165,-0.02795,-0.04242,-0.00832,-0.00742,1.05119,9.65569,0.1202,0,-0.09825,-0.09825,2.316,11.81431,-0.10328,-0.00818,-0.0086,166.40733,113.21554
"8","2017_Q3",86.1460317460318,"Up",80589000,-29660000,50929000,-52257000,-44163000,-8094000,-1328000,410000,624000,-214000,-918000,-918000,-482000,-1558000,-1558000,-1558000,-1558000,218644000,76576000,142068000,48714000,48714000,81141000,16218000,14399000,364717000,24419000,27867000,22496000,5371000,52286000,417003000,37511000,4334000,33177000,37511000,6514000,6514000,6514000,44025000,384998000,-7325000,-4695000,372978000,372978000,417003000,-1558000,768000,5168000,-3728000,650000,-2170000,-2170000,-2170000,-19766000,-27464000,4191000,4191000,-7101000,-2910000,-29724000,-29724000,-2968000,-32692000,-560000,0,-5976000,0.63196,-0.01648,-0.01933,-0.00418,-0.00374,3.83569,9.72293,0.11804,0,-0.0469,-0.0469,2.42596,11.22769,-0.17989,-0.00411,-0.01575,390.43571,164.64157
"9","2017_Q4",99.1888888888889,"Up",83911000,-29134000,54777000,-54094000,-45962000,-8132000,683000,556000,658000,-102000,1239000,1239000,-456000,238000,238000,238000,238000,218824000,65621000,153203000,47964000,47964000,90529000,14464000,14464000,371781000,28259000,59054000,22503000,5281000,87313000,459094000,51080000,5768000,45312000,51080000,24182000,24182000,24182000,75262000,389715000,-7087000,1204000,383832000,383832000,459094000,238000,1158000,5918000,3440000,10754000,-3941000,-3941000,-1441000,-11023000,-23819000,1619000,1619000,-2319000,-7e+05,-13765000,-13765000,991000,-12774000,1841000,0,1796000,0.6528,0.00814,0.00284,0.00062,0.00052,7.54622,7.27841,0.19608,0,0.00712,0.00667,2.50879,11.47588,0.0537,0.00058,0.0044,-118.86149,-320.38653
"10","2018_Q1",103.272950819672,"Up",96051000,-32324000,63727000,-59871000,-51470000,-8401000,3856000,50000.0000000001,727000,-677000,3906000,3906000,5904000,9083000,9083000,9083000,9083000,214591000,50637000,163954000,58007000,58007000,94901000,14735000,14735000,382234000,30899000,59662000,26690000,1016000,94433000,476667000,51582000,6757000,44825000,51582000,24677000,24677000,24677000,76259000,396843000,1996000,1569000,400408000,400408000,476667000,9083000,1201000,1976000,-13167000,-907000,-5727000,-5727000,-5727000,-10532000,-16394000,3701000,3701000,-1256000,2445000,-14856000,-14856000,-128000,-14984000,5057000,0,-19741000,0.66347,0.04015,0.09456,0.02268,0.01906,-2.1734,7.41022,0.19045,0,0.27005,0.22273,2.85576,11.90483,-0.58693,0.02137,-0.04644,-42.4344499999999,-55.6511900000001
