"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2011_Q2",6.6631746031746,"Down",55912000,-46203000,9709000,-5212000,-5212000,4497000,-225000,-172000,-53000,4272000,4278000,-531000,3747000,3747000,3747000,3747000,18054000,14045000,4009000,18342000,18342000,29687000,2475000,1646000,68558000,30471000,14068000,245000,2361000,44539000,113097000,29283000,22821000,182000,6280000,41428000,4543000,666000,3877000,4543000,45971000,67126000,67126000,113097000,3747000,1144000,-41000,-5141000,-291000,-3151000,-3151000,-986000,-4137000,169000,307000,-4121000,-4121000,-129000,-4250000,5641000,11647000,-2120000,0.17365,0.08043,0.06702,0.05582,0.03313,-0.56579,1.65487,0.68485,0.10298,0.29114,0.28389,4.34437,5.2157,-0.16472,0.04497,-0.02545,-1.13579,-1.42473
"2","2011_Q3",6.5609375,"Down",48879000,-41270000,7609000,-4204000,-4204000,3405000,-206000,-176000,-30000,3199000,3201000,801000,4002000,4002000,4002000,4002000,19297000,15262000,4035000,14810000,14810000,29435000,2010000,1234000,65552000,31225000,15131000,1391000,2278000,46356000,111908000,24034000,17992000,90000,5952000,35892000,4512000,622000,3890000,4512000,40404000,71504000,71504000,111908000,4002000,1211000,-1144000,-1201000,2868000,-1898000,-1925000,-25999.9999999995,-1924000,-114000,179000,1123000,1123000,94000,1217000,4616000,11605000,716000,0.15567,0.06966,0.08188,0.05597,0.03576,0.17891,1.82637,0.56506,0.1037,0.30946,0.3038,3.77969,5.52923,0.05537,0.04567,0.00817,-1.66638,-2.25903
"3","2011_Q4",6.15888888888889,"Down",51652000,-43413000,8239000,-5128000,-5128000,3111000,-195000,-167000,-28000,2916000,2908000,-483000,2425000,2425000,2425000,2425000,22777000,17259000,5518000,16909000,16909000,26407000,2336000,1521000,68429000,30571000,14877000,1322000,2093000,45448000,113877000,23452000,17121000,289000,6042000,35221000,4556000,622000,3934000,4556000,39777000,74100000,74100000,113877000,2425000,1235000,9000,166000,3835000,-504000,-504000,-1483000,-1987000,15000,46000,1894000,1894000,103000,1997000,4346000,11566000,4491000,0.15951,0.06023,0.04695,0.03273,0.02129,1.85196,1.94285,0.5368,0.10157,0.18645,0.18258,3.9714,5.69737,0.3453,0.02688,0.04978,-2.57961,-3.60366
"4","2012_Q1",7.21532258064516,"Up",60363000,-49080000,11283000,-6525000,-6525000,4758000,-55000,-126000,71000,4703000,4675000,1315000,5990000,5990000,5990000,5990000,30880000,23181000,7699000,20209000,20209000,28723000,2823000,2376000,82635000,30296000,17120000,3606000,2052000,47416000,130051000,33178000,24871000,646000,7661000,44807000,4903000,596000,4307000,4903000,49710000,80341000,80341000,130051000,5990000,1224000,-2302000,3497000,8409000,-720000,-772000,-2181000,-2901000,-135000,-7000,5501000,5501000,421000,5922000,5982000,11547000,7444000,0.18692,0.07882,0.09923,0.07456,0.04606,1.24274,1.84424,0.61874,0.08879,0.45978,0.45317,4.63333,6.16679,0.57138,0.06189,0.07691,-3.23186,-4.06326
"5","2012_Q2",7.78666666666667,"Up",60270000,-51392000,8878000,-5757000,-5757000,3121000,-156000,-91000,-65000,2965000,2965000,-1145000,1820000,1820000,1820000,1820000,25013000,14570000,10443000,18905000,18905000,34858000,4253000,2862000,83029000,30615000,15663000,2191000,2010000,46278000,129307000,31270000,25022000,345000,5903000,42840000,5116000,596000,4520000,5116000,47956000,81351000,81351000,129307000,1820000,1243000,509000,-7214000,-3642000,-1304000,-1304000,-2729000,-4033000,31000,-955000,-8630000,-8630000,19000,-8611000,4364000,11488000,-3009000,0.1473,0.05178,0.0302,0.02237,0.01408,-1.6533,1.93812,0.58949,0.08884,0.13935,0.13783,4.6145,6.22854,-0.23038,0.01858,-0.03072,-3.09922,-4.33355
"6","2012_Q3",7.99031746031746,"Up",58013000,-49367000,8646000,-5720000,-5720000,2926000,-64000,-80000,16000,2862000,2862000,3389000,6251000,6251000,6251000,6251000,24277000,13795000,10482000,16241000,16241000,33776000,4415000,1602000,78709000,30431000,17984000,4540000,1982000,48415000,127124000,28941000,21689000,373000,6879000,38160000,4867000,659000,4208000,4867000,43027000,84097000,84097000,127124000,6251000,1270000,-3942000,2644000,6223000,-1117000,-1247000,-28000,-1145000,-18000,-5876000,-798000.000000002,-798000.000000002,23000,-775000,4196000,9219000,2334000,0.14904,0.05044,0.10775,0.07433,0.04917,0.373379999999999,2.0626,0.51164,0.07252,0.49085,0.48665,4.5554,6.60361,0.18327,0.06367,0.02377,-3.58866,-5.14627
"7","2012_Q4",9.85177419354839,"Up",60450000,-51939000,8511000,-5518000,-5518000,2993000,-115000,-32000,-83000,2878000,2878000,-1076000,1802000,1802000,1802000,1802000,23607000,15096000,8511000,22012000,22012000,32910000,5334000,2522000,83863000,30285000,17309000,3903000,1944000,47594000,131457000,31331000,23489000,208000,7634000,40497000,4714000,659000,4055000,5589000,46086000,85371000,85371000,131457000,1802000,1270000,548000,-3471000,149000,-1106000,-1164000,2032000,926000,0,166000,1241000,1241000,60000,1301000,4263000,10041000,762000,0.14079,0.04951,0.02981,0.02111,0.01371,0.42286,2.07084,0.53983,0.07638,0.14376,0.14185,4.8225,6.81061,0.06079,0.018,0.00761,-3.18227,-4.53258
"8","2013_Q1",13.0535,"Up",75710000,-62013000,13697000,-8031000,-8031000,5666000,-173000,-69000,-104000,5493000,5493000,-2070000,3423000,3423000,3423000,3423000,30964000,25023000,5941000,25055000,25055000,36373000,4471000,1989000,96863000,31279000,16574000,3205000,1907000,47853000,144716000,40666000,30663000,642000,9361000,49789000,5038000,705000,4333000,5927000,55716000,8.9e+07,8.9e+07,144716000,3423000,1325000,1105000,3420000,9273000,-2064000,-2175000,2635000,571000,14000,44999.9999999991,9889000,9889000,38000,9927000,6991000,10012000,10417000,0.18091,0.07484,0.04521,0.03846,0.02365,3.04324,1.94547,0.62602,0.06918,0.27356,0.26932,6.05051,7.1126,0.83249,0.0329,0.10012,-2.997,-3.69785
"9","2013_Q2",12.9478125,"Down",69184000,-56064000,13120000,-7641000,-7641000,5479000,-107000,-63000,-44000,5372000,5372000,-1848000,3524000,3524000,3524000,3524000,27089000,21889000,5200000,20021000,20021000,44052000,4915000,2563000,96077000,31016000,16067000,2715000,1890000,47083000,143160000,36441000,27284000,751000,8406000,45507000,4988000,705000,4283000,5822000,51329000,91831000,91831000,143160000,3524000,1314000,610000,-7410000,-1962000,-1008000,-1008000,770000,-238000,55000,-846000,-3046000,-3046000,-88000,-3134000,6793000,9900000,223000,0.18964,0.07919,0.05094,0.03837,0.02462,0.06328,2.11126,0.55895,0.06915,0.28077,0.27724,5.51223,7.31663,0.01777,0.03659,0.00209,-2.5304,-3.13725
"10","2013_Q3",14.6809375,"Up",65560000,-53682000,11878000,-7209000,-7209000,4669000,-138000,-61000,-77000,4531000,4531000,3737000,8268000,8268000,8268000,8268000,28705000,23464000,5241000,20678000,20678000,38261000,6110000,1640000,93754000,30621000,18068000,4738000,1868000,48689000,142443000,34215000,23219000,385000,10611000,41032000,5148000,856000,4292000,6023000,47055000,95388000,95388000,142443000,8268000,1344000,-3864000,3864000,9612000,-938000,-938000,-29000,-967000,5000,-7099000,1546000,1546000,29000,1575000,6013000,7692000,5202000,0.18118,0.07122,0.12611,0.08668,0.05804,0.62917,2.2849,0.4933,0.054,0.67821,0.66834,5.37774,7.82446,0.42671,0.07978,0.04807,-3.4946,-4.50054
