"","YQ","p","d","revenue","net_premiums_earned","investment_income_loss","other_operating_income","total_realized_investment_gains","other_realized_investment_gains","other_income","total_claims_losses","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","total_investments","fixed_income_trading_afs_short_term_inv","equity_securities","other_investments","cash_cash_equivalents_short_term_investments","accounts_notes_receivable","property_plant_equipment_net","other_assets","total_assets","insurance_reserves","reserve_for_outstanding_claims_losses","premium_reserve_unearned","other_insurance_reserves","short_term_debt","other_short_term_liabilities","long_term_debt","other_long_term_liabilities","total_liabilities","share_capital_additional_paid_in_capital","common_stock","additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization","non_cash_items","stock_based_compensation","deferred_income_taxes","other_non_cash_adjustments","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","net_change_in_investments","increase_in_investments","decrease_in_investments","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repayment_of_short_term_debt_net","cash_from_repayment_of_long_term_debt_net","repayments_of_long_term_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","decrease_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",46.2484126984127,"Down",15072900000,13909900000,201100000,961900000,28700000,48400000,933200000,-11382300000,-2174100000,1516500000,-160100000,-99400000,1356400000,1335300000,-458500000,876800000,876800000,876800000,876800000,19379500000,15830700000,1088500000,2460300000,3526200000,3298600000,1144500000,23832100000,51180900000,8981100000,7199600000,1117700000,663800000,100062104.090204,3933100000,8390300000,5357200000,26661700000,14556800000,4300000,14552500000,9795600000,166800000,24519200000,24519200000,51180900000,876800000,139500000,-1038800000,14100000,40200000,-1093100000,-300400000,-322900000,-138500000,-1.49e+08,-420200000,1176300000,-1596500000,750600000,191900000,1811718289.29164,-1.5e+07,1e+05,-15100000,-15100000,-1318900000,69500000,-1388400000,176200000,-1157700000,-1288700000,-1288700000,-1200000,-1289900000,1.656e+09,8390300000,1675600000,0.10061,0.05817,0.03576,0.01713,1.91104,1.08738,0.16393,1.98776,1.96328,34.17116,55.58649,3.79869,-4.77361397392147,0.01856,0.03546,-1.00681380606537,2.93726,3.20745
"2","2010_Q3",44.19296875,"Down",14431300000,13257100000,202300000,971900000,30400000,36500000,941500000,-10985900000,-2154700000,1290700000,-161100000,-100200000,1129600000,1129600000,-407200000,722400000,722400000,722400000,722400000,19601900000,15810300000,994500000,2797100000,2027900000,3499500000,1171200000,23859500000,5.016e+10,8772700000,7080600000,1035200000,656900000,1e+08,3646400000,8448600000,5401800000,26369500000,13652300000,4e+06,13648300000,9997500000,140700000,23790500000,23790500000,5.016e+10,722400000,147200000,-548200000,4.3e+07,27500000,-618700000,-65300000,256100000,-105200000,-121800000,-2390300000,571400000,-2961700000,1983700000,-511800000,858959144.645822,142700000,99400000,43300000,-56700000,-1470100000,22900000,-1.493e+09,88100000,-1239300000,-1.495e+09,-1.495e+09,-3300000,-1498300000,1437900000,8548600000,1674600000,0.08944,0.05006,0.03037,0.0144,2.31811,1.1084,0.17043,1.73196,1.71347,34.59914,57.03788,4.01486,-2.26525198696074,0.01553,0.036,-0.513481903032686,4.53488,5.05206
"3","2010_Q4",47.70171875,"Up",14572300000,13366700000,205400000,1000200000,58400000,61600000,941800000,-11205600000,-2063200000,1303500000,-166700000,-106300000,1136800000,1136800000,-397700000,739100000,739100000,739100000,739100000,20735400000,16965800000,1105200000,2664400000,2246200000,3176400000,1206700000,23667700000,51032400000,8362500000,6719300000,989400000,653800000,1e+08,3973700000,8923700000,5310800000,26670700000,13407500000,4e+06,13403500000,10581800000,372400000,24361700000,24361700000,51032400000,739100000,155800000,278600000,39500000,43300000,195800000,-2.77e+08,896500000,-126400000,-130700000,-2.894e+09,603300000,-3497300000,2171400000,-8.49e+08,286153048.215274,471300000,-1.09e+08,580300000,-408200000,-439900000,23800000,-463700000,136100000,167500000,2.15e+08,2.15e+08,3300000,218300000,1459300000,9023700000,1453600000,0.08945,0.05072,0.03034,0.01448,1.96672,1.09478,0.17682,1.86031,1.83856,36.67833,61.31815,3.6587,-0.755920662320245,0.01571,0.03089,-0.191210634344229,4.64435,5.19946
"4","2011_Q1",54.7987096774194,"Up",1.4622e+10,13439900000,194500000,987600000,37200000,47600000,950400000,-11356600000,-2340600000,924800000,-172700000,-1.13e+08,752100000,752100000,-203300000,548800000,548800000,548800000,548800000,20226300000,16291300000,1269600000,2665400000,1788800000,3041600000,1155500000,23954700000,50166900000,8.356e+09,6817900000,891400000,646700000,1e+08,3.877e+09,8853700000,5167600000,26354300000,12866400000,3800000,12862600000,10721600000,224600000,23812600000,23812600000,50166900000,548800000,158300000,-18400000,39400000,-9200000.00000001,-48600000.0000001,-101700000,5.87e+08,-137400000,-141300000,-1.694e+09,619800000,-2313800000,1728800000,-102600000,0,-56600000.0000001,-54900000,-1699999.99999988,-1700000.00000006,-987800000,27400000,-1015200000,104600000,-939800000,-455400000,-455400000,-2e+06,-457400000,1083100000,8953700000,1047300000,0.06325,0.03753,0.02305,0.01094,1.90835,1.10674,0.17848,1.41407,1.39644,37.67586,61.35687,2.69853,0,0.01186,0.02262,0,6.61518,7.74751
"5","2011_Q2",64.0522222222222,"Up",14894300000,13684100000,184800000,1025400000,54700000,57100000,970700000,-1.1228e+10,-2076500000,1589800000,-162700000,-105900000,1427100000,1427100000,-500500000,926600000,926600000,926600000,926600000,20011900000,15981500000,1390400000,2.64e+09,2.402e+09,3303400000,1186100000,24014600000,5.0918e+10,8821900000,7131800000,1.048e+09,642100000,1e+08,3971300000,8901200000,5145500000,26939900000,12526800000,3700000,12523100000,11199900000,251400000,23978100000,23978100000,5.0918e+10,926600000,150700000,235900000,22600000,44700000,168600000,-198300000,1114900000,-128500000,-136100000,-2233100000,6.57e+08,-2890100000,2643700000,282100000,-92800000,62300000,763100000,-700800000,-700800000,-694100000,47500000,-741600000,-61200000,-785800000,611200000,611200000,2e+06,613200000,1740500000,9001200000,1914200000,0.10674,0.06221,0.03864,0.0182,2.06583,1.12352,0.17678,2.47754,2.44292,39.82433,64.11257,5.11818,0.24813,0.02171,0.04077,0.10015,3.79155,4.15096
"6","2011_Q3",56.5059375,"Down",15100700000,13913600000,187800000,999300000,33100000,41500000,966200000,-1.1922e+10,-2011100000,1167600000,-160200000,-103600000,1007400000,1007400000,-305800000,701600000,701600000,701600000,701600000,20781900000,16685700000,1409900000,2686300000,1699800000,3100900000,1212900000,24081700000,50877200000,9029300000,7353200000,1038100000,6.38e+08,1e+08,3519700000,8748400000,5298500000,26695900000,12419500000,3600000,12415900000,11418100000,343700000,24181300000,24181300000,50877200000,701600000,154800000,-702500000,38300000,66600000,-807400000,617900000,771800000,-122400000,-131800000,-3035700000,352900000,-3388600000,2405800000,-752300000,-91100000,-164100000,-162200000,-1900000,-1900000,-5.47e+08,167700000,-714700000,78700000,-723500000,-7.04e+08,-7.04e+08,1800000,-702200000,1322400000,8848400000,2123700000,0.07732,0.04646,0.02901,0.01379,3.02694,1.10399,0.17392,1.91642,1.88856,41.24747,66.05108,5.80087,0.24884,0.01674,0.04484,0.12985,5.40578,6.12247
"7","2011_Q4",56.9485714285714,"Up",1.5398e+10,14181600000,170900000,1045500000,7.2e+07,94900000,973500000,-12062900000,-2119600000,1215500000,-170300000,-108200000,1045200000,1045200000,-3.62e+08,683200000,683200000,683200000,683200000,2.0724e+10,16746500000,1193900000,2783600000,2508400000,3309800000,1316900000,24690800000,52549900000,9860800000,7518800000,1638600000,703400000,1e+08,3672400000,9896400000,5302200000,28831800000,12013100000,3500000,12009600000,11572800000,132200000,23718100000,23718100000,52549900000,683200000,151900000,844400000,37200000,4e+07,767200000,-249700000,1429800000,-202800000,-206400000,-3.284e+09,332400000,-3616400000,2633800000,-8.53e+08,-88200000,1.154e+09,57700000,1096300000,-1100000,-883900000,1.4e+07,-897900000,52200000,234100000,810900000,810900000,-2300000,808600000,1367400000,9996400000,1276900000,0.07894,0.04437,0.02881,0.013,1.869,1.2156,0.19023,1.9191,1.89567,43.25281,66.62388,3.5868,0.24775,0.01578,0.02612,0.1291,5.47609,6.16043
"8","2012_Q1",57.4516129032258,"Up",15317700000,14190300000,160200000,967200000,-1.8e+07,41600000,985200000,-12434600000,-2228400000,654700000,-176500000,-112600000,478200000,478200000,-142900000,335300000,335300000,335300000,335300000,20310200000,16159900000,1216900000,2933400000,2201600000,3402900000,1418100000,24830400000,52163200000,9479500000,7822300000,926500000,730700000,1e+08,4048300000,9740200000,5.507e+09,2.8875e+10,11682600000,3400000,11679200000,11490700000,114900000,23288200000,23288200000,52163200000,335300000,179800000,-581800000,36700000,-7.7e+07,-541500000,124600000,57900000.0000002,-240600000,-253100000,-1442300000,2.9e+08,-1732300000,2064100000,381200000,-85700000,-196300000,-1.95e+08,-1300000,-1300000.00000006,-669800000,15800000,-685600000,207800000,-7.44e+08,-304900000,-304900000,-1900000,-306800000,834500000,9840200000,861400000,0.04274,0.02189,0.0144,0.00643,2.56904,1.2399,0.18864,0.97273,0.96019,44.43777,67.56078,2.49898,0.24862,0.00875,0.0179,0.25559,9.15351,11.66733
"9","2012_Q2",58.8025396825397,"Up",15415200000,14138500000,1.69e+08,1107700000,9.6e+07,106900000,1011700000,-11771900000,-2165700000,1477600000,-167800000,-109100000,1309800000,1309800000,-453300000,856500000,856500000,856500000,856500000,20417100000,16441800000,1253700000,2721600000,2279100000,3722100000,1454600000,24623600000,52496500000,10098100000,7721700000,1624100000,752300000,1e+08,3938400000,9373300000,5458300000,28968100000,11372300000,3300000,1.1369e+10,11921100000,2.35e+08,23528400000,23528400000,52496500000,856500000,178700000,667700000,32500000,59900000,575300000,-479800000,1223100000,-154700000,-158500000,-2711500000,377200000,-3088700000,2886300000,20100000,-95800000,-3.13e+08,37800000,-350800000,-350800000,-644100000,35700000,-679800000,-114100000,-1.167e+09,76200000,76200000,1300000,77500000,1656300000,9473300000,1475100000,0.09585,0.05556,0.0364,0.01632,1.72224,1.2312,0.18046,2.55672,2.52655,46.01552,70.23403,4.40328,0.28597,0.01961,0.03038,0.11185,4.34354,4.86884
"10","2012_Q3",50.5561904761905,"Down",15407300000,1.4161e+10,169400000,1076900000,64600000,70500000,1012300000,-12093100000,-2088500000,1225700000,-177100000,-117600000,1048600000,1048600000,-4.05e+08,643600000,643600000,643600000,643600000,21530300000,17453200000,1168500000,2908600000,1953100000,3890700000,1478400000,25682500000,5.4535e+10,10158900000,7.755e+09,1707800000,696100000,2e+08,3.743e+09,10949300000,5.84e+09,30891200000,11207600000,3200000,11204400000,1.2224e+10,212200000,23643800000,23643800000,5.4535e+10,643600000,1.82e+08,-310900000,3.9e+07,27700000,-377600000,6800000,521500000,-148100000,-163300000,-3602200000,311900000,-3914100000,1.763e+09,-1987300000,-93500000,1674300000,51700000,1622600000,-100300000,-445800000,4.8e+07,-493800000,6800000.00000003,1141800000,-3.24e+08,-3.24e+08,-2e+06,-3.26e+08,1407700000,11149300000,1671400000,0.07955,0.04177,0.02722,0.0118,2.59695,1.30652,0.20444,1.96399,1.94324,47.01648,72.15075,5.1004,0.28532,0.01451,0.03291,0.14528,6.53278,7.50281
