"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","common_stock","additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"12","2013_Q1",5.26366666666667,"Down",50424000,-30299000,20125000,-24342000,-14405000,-9937000,-4217000,14000,14000,-4203000,-62000.0000000001,-4265000,-398000,-4663000,-4663000,-151000,-4814000,-4814000,84554000,84554000,27165000,27165000,29955000,4389000,2613000,146063000,44092000,6736000,5690000,2167000,56518000,202581000,16781000,6812000,336000,9633000,784000,784000,17565000,3043000,3043000,3043000,20608000,168006000,508000,167498000,-121827000,132285000,-112000,178352000,3621000,181973000,202581000,-4663000,2553000,2001000,3040000,2931000,-2556000,-85000,-2551000,0,-1.81898940354586e-12,-351000,29000.0000000005,29000.0000000005,-227000,-198000,-1664000,0,-782000,0.39912,-0.08363,-0.09547,-0.02645,-0.02376,0.162440000000001,8.31557,0.11325,0,-0.11514,-0.1152,1.206,4.26567,-0.0187,4,-0.02602,-0.00423,50.8137,20.05075
"13","2013_Q2",5.365625,"Up",41946000,-25339000,16607000,-23742000,-13887000,-9855000,-7135000,14000,14000,-7121000,-1360000,-8481000,3495000,-4986000,-4986000,-4000,-4990000,-4990000,71403000,71403000,23725000,23725000,29921000,4176000,2601000,129225000,42738000,6554000,9326000,2055000,58618000,187843000,17597000,6473000,50000,11074000,699000,699000,18296000,2909000,2909000,2909000,21205000,168266000,509000,167757000,-132219000,127295000,-301000,163041000,3597000,166638000,187843000,-4986000,2494000,-687000,1498000,-1681000,-1168000,47000,-887000,-10349000,43000,-10303000,-12871000,-12871000,-280000,-13151000,-4641000,0,-7806000,0.39591,-0.1701,-0.11896,-0.02995,-0.02656,1.56433,7.06302,0.12725,0,-0.12121,-0.12121,1.01892,3.96048,-0.18962,2,-0.02943,-0.04604,15.38526,10.00743
"14","2013_Q3",7.9784375,"Up",46865000,-28404000,18461000,-25443000,-15455000,-9988000,-6982000,26000,26000,-6956000,-80000,-7036000,2436000,-4600000,-4600000,-16000,-4616000,-4616000,60778000,60778000,23497000,23497000,28668000,6836000,5036000,119779000,41546000,6438000,9505000,1967000,57489000,177268000,17178000,6300000,-109074.571363017,10878000,897000,897000,18075000,2776000,2776000,2776000,20851000,169424000,509000,168915000,-138927000,122679000,-355000,152821000,3596000,156417000,177268000,-4600000,2534000,-644000,175000,-2535000,-1372000,10000,-1262000,-6696000,12000,-6689000,-10486000,-10486000,-139000,-10625000,-4448000,0,-8081000,0.39392,-0.14898,-0.0985,-0.02951,-0.02604,1.75065,6.62678,0.1333,0,-0.11978,-0.11978,1.2161,3.96557,-0.20969,2,-0.029,-0.05076,13.66412,8.70495999999999
"15","2013_Q4",9.95453125,"Up",55091000,-32111000,22980000,-24335000,-14478000,-9857000,-1355000,50000,50000,-1305000,1000,-1304000,406000,-898000,-898000,-34000,-932000,-932000,61188000,61188000,28321000,28321000,27987000,5745000,3497000,123241000,40457000,6231000,10949000,1904000,57637000,180878000,21226000,9772000,-64588.4532299611,11454000,911000,911000,22137000,2645000,2645000,2645000,24782000,169918000,509000,169409000,-138927000,121747000,-274000,152464000,3632000,156096000,180878000,-898000,2527000,-2015000,1922000,1536000,-1484000,-8000,-1223000,3000,3000,3000,316000,316000,94000,410000,1172000,0,1204000,0.41713,-0.0246,-0.01692,-0.00597,-0.00515,-1.29185,5.5672,0.15876,0,-0.02418,-0.02418,1.42952,3.9562,0.03124,4,-0.00587,0.00758,-52.20819,45.1572
"16","2014_Q1",11.2077049180328,"Up",55258000,-31827000,23431000,-27065000,-16917000,-10148000,-3634000,-10000,-10000,-3644000,0,-3644000,-9376000,-13020000,-13020000,-82000,-13102000,-13102000,56802000,56339000,27683000,27683000,29696000,4343000,4212000,118524000,40092000,5188000,1836000,1836000,47116000,165640000,19637000,8677000,14999.9999999999,10945000,1018000,1018000,20655000,2648000,2313000,2648000,23303000,169984000,510000,169474000,-138927000,108645000,-526000,139176000,3161000,142337000,165640000,-13020000,2453000,10339000,-1782000,-2010000,-2129000,3.63797880709171e-12,-1708000,-31000,-31000,-1066000,-4784000,-4784000,-65000,-4849000,-1181000,0,4284000,0.42403,-0.06576,-0.23711,-0.09205,-0.0791,-0.32697,5.73827,0.16372,0,-0.33998,-0.33998,1.43386,3.6114,0.11116,4,-0.09037,0.02955,48.09653,15.63071
"17","2014_Q2",8.11238095238095,"Down",53233000,-30441000,22792000,-28231000,-17980000,-10251000,-5439000,30000,30000,-5409000,646437.115749264,-5409000,-17000,-5426000,-5426000,48000,-5378000,-5378000,50950000,50307000,31769000,31769000,29521000,4797000,4666000,117037000,39176000,5045000,1830000,1830000,46051000,163088000,22189000,8148000,15000,14026000,1095000,1095000,23284000,2540000,2205000,2540000,25824000,170223000,510000,169713000,-138927000,103267000,-417000,134146000,3118000,137264000,163088000,-5426000,2443000,283000,-1780000,-4480000,-1550000,-34000,-1584000,5000,5000,5000,-6059000,-6059000,27000,-6032000,-2996000,0,-6309000,0.42816,-0.10217,-0.10103,-0.03918,-0.03298,1.17311,5.0265,0.18813,0,-0.13954,-0.13954,1.3812,3.48061,-0.1637,4,-0.03847,-0.04513,17.00601,9.36753
"18","2014_Q3",8.3165625,"Up",53361000,-30699000,22662000,-27676000,-17033000,-10643000,-5014000,62000,62000,-4952000,20000.0000000002,-4932000,9.31322574615479e-10,-4932000,-4932000,97000,-4835000,-4835000,51447000,50805000,27069000,27069000,29228000,5079000,4948000,112823000,38670000,4995000,1786000,1786000,45451000,158274000,21592000,9221000,5000,12366000,1259000,1259000,22851000,2449000,2114000,2449000,25300000,170775000,510000,170265000,-138927000,98432000,-332000,129948000,3026000,132974000,158274000,-4932000,2411000,473000,4307000,2259000,-1925000,2000.00000000001,-1833000,15000,15000,15000,441000,441000,57000,498000,-2603000,0,-221000,0.42469,-0.09396,-0.09061,-0.03636,-0.03055,0.0457099999999997,4.93733,0.19026,0,-0.12545,-0.12545,1.38453,3.37168,-0.00573000000000001,4,-0.0357,-0.00163000000000001,19.7645,10.26067
"19","2014_Q4",11.84859375,"Up",58402000,-32852000,25550000,-27699000,-17354000,-10345000,-2149000,-83000,-83000,-2232000,-1964000,-4196000,527000,-3669000,-3669000,-5000,-3674000,-3674000,53727000,53186000,27347000,27347000,28119000,5065000,4934000,114258000,37601000,5134000,1726000,1726000,44461000,158719000,25564000,9336000,6000,16222000,1732000,1732000,27296000,1839000,1504000,1839000,29135000,171300000,510000,170790000,-138927000,94758000,-555000,126576000,3008000,129584000,158719000,-3669000,2459000,402000,4480000,3672000,-1378000,-5000,-1363000,123000,123000,123000,2432000,2432000,-51000,2381000,310000,0,2885000,0.43749,-0.0368,-0.06291,-0.02835,-0.02315,-0.78525,4.18589,0.22483,0,-0.0953,-0.0953,1.51485,3.28317,0.07483,4,-0.02796,0.02195,-173.3129,25.00093
"20","2015_Q1",12.9185245901639,"Up",60735000,-34619000,26116000,-26070000,-15830000,-10240000,46000,-52000,-52000,-6000,48000.0000000005,42000,-85000.0000000002,-43000,-43000,43000,0,0,55457000,55187000,28431000,28431000,26328000,3262000,3155000,113478000,37387000,3002000,1675000,1675000,42064000,155542000,21718000,7932000,41000,13745000,1439000,1439000,23157000,1833000,1504000,1833000,24990000,172412000,511000,171901000,-138927000,94758000,-471000,127772000,2780000,130552000,155542000,-43000,2492000,227000,-1936000,740000,-2253000,-6000,751000,645000,645000,483000,1974000,1974000,27000,2001000,2538000,0,-1566000,0.43,0.000759999999999997,0,0,3.46944695195361e-18,-1.84833997853789,4.90038,0.19142,0,0,0,1.57178,3.30664,-0.04053,5,0,-0.01183,-21.85067,-1205.58696
"21","2015_Q2",14.6677777777778,"Up",64017000,-35126000,28891000,-25281000,-14862000,-10419000,3610000,-33000,-33000,3577000,4000,3581000,-139000,3442000,3442000,-71000,3371000,3371000,59412000,59322000,32675000,32675000,24837000,3287000,3180000,120211000,36460000,2902000,1700000,1700000,41062000,161273000,22830000,10111000,17000,12702000,1854000,1854000,24684000,1774000,1445000,1774000,26458000,173285000,511000,172774000,-138927000,98129000,-523000,131964000,2851000,134815000,161273000,3442000,2403000,557000,-1332000,5070000,-1434000,-65000,-1229000,310000,310000,310000,4151000,4151000,-16000,4135000,6013000,0,3386000,0.4513,0.05639,0.05266,0.025,0.0209,1.00445,4.87,0.19625,0,0.08713,0.08611,1.65466,3.41089,0.08752,6,0.02468,0.02479,-9.88059,-16.45762
